Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
56.75,56.75,56.75,56.75,166053,0.0,0.0,0.0
53.95000076293945,53.95000076293945,53.95000076293945,53.95000076293945,22367,0.0,0.0,0.0
51.29999923706055,51.29999923706055,51.29999923706055,51.29999923706055,114959,0.0,0.0,0.0
48.75,48.75,48.75,48.75,34721,0.0,0.0,0.0
46.349998474121094,46.349998474121094,46.349998474121094,46.349998474121094,34391,0.0,0.0,0.0
44.04999923706055,48.650001525878906,44.04999923706055,45.04999923706055,17528281,0.0,0.0,0.0
42.79999923706055,42.79999923706055,42.79999923706055,42.79999923706055,188879,0.0,0.0,0.0
40.70000076293945,40.70000076293945,40.70000076293945,40.70000076293945,151356,0.0,0.0,0.0
38.70000076293945,38.70000076293945,38.70000076293945,38.70000076293945,47419,0.0,0.0,0.0
36.79999923706055,40.599998474121094,36.79999923706055,39.900001525878906,4098216,0.0,0.0,0.0
41.75,41.849998474121094,37.95000076293945,40.849998474121094,2827039,0.0,0.0,0.0
39.349998474121094,42.75,38.849998474121094,39.95000076293945,3615870,0.0,0.0,0.0
40.5,41.900001525878906,39.599998474121094,40.849998474121094,2298144,0.0,0.0,0.0
41.099998474121094,42.5,39.25,39.75,1592992,0.0,0.0,0.0
40.0,41.5,39.04999923706055,40.79999923706055,1648422,0.0,0.0,0.0
41.400001525878906,42.79999923706055,41.099998474121094,42.650001525878906,2135974,0.0,0.0,0.0
42.95000076293945,44.75,40.54999923706055,42.54999923706055,5297719,0.0,0.0,0.0
43.099998474121094,44.650001525878906,43.04999923706055,44.650001525878906,1268917,0.0,0.0,0.0
46.70000076293945,46.849998474121094,43.0,45.04999923706055,2058853,0.0,0.0,0.0
45.95000076293945,47.29999923706055,45.95000076293945,47.29999923706055,1196573,0.0,0.0,0.0
48.45000076293945,49.650001525878906,47.54999923706055,49.650001525878906,1100677,0.0,0.0,0.0
52.099998474121094,52.099998474121094,50.95000076293945,52.099998474121094,1327155,0.0,0.0,0.0
52.900001525878906,54.70000076293945,52.45000076293945,54.70000076293945,1247532,0.0,0.0,0.0
55.20000076293945,56.900001525878906,52.0,56.099998474121094,3188025,0.0,0.0,0.0
57.20000076293945,58.900001525878906,56.349998474121094,58.900001525878906,1463932,0.0,0.0,0.0
61.349998474121094,61.79999923706055,59.5,61.79999923706055,2064771,0.0,0.0,0.0
61.29999923706055,63.0,60.0,62.54999923706055,2992273,0.0,0.0,0.0
62.0,64.0999984741211,61.70000076293945,62.95000076293945,2737479,0.0,0.0,0.0
63.400001525878906,64.0999984741211,60.150001525878906,60.400001525878906,2373263,0.0,0.0,0.0
60.75,61.5,57.599998474121094,60.0,2677069,0.0,0.0,0.0
60.95000076293945,61.0,57.0,58.29999923706055,1986084,0.0,0.0,0.0
56.25,56.95000076293945,55.400001525878906,55.400001525878906,319004,0.0,0.0,0.0
52.70000076293945,54.400001525878906,52.650001525878906,52.650001525878906,596183,0.0,0.0,0.0
50.04999923706055,51.54999923706055,50.04999923706055,50.04999923706055,626572,0.0,0.0,0.0
47.54999923706055,51.900001525878906,47.54999923706055,47.54999923706055,1186318,0.0,0.0,0.0
48.400001525878906,49.900001525878906,47.79999923706055,48.099998474121094,1775268,0.0,0.0,0.0
49.0,50.099998474121094,46.5,47.099998474121094,611453,0.0,0.0,0.0
46.900001525878906,46.900001525878906,44.75,45.04999923706055,652334,0.0,0.0,0.0
47.099998474121094,47.29999923706055,45.5,47.20000076293945,1242688,0.0,0.0,0.0
47.25,48.79999923706055,44.849998474121094,45.099998474121094,1169785,0.0,0.0,0.0
45.5,45.70000076293945,43.29999923706055,43.79999923706055,1599860,0.0,0.0,0.0
43.849998474121094,43.849998474121094,41.650001525878906,41.70000076293945,501332,0.0,0.0,0.0
41.900001525878906,42.900001525878906,40.04999923706055,40.650001525878906,845774,0.0,0.0,0.0
40.099998474121094,41.79999923706055,40.099998474121094,41.099998474121094,713222,0.0,0.0,0.0
41.70000076293945,41.70000076293945,40.099998474121094,40.54999923706055,533952,0.0,0.0,0.0
40.45000076293945,42.54999923706055,38.54999923706055,41.0,4875500,0.0,0.0,0.0
41.45000076293945,43.04999923706055,40.20000076293945,43.04999923706055,1181850,0.0,0.0,0.0
44.0,45.20000076293945,43.650001525878906,45.20000076293945,1870002,0.0,0.0,0.0
46.45000076293945,47.45000076293945,42.95000076293945,43.04999923706055,7118988,0.0,0.0,0.0
42.849998474121094,43.20000076293945,41.599998474121094,42.599998474121094,1523860,0.0,0.0,0.0
43.599998474121094,44.599998474121094,43.04999923706055,43.79999923706055,1144968,0.0,0.0,0.0
44.400001525878906,44.650001525878906,43.20000076293945,44.25,851031,0.0,0.0,0.0
44.900001525878906,46.45000076293945,44.20000076293945,46.25,1503998,0.0,0.0,0.0
46.400001525878906,47.400001525878906,44.75,45.650001525878906,1002772,0.0,0.0,0.0
45.95000076293945,47.900001525878906,45.20000076293945,46.849998474121094,1665760,0.0,0.0,0.0
48.0,49.150001525878906,47.099998474121094,49.150001525878906,1478276,0.0,0.0,0.0
50.400001525878906,51.599998474121094,49.25,50.70000076293945,1777291,0.0,0.0,0.0
51.400001525878906,53.20000076293945,51.0,52.599998474121094,1480384,0.0,0.0,0.0
53.0,53.5,50.099998474121094,50.349998474121094,1140153,0.0,0.0,0.0
47.900001525878906,49.70000076293945,47.849998474121094,49.349998474121094,669701,0.0,0.0,0.0
49.5,49.79999923706055,47.849998474121094,48.099998474121094,376011,0.0,0.0,0.0
