Open,High,Low,Close,Volume,Dividends,Stock Splits
17239.200969539354,19202.554413292444,17047.654292100025,18850.443359375,14973,0.0,0.0
18388.48086037987,18675.800873823307,17737.22216324142,17866.0859375,7405,0.0,0.0
18292.708687523547,18292.708687523547,17239.201904472455,17307.15234375,5764,0.0,0.0
17477.679103987306,17767.728328022826,16688.55531401013,16797.927734375,8046,0.0,0.0
16281.468871690713,16805.20504183985,15628.24695028117,16215.529296875,12132,0.0,0.0
16281.468599498894,16760.33532301357,16185.695254795959,16632.287109375,6448,0.0,0.0
15611.054461911282,15898.374482682655,15037.372153771106,15215.75,14419,0.0,0.0
15658.941480631534,15898.374836604495,15218.384105641291,15340.4951171875,6269,0.0,0.0
15341.932304557471,16271.796095520525,15036.415330641881,16148.6787109375,10888,0.0,0.0
16147.387512284704,17430.750458100927,15754.716760206606,17181.595703125,8775,0.0,0.0
17718.06893540044,17718.06893540044,16679.93450403363,16902.654296875,13810,0.0,0.0
16482.592411170495,16750.757772886227,16281.468389883696,16699.375,2763,0.0,0.0
17047.559527011275,18580.028402754797,17014.03885721249,18032.15625,6662,0.0,0.0
18273.60452768157,18273.60452768157,17334.97702616532,17688.908203125,2822,0.0,0.0
17631.870838535775,17861.72684077633,16449.070160339594,16750.8515625,7588,0.0,0.0
17718.069236871543,18139.471964667406,17239.20250073988,17962.9609375,9694,0.0,0.0
18149.047880576418,18359.749228002634,17387.698464548947,17543.951171875,9926,0.0,0.0
17832.99606412595,18627.914793085376,17488.307436333627,18141.2421875,7065,0.0,0.0
18809.885689617277,18867.34969885236,17862.113004747946,17973.544921875,8169,0.0,0.0
18005.38953524593,18194.253830439546,17700.8789216278,18075.11328125,19065,0.0,0.0
18086.797594441912,19001.43310954342,18005.39024493026,18776.509765625,10316,0.0,0.0
19153.710947267024,19153.710947267024,18573.75471805785,18867.63671875,8832,0.0,0.0
18820.421079338506,19151.796871585775,18536.02286367235,19021.59375,4218,0.0,0.0
18963.07271437795,19015.748051459275,18441.108010572087,18588.982421875,6149,0.0,0.0
18685.379295111714,18819.413340954787,17872.26360974268,17928.291015625,10554,0.0,0.0
18023.58783823138,18195.97987876922,17814.801922468883,17985.0390625,1951,0.0,0.0
17900.0381447688,18388.38680406361,17527.528468364144,18321.87109375,12604,0.0,0.0
18580.98800797506,18733.555705829152,18340.596894630293,18680.736328125,5023,0.0,0.0
18962.164096836717,18962.164096836717,18015.923472175135,18482.291015625,1365,0.0,0.0
18665.267970242337,18765.829986604156,18196.936294043022,18718.517578125,3547,0.0,0.0
18732.453565332078,19113.48746428788,18388.771272885635,18580.220703125,5403,0.0,0.0
18302.33418481431,18426.790893791327,17945.62525226295,18032.68359375,2584,0.0,0.0
18139.47242565766,18196.936435453827,17794.688366880637,17866.7578125,1831,0.0,0.0
18050.402293011346,18051.360026459268,17727.694755962828,17917.27734375,1374,0.0,0.0
17742.97022400384,18098.289340548446,17742.97022400384,18080.283203125,1350,0.0,0.0
18082.008464692437,18292.66119960981,17719.027468499724,17831.751953125,2175,0.0,0.0
18101.16286527959,18122.13760271432,17334.976077331252,17410.732421875,2809,0.0,0.0
17239.20250980629,17525.564818163628,16999.769141614535,17341.775390625,2964,0.0,0.0
18100.20532502533,18100.20532502533,17479.68941939664,17542.134765625,2267,0.0,0.0
17536.09984301966,17670.182528875626,16904.09115178822,16986.216796875,3758,0.0,0.0
17047.653819022093,17219.997189036334,16779.488478048712,16928.416015625,1750,0.0,0.0
16903.99631976103,16903.99631976103,16291.095513042392,16327.82421875,3428,0.0,0.0
16473.01501131753,16614.75955908933,16037.246300262326,16119.037109375,2642,0.0,0.0
16166.540473999887,16951.881895130213,16119.037269470531,16783.46484375,2574,0.0,0.0
16902.080115331057,17712.322623126278,16767.374529961817,17127.435546875,5268,0.0,0.0
17143.428259135722,17430.748285825146,16856.108232446295,16935.744140625,1825,0.0,0.0
16856.10905791637,16903.99573137636,16568.78901715643,16780.11328125,1968,0.0,0.0
16940.388215606756,17220.046365706097,16698.177066971177,17140.505859375,4631,0.0,0.0
17220.911826117943,17520.3475992098,17086.68509292234,17252.947265625,2679,0.0,0.0
17334.974055852363,17813.840742478118,17143.427381202062,17525.70703125,8731,0.0,0.0
17516.942885074,17697.954487330917,17047.653545889407,17293.791015625,6563,0.0,0.0
17544.718831823197,17670.133277164954,17066.809846775992,17207.30859375,49626,0.0,0.0
17153.007607320378,17514.982248548717,17047.656918498196,17154.109375,36350,0.0,0.0
17287.089510430866,17430.749534063256,17164.929855439503,17309.166015625,2813,0.0,0.0
17309.117594001593,17427.349046678588,17143.429698037322,17219.330078125,3900,0.0,0.0
17325.398544752545,17574.409247993877,17266.163103499966,17499.41796875,4664,0.0,0.0
17573.930281477995,17708.49183381172,17334.97578107042,17398.953125,3131,0.0,0.0
17602.183477658073,17622.29588056524,17318.07146914291,17488.30859375,2258,0.0,0.0
17574.407103250167,17574.407103250167,16707.658415051726,16835.564453125,7087,0.0,0.0
16282.427274756417,16798.357564284383,16281.51817615841,16668.77734375,4153,0.0,0.0
16850.36316764269,16850.36316764269,16377.24281952313,16472.5859375,5573,0.0,0.0
18244.822801325998,18292.709475345226,17259.31505001028,17698.53125,22640,0.0,0.0
17617.50750417656,18191.18986324162,17431.27697574441,17842.19140625,12144,0.0,0.0
17842.189215391958,18051.35855751168,17727.932746696326,17977.564453125,4514,0.0,0.0
18100.206128614453,18100.206128614453,17526.52373954413,17807.427734375,8327,0.0,0.0
17780.3200691713,17908.65634114916,17618.175060898433,17732.384765625,6789,0.0,0.0
