Open,High,Low,Close,Volume,Dividends,Stock Splits
93.46942157299084,107.5941559066418,87.75276625913398,102.54513549804688,978374,0.0,0.0
100.98036086139915,101.10554440034967,96.09825377912327,97.78821563720703,561134,0.0,0.0
96.61985973892328,102.60774177044455,94.72126051249941,97.49613189697266,550582,0.0,0.0
97.82993990618785,116.98283048329962,89.79741114650584,106.61356353759766,1252584,0.0,0.0
92.63488300862669,102.44082783161194,90.3816046174189,97.09971618652344,443168,0.0,0.0
97.2249007923809,113.9158708854935,95.97307803539745,112.41368103027344,953636,0.0,0.0
103.90127831427438,107.65674620515176,92.25933039939413,93.90756225585938,369842,0.0,0.0
99.31128304092972,106.40494611528185,87.25205836137133,90.1312484741211,286128,0.0,0.0
89.7139682689252,96.3903566052173,89.7139682689252,95.40975952148438,196200,0.0,0.0
98.47671494430116,103.48400553468936,91.57082539830427,93.53201293945312,589160,0.0,0.0
97.64218775675094,104.31857666319546,91.800347463612,101.7523422241211,525584,0.0,0.0
101.39766650461837,115.35549853072524,96.82851367011446,112.05902099609375,1363556,0.0,0.0
108.49129736311403,114.29140648299463,105.11137362919267,111.1409912109375,802754,0.0,0.0
111.32877341932745,114.66696767758854,104.31857057065933,105.11138916015625,353638,0.0,0.0
105.15311691653119,105.98766546348779,100.1458256347916,100.52136993408203,295028,0.0,0.0
106.19629438024617,106.19629438024617,101.85664481881663,102.98328399658203,200586,0.0,0.0
103.06675567726936,109.32587039451244,102.23220704830361,106.36322021484375,398752,0.0,0.0
108.032309388142,113.06047214189729,106.46753082593195,107.86540222167969,320298,0.0,0.0
109.32585862721551,110.45250424873328,103.52574882703914,105.59125518798828,261292,0.0,0.0
108.49130266856231,109.36758112157132,106.17542935740961,106.9891128540039,253494,0.0,0.0
108.0114411923589,110.93236091620913,105.57038430487276,107.57329559326172,281424,0.0,0.0
110.57768638570312,118.54762783807884,108.80427066064938,112.72664642333984,1504718,0.0,0.0
114.33315521132216,116.41952665678424,112.78923524799994,113.54033660888672,305450,0.0,0.0
112.66404812543016,112.66404812543016,106.53011788979892,107.42726135253906,283918,0.0,0.0
107.48985901999956,108.47045614258474,105.46607617853665,106.09198760986328,226492,0.0,0.0
107.19775667209551,108.63735798728322,103.90129250881644,104.33943176269531,467908,0.0,0.0
104.27684246624163,106.53012745125032,102.64947528298568,103.0667495727539,258630,0.0,0.0
