Open,High,Low,Close,Volume,Dividends,Stock Splits
41.0,48.29999923706055,37.650001525878906,45.75,197820,0.0,0.0
44.900001525878906,45.75,40.70000076293945,41.70000076293945,177153,0.0,0.0
41.099998474121094,46.79999923706055,41.099998474121094,42.599998474121094,226822,0.0,0.0
42.29999923706055,44.349998474121094,40.5,41.099998474121094,343424,0.0,0.0
40.0,40.0,36.20000076293945,37.650001525878906,273555,0.0,0.0
39.0,40.20000076293945,35.599998474121094,37.5,403035,0.0,0.0
34.70000076293945,35.79999923706055,30.0,30.149999618530273,379585,0.0,0.0
31.899999618530273,32.0,27.149999618530273,27.549999237060547,245327,0.0,0.0
27.149999618530273,28.850000381469727,25.700000762939453,28.149999618530273,308106,0.0,0.0
28.799999237060547,30.950000762939453,28.100000381469727,30.950000762939453,82947,0.0,0.0
33.900001525878906,34.0,32.0,32.849998474121094,233072,0.0,0.0
32.400001525878906,33.400001525878906,30.549999237060547,30.75,95054,0.0,0.0
31.399999618530273,32.599998474121094,29.899999618530273,30.25,302229,0.0,0.0
30.5,31.75,28.25,28.600000381469727,212481,0.0,0.0
29.5,31.100000381469727,28.600000381469727,30.100000381469727,146610,0.0,0.0
32.0,32.900001525878906,30.799999237060547,32.5,140477,0.0,0.0
32.5,34.79999923706055,31.75,33.349998474121094,135248,0.0,0.0
33.95000076293945,36.400001525878906,33.54999923706055,35.900001525878906,252760,0.0,0.0
37.5,39.099998474121094,33.5,37.54999923706055,1168152,0.0,0.0
38.0,38.849998474121094,35.75,36.29999923706055,288032,0.0,0.0
35.70000076293945,38.099998474121094,35.70000076293945,37.25,343666,0.0,0.0
38.95000076293945,39.099998474121094,37.29999923706055,39.099998474121094,324699,0.0,0.0
39.70000076293945,40.5,38.75,39.0,201399,0.0,0.0
38.0,38.70000076293945,37.04999923706055,37.04999923706055,74692,0.0,0.0
36.0,37.54999923706055,35.20000076293945,36.400001525878906,159482,0.0,0.0
36.95000076293945,37.29999923706055,36.29999923706055,36.849998474121094,82850,0.0,0.0
36.5,37.04999923706055,36.150001525878906,36.599998474121094,175454,0.0,0.0
37.79999923706055,37.79999923706055,36.400001525878906,37.45000076293945,166247,0.0,0.0
37.79999923706055,38.29999923706055,36.5,37.5,106013,0.0,0.0
37.5,37.900001525878906,37.25,37.5,88370,0.0,0.0
38.0,39.349998474121094,37.5,38.25,581873,0.0,0.0
37.849998474121094,37.849998474121094,36.349998474121094,36.349998474121094,99252,0.0,0.0
36.400001525878906,36.900001525878906,34.75,35.099998474121094,85380,0.0,0.0
35.099998474121094,35.45000076293945,33.349998474121094,33.849998474121094,171396,0.0,0.0
33.849998474121094,34.75,32.29999923706055,32.54999923706055,109380,0.0,0.0
33.0,33.70000076293945,31.25,31.649999618530273,118437,0.0,0.0
32.900001525878906,32.900001525878906,31.450000762939453,31.850000381469727,127692,0.0,0.0
32.400001525878906,32.75,30.600000381469727,31.600000381469727,169356,0.0,0.0
33.0,33.150001525878906,32.25,33.150001525878906,70096,0.0,0.0
34.400001525878906,34.79999923706055,33.599998474121094,33.900001525878906,114826,0.0,0.0
34.599998474121094,34.849998474121094,32.79999923706055,33.29999923706055,267937,0.0,0.0
33.849998474121094,33.849998474121094,31.649999618530273,31.700000762939453,179469,0.0,0.0
31.899999618530273,32.599998474121094,30.5,30.850000381469727,133355,0.0,0.0
31.5,31.5,29.399999618530273,29.899999618530273,234857,0.0,0.0
30.75,31.350000381469727,29.899999618530273,31.049999237060547,423789,0.0,0.0
31.0,32.599998474121094,30.600000381469727,32.599998474121094,301546,0.0,0.0
33.70000076293945,34.20000076293945,33.0,34.20000076293945,470049,0.0,0.0
34.349998474121094,35.45000076293945,33.79999923706055,34.150001525878906,337318,0.0,0.0
34.5,34.849998474121094,33.0,33.29999923706055,739692,0.0,0.0
31.799999237060547,33.95000076293945,31.649999618530273,33.099998474121094,1889457,0.0,0.0
33.900001525878906,34.75,33.79999923706055,34.75,237253,0.0,0.0
36.45000076293945,36.45000076293945,35.099998474121094,36.45000076293945,202108,0.0,0.0
38.25,38.25,37.54999923706055,38.25,169737,0.0,0.0
39.25,39.54999923706055,36.400001525878906,38.099998474121094,567436,0.0,0.0
39.5,41.900001525878906,38.599998474121094,41.900001525878906,485702,0.0,0.0
45.0,46.04999923706055,42.900001525878906,46.0,843082,0.0,0.0
47.0,47.5,42.5,43.150001525878906,453771,0.0,0.0
43.25,45.45000076293945,42.400001525878906,43.099998474121094,208591,0.0,0.0
43.0,43.70000076293945,40.29999923706055,40.95000076293945,162716,0.0,0.0
39.5,42.849998474121094,38.5,42.20000076293945,272633,0.0,0.0
41.0,42.5,41.0,41.20000076293945,77222,0.0,0.0
42.400001525878906,42.900001525878906,39.75,41.79999923706055,162036,0.0,0.0
42.0,45.45000076293945,41.150001525878906,43.599998474121094,490268,0.0,0.0
45.0,45.79999923706055,43.75,44.70000076293945,419827,0.0,0.0
45.45000076293945,48.349998474121094,44.54999923706055,46.349998474121094,737514,0.0,0.0
46.70000076293945,46.849998474121094,45.5,46.099998474121094,389303,0.0,0.0
46.099998474121094,47.849998474121094,46.099998474121094,47.099998474121094,346792,0.0,0.0
47.5,48.5,45.54999923706055,45.849998474121094,1350269,0.0,0.0
45.5,48.5,44.75,47.95000076293945,381839,0.0,0.0
48.20000076293945,50.400001525878906,47.04999923706055,47.599998474121094,325011,0.0,0.0
47.650001525878906,47.900001525878906,46.29999923706055,46.849998474121094,97150,0.0,0.0
47.5,49.400001525878906,45.75,46.54999923706055,284390,0.0,0.0
