Open,High,Low,Close,Volume,Dividends,Stock Splits
2502.860517065644,2850.3743608088535,2294.1109681980356,2738.63037109375,53783,0.0,0.0
2678.8886686842557,2710.312220330683,2433.246628130163,2540.7265625,77837,0.0,0.0
2550.9692725177474,2575.7652129392045,2456.142135476464,2463.001708984375,362881,0.0,0.0
2493.4981575390416,2576.877353642312,2314.272093499691,2353.574951171875,171989,0.0,0.0
2169.250827398683,2289.244596967686,1983.6752702727656,2132.543701171875,407407,0.0,0.0
2133.470932828101,2242.526648960567,2049.3037201696366,2114.746337890625,93449,0.0,0.0
1946.5973172555312,2038.2726908646634,1691.8248291015625,1691.8248291015625,119719,0.0,0.0
1763.5244319024507,1794.0674247653124,1353.4876437830007,1414.48095703125,436901,0.0,0.0
1413.6003400360614,1555.8873250823142,1403.8673540882721,1478.0234375,152056,0.0,0.0
1510.9302642654088,1625.8258056640625,1487.7564872061234,1625.8258056640625,63137,0.0,0.0
1765.8419089869449,1788.3668667880643,1668.5120399876646,1761.2071533203125,79150,0.0,0.0
1677.7815622905355,1760.2802136959817,1640.703516715054,1706.702392578125,52133,0.0,0.0
1736.179433818556,1765.8418694203679,1649.833915053264,1667.16796875,43449,0.0,0.0
1686.124032562101,1686.124032562101,1599.4541056547032,1626.382080078125,30051,0.0,0.0
1649.973020342156,1789.0156905957083,1575.8169295402613,1784.0101318359375,47262,0.0,0.0
1835.36312941174,1873.0899929216982,1791.0085430815977,1834.343505859375,26401,0.0,0.0
1879.810436537684,1922.3576277788075,1784.3808661273767,1876.84423828125,25453,0.0,0.0
1904.6527601975602,1956.700973597656,1882.6376717173596,1933.063720703125,29635,0.0,0.0
1937.327871563033,1992.9449396461823,1896.5420216353903,1961.3358154296875,35584,0.0,0.0
1997.5331074867004,1997.5331074867004,1770.4764944656004,1935.937255859375,34275,0.0,0.0
1914.1540505924545,1937.3278284446635,1886.345517169804,1918.881591796875,17477,0.0,0.0
1992.8984600528618,1992.8984600528618,1918.7887653202547,1955.9595947265625,50515,0.0,0.0
1990.1640775237418,1990.1640775237418,1928.6607794819809,1960.2235107421875,15436,0.0,0.0
1928.9852289704224,1952.159006348731,1784.3808581297756,1831.23828125,42784,0.0,0.0
1840.9249391821047,1840.9249391821047,1770.9401290571054,1809.82568359375,21968,0.0,0.0
1835.3632410028895,1858.5370192983805,1784.427321570686,1791.054931640625,29297,0.0,0.0
1770.4767826372508,1783.7322299884415,1738.0798836298632,1744.2440185546875,22447,0.0,0.0
1788.9228918186384,1793.603926828108,1738.033255467897,1758.84326171875,20249,0.0,0.0
1775.1113508606547,1801.9929326752547,1710.2247740667926,1796.6629638671875,48507,0.0,0.0
1801.9465041473447,1932.6466062418515,1798.238699832607,1856.5439453125,76668,0.0,0.0
1888.1993118584314,1925.2773543102414,1878.2809807638546,1888.94091796875,44807,0.0,0.0
1853.9020995565131,1853.9020995565131,1741.8800878214518,1754.3475341796875,52291,0.0,0.0
1835.270398820903,1835.270398820903,1750.4543781019731,1752.6326904296875,23984,0.0,0.0
1764.914957166703,1789.0156866238115,1740.3043593251778,1759.4459228515625,19646,0.0,0.0
1756.5723383327402,1779.0045097404015,1751.4277144552307,1759.1678466796875,8007,0.0,0.0
1768.622449023392,1797.3115362554445,1736.179165105248,1739.840576171875,20724,0.0,0.0
1756.525983393623,1796.6630122379884,1746.144176088384,1765.4248046875,20122,0.0,0.0
1751.9374867029874,1784.844249019366,1738.0332209355033,1780.1168212890625,20852,0.0,0.0
1840.0906279110627,1872.4412443172857,1779.7461332124697,1789.5255126953125,44225,0.0,0.0
1787.1615213017703,1825.1201193482232,1742.6678734685313,1763.616943359375,29744,0.0,0.0
1772.330447141605,1790.8694685552202,1748.924932606916,1784.612548828125,13893,0.0,0.0
1793.5577106746916,1793.6039903378855,1715.1839497050378,1721.672607421875,79811,0.0,0.0
1738.0333797609023,1768.1128988586784,1724.129112722815,1750.639892578125,123108,0.0,0.0
1735.2525349292182,1778.5411079271173,1728.7638769460427,1764.6368408203125,19525,0.0,0.0
1812.1893782783259,1877.0759544826649,1743.5949977194532,1769.8277587890625,77297,0.0,0.0
1784.381034858389,1861.549721171096,1742.668231446115,1847.923583984375,194719,0.0,0.0
1853.902159794643,1863.1716705936162,1823.3127741580315,1846.5792236328125,15860,0.0,0.0
1846.4865050069118,1882.0814482159992,1807.5545606242358,1857.331787109375,15851,0.0,0.0
1853.9487243242772,1872.3949620001742,1831.6555035266458,1848.10888671875,29663,0.0,0.0
1838.0976642484661,1862.1521135225655,1822.4785606251742,1854.4583740234375,41290,0.0,0.0
1863.7278201186891,1988.310067988319,1863.7278201186891,1915.0809326171875,46027,0.0,0.0
1931.7657611119298,2043.926824976874,1865.025293357583,2028.35400390625,77370,0.0,0.0
2085.639671725092,2196.8737875504303,2048.5152403071074,2111.269775390625,90820,0.0,0.0
2140.0054010293416,2178.33491657331,2039.2922623239494,2077.853515625,36981,0.0,0.0
2113.4483285465076,2311.6305021600874,2069.4645478474667,2261.806884765625,103625,0.0,0.0
2353.528740757146,2394.407373015587,2304.400334589313,2317.5166015625,116655,0.0,0.0
2340.551531189127,2362.7519648078346,2318.304704754062,2320.529296875,105811,0.0,0.0
2314.596971724699,2346.2986551109843,2262.5023634774034,2288.595947265625,62721,0.0,0.0
2301.619755747228,2302.9637896828126,2226.5367109564404,2240.116455078125,33512,0.0,0.0
2086.5669115139317,2205.6801270312753,2053.196672147205,2177.77880859375,81026,0.0,0.0
2210.778475359177,2210.778475359177,2113.4486053748105,2149.1826171875,39449,0.0,0.0
