Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-13 00:00:00+05:30,462.7405956012774,559.1080938656615,411.1940607014318,493.0794372558594,23157,0.0,0.0
2020-03-16 00:00:00+05:30,459.0096071884877,493.079423172627,453.65857411400236,477.713623046875,10234,0.0,0.0
2020-03-17 00:00:00+05:30,476.1427346974125,482.08284741030855,461.4642327552852,465.88250732421875,6363,0.0,0.0
2020-03-18 00:00:00+05:30,466.6679226806031,469.3188991590969,405.05754418220704,439.6673583984375,16369,0.0,0.0
2020-03-19 00:00:00+05:30,415.46504133465703,426.0689173089624,398.67559351451126,415.1705017089844,12999,0.0,0.0
2020-03-20 00:00:00+05:30,417.2814597795678,445.7547829174677,414.3359435928885,422.9270324707031,9410,0.0,0.0
2020-03-23 00:00:00+05:30,406.48123327316785,441.778347519785,343.643554699538,354.8856201171875,10530,0.0,0.0
2020-03-24 00:00:00+05:30,351.4982969731307,411.3904648931334,341.876288538533,351.05645751953125,9178,0.0,0.0
2020-03-25 00:00:00+05:30,354.5910626535451,402.553892136086,351.94011597601946,381.4934387207031,12362,0.0,0.0
2020-03-26 00:00:00+05:30,392.7355357413584,420.2270232432535,384.19352585364646,404.7630615234375,11496,0.0,0.0
2020-03-27 00:00:00+05:30,440.7965308449999,441.8274495753391,395.68102706413697,403.928466796875,8464,0.0,0.0
2020-03-30 00:00:00+05:30,422.1415921039771,422.1415921039771,363.28034572368176,391.90093994140625,13004,0.0,0.0
2020-03-31 00:00:00+05:30,393.1282525192455,404.0757492298933,344.91996107968646,375.3569641113281,23383,0.0,0.0
2020-04-01 00:00:00+05:30,390.62458232395676,390.62458232395676,375.89699995630735,381.935302734375,4883,0.0,0.0
2020-04-03 00:00:00+05:30,387.3844839803694,430.0453915422109,370.0059553138606,424.3507385253906,7329,0.0,0.0
2020-04-07 00:00:00+05:30,440.84558366133444,490.9193581974771,439.8637449449395,470.9389343261719,11652,0.0,0.0
2020-04-08 00:00:00+05:30,470.9389253090332,489.93751010017473,466.3733813578818,472.8044128417969,6104,0.0,0.0
2020-04-09 00:00:00+05:30,480.4136674202405,501.3268498604121,463.5260596353668,483.01556396484375,7351,0.0,0.0
2020-04-13 00:00:00+05:30,481.10096397318046,487.28653581035707,451.4494231878651,473.3935241699219,5615,0.0,0.0
2020-04-15 00:00:00+05:30,475.30813701028933,500.73775422224094,475.30813701028933,477.9100036621094,6314,0.0,0.0
2020-04-16 00:00:00+05:30,490.9193622252593,491.9012009497098,474.22810390960046,481.1500549316406,3111,0.0,0.0
2020-04-17 00:00:00+05:30,477.2227369232181,496.8104329754734,477.2227369232181,487.7284240722656,5206,0.0,0.0
2020-04-20 00:00:00+05:30,505.59790309783466,505.59790309783466,481.1010130015028,490.3302917480469,12623,0.0,0.0
2020-04-21 00:00:00+05:30,463.57517170932965,481.1009998389897,463.57517170932965,479.3827819824219,3555,0.0,0.0
2020-04-22 00:00:00+05:30,480.1191335588602,489.6920610684694,467.453420077276,471.3316650390625,3585,0.0,0.0
2020-04-23 00:00:00+05:30,487.97387366713724,489.6430115784983,466.42250046048537,477.76275634765625,5728,0.0,0.0
2020-04-24 00:00:00+05:30,486.8938515038123,486.9429614214723,463.4279103414779,465.88250732421875,3760,0.0,0.0
2020-04-27 00:00:00+05:30,480.0700434924435,480.0700434924435,456.65318454662196,459.3532409667969,7639,0.0,0.0
2020-04-28 00:00:00+05:30,460.04054148260735,473.246284860845,449.6821544943299,455.13134765625,5145,0.0,0.0
2020-04-29 00:00:00+05:30,456.40772145239384,468.28797560481786,449.3384708926579,460.5805358886719,3197,0.0,0.0
2020-04-30 00:00:00+05:30,471.2335275782877,486.9429478293289,463.4278974057151,468.7789306640625,6386,0.0,0.0
