Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-13 00:00:00+05:30,258.5268040475692,309.30535874504545,215.60159884721813,297.89117431640625,84345,0.0,0.0
2020-03-16 00:00:00+05:30,296.57412657223955,296.57412657223955,268.2825158137035,273.8920593261719,75648,0.0,0.0
2020-03-17 00:00:00+05:30,269.80562253359847,285.6591705976633,246.2714884759701,252.7704620361328,119067,2.6,0.0
2020-03-18 00:00:00+05:30,252.7704526573128,264.73445464778024,228.6947208335695,232.73196411132812,71470,0.0,0.0
2020-03-19 00:00:00+05:30,226.4791563473431,242.97274708133438,210.0348032175992,215.7952423095703,103374,0.0,0.0
2020-03-20 00:00:00+05:30,232.09188714899096,237.35999503571372,215.84447014626915,236.03065490722656,86106,0.0,0.0
2020-03-23 00:00:00+05:30,226.47917322046098,226.47917322046098,212.4473114013672,212.4473114013672,53038,0.0,0.0
2020-03-24 00:00:00+05:30,216.63225206908976,233.37201700170124,196.93841097189977,221.60494995117188,49889,0.0,0.0
2020-03-25 00:00:00+05:30,222.4911543545732,236.1783821672133,214.8597913559584,228.99012756347656,41514,0.0,0.0
2020-03-26 00:00:00+05:30,234.99673671210422,251.8842133060491,226.7745676349166,250.60411071777344,49022,0.0,0.0
2020-03-27 00:00:00+05:30,259.95868925995876,269.8056093076845,241.29877877456008,246.41917419433594,49388,0.0,0.0
2020-03-30 00:00:00+05:30,240.26483240219613,249.12705982686728,230.7625612291591,239.67401123046875,37681,0.0,0.0
2020-03-31 00:00:00+05:30,248.3392955079304,257.8415814090579,243.21890060548765,247.7484893798828,36171,0.0,0.0
2020-04-01 00:00:00+05:30,251.0964428103559,254.98598796425014,241.74186945075442,248.1916046142578,12817,0.0,0.0
2020-04-03 00:00:00+05:30,246.1729907893074,253.06583453140797,237.60617371488087,243.465087890625,39172,0.0,0.0
2020-04-07 00:00:00+05:30,250.16101498341553,267.78701145932723,248.1916309095846,267.0484924316406,200799,0.0,0.0
2020-04-08 00:00:00+05:30,272.759665971033,291.468812734389,256.41377384138667,279.307861328125,70594,0.0,0.0
2020-04-09 00:00:00+05:30,282.8527536616677,313.13203016330834,282.8527536616677,306.042236328125,84339,0.0,0.0
