['king', 'charles', 'iii', 'removes', 'prince', 'andrew', 'from', 'buckingham', 'palace', 'report']
['south', 'africa', 'seek', 'to', 'avoid', 'world', 'cup', 'qualification', 'embarrassment']
['bring', 'silent', 'disco', 'to', 'wider', 'use']
['centre', 'planning', 'phase', '2', 'of', 'specialty', 'steel', 'pli', 'scheme']
['india', 'made', 'platforms', 'take', 'centre', 'stage', 'during', 'parade']
['make', 'higher', 'commitment']
['budget', '2023', 'here', 'are', '5', 'things', 'that', 'women', 'want', 'from', 'fm']
['walk', 'the', 'talk', 'like', 'egyptian', 'indian', 'ties']
['chevron', 'to', 'buy', 'back', '75', 'billion', 'in', 'stock', 'after', 'record', 'profit']
['meet', 'maria', 'branyas', 'morera', 'the', 'worlds', 'oldest', 'person', 'see', 'whats', 'her', 'age']
['clean', 'energy', 'sets', '1', '1', 'trillion', 'record', 'thats', 'bound', 'to', 'be', 'broken']
['dimple', 'other', 'sp', 'netas', 'seek', 'bharat', 'ratna', 'for', 'mulayam', 'singh', 'yadav']
['name', 'is', 'bond', 'green', 'bond']
['hyundai', 'motor', 'unveils', '8', '5', 'billion', 'spending', 'plan', 'amid', 'ev', 'push']
['non', 'performing', 'assets', 'dented', 'by', 'iron', 'steel']
['sugar', 'exporters', 'face', 'tax', 'query', 'on', 'benefit', 'given', 'under', 'rodtep']
['adani', 'group', 'looks', 'to', 'invest', 'in', 'petrochem', 'mining', 'in', 'azerbaijan']
['uk', 'to', 'ban', 'laughing', 'gas', 'as', 'it', 'becomes', 'most', 'popular', 'recreational', 'drug', 'among', 'youngsters']
['sarma', 'urges', 'ulfa', 'indpendent', 'members', 'to', 'join', 'mainstream']
['how', 'tech', 'can', 'break', 'barrier']
['rybakina', 'sabalenka', 'to', 'meet', 'in', 'womens', 'final']
['congress', 'leaders', 'slam', 'punjab', 'government', 'for', 'not', 'granting', 'r', 'day', 'remission', 'to', 'navjot', 'singh', 'sidhu']
['india', 'demolish', 'japan', '8', '0', 'in', 'classification', 'match', 'harmanpreet', 'and', 'abhishek', 'score', 'a', 'brace', 'each']
['egypt', 'considering', 'allocating', 'land', 'to', 'indian', 'industries', 'in', 'suez', 'canal', 'economic', 'zone']
['xbb', 'remains', 'the', 'dominant', 'variant']
