['commonwealth', 'games', '2022', 'india', 'won', '66', 'medals', 'in', '2018', 'how', 'many', 'will', 'come', 'this', 'time']
['bjp', 'says', 'its', 'a', 'landmark', 'judgement', 'cong', 'expresses', 'disappointment']
['ed', 'recovers', 'rs', '15', 'crore', 'cash', 'gold', 'from', 'arpita', 'mukherjees', 'second', 'house']
['view', 'as', 'iibx', 'gains', 'traction', 'price', 'rigging', 'in', 'the', 'precious', 'metals', 'market', 'should', 'become', 'a', 'thing', 'of', 'the', 'past']
['imf', 'announcement', 'wear', 'your', 'seat', 'belts']
['no', 'consideration', 'to', 'sonias', 'age', 'health', 'congress']
['dbs', 'ceo', 'piyush', 'gupta', 'ponders', 'if', 'bankers', 'should', 'play', 'god', 'around', 'esg']
['four', 'objectives', 'of', 'education']
['freebies', 'not', 'taking', 'the', 'ec', 'way', 'out']
['credit', 'suisse', 'names', 'new', 'ceo', 'as', 'losses', 'widen']
['chinese', 'spy', 'vessels', 'expected', 'sri', 'lanka', 'entry', 'keeps', 'india', 'on', 'its', 'toes']
['biden', 'xi', 'to', 'hold', 'talks', 'today', 'as', 'us', 'china', 'ties', 'worsen']
['apples', '1st', 'india', 'store', 'delayed']
['james', 'lovelock', 'the', 'grand', 'man', 'who', 'reminded', 'us', 'of', 'gaia']
['sonia', 'questioned', 'for', 'third', 'day', 'no', 'fresh', 'summons']
['imfs', 'latest', 'news', 'may', 'not', 'be', 'bad', 'news', 'for', 'india', 'if', 'it', 'plays', 'its', 'cards', 'right']
['textile', 'companies', 'to', 'draw', 'up', 'plan', 'to', 'cut', 'emissions']
['as', 'many', 'as', '1122', 'twitter', 'urls', 'blocked', 'on', 'it', 'ministrys', 'directions', 'this', 'year', 'up', 'to', 'june']
['air', 'india', 'issues', 'tender', 'to', 'sell', 'three', 'b777', '200lr', 'aircraft']
['building', 'the', 'drone', 'ecosystem', 'and', 'creating', 'future', 'ready', 'jobs']
['steelmakers', 'find', 'a', 'boron', 'exception', 'from', 'new', '15', 'export', 'duty']
['semiconductor', 'shortage', 'issue', 'is', 'easing', 'tata', 'motors', 'group', 'cfo']
['leverage', 'technology', 'for', 'early', 'childhood', 'development', 'niti', 'aayog', 'member', 'v', 'k', 'paul']
['india', 'needs', 'to', 'balance', 'growth', 'aspiration', 'with', 'maintaining', 'macro', 'economic', 'stability', 'uday', 'kotak']
['vibrancy', 'of', 'civil', 'society', 'pluralism', 'source', 'of', 'indias', 'strength', 'us', 'official']
['startup', 'accelerators', 'led', 'by', 'nrl', 'ideation', 'targeting', 'north', 'east', 'hopes', 'to', 'invest', 'rs', '300', '350', 'cr', 'in', 'three', 'years']
['dgca', 'caps', '50', 'of', 'spicejets', 'flights', 'after', 'safety', 'probe']
['coca', 'cola', 'india', 'bottling', 'partners', 'investing', 'usd', '1', 'bn', 'to', 'expand', 'capacity']
['us', 'rocket', 'system', 'enables', 'ukraine', 'to', 'pummel', 'key', 'supply', 'bridge']
['banks', 'financial', 'institutions', 'can', 'look', 'at', 'having', 'paperless', 'branches', 'rbi', 'discussion', 'paper']
['the', 'mercury', 'prize', 'full', 'list', 'of', 'nominations', 'for', '2022', 'music', 'awards', 'is', 'out', 'check', 'here']
['all', 'countries', 'including', 'india', 'need', 'to', 'hold', 'russia', 'to', 'terms', 'of', 'grain', 'deal', 'usaid', 'chief', 'samantha', 'power']
['biocon', 'net', 'profit', 'rises', '71', 'pc', 'to', 'rs', '144', 'crore', 'in', 'june', 'quarter']
['todays', 'quordle', '184', 'time', 'to', 'solve', 'the', 'puzzle', 'here', 'are', 'hints', 'answers', 'for', 'quordle', 'july', '27']
['actress', 'shamita', 'shetty', 'rakesh', 'bapat', 'announce', 'breakup', 'check', 'their', 'instagram', 'posts']
['hc', 'junks', 'plea', 'to', 'suspend', 'jain', 'cm', 'to', 'decide', 'if', 'person', 'with', 'criminal', 'history', 'should', 'continue', 'as', 'min']
['arun', 'nanda', 'retires', 'as', 'mahindra', 'lifespace', 'chairman', 'to', 'be', 'succeeded', 'by', 'ameet', 'hariani']
['united', 'breweries', 'q1', 'results', 'net', 'profit', 'rises', 'to', 'rs', '162', '50', 'crore', 'on', 'volume', 'growth']
['todays', 'heardle', 'sound', 'on', 'here', 'are', 'clues', 'answer', 'for', 'july', '27', 'heardle']
['biocon', 'q1', 'results', 'profit', 'rises', '71', 'yoy', 'to', 'rs', '144', 'crore']
['latent', 'view', 'rallies', '8', 'on', 'robust', 'numbers', 'in', 'q1']
['journey', 'of', 'indias', 'evolving', 'innovation', 'ecosystem']
['actress', 'kriti', 'sanon', 'turns', 'a', 'year', 'older', 'take', 'a', 'look', 'at', 'her', 'marvellous', 'bollywood', 'journey']
['ahead', 'of', 'market', '12', 'things', 'that', 'will', 'decide', 'd', 'street', 'action', 'on', 'thursday']
['crypto', 'prices', 'today', 'live', 'news', 'bitcoin', 'dogecoin', 'ethereum', 'shibha', 'inu', 'cryptocurrency', 'latest', 'updates', '27', 'july', '2022']
['foreign', 'entity', 'not', 'amenable', 'to', 'writ', 'jurisdiction', 'under', 'constitution', 'delhi', 'hc']
['these', 'banking', 'stocks', 'can', 'rally', 'up', 'to', '50', 'suggest', 'analysts']
['nykaas', 'falguni', 'nayar', 'wealth', 'grows', '963', 'becomes', 'indias', 'richest', 'self', 'made', 'woman']
['murder', 'of', 'democracy', 'cong', 'after', 'mps', 'detained', 'over', 'protests', 'against', 'misuse', 'of', 'agencies']
['sc', 'judgement', 'on', 'pmla', 'clears', 'all', 'doubts', 'govt', 'has', 'no', 'role', 'in', 'determining', 'cases', 'kiren', 'rijiju']
['imran', 'khans', 'party', 'moves', 'high', 'court', 'seeking', 'dismissal', 'of', 'pakistan', 'pm', 'sharif', 'cabinet']
['one', 'dead', 'several', 'stranded', 'after', 'record', 'rainfall', 'flash', 'flood', 'hit', 'st', 'louis']
['do', 'you', 'know', 'what', 'i', 'do', 'pm', 'modi', 'asks', '8', 'year', 'old', 'answer', 'leaves', 'him', 'in', 'splits']
['ant', 'man', 'and', 'the', 'wasp', 'quantumania', 'trailer', 'shocks', 'marvel', 'fans', 'find', 'out', 'why']
['illegal', 'mining', 'ed', 'seizes', 'rs', '30', 'crore', 'vessel', 'operated', 'by', 'man', 'linked', 'to', 'jharkhand', 'cm', 'hemant', 'soren', 'aide']
['engagement', 'of', 'banks', 'board', 'level', 'management', 'on', 'environment', 'issues', 'inadequate', 'rbi', 'survey']
['largecap', 'scrips', 'with', 'high', 'upside', 'potential', 'stock', 'reports', 'plus']
['australian', 'rapper', 'iggy', 'azalea', 'shares', 'rare', 'photo', 'of', 'son', 'onyx', 'check', 'here']
['leave', 'it', 'to', 'beaver', 'actor', 'tony', 'dow', 'is', 'under', 'hospice', 'care', 'son', 'reveals', 'key', 'details']
['todays', 'wordle', '403', 'check', 'out', 'clues', 'and', 'answer', 'for', 'july', '27']
['human', 'remnants', 'found', 'at', 'lake', 'mead', 'in', 'us', 'for', 'third', 'time', 'read', 'details', 'here']
['fed', 'readies', 'largest', 'rate', 'hikes', 'since', 'volcker', 'decision', 'day', 'guide']
['maharashtra', 'reports', '2138', 'covid', '19', 'cases', 'eight', 'deaths']
['sandy', 'hook', 'lawyer', 'asks', 'jury', 'to', 'award', '150', 'million', 'to', 'parents', 'in', 'lawsuit', 'against', 'alex', 'jones', 'check', 'out', 'details', 'here']
['shania', 'twains', 'documentary', 'not', 'just', 'a', 'girl', 'releases', 'on', 'netflix', 'check', 'details', 'here']
['sebi', 'clears', 'change', 'in', 'ownership', 'of', 'hdfc', 'ltds', 'subsidiary', 'hdfc', 'property', 'ventures']
['eu', 'found', 'evidence', 'employee', 'phones', 'compromised', 'with', 'spyware', 'letter']
