['putting', 'more', 'indo', 'into', 'the', 'indo', 'pacific']
['a', 'matar', 'of', 'moderate', 'security', 'concern']
['view', 'with', 'the', 'advent', 'of', 'ai', 'in', 'healthcare', 'moving', 'from', 'data', 'to', 'actionable', 'insights', 'will', 'become', 'easier']
['fcra', 'related', 'issues', 'sorted', 'out', 'mocs', 'sister', 'mary', 'joseph']
['time', 'for', 'a', 'swadeshi', 'investment', 'spree']
['biren', 'singh', 'named', 'chief', 'minister', 'of', 'manipur', 'for', 'second', 'term']
['australia', 'to', 'announce', 'investment', 'package', 'of', 'rs', '1500', 'crore', 'at', 'mondays', 'summit']
['inflation', 'transitory', 'supply', 'chain', 'issues', 'to', 'blame', 'bruce', 'flatt', 'brookfield', 'ceo']
['cosmonauts', 'perspective']
['view', 'the', 'vaccine', 'patent', 'waiver', 'wavers']
['power', 'tussle', 'holding', 'up', 'bjp', 'decision', 'on', 'goa', 'cm']
['house', 'panel', 'flags', 'lack', 'of', 'women', 'safety', 'mobile', 'phone', 'networks', 'on', 'highways']
['biz', 'jets', 'take', 'off', 'but', 'demand', 'likely', 'to', 'taper']
['like', 'abrogation', 'of', 'article', '370', 'bjp', 'will', 'liberate', 'pojk', 'union', 'minister', 'jitendra', 'singh']
['covid', '19', 'hasnt', 'gone', 'away', 'warns', 'us', 'surgeon', 'general', 'vivek', 'murthy']
['future', 'retail', 'to', 'convene', 'shareholder', 'creditors', 'meeting', 'in', 'april']
['there', 'will', 'be', 'consequences', 'for', 'china', 'if', 'it', 'decides', 'to', 'provide', 'substantial', 'military', 'or', 'financial', 'support', 'to', 'russia', 'us', 'ambassador', 'to', 'un']
['influential', 'israeli', 'rabbi', 'chaim', 'kanievsky', 'dead', 'crowd', 'of', '750000', 'ultra', 'orthodox', 'attend', 'funeral']
['wordle', '275', 'answer', 'for', 'march', '21', '2022']
['reliance', 'retail', 'acquires', '89', 'stake', 'in', 'clovia', 'in', 'rs', '950', 'crore', 'deal']
['second', 'rescue', 'helicopter', 'crashes', 'in', 'a', 'month', 'in', 'los', 'angeles', '6', 'injured']
['charity', 'game', 'bundles', 'itch', 'io', 'humble', 'raise', '12', 'million', 'for', 'ukraine']
['wockhardt', 'serum', 'enter', 'pact', 'to', 'do', 'fill', 'finish', 'of', 'vaccines']
['volkswagen', 'atlas', 'suvs', 'recalled', 'in', 'us', 'canada', 'to', 'address', 'airbags', 'windows', 'and', 'brakes', 'issues']
['boris', 'johnson', 'prime', 'minister', 'of', 'uk', 'faces', 'backlash', 'for', 'his', 'comparison', 'of', 'ukraine', 'war', 'to', 'brexit', 'vote']
['punjab', 'sit', 'probing', 'drugs', 'charges', 'against', 'bikram', 'singh', 'majithia', 'reconstituted']
['biren', 'singh', 'the', 'footballer', 'who', 'dribbled', 'through', 'the', 'political', 'field', 'to', 'be', 'manipurs', 'chief', 'minister']
['strike', 'shuts', 'down', 'canadas', 'cp', 'rail']
['saudi', 'aramco', 'to', 'hike', 'investment', 'in', 'oil', 'production', 'to', 'meet', 'rise', 'in', 'demand']
['lgbtq', 'activist', 'elise', 'malary', 'found', 'dead']
['texas', 'authorities', 'warn', 'of', 'more', 'dangerous', 'fire', 'season', 'ahead', 'as', 'wildfire', 'victims', 'family', 'mourns', 'her', 'passing']
['equity', 'raising', 'drought', 'costs', 'us', 'banks', '4', '6', 'billion', 'in', 'revenue']
['lawsuit', 'against', 'former', 'kentucky', 'clerk', 'kim', 'davis', 'for', 'not', 'issuing', 'marriage', 'certificates', 'and', 'violating', 'rights', 'of', 'same', 'sex', 'couples']
['after', 'battling', 'covid', '19', 'how', 'future', 'virus', 'research', 'in', 'humans', 'as', 'well', 'as', 'in', 'animals', 'must', 'move', 'in', 'tandem']
['pakistan', 'sponsored', 'terrorism', 'hit', 'every', 'citizen', 'of', 'jk', 'ghulam', 'nabi', 'azad']
['ntagi', 'proposes', 'reduction', 'in', 'duration', 'of', 'second', 'dose', 'of', 'covishield', 'vaccine', 'to', '8', '16', 'weeks']
['bjp', 'to', 'stake', 'claim', 'to', 'form', 'govt', 'in', 'goa', 'on', 'monday']
['infra', 'market', 'group', 'being', 'probed', 'for', 'suspected', 'tax', 'evasion', 'of', 'over', 'rs', '1500', 'crores']
['make', 'no', 'illegal', 'recommendation', 'work', 'to', 'resolve', 'peoples', 'problems', 'punjab', 'cm', 'mann', 'to', 'party', 'mlas']
['goas', 'caretaker', 'cm', 'sawant', 'bjp', 'leader', 'rane', 'hold', 'joint', 'meeting', 'with', 'amit', 'shah']
['jharkhand', 'reels', 'under', 'scorching', 'heat']
['up', 'bjps', 'legislature', 'party', 'meet', 'likely', 'on', 'march', '24', 'party', 'sources']
['ahead', 'of', 'market', '12', 'things', 'that', 'will', 'decide', 'stock', 'action', 'on', 'monday']
['cert', 'in', 'warns', 'of', 'multiple', 'vulnerabilities', 'for', 'some', 'google', 'chrome', 'users']
['all', 'party', 'meet', 'in', 'kerala', 'decides', 'to', 'erect', 'flags', 'advertisements', 'without', 'obstructing', 'traffic']
['punjab', 'cm', 'bhagwant', 'mann', 'coming', 'of', 'age', 'much', 'to', 'chagrin', 'of', 'aap', 'bosses', 'in', 'delhi', 'sunil', 'jhakar']
['arvind', 'kejriwal', 'asks', 'aap', 'mlas', 'in', 'punjab', 'to', 'work', 'with', 'honesty', 'for', 'welfare', 'of', 'people']
['deadly', 'strike', 'on', 'ukraine', 'barracks', 'punctuates', 'russian', 'military', 'gains']
['target', 'is', 'to', 'make', 'jammu', 'kashmir', 'free', 'of', 'terror', 'corruption', 'lieutenant', 'governor']
['jail', 'was', 'a', 'torture', 'camp', 'during', 'emergency', 'tn', 'cm', 'stalin', 'says', 'in', 'his', 'autobiography']
['govt', 'plans', 'to', 'merge', 'bbnl', 'with', 'bsnl', 'this', 'month', 'bsnl', 'cmd']
['former', 'bjp', 'minister', 'babul', 'surpiyo', 'says', 'support', 'for', 'mamata', 'overwhelming', 'differences', 'with', 'detractors', 'sorted', 'out']
['belgium', 'car', 'runs', 'into', 'carnival', 'revelers', 'killing', '6']
['jspl', 'arm', 'in', 'mauritius', 'makes', '357', 'million', 'prepayment', 'to', 'lenders']
['tejashwi', 'yadav', 'welcomes', 'ljd', 'rjd', 'merger', 'calls', 'for', 'united', 'opposition', 'to', 'defeat', 'bjp']
['accidental', 'fire', 'triggers', 'powerful', 'explosions', 'at', 'military', 'depot', 'in', 'pakistans', 'sialkot']
['bsf', 'probes', 'drone', 'found', 'in', 'farmland', 'along', 'indo', 'bangla', 'border', 'in', 'west', 'bengal']
['crypto', 'week', 'at', 'a', 'glance', 'market', 'appears', 'bright', 'as', 'apecoin', 'surges', 'on', 'launch']
['uddhav', 'thackeray', 'rejects', 'aimim', 'alliance', 'offer', 'says', 'its', 'part', 'of', 'bjps', 'game', 'plan', 'to', 'defame', 'shiv', 'senas', 'hindutva', 'agenda']
['sbsp', 'chief', 'om', 'prakash', 'rajbhar', 'dismisses', 'claims', 'of', 'joining', 'bjp']
['hijab', 'verdict', 'anti', 'national', 'forces', 'cannot', 'be', 'tolerated', 'says', 'cm', 'basavaraj', 'bommai', 'after', 'three', 'judges', 'receive', 'threats']
