['food', 'security', 'made', 'covid', 'more', 'bearable']
['high', 'court', 'grants', 'interim', 'protection', 'from', 'coercive', 'action', 'to', 'spicejet', 'promoter', 'ajay', 'singh', 'in', 'fraud', 'case']
['bharatpe', 'ceo', 'apologises', 'for', 'remark', 'on', 'salary', 'row', 'firm', 'says', 'march', 'salary', 'paid']
['xe', 'variant', 'of', 'covid', 'not', 'more', 'severe', 'than', 'omicron', 'dr', 'gagandeep', 'kang']
['sonata', 'software', 'announces', 'succession', 'plan', 'appoints', 'samir', 'dhir', 'as', 'ceo']
['realty', 'check', 'gains', 'sectoral', 'concerns']
['whos', 'supply', 'suspension', 'of', 'covaxin', 'not', 'to', 'impact', 'travel', 'of', 'people', 'mea']
['moscow', 'supports', 'probe', 'into', 'bucha', 'killings', 'russian', 'embassy']
['caught', 'in', 'meltdown', 'turf', 'rivalry', 'congress', 'shies', 'away', 'from', 'hosting', 'opposition', 'floor', 'strategy', 'meets']
['homing', 'in', 'on', 'new', 'habitat']
['commodity', 'prices', 'wont', 'soften', 'anytime', 'soon', 'vedanta', 'ceo', 'sunil', 'duggal']
['tencent', 'closes', 'twitch', 'competitor', 'penguin', 'esports', 'months', 'after', 'china', 'banned', 'a', '6', 'billion', 'gaming', 'merger']
['euronav', 'and', 'frontline', 'sign', '4', '2bn', 'deal', 'to', 'create', 'the', 'largest', 'fleet', 'of', 'oil', 'tankers']
['electric', 'vehicle', 'tax', 'credits', 'are', 'coming', 'to', 'an', 'end', 'for', 'new', 'toyota', 'buyers']
['like', 'tesla', 'toyota', 'develops', 'self', 'driving', 'tech', 'with', 'low', 'cost', 'cameras']
['india', 'working', 'with', 'russia', 'to', 'keep', 'its', 'economic', 'ties', 'stable', 'mea']
['economists', 'health', 'experts', 'urge', 'modi', 'to', 'reject', 'compromise', 'solution', 'on', 'vaccine', 'waiver']
['india', 'affected', 'by', 'oppression', 'atrocities', 'in', 'any', 'part', 'of', 'world', 'says', 'defence', 'minister', 'rajnath']
['assam', 'assembly', 'speaker', 'daimary', 'says', 'he', 'will', 'show', 'cause', 'to', 'two', 'congress', 'mlas']
['u', 's', 'jobless', 'claims', 'touches', '166000', 'lowest', 'since', '1968']
['india', 'says', 'it', 'is', 'exploring', 'ways', 'to', 'support', 'iea', 'members', 'oil', 'release']
['bharatpe', 'ceo', 'says', 'grover', 'stole', 'money', 'as', 'saga', 'continues', 'on', 'linkedin']
['sonata', 'software', 'announces', 'succession', 'plan', 'appoints', 'samir', 'dhir', 'as', 'ceo']
['trustees', 'move', 'bombay', 'hc', 'against', 'cci', 'challenging', 'jurisdiction']
['noida', 'international', 'airport', 'work', 'on', 'runway', 'terminal', 'building', 'to', 'start', 'next', 'month', 'say', 'officials']
