['freshworks', 'share', 'price', 'surges', '21', 'over', 'ipo', 'market', 'cap', 'at', '12', '2', 'billion']
['view', 'as', 'key', 'reforms', 'change', 'the', 'india', 'story', 'investors', 'need', 'to', 'be', 'made', 'more', 'aware', 'of', 'this', 'change']
['k', 'rajaraman', 'to', 'be', 'next', 'telecom', 'secretary', 'rajiv', 'bansal', 'to', 'be', 'at', 'aviation']
['rbl', 'bank', 'md', 'gets', 'nearly', 'all', 'votes', 'at', 'agm', 'for', '4th', 'term']
['the', 'key', 'of', 'contentment']
['joe', 'biden', 'doubles', 'us', 'global', 'donation', 'of', 'covid', '19', 'vaccine', 'shots']
['indias', 'exemplary', 'green', 'enterprise']
['all', 'not', 'quite', 'quiet', 'on', 'the', 'vi', 'front']
['modan', 'saha', 'named', 'tata', 'digital', 'financial', 'services', 'ceo']
['temporary', 'reduction', 'in', 'import', 'duties', 'to', 'help', 'build', 'volumes', 'required', 'for', 'manufacturing', 'electric', 'vehicles', 'in', 'india', 'audi']
['international', 'travel', 'should', 'be', 'made', 'easier', 'through', 'mutual', 'recognition', 'of', 'vaccine', 'certificates', 'pm', 'modi']
['no', 'prior', 'experience', 'required', 'now', 'for', 'up', 'to', '200', 'mtr', 'road', 'tunnel', 'construction', 'nitin', 'gadkari']
['india', 'uae', 'to', 'sign', 'trade', 'pact', 'in', '6', 'months', 'round', '1', 'of', 'talks', 'this', 'week']
['india', 'committed', 'to', 'clean', 'energy', 'based', 'economy', 'nitin', 'gadkari']
['punjab', 'govt', 'issues', 'directions', 'to', 'remove', 'posters', 'of', 'ex', 'cm', 'amarinder', 'singh', 'from', 'buses']
['nse', 'bse', 'bulk', 'deals', 'aditya', 'birla', 'sun', 'life', 'mf', 'buys', 'stake', 'in', 'ahluwalia', 'contracts']
['fdi', 'equity', 'inflows', 'up', '112', 'to', '20', '42', 'billion', 'in', 'april', 'july', 'govt']
['bank', 'officers', 'union', 'extends', 'support', 'to', 'bharat', 'bandh', 'call', 'by', 'farmers', 'on', 'september', '27']
['ipo', 'boost', 'for', 'freshworks', 'unacademys', 'legal', 'troubles']
['centre', 'files', 'plea', 'against', 'allowing', '2nd', 'dose', 'of', 'covishield', 'earlier', 'says', 'it', 'will', 'derail', 'policy']
['grundfos', 'acquires', 'industrial', 'water', 'treatment', 'provider', 'meco']
['electronics', 'mart', 'files', 'rs', '500', 'cr', 'ipo', 'papers', 'with', 'sebi']
['zee', 'sony', 'merger', 'zeel', 'promoters', 'to', 'get', '2', 'additional', 'stake', 'in', 'merged', 'entity', 'for', 'non', 'compete', 'clause']
