['manipur', 'govt', 'bans', 'kuki', 'zo', 'organisation', 'under', 'uapa']
['maharashtra', 'govt', 'begins', 'issuing', 'kunbi', 'caste', 'papers', 'to', 'marathas']
['judy', 'nugent', 'child', 'star', 'who', 'grew', 'up', 'to', 'be', 'a', 'hollywood', 'legend']
['argentinas', 'lionel', 'messi', 'clinches', 'eighth', 'ballon', 'dor', 'leaving', 'cristiano', 'ronaldo', 'behind']
['xs', 'valuation', 'plunges', 'from', '44', 'billion', 'to', '19', 'billion', 'a', 'year', 'after', 'elon', 'musks', 'takeover']
['senior', 'citizens', 'pwds', 'cast', 'their', 'votes', 'in', 'mizoram', 'polls', 'using', 'home', 'voting', 'and', 'postal', 'ballots']
['arnold', 'schwarzenegger', 'opens', 'up', 'about', 'overcoming', 'his', 'accent', 'reflects', 'on', 'rivalry', 'with', 'sylvester', 'stallone']
['manipur', 'police', 'officer', 'killed', 'in', 'militant', 'ambush', 'cm', 'vows', 'action']
['nasa', 'missions', 'uncover', 'cosmic', 'enigmas', 'a', 'celestial', 'face', 'and', 'skeleton', 'nebula']
['mobile', 'internet', 'ban', 'in', 'manipur', 'again', 'extended', 'till', 'november', '5']
['registration', 'of', 'properties', 'in', 'mumbai', 'up', '26', 'pc', 'to', '10607', 'units', 'in', 'oct']
['hardens', 'departure', 'marks', 'a', 'fresh', 'start', 'for', 'the', '76ers']
['two', 'coaches', 'engine', 'of', 'suhaildev', 'express', 'derail', 'at', 'prayagraj', 'station', 'in', 'up', 'no', 'casualty', 'reported']
['judy', 'nugent', 'farewell', 'to', 'a', 'golden', 'age', 'hollywood', 'star']
['five', 'nights', 'at', 'freddys', 'shatters', 'box', 'office', 'records', 'with', '80', 'million', 'debut']
['railway', 'orders', '15', 'day', 'intensive', 'safety', 'drive']
['selena', 'gomez', 'setting', 'the', 'trend', 'for', 'gen', 'zs', 'style', 'and', 'substance']
['matthew', 'perry', 'death', 'lifeless', 'before', 'first', 'responders', 'arrived', 'bystander', 'brought', 'head', 'above', 'water']
['jyotiraditya', 'scindias', 'prestige', 'battle', 'can', 'he', 'bolster', 'bjps', 'standing', 'in', 'gwalior']
['oppenheimer', 'returns', 'to', 'imax', 'following', 'record', 'breaking', '183', 'million', 'summer', 'stint']
['nba', '2023', '24', 'clippers', 'become', 'top', 'five', 'favorites', 'to', 'reach', 'nba', 'finals', 'heres', 'why']
['congress', 'plays', 'safe', 'in', 'chhattisgarh', 'bhupesh', 'baghel', 'not', 'projected', 'as', 'cm', 'face']
['memorial', 'to', 'be', 'built', 'in', 'mulayam', 'singh', 'yadavs', 'honour', 'sp']
['warner', 'bros', 'discoverys', 'hr', 'chief', 'adria', 'alpert', 'romm', 'announces', 'retirement', 'successor', 'named', 'as', 'jennifer', 'remling', 'from', 'wpp']
['amazon', 'sale', '2023', 'up', 'to', '20', 'off', 'on', 'silver', 'coins', 'a', 'complete', 'gifting', 'pack']
['government', 'faces', 'accusations', 'of', 'state', 'sponsored', 'snooping', 'on', 'opposition', 'leaders', 'phones']
['india', 'has', 'potential', 'to', 'end', 'gaza', 'brutalities', 'iranian', 'envoy', 'iraj', 'elahi']
['hamas', 'says', 'it', 'will', 'free', 'foreign', 'hostages', 'in', 'the', 'next', 'few', 'days']
['myths', 'are', 'metaphors']
['the', 'librarians', 'the', 'next', 'chapter', 'this', 'is', 'what', 'we', 'know', 'about', 'release', 'date', 'storyline', 'where', 'to', 'watch', 'cast', 'filming', 'and', 'more']
['view', 'electoral', 'bonds', 'a', 'veil', 'over', 'a', 'veil']
['who', 'is', 'aaron', 'spears', 'drummer', 'for', 'musicians', 'like', 'usher', 'and', 'ariana', 'grande', 'dies', 'at', '47']
['in', 'setback', 'for', 'lenders', 'supreme', 'court', 'dismisses', 'pleas', 'over', 'govt', 'dues', 'under', 'ibc']
['overhearing', 'conversations']
['blue', 'jet', 'healthcare', 'ipo', 'share', 'allotment', 'finalised', 'heres', 'how', 'you', 'can', 'check', 'the', 'status']
['makemytrip', 'swings', 'to', 'profit', 'to', 'acquire', 'savaari', 'car', 'rentals']
['standard', 'chartered', 'bank', 'puts', 'realtor', 'radius', 'sumers', 'rs', '569', 'cr', 'of', 'debt', 'on', 'the', 'block']
['canadian', 'foreign', 'minister', 'melanie', 'joly', 'says', 'shes', 'in', 'touch', 'with', 'her', 'indian', 'counterpart']
['fm', 'sitharaman', 'to', 'embark', 'on', '3', 'day', 'visit', 'to', 'sri', 'lanka']
['virgil', 'thomson', 'awards', 'full', 'list', 'judges']
['health', 'of', 'rural', 'development', 'institutions', 'fragile', 'lack', 'financial', 'viability', 'n', 'k', 'singh']
['new', 'kids', 'on', 'the', 'block', 'announces', 'dates', 'for', 'magic', 'summer', '2024', 'tour', 'all', 'detail', 'here']
['muthoot', 'microfin', 'q2', 'results', 'net', 'profit', 'more', 'than', 'doubles', 'to', 'rs', '110', 'crore']
['samsung', 'galaxy', 'phones', 'just', 'got', 'new', 'auto', 'blocker', 'feature']
['export', 'importing', 'desi', 'pop', 'culture']
['e', 'reality', 'series', 'botched', 'all', 'you', 'may', 'want', 'to', 'know', 'about', 'where', 'to', 'stream', 'what', 'is', 'it', 'and', 'more']
['q2', 'results', 'tomorrow', 'what', 'to', 'expect', 'from', 'britannia', 'hero', 'motocorp', 'sun', 'pharma', 'tata', 'steel']
['josh', 'groban', 'and', 'annaleigh', 'ashford', 'to', 'be', 'replaced', 'by', 'aaron', 'tveit', 'and', 'sutton', 'foster', 'in', 'broadways', 'sweeney', 'todd', 'check', 'deets', 'inside']
['philadelphia', '76ers', 'bold', 'move', 'what', 'it', 'means', 'for', 'their', 'roster', 'and', 'future']
['from', '2024', '25', 'session', 'all', 'medical', 'colleges', 'to', 'be', 'rated', 'on', 'quality', 'of', 'medical', 'education']
['godzilla', 'minus', 'one', 'europe', 'release', 'date', 'star', 'cast', 'director', 'trailer']
['karnataka', 'industries', 'urge', 'govt', 'to', 'appeal', 'hc', 'order', 'on', 'minimum', 'wages']
['son', 'of', 'hamas', 'founder', 'urges', 'u', 's', 'diplomatic', 'pressure', 'on', 'egypt', 'to', 'open', 'borders', 'for', 'civilians']
['heejins', 'fashion', 'sense', 'how', 'to', 'dress', 'like', 'the', 'loona', 'star']
['controversy', 'of', 'the', 'scooped', 'bagel', 'a', 'viral', 'tiktok', 'video', 'sparks', 'debate']
['aitana', 'bonmat', 'early', 'life', 'career', 'stats', 'and', 'more', 'about', 'the', '2023', 'ballon', 'd', 'or', 'winner']
['lt', 'to', 'foray', 'into', 'fabless', 'semiconductor', 'chip', 'design', 'to', 'invest', '830', 'crore', 'to', 'set', 'up', 'unit']
['cliff', 'richard', 'remembers', 'first', 'encounter', 'with', 'elvis', 'presley', 'in', 'new', 'memoir', '5', 'unforgettable', 'songs', 'by', 'the', 'famed', 'british', 'musician']
['5306', 'votes', 'cast', 'through', 'home', 'voting', 'and', 'postal', 'ballots', 'in', 'mizoram', 'govt']
['isma', 'pegs', '9', 'pc', 'fall', 'in', 'gross', 'sugar', 'output', 'for', '2023', '24', 'says', 'sufficient', 'to', 'meet', 'local', 'demand']
['my', 'big', 'fat', 'greek', 'wedding', '3', 'check', 'out', 'release', 'date', 'storyline', 'streaming', 'platform', 'and', 'more']
['lt', 'ventures', 'into', 'fabless', 'semiconductor', 'chip', 'design', 'to', 'invest', 'rs', '830', 'crore']
['roposo', 'launches', 'in', 'indonesia', 'expects', 'to', 'expand', 'to', 'us', 'brazil', 'japan', 'in', 'coming', 'quarters']
['selena', 'gomezs', 'take', 'on', 'the', 'israel', 'palestine', 'conflict', 'sparks', 'a', 'storm', 'of', 'emotion', 'among', 'fans']
['mamaearth', 'ipo', 'snapdeal', 'sharks', 'hit', 'jackpot', 'turn', 'rs', '38', 'lakh', 'into', 'rs', '38', 'crore', 'in', '6', 'years']
