['changes', 'to', 'insolvency', 'law', 'approved', 'by', 'rajya', 'sabha']
['pnb', 'awaits', 'sat', 'order', 'on', 'carlyle', 'deal']
['adani', 'enterprises', 'q1', 'results', 'co', 'reports', 'net', 'profit', 'of', 'rs', '266', 'crore']
['india', 'believed', 'to', 'be', 'building', 'naval', 'facility', 'on', 'mauritian', 'island', 'of', 'agalega', 'report']
['slow', 'loan', 'growth', 'high', 'expenses', 'pull', 'boi', 'profit', 'down']
['for', 'swift', 'remedial', 'action', 'on', 'telecom']
['covid', 'protocols', 'vital', 'for', 'the', 'vaccinated']
['taking', 'self', 'so', 'seriously']
['snap', 'out', 'of', 'our', 'neanderthalism']
['india', 'initiates', 'anti', 'dumping', 'probe', 'against', 'chinese', 'pharma', 'chemical']
['bhubaneswar', 'claims', 'to', 'be', '100', 'per', 'cent', 'vaccinated']
['godrej', 'properties', 'q1', 'results', 'co', 'posts', 'net', 'profit', 'at', '17', 'cr', 'revenue', 'at', 'rs', '232', 'cr']
['traversing', 'silk', 'roads']
['view', 'antony', 'blinkens', 'message', 'from', 'new', 'delhi', 'to', 'the', 'taliban', 'was', 'strong', 'and', 'purposeful']
['kajaria', 'ceramics', 'q1', 'results', 'co', 'reports', 'net', 'profit', 'of', 'rs', '41', 'cr']
['over', '15', 'dead', 'in', 'bengal', 'floods', 'heavy', 'rains', 'lash', 'mps', 'gwalior', 'chambal', 'region', '200', 'villages', 'marooned']
['sunflag', 'iron', 'steel', 'emerges', 'as', 'highest', 'bidder', 'for', 'coal', 'block', 'in', 'maharashtra']
['probe', 'report', 'on', 'kozhikode', 'plane', 'crash', 'last', 'year', 'likely', 'to', 'be', 'made', 'public', 'in', 'august']
['procurement', 'process', 'hasnt', 'kept', 'pace', 'with', 'time', 'revolution', 'in', 'bureaucratic', 'affairs', 'needed', 'army', 'chief']
['lalu', 'prasad', 'meets', 'sharad', 'backs', 'chirag', 'paswan']
['engineering', 'firm', 'motwane', 'acquires', 'pune', 'based', 'telemetrics']
['sebi', 'allows', 'payments', 'banks', 'to', 'act', 'as', 'investment', 'bankers']
['taliban', 'want', 'lions', 'share', 'of', 'power', 'in', 'peace', 'deal', 'us', 'special', 'envoy']
['ahead', 'of', 'market', '12', 'things', 'that', 'will', 'decide', 'stock', 'action', 'on', 'wednesday']
['would', 'pm', 'be', 'happier', 'if', 'i', 'used', 'dhokla', 'instead', 'of', 'papri', 'chaat', 'says', 'tmcs', 'derek', 'o', 'brien']
['auto', 'component', 'makers', 'invite', 'tesla', 'to', 'make', 'parts', 'locally']
['auto', 'component', 'industry', 'lost', 'investment', 'of', 'around', '1', 'billion', 'due', 'to', 'economic', 'slowdown', 'pandemic']
['need', 'to', 'devise', 'a', 'better', 'formula', 'for', 'setting', 'states', 'borrowings', 'sbi', 'report']
['in', 'a', 'first', 'nyc', 'to', 'require', 'proof', 'of', 'covid', 'vaccine', 'for', 'indoor', 'dining', 'fitness', 'entertainment', 'facilities']
['focus', 'on', 'growth', 'building', 'long', 'term', 'business', 'zomatos', 'cofounder', 'deepinder', 'goyal']
['i', 't', 'dept', 'extends', 'deadline', 'for', 'various', 'tax', 'compliances']
['total', 'debt', 'expected', 'to', 'rise', 'to', '61', '7', 'of', 'gdp', 'in', 'fy22', 'minister']
['over', '16000', 'students', 'still', 'waiting', 'for', 'cbse', 'class', '10', 'results']
['lok', 'sabha', 'passes', '2', 'key', 'bills', 'witnesses', 'continuous', 'ruckus']
['investment', 'in', 'myanmar', 'port', 'not', 'in', 'violation', 'of', 'us', 'sanctions', 'adani', 'ports']
['trade', 'setup', 'nifty', 'creates', 'firm', 'support', 'above', '16k', 'avoid', 'shorts', 'for', 'now']
['over', '48', 'crore', 'covid', 'vaccine', 'doses', 'administered', 'in', 'india', 'so', 'far', 'govt']
['return', 'of', 'terror', 'camps', 'in', 'afghanistan', 'will', 'have', 'direct', 'impact', 'on', 'india', 'envoy', 'to', 'un']
['chhattisgarh', 'government', 'issues', 'fresh', 'guidelines', 'for', 'air', 'travellers', 'arriving', 'in', 'state']
['cbse', 'class', '10', 'no', 'of', 'students', 'placed', 'under', 'compartment', 'down', 'by', 'over', '88', 'since', 'last', 'year']
['iil', 'may', 'start', 'supplying', '20', 'lakh', 'doses', 'of', 'covaxin', 'by', 'september', 'govt']
['e', 'commerce', 'markets', 'revenue', 'stood', 'at', '56', '6', 'billion', 'in', 'fy21', 'says', 'choubey', 'citing', 'nasscom']
['should', 'you', 'invest', 'in', 'the', 'ipo', 'of', 'loss', 'making', 'devyani', 'international']
['amit', 'shah', 'promises', 'to', 'direct', 'banks', 'to', 'adopt', 'flexible', 'financing', 'policy', 'for', 'new', 'ethanol', 'projects']
['pm', 'switches', 'on', 'e', 'rupi', 'digital', 'payments', 'mode']
['renewable', 'energy', 'investment', 'rose', 'to', 'a', 'record', 'in', 'first', 'half']
['madras', 'hc', 'stays', 'ngts', 'order', 'centralising', 'powers']
['hippo', 'stores', 'leases', '165000', 'sq', 'ft', 'of', 'warehousing', 'and', 'store', 'space', 'in', 'ncr']
['ola', 'electric', 'scooter', 'coming', 'this', 'august', '15', 'heres', 'what', 'we', 'know', 'so', 'far']
