['hero', 'motocorp', 'reports', 'net', 'profit', 'of', 'rs', '365', 'crore', 'in', 'q1fy22']
['pursuing', 'fta', 'with', 'uk', 'and', 'european', 'union', 'very', 'seriously', 'jaishankar']
['dailyhunt', 'parent', 'gets', '450', 'million', 'in', 'new', 'funds', 'as', 'valuation', 'doubles']
['anu', 'malik', 'our', 'mulks', 'unoriginal', 'wonder']
['india', 'is', 'the', 'fourth', 'largest', 'market', 'for', '5g', 'phones', 'despite', 'a', 'lack', 'of', 'network', 'support']
['disruption', 'is', 'the', 'only', 'constant', 'for', 'indias', 'rs', '1', '38', 'lakh', 'crore', 'me', 'industry']
['the', 'dharm', 'that', 'protects']
['can', 'banking', 'be', 'as', 'easy', 'as', 'ordering', 'food', 'online', 'ai', 'and', 'blockchain', 'may', 'soon', 'make', 'it', 'a', 'reality']
['tata', 'steel', 'q1', 'net', 'profit', 'surges', 'to', 'rs', '9768', 'crore']
['nmdc', 'reports', 'an', 'all', 'time', 'high', 'pat', 'at', 'rs', '3193', 'cr', 'in', 'q1', 'fy22']
['taliban', 'takes', 'herat', 'afghanistans', 'third', 'largest', 'city', 'in', 'ongoing', 'onslaught']
['nep', '2020', 'lays', 'down', 'a', 'new', 'template', 'for', 'next', 'few', 'decades']
['for', 'a', 'more', 'level', 'insurance', 'market']
['airlines', 'can', 'operate', 'maximum', 'of', '72', '5', 'pre', 'covid', 'domestic', 'flights', 'govt']
['no', 'floor', 'price', 'in', 'telecom', 'please']
['suryoday', 'sfb', 'q1', 'results', 'co', 'posts', 'net', 'loss', 'of', 'rs', '48', 'crore']
['10', 'trillion', 'economy', 'by', '2030', 'a', 'daunting', 'task', 'but', 'not', 'an', 'impossible', 'one']
['india', 'at', '75', 'indian', 'roads', 'set', 'to', 'witness', 'an', 'electric', 'change']
['speaking', 'volumes', 'going', 'digital', 'shoppers', 'stop', 'at', 'ethical', 'options']
['india', 'at', '75', 'skilling', 'overdrive', 'needed', 'to', 'cash', 'in', 'on', 'demographic', 'dividend']
['indiastack', 'a', 'digital', 'infrastructure', 'like', 'no', 'other']
['justice', 'rf', 'nariman', 'retires', 'bats', 'for', 'merit', 'in', 'selection', 'of', 'judges']
['india', 'has', 'to', 'be', 'atmanirbhar', 'in', 'renewable', 'energy', 'start', 'chip', 'manufacturing', 'nirmala', 'sitharaman']
['tata', 'motors', 'to', 'present', 'altroz', 'car', 'to', 'indias', 'olympic', 'fourth', 'place', 'finishers']
['mp', 'police', 'launch', 'e', 'fir', 'registration', 'service', 'for', 'select', 'cases']
['royal', 'enfield', 'ceo', 'vinod', 'k', 'dasari', 'steps', 'down']
['quad', 'meet', 'explores', 'collaboration', 'in', 'supply', 'chains', 'critical', 'tech', 'counter', 'terror']
['us', 'based', 'auto', 'parts', 'maker', 'dana', 'eyes', 'big', 'opportunity', 'in', 'india', 'to', 'use', 'country', 'as', 'exports', 'base']
['gmm', 'pfaudler', 'q1', 'results', 'co', 'reports', 'consolidated', 'net', 'loss', 'of', 'rs', '18', 'crore']
['ns', 'india', 'signs', 'pact', 'with', 'nsdc', 'to', 'provide', 'digital', 'skill', 'training']
['ashok', 'leyland', 'q1', 'results', 'co', 'reports', 'net', 'loss', 'of', 'rs', '282', 'crore', 'as', 'second', 'covid', 'wave', 'impacts', 'sales']
['toy', 'train', 'to', 'be', 'built', 'in', 'tawang', 'arunachal', 'pradesh']
['ftas', 'will', 'be', 'finalised', 'after', 'discussions', 'with', 'industry', 'says', 'minister', 'piyush', 'goyal']
['ahead', 'of', 'market', '12', 'things', 'that', 'will', 'decide', 'stock', 'action', 'on', 'friday']
['enforcement', 'directorate', 'files', 'charge', 'sheet', 'against', 'ex', 'maharashtra', 'mla', 'in', 'coop', 'bank', 'fraud', 'case']
['banks', 'expect', 'biggest', 'pick', 'up', 'in', 'loan', 'demand', 'from', 'retail', 'sector', 'mfg', 'services', 'nomura']
['trade', 'setup', 'chase', 'market', 'momentum', 'cautiously', 'protect', 'profit', 'at', 'higher', 'level']
['aurobindo', 'pharma', 'to', 'buy', 'us', 'animal', 'health', 'firm', 'cronus', 'for', 'rs', '420', 'cr']
['soymeal', 'exports', 'decline', 'by', '73', 'in', 'july']
['petrol', 'filled', 'bottle', 'hurled', 'towards', 'runway', 'at', 'mumbai', 'airport']
['a', 'third', 'of', 'india', 'inc', 'sees', 'deterioration', 'in', 'financial', 'health', 'in', 'june', 'qtr', 'report']
['biggest', 'gainers', 'losers', 'of', 'the', 'day', 'vip', 'vakrangee', 'on', 'a', 'roll', 'lupin', 'declines']
['covid', 'jabs', 'may', 'not', 'provide', 'absolute', 'protection', 'but', 'reduces', 'risk', 'of', 'death', 'complications', 'soumya', 'swaminathan']
['adidas', 'to', 'sell', 'reebok', 'to', 'us', 'firm', 'authentic', 'brands', 'group']
['maharashtra', 'government', 'directs', 'schools', 'to', 'waive', 'off', 'fees', 'by', '15']
['new', 'rbi', 'paper', 'takes', 'forward', 'discussion', 'on', 'links', 'between', 'ndf', 'onshore', 'forex', 'market']
['govt', 'to', 'sell', 'up', 'to', '25', 'pc', 'stake', 'in', 'nsc', 'via', 'ipo', 'invites', 'bids', 'from', 'merchant', 'bankers', 'for', 'listing', 'process']
['for', 'quality', 'justice', 'from', 'final', 'court', 'merit', 'must', 'predominate', 'says', 'justice', 'nariman']
['eruditus', 'closes', '650', 'million', 'funding', 'led', 'by', 'accel', 'softbank', 'valuation', 'jumps', 'four', 'fold', 'to', '3', '2', 'billion']
['assam', 'government', 'to', 'set', 'up', 'a', 'sports', 'complex', 'in', 'lovlina', 'borgohains', 'native', 'place', 'sarupathar']
['ipo', 'grey', 'market', 'getting', 'its', 'mojo', 'back', 'after', 'bse', 'clarification']
['schools', 'for', 'classes', '9', '12', 'educational', 'institutes', 'to', 'reopen', 'in', 'rajasthan', 'from', 'september', '1']
['rbi', 'imposes', 'rs', '1', 'cr', 'penalty', 'on', 'cooperatieve', 'rabobank', 'u', 'a']
['india', 'recovery', 'not', 'yet', 'at', 'point', 'for', 'pulling', 'back', 'liquidity', 'nirmala', 'sitharaman']
['justice', 'nariman', 'bids', 'adieu', 'to', 'sc', 'bench', 'after', 'enriching', 'courts', 'docket', 'with', 'key', 'verdicts']
['icai', 'to', 'come', 'out', 'with', 'eight', 'new', 'forensic', 'accounting', 'investigation', 'standards']
['congress', 'says', 'partys', 'official', 'account', 'blocked', 'by', 'twitter']
['hacker', 'behind', '610', 'million', 'crypto', 'hack', 'conducts', 'ama', 'claims', 'returning', 'the', 'money', 'was', 'always', 'a', 'part', 'of', 'the', 'plan']
['indias', 'renewable', 'energy', 'generation', 'capacity', 'crosses', '100', 'gigawatts']
['mg', 'motor', 'drives', 'in', 'new', 'hector', 'trim', 'with', 'price', 'starting', 'at', 'rs', '14', '51', 'lakh']
['women', 'police', 'personnel', 'count', 'below', 'average', 'at', '10', '3', 'despite', 'governments', 'order', 'to', 'keep', 'it', 'at', '33']
['afghan', 'president', 'offers', 'taliban', 'power', 'sharing', 'deal', 'to', 'end', 'violence']
['market', 'movers', 'dip', 'buyers', 'line', 'up', 'for', 'broad', 'market', 'stocks', 'vip', 'soars']
['security', 'forces', 'recover', 'arms', 'ammunition', 'drugs', 'in', 'jammu', 'and', 'kashmirs', 'kupwara']
['indias', 'factory', 'output', 'for', 'the', 'month', 'of', 'june', 'grows', '13', '6', 'year', 'on', 'year']
['demand', 'for', 'lab', 'grown', 'diamonds', 'picks', 'up', 'in', 'india']
['gold', 'gains', 'by', 'rs', '422', 'silver', 'rises', 'to', 'rs', '61314']
['indias', 'retail', 'inflation', 'for', 'july', 'at', '5', '59', 'matches', 'rbis', 'revised', 'forecast']
['india', 'inc', 's', 'primary', 'healthcare', 'experience', 'is', 'broken', 'survey']
['rigorous', 'work', 'underway', 'to', 'achieve', 'privatisation', 'targets', 'fm', 'nirmala', 'sitharaman']
['debt', 'in', 'a', 'warm', 'climate', 'coronavirus', 'and', 'carbon', 'set', 'scene', 'for', 'default']
['flexible', 'workspace', 'operators', 'to', 'expand', 'portfolios', 'by', 'over', '30', 'in', 'next', '2', '3', 'years', 'survey']
['india', 'for', 'closer', 'cooperation', 'in', 'agri', 'sector', 'within', 'sco', 'amid', 'covid', '19', 'challenges']
['booster', 'shot', 'for', 'weakened', 'immune', 'systems', 'anthony', 'fauci']
['woodenstreet', 'looks', 'to', 'open', '20', 'stores', 'in', 'a', 'year', 'pan', 'india']
['manipur', 'sends', 'consignment', 'of', 'black', 'rice', 'to', 'europe']
['dangal', 'games', 'launches', 'unified', 'gaming', 'application']
['should', 'you', 'worry', 'about', 'the', 'covid', 'vaccine', 'if', 'youre', 'trying', 'to', 'get', 'pregnant']
['day', 'trading', 'guide', '2', 'stock', 'recommendations', 'for', 'friday']
['concerned', 'over', 'situation', 'in', 'afghanistan', 'india']
['jetsynthesys', 'acquires', 'skyesports', 'to', 'boost', 'presence', 'in', 'esports']
['messis', 'move', 'to', 'psg', 'includes', 'getting', 'partly', 'paid', 'in', 'the', 'clubs', 'fan', 'cryptocurrency']
['tiktok', 'to', 'have', 'stricter', 'privacy', 'controls', 'for', 'teenagers', 'after', 'facing', 'criticism']
['tata', 'power', 'solar', 'bags', 'rs', '386', 'crore', 'order', 'in', 'leh']
['hero', 'motocorp', 'q1', 'results', 'net', 'profit', 'rises', '498', 'yoy', 'misses', 'estimate', 'sales', 'rise', '85']
['young', 'people', 'more', 'likely', 'to', 'trust', 'ai', 'run', 'system', 'than', 'the', 'one', 'controlled', 'by', 'humans', 'says', 'new', 'report']
['eicher', 'motors', 'q1', 'results', 'co', 'reports', 'consolidated', 'pat', 'at', 'rs', '237', 'cr', 'meets', 'estimate']
['kangana', 'ranaut', 'wraps', 'shooting', 'of', 'spy', 'thriller', 'dhaakad']
['india', 'needs', 'new', 'vax', 'launches', 'to', 'meet', 'targets']
['ugro', 'capital', 'to', 'hire', '600', 'more', 'by', 'march', 'eyes', 'rs', '3500', 'crore', 'loan', 'book']
['business', 'risk', 'environment', 'worsened', 'in', 'q1', 'due', 'to', 'covid', 'second', 'wave', 'rubix']
['bank', 'credit', 'grows', '6', '11', 'in', 'fortnight', 'ended', 'july', '30', 'shows', 'rbi', 'data']
['vodafone', 'idea', 'to', 'sc', 'travesty', 'of', 'justice', 'if', 'correction', 'of', 'errors', 'in', 'agr', 'calculation', 'not', 'allowed']
['mandaviya', 'meets', 'who', 'chief', 'scientist', 'soumya', 'swaminathan', 'discusses', 'health', 'bodys', 'approval', 'for', 'covaxin']
['between', 'feast', 'and', 'famine', 'restaurants', 'changed', 'and', 'heres', 'why', 'theyll', 'never', 'be', 'the', 'same']
['taliban', 'take', 'ghazni', 'city', 'on', 'road', 'to', 'afghan', 'capital']
