['npp', 'mla', 'sg', 'esmatur', 'resigns', 'likely', 'to', 'join', 'tmc']
['separate', 'state', 'demand', 'enpo', 'to', 'meet', 'mha', 'team', 'in', 'guwahati', 'on', 'thursday']
['uk', 'pm', 'rishi', 'sunaks', 'five', 'point', 'plan', 'all', 'you', 'need', 'to', 'know']
['yogi', 'showcases', 'better', 'infra', 'law', 'order', 'to', 'attract', 'funds']
['we', 'cant', 'talk', 'green', 'walk', 'degradation']
['bjp', 'to', 'hold', 'national', 'executive', 'meeting', 'in', 'delhi', 'on', 'jan', '16', '17']
['nagaland', 'to', 'urge', 'enpo', 'to', 'reconsider', 'demand', 'for', 'a', 'separate', 'state']
['rbi', 'lifts', 'restrictions', 'imposed', 'on', 'mahindra', 'finance']
['labours', 'love', 'lost', 'growth', 'is', 'the', 'answer']
['outer', 'banks', 'season', '3', 'see', 'when', 'where', 'to', 'watch', 'series']
['four', 'bf', '7', 'cases', 'detected', 'in', 'bengal']
['best', 'talcum', 'powder', 'for', 'men', 'the', 'perfect', 'addition', 'to', 'a', 'mans', 'grooming', 'routine']
['turnaround', 'of', 'psbs', 'a', 'story', 'from', 'doom', 'to', 'bloom', 'journey', 'towards', 'rs', '1', 'lakh', 'cr', 'profit']
['ahead', 'of', 'market', '10', 'things', 'that', 'will', 'decide', 'd', 'st', 'action', 'on', 'thursday']
['snapdeal', 'losses', 'jump', '4x', 'to', 'rs', '510', 'cr', 'as', 'employee', 'benefit', 'advertising', 'expenses', 'rise']
['winter', 'love', 'island', 'contestants', 'told', 'to', 'turn', 'social', 'media', 'accounts', 'inactive', 'during', 'stay', 'in', 'villa', 'see', 'why']
['sexual', 'harassment', 'case', 'against', 'haryana', 'minister', 'probe', 'on', 'course', 'says', 'chandigarh', 'ssp']
['omicron', 'subvariants', 'ba', '5', '2', 'and', 'bf', '7', 'predominantly', 'behind', 'chinas', 'covid', 'outbreak', 'says', 'who']
['j', 'k', 'over', '2000', 'crpf', 'personnel', 'being', 'deployed', 'in', 'rajouri', 'poonch']
['1', '25', 'lakh', 'mseb', 'employees', 'withdraw', 'strike', 'after', 'maharashtra', 'government', 'intervenes']
['the', 'extraordinariness', 'of', 'normalcy', 'king', 'khan', 'reveals', 'he', 'draws', 'inspiration', 'from', 'regular', 'people', 'rather', 'than', 'achievers']
['rakul', 'preet', 'singhs', 'slice', 'of', 'life', 'drama', 'chhatriwali', 'eyes', 'jan', '20', 'release', 'on', 'zee5']
['orange', 'alert', 'issued', 'for', 'delhi', 'over', 'next', 'two', 'days', 'national', 'capital', 'logs', 'seasons', 'lowest', 'of', '4', '4c']
['deven', 'bharti', 'appointed', 'as', 'special', 'commissioner', 'of', 'mumbai', 'police']
['subway', 'providing', 'connectivity', 'to', 'dmrcs', 'magenta', 'line', 'opened', 'at', 'delhi', 'airport']
['microsoft', 'nielit', 'team', 'up', 'to', 'train', 'youth', 'in', 'cybersecurity', 'skills', 'for', 'jobs']
