['the', 'revolutionary', 'talented', 'mr', 'kumar']
['nitish', 'kumars', 'name', 'was', 'never', 'discussed', 'for', 'lead', 'position', 'in', 'india', 'bloc', 'sanjay', 'raut']
['rahul', 'gandhi', 'resumes', 'bharat', 'jodo', 'nyay', 'yatra', 'from', 'west', 'bengals', 'jalpaiguri']
['congress', 'dmk', 'hold', 'seat', 'sharing', 'talks', 'refuse', 'to', 'divulge', 'details']
['kate', 'hudson', 'to', 'star', 'in', 'mindy', 'kalings', 'new', 'netflix', 'series', 'heres', 'what', 'you', 'need', 'to', 'know']
['her', 'body', 'politic', 'is', 'totally', 'her', 'choice']
['joined', 'hands', 'with', 'jdu', 'to', 'save', 'bihar', 'from', 'rjds', 'misrule', 'vinod', 'tawde']
['view', 'this', 'budget', 'keep', 'india', 'fiscally', 'fit']
['aap', 'begins', 'lok', 'sabha', 'campaign', 'from', 'jind', 'in', 'haryana']
['expand', 'sdgital', 'solutions', 'leveraging', 'dpi', 'for', 'global', 'problem', 'solving']
['rift', 'torn', 'india', 'bloc', 'jolted', 'bihar', 'grand', 'alliance', 'loses', 'edge']
['our', 'government', 'committed', 'to', 'ease', 'of', 'justice', 'pm', 'narendra', 'modi']
['draft', 'ugc', 'guidelines', 'over', 'de', 'reservation', 'spark', 'controversy']
['punjab', 'and', 'sind', 'bank', 'to', 'sell', 'ksk', 'mahanadi', 'loans', 'to', 'arcs']
['speaking', 'tree', 'using', 'silence', 'to', 'converse']
['transparency', 'clearly', 'good', 'for', 'capital', 'markets']
['legislatures', 'becoming', 'irrelevant', 'need', 'to', 'enforce', 'discipline', 'vice', 'president', 'jagdeep', 'dhankhar']
['wolf', 'like', 'me', 'season', '2', 'finale', 'ends', 'on', 'a', 'cliffhanger', 'will', 'there', 'be', 'a', 'season', '3']
['cbi', 'refuses', 'to', 'let', 'five', 'idbi', 'ex', 'officials', 'off', 'the', 'hook', 'says', 'vijay', 'mallyas', 'extradition', 'awaited']
['rule', 'of', 'paltu', 'rams', 'not', 'ram', 'rajya', 'shiv', 'sena', 'ubt', 'targets', 'bjp', 'over', 'nitishs', 'volte', 'face']
['wont', 'contest', 'upcoming', 'lok', 'sabha', 'elections', 'digvijaya', 'singh']
['maharashtra', 'speaker', 'narwekar', 'to', 'chair', 'panel', 'to', 'review', 'anti', 'defection', 'law', 'om', 'birla']
['xi', 'says', 'ready', 'to', 'break', 'new', 'ground', 'to', 'solidify', 'china', 'france', 'ties', 'after', 'macron', 'inks', 'big', 'defence', 'deals', 'with', 'india']
['agitation', 'will', 'continue', 'till', 'maratha', 'members', 'receive', 'benefits', 'under', 'new', 'notification', 'manoj', 'jarange']
['abigail', 'unveiled', 'release', 'date', 'cast', 'and', 'the', 'secrets', 'behind', 'radio', 'silences', 'universal', 'monster', 'movie']
['nepal', 'china', 'to', 'sign', 'implementation', 'plan', 'of', 'beijing', 'backed', 'bri', 'projects', 'nepals', 'deputy', 'pm']
['with', 'four', 'days', 'left', 'for', '2nd', 'test', 'ravindra', 'jadeja', 'could', 'be', 'doubtful', 'starter', 'with', 'hamstring', 'niggle']
