['tesla', 'drivers', 'can', 'now', 'play', 'video', 'games', 'even', 'with', 'car', 'moving']
['rajya', 'sabha', 'functioning', 'disrupted', 'opposition', 'unites', 'over', 'suspension', 'of', '12', 'mps', 'to', 'intensify', 'protest']
['lal', 'topi', 'stays', 'rusi', 'for', 'worlds', 'sake']
['with', 'the', 'launch', 'of', 'new', 'suvs', 'volkswagen', 'looks', 'to', 'post', '58', 'in', '2021']
['before', 'joe', 'bidens', 'democracy', 'summit', 'china', 'says', 'were', 'also', 'a', 'democracy']
['plastic', 'industry', 'must', 'aim', 'for', 'rs', '10', 'lakh', 'crore', 'turnover', 'in', 'five', 'years', 'says', 'piyush', 'goyal']
['three', 'people', 'including', 'a', 'cadre', 'of', 'dimasa', 'national', 'liberation', 'army', 'killed', 'in', 'assam']
['food', 'exporters', 'fret', 'over', 'registration', 'in', 'china']
['strategic', 'thinking']
['nagaland', 'cabinet', 'to', 'tell', 'centre', 'to', 'repeal', 'afspa']
['niti', 'aayog', 'launches', 'e', 'sawari', 'india', 'e', 'bus', 'coalition', 'in', 'tie', 'up', 'with', 'cesl']
['dfc', 'approves', 'up', 'to', '500', 'mln', 'debt', 'financing', 'for', 'first', 'solars', 'manufacturing', 'facility', 'in', 'tamil', 'nadu']
['sikkim', 'government', 'proposes', 'to', 'create', 'two', 'more', 'districts']
['enough', 'of', 'tweaking', 'review', 'afspa']
['opposition', 'blames', 'govt', 'for', 'rajya', 'sabha', 'deadlock', 'continues', 'protest', 'over', 'suspension', 'of', '12', 'mps']
['oh', 'the', 'olympics', 'gets', 'cold', 'war', 'sy', 'again']
['number', 'of', 'covid', '19', 'positive', 'travellers', 'from', 'at', 'risk', 'countries', 'rises', 'to', '17', 'in', 'mumbai']
['joe', 'biden', 'vladimir', 'putin', 'begin', 'talks', 'over', 'ukraine', 'amid', 'war', 'fears', 'russian', 'state', 'tv']
['view', 'protests', 'against', 'covid', 'vaccines', 'and', 'restrictions', 'are', 'signs', 'of', 'democratic', 'failure']
['hindustan', 'zinc', 'board', 'approves', 'interim', 'dividend', 'of', 'rs', '18', 'per', 'share', 'for', '2021', '22']
['the', 'tale', 'of', 'bon', 'bibi']
['no', 'opposition', 'front', 'possible', 'without', 'congress', 'sanjay', 'raut', 'after', 'meeting', 'rahul', 'gandhi']
['psbs', 'recovered', 'over', 'rs', '4', '18', 'lakh', 'cr', 'related', 'to', 'frauds', 'defaults', 'in', 'last', '3', 'fiscals', 'minister']
['ahead', 'of', 'market', '12', 'things', 'that', 'will', 'decide', 'stock', 'action', 'on', 'wednesday']
['sii', 'may', 'cut', 'covishields', 'monthly', 'production', 'by', 'half', 'amid', 'demand', 'slump']
['omicron', 'variant', 'almost', 'certainly', 'not', 'more', 'severe', 'than', 'delta', 'anthony', 'fauci']
['france', 'arrests', 'suspected', 'member', 'of', 'khashoggi', 'murder', 'squad']
['over', '90', 'pc', 'renewable', 'energy', 'projects', 'received', 'investment', 'grade', 'ratings', 'in', '2020']
['dollar', 'industries', 'finds', 'new', 'jv', 'partner', 'to', 'focus', 'on', 'premium', 'knitwear', 'segment']
['florintree', 'advisors', 'promoters', 'to', 'infuse', 'rs', '225', 'crore', 'in', 'satin', 'creditcare', 'network']
['new', 'data', 'shows', 'gsk', 'vir', 'drug', 'works', 'against', 'all', 'omicron', 'mutations']
['delhi', 'pollution', 'air', 'quality', 'improves', 'considerably', 'with', 'increased', 'wind', 'speed']
['delhi', 'reports', '51', 'covid', '19', 'cases', 'zero', 'deaths', 'on', 'tuesday', 'positivity', 'rate', '0', '1']
['amarinder', 'singh', 'sad', 'question', 'ajay', 'makens', 'appointment', 'to', 'key', 'poll', 'panel', 'of', 'congress']
['delhi', 'ban', 'on', 'truck', 'entry', 'to', 'continue', 'till', 'further', 'orders', 'say', 'officials']
['trade', 'setup', 'sustaining', 'above', '100', 'dma', 'key', 'for', 'further', 'short', 'covering', 'rally', 'in', 'nifty50']
['nagaland', 'govt', 'calls', 'for', 'peace', 'himanta', 'biswa', 'sarma', 'to', 'visit', 'kohima', 'on', 'december', '9']
['plastic', 'manufacturing', 'industry', 'can', 'up', 'turnover', 'to', 'rs', '10', 'trillion', 'in', '5', 'yrs', 'reduce', 'import', 'dependence', 'piyush', 'goyal']
['lynkey', 'announces', 'tokenization', 'and', 'nfts', 'for', 'properties', 'worth', '8', 'bn']
['trai', 'directs', 'telcos', 'to', 'allow', 'smses', 'for', 'porting', 'under', 'any', 'plan']
['contract', 'staffing', 'attrition', 'to', 'reach', '49', 'by', 'fy22', 'end', 'report']
['pm', 'modi', 'attacks', 'samajwadi', 'party', 'says', 'those', 'wearing', 'red', 'caps', 'are', 'red', 'alert', 'for', 'up']
['hyundai', 'motor', 'distributes', 'relief', 'materials', 'to', 'people', 'affected', 'in', 'recent', 'floods']
['spice', 'money', 'further', 'bolsters', 'leadership', 'team', 'to', 'fast', 'track', 'growth']
['over', '129', 'crore', 'covid', 'vaccine', 'doses', 'administered', 'in', 'india', 'so', 'far', 'says', 'government']
['us', 'considering', 'options', 'for', 'evacuating', 'americans', 'from', 'ukraine', 'if', 'russia', 'invades']
['ebikego', 'acquires', 'manufacturing', 'marketing', 'rights', 'for', 'european', 'e', 'scooter', 'muvi', 'from', 'torrot']
['explosion', 'in', 'afghanistans', 'capital', 'kabul']
['congress', 'mp', 'from', 'punjab', 'alleges', 'centre', 'wants', 'to', 'control', 'state', 'through', 'bsf']
['us', 'trade', 'deficit', 'narrows', 'in', 'october', 'as', 'exports', 'rebound']
['cii', 'makes', 'case', 'for', 'replacing', 'bank', 'guarantees', 'with', 'surety', 'bonds', 'in', 'infra', 'sector']
['kmc', 'polls', 'bjp', 'vows', 'to', 'set', 'up', 'innovative', 'schemes', 'if', 'voted', 'to', 'power']
['mamata', 'banerjee', 'expresses', 'concern', 'about', 'bsf', 'activities', 'in', 'west', 'bengal']
['rohingya', 'refugees', 'sue', 'facebook', 'for', '150', 'billion', 'over', 'myanmar', 'violence']
['pli', 'scheme', 'in', 'food', 'processing', 'to', 'go', 'a', 'long', 'way', 'in', 'creating', 'large', 'scale', 'capacity', 'fmcg', 'cos']
['ox', 'and', 'buffalo', 'cannot', 'be', 'yoked', 'together', 'says', 'up', 'animal', 'husbandry', 'minister', 'on', 'sp', 'rld', 'alliance']
['indian', 'origin', 'usaf', 'doctor', 'anil', 'menon', 'among', '10', 'chosen', 'by', 'nasa', 'for', 'as', 'astronauts', 'future', 'missions']
['govt', 'extends', 'time', 'limit', 'up', 'to', 'december', '31', 'for', 'submission', 'of', 'life', 'certificate', 'by', 'pensioners']
['air', 'quality', 'panel', 'orders', 'immediate', 'closure', 'of', 'ncr', 'industries', 'not', 'using', 'cleaner', 'fuels']
['states', 'borrowing', 'cost', 'again', 'on', 'a', 'song', 'hits', '1', 'month', 'high', 'at', '6', '80']
['india', 'russia', 'maiden', '2', '2', 'explore', 'coop', 'in', 'afghanistan', 'c', 'asia', 'west', 'asia', 'asean']
['indian', 'vc', 'firms', 'betting', 'big', 'on', 'web', '3', '0', 'startups']
['no', 'interim', 'relief', 'be', 'granted', 'to', 'ed', 'officials', 'in', 'local', 'fir', 'west', 'bengal', 'government', 'tells', 'delhi', 'high', 'court']
['india', 'seeks', 'russia', 'as', 'responsive', 'partner', 'extends', 'defence', 'pact']
['modi', 'putin', 'meet', 'india', 'russia', 'sign', 'record', '28', 'mous', 'programme', 'of', 'cooperation', 'in', 'defence', 'for', '10', 'years']
['iran', 'nuclear', 'talks', 'with', 'world', 'powers', 'to', 'resume', 'on', 'thursday']
['domestic', 'air', 'passenger', 'traffic', 'crosses', '10', 'mn', 'mark', 'in', 'november', 'omicron', 'has', 'potential', 'to', 'derail', 'recovery', 'icra']
['services', 'at', 'govt', 'run', 'hospitals', 'in', 'country', 'hit', 'as', 'resident', 'doctors', 'strike', 'enters', 'second', 'day']
['s', '400', 'delivery', 'to', 'india', 'on', 'track', 'despite', 'us', 'pressure', 'says', 'russian', 'foreign', 'minister', 'lavrov']
['delhi', 'bjp', 'mp', 'shows', 'up', 'in', 'parliament', 'with', 'liquor', 'says', 'kejriwal', 'govt', 'encouraging', 'consumption']
['india', 'successfully', 'flight', 'tests', 'vlsrsta', 'missile']
['tata', 'lockheed', 'martin', 'aerostructures', 'to', 'produce', 'fighter', 'wings', 'at', 'hyderabad', 'facility']
['africa', 'needs', 'to', 'make', 'own', 'vaccines', 'but', 'hurdles', 'are', 'high', 'experts', 'say']
['kolkata', 'municipal', 'polls', 'opposition', 'bjp', 'sec', 'at', 'loggerheads', 'again']
