['karnataka', 'notifies', 'law', 'banning', 'online', 'betting', 'games']
['why', 'god', 'eludes', 'us']
['supreme', 'court', 'extends', 'stay', 'on', 'criminal', 'proceedings', 'against', 'azim', 'premji', 'others']
['delhi', 'court', 'sends', 'unitech', 'promoter', 'sanjay', 'chandras', 'wife', 'father', 'to', 'ed', 'custody']
['bitter', 'but', 'essential', 'medicine', 'for', 'srei']
['nse', 'bse', 'bulk', 'deals', 'acacia', 'partners', 'sells', 'stake', 'in', 'consolidated', 'finvest']
['tvs', 'motor', 'company', 'signs', 'mou', 'with', 'tata', 'power', 'to', 'collaborate', 'on', 'electric', 'two', 'wheeler', 'charging', 'eco', 'system', 'in', 'india']
['place', 'bulk', 'orders', 'for', 'mercks', 'covid', 'pill']
['sebi', 'tweaks', 'norms', 'for', 'reits', 'invits', 'on', 'exit', 'option', 'for', 'dissenting', 'unit', 'holders']
['view', 'why', 'india', 'doesnt', 'produce', 'great', 'contemporary', 'crime', 'fiction']
['sebi', 'revises', 'financial', 'info', 'filing', 'formats', 'for', 'entities', 'having', 'listed', 'non', 'convertible', 'securities']
['hinduja', 'global', 'solutions', 'promoter', 'aasia', 'exports', 'sell', 'shares', 'of', 'the', 'firm', 'worth', 'over', 'rs', '102', 'cr']
['global', 'crude', 'oil', 'sends', 'local', 'yields', 'higher']
['tripura', 'bjp', 'mla', 'ashis', 'das', 'may', 'join', 'trinamool', 'congress']
['nmdc', 'cuts', 'iron', 'ore', 'prices', 'coking', 'coal', 'prices', 'remain', 'elevated']
['cost', 'of', 'state', 'debt', 'jumps', 'to', '2', 'month', 'high', 'of', '6', '91', 'pc']
['trade', 'setup', 'expect', 'action', 'in', 'broader', 'market', 'select', 'stocks', 'may', 'outperform']
['coal', 'dispatches', 'to', 'power', 'plants', 'increasing', 'power', 'minister', 'r', 'k', 'singh']
['dhoni', 'set', 'to', 'play', 'ipl', '2022', 'will', 'play', 'his', 'farewell', 'game', 'in', 'chennai']
['congress', 'says', 'rahul', 'gandhi', 'to', 'lead', 'party', 'delegation', 'to', 'lakhimpur', 'on', 'tomorrow', 'seeks', 'up', 'govt', 'approval']
['in', 'big', 'shakeup', '15', 'judges', 'of', 'high', 'courts', 'transferred']
['pm', 'modi', 'meets', 'billionaire', 'investor', 'rakesh', 'jhunjhunwala', 'calls', 'him', 'lively']
['banks', 'nbfcs', 'report', 'jump', 'in', 'advances', 'in', 'september', 'quarter']
['multi', 'modal', 'logistic', 'park', 'mmlp', 'at', 'jogighopa', 'to', 'materialize', 'soon', 'himanta', 'biswa', 'sarma']
['favourable', 'conditions', 'for', 'start', 'of', 'monsoon', 'withdrawal', 'from', 'northwest', 'india', 'on', 'wed', 'imd']
['srbc', 'resigns', 'as', 'auditor', 'of', 'ilfs', 'transportation', 'networks', 'citing', 'nfra', 'report']
['supreme', 'court', 'grants', 'time', 'to', 'centre', 'to', 'reconsider', 'decision', 'to', 'pursue', 'rs', '40000', 'crore', 'spectrum', 'usage', 'charge']
