['sc', 'asks', 'ex', 'punjab', 'haryana', 'hc', 'judge', 'to', 'monitor', 'lakhimpur', 'probe']
['pak', 'cricket', 'team', 'decision', 'to', 'hoist', 'flag', 'at', 'practice', 'session', 'in', 'bangladesh', 'sparks', 'major', 'controversy']
['jpmorgan', 'sues', 'tesla', 'for', '162', 'million', 'after', 'musk', 'tweets', 'soured', 'warrant', 'deal']
['view', 'cryptocurrencies', 'are', 'almost', 'impossible', 'to', 'regulate']
['winter', 'session', 'of', 'parliament', 'to', 'begin', 'on', 'november', '29']
['bdl', 'inks', 'export', 'contract', 'worth', 'usd', '21', 'million', 'with', 'airbus', 'defense', 'space', 'for', 'cmds']
['democracy', 'is', 'under', 'deletion', 'investigate']
['vedanta', 'mulls', 'demerger', 'of', 'some', 'businesses', 'with', 'separate', 'listing', 'leadership']
['nawab', 'malik', 'gives', 'hc', 'ncb', 'zonal', 'director', 'sameer', 'wankhedes', 'school', 'certificate']
['why', 'you', 'shouldnt', 'brush', 'aside', 'shaktikanta', 'das', 'concerns', 'over', 'cryptocurrencies']
['centre', 'extends', 'ed', 'directors', 'tenure', 'after', 'ordinances']
['what', 'uttar', 'will', 'up', 'voters', 'give']
['nse', 'bse', 'bulk', 'deal', 'bharat', 'singhania', 'sells', 'stake', 'in', 'abc', 'india']
['why', 'do', 'anything', 'for', 'government', 'which', 'does', 'nothing', 'for', 'us', 'priyanka', 'gandhi', 'asks', 'women']
['centre', 'corrects', 'order', 'includes', 'foreign', 'secretary', 'in', 'lists', 'of', 'officers', 'eligible', 'for', 'extended', 'tenure']
['gofers', 'plans', 'to', 'open', '150', 'more', 'dark', 'stores', 'by', 'december', 'for', 'quick', 'commerce']
['vaibhav', 'domkundwars', 'better', 'capital', 'raises', '15', '28', 'million', 'maiden', 'fund']
['australia', 'opens', 'centre', 'of', 'excellence', 'for', 'critical', 'technology', 'in', 'india']
['vaccine', 'hesitancy', 'greatest', 'threat', 'in', 'overcoming', 'covid', 'adar', 'poonawalla']
['bank', 'lending', 'as', 'well', 'as', 'deposits', 'pick', 'up', 'by', 'over', 'rs', 'lakh', 'crore', 'during', 'diwali', 'fortnight']
['smartworld', 'to', 'invest', 'rs', '1200', 'crore', 'in', 'two', 'gurgaon', 'projects']
['law', 'soon', 'for', 'reservation', 'in', 'govt', 'jobs', 'for', 'punjab', 'youth', 'punjab', 'cm', 'charanjit', 'singh', 'channi']
['gen', 'naravane', 'visits', 'idf', 'headquarters', 'briefed', 'on', 'multi', 'domain', 'concept', 'and', 'force', 'build', 'up']
['kolkata', 'port', 'to', 'conduct', 'pre', 'feasibility', 'studies', 'for', 'seaplane', 'operations', 'in', 'bengal']
['apple', 'to', 'sell', 'spare', 'parts', 'to', 'consumers', 'to', 'repair', 'iphones', 'macs']
