['seeing', 'a', 'city', 'from', 'the', 'sky']
['good', 'job', 'keeping', 'a', 'lid', 'on', 'crude', 'prices']
['k', 'shaped', 'kabhi', 'nahin']
['are', 'you', 'sulking']
['alaska', 'airlines', 'mid', 'air', 'blowout', 'plane', 'had', 'warnings', 'days', 'before', 'the', 'incident']
['lord', 'of', 'the', 'rings', 'is', 'it', 'making', 'a', 'return', 'in', '2024']
['golf', 'legend', 'tiger', 'woods', 'says', 'nike', 'partnership', 'ending']
['fhrai', 'commends', 'pm', 'narendra', 'modi', 'for', 'promoting', 'lakshadweep', 'tourism']
['balasaheb', 'would', 'have', 'patted', 'pms', 'back', 'for', 'ram', 'temple', 'article', '370', 'abrogation', 'cm', 'eknath', 'shinde']
['pm', 'modi', 'hails', 'commencement', 'of', 'oil', 'production', 'from', 'ongc', 'project', 'in', 'krishna', 'godavari', 'basin']
['two', 'areas', 'thatll', 'soon', 'be', 'central', 'to', 'manufacturing', 'and', 'what', 'india', 'needs', 'to', 'do', 'on', 'that', 'front']
['the', 'male', 'gaze', 'care', 'for', 'a', 'quick', 'maldive']
['nclt', 'approves', 'amalgamation', 'arrangement', 'between', 'jp', 'infra', 'mumbai', 'entities']
['best', 'refrigerator', 'below', '300', 'liters', 'in', 'india']
['2g', 'spectrum', 'scandal', 'delhi', 'court', 'to', 'soon', 'conclude', 'hearing', 'against', 'a', 'raja', 'others']
['adanis', '4100', 'crore', 'offer', 'for', 'lanco', 'unit', 'to', 'be', 'the', 'anchor', 'bid']
['india', 'raises', 'concern', 'with', 'maldives', 'envoy', 'over', 'remarks', 'against', 'pm', 'modi']
['like', 'a', 'dragon', 'infinite', 'wealth', 'check', 'out', 'all', 'editions', 'and', 'pre', 'order', 'bonuses']
['ranveer', 'singh', 'shares', 'maldives', 'photo', 'by', 'mistake', 'in', 'a', 'bid', 'to', 'promote', 'lakshadweep', 'ashneer', 'grover', 'takes', 'a', 'veiled', 'potshot']
['ongc', 'cuts', 'peak', 'kg', 'basin', 'crude', 'estimate', 'by', '40']
['when', 'lame', 'dhaka', 'democracy', 'wins']
['manchester', 'united', 'vs', 'wigan', 'athletic', 'fa', 'cup', 'live', 'streaming', 'prediction', 'kick', 'off', 'time', 'where', 'to', 'watch']
['prime', 'video', 'to', 'premiere', 'role', 'play', 'ahead', 'of', 'schedule', 'a', 'thrilling', 'early', 'release']
['golden', 'globes', 'awards', 'vs', 'oscars', 'list', 'of', 'differences']
['two', 'persons', 'from', 'punjab', 'detained', 'for', 'trying', 'to', 'enter', 'salman', 'khans', 'farmhouse', 'case', 'registered']
['mobile', 'legends', 'bang', 'bang', 'codes', 'for', 'january', '2024', 'all', 'you', 'may', 'want', 'to', 'know']
['commerce', 'minister', 'piyush', 'goyal', 'inaugurates', 'mega', 'food', 'show']
['new', 'delhi', 'declined', 'chinas', 'offer', 'to', 'send', 'deputy', 'minister', 'to', 'india', 'pak', 'after', '2019', 'balakot', 'strikes']
['franz', 'beckenbauer', 'the', 'stylish', 'kaiser', 'who', 'ruled', 'german', 'football']
['ranbir', 'kapoors', 'animal', 'to', 'make', 'ott', 'debut', 'this', 'month', 'netflix', 'version', 'reported', 'to', 'be', 'longer', 'than', '3', 'hrs', '21', 'minutes']
['assam', 'police', 'will', 'register', 'a', 'criminal', 'case', 'and', 'start', 'investigation', 'into', 'the', 'fake', 'video', 'case']
['has', 'ecuadors', 'most', 'infamous', 'drug', 'lord', 'fito', 'escaped', 'from', 'jail']
['wolf', 'man', 'check', 'out', 'the', 'release', 'date', 'cast', 'and', 'more', 'details']
['indigo', 'to', 'charge', 'up', 'to', 'rs', '2000', 'for', 'front', 'row', 'seats']
['peaky', 'blinders', '2', 'new', 'spinoffs', 'a', 'more', 'exciting', 'chapter', 'after', 'season', '6s', 'ending', 'all', 'about', 'it']
['ai', 'will', 'become', 'companion', 'to', 'creative', 'process', 'not', 'its', 'master', 'anand', 'mahindra']
['worlds', 'fastest', 'train', 'will', 'be', 'faster', 'than', 'jet', 'fluxjet', 'set', 'to', 'run', 'at', '621mph']
['franz', 'beckenbauer', 'regarded', 'as', 'one', 'of', 'the', 'finest', 'footballers', 'dies', 'aged', '78']
['jyoti', 'cnc', 'automation', 'raises', 'rs', '448', 'crore', 'from', 'anchor', 'investors', 'ahead', 'of', 'ipo']
['shuddh', 'desi', 'single', 'malt', 'how', 'indias', 'gianchands', 'outwitted', 'glenlivets']
['india', 'maldives', 'row', 'easemytrip', 'suspends', 'flight', 'bookings', 'indians', 'cancel', 'planned', 'trips']
['welspun', 'one', 'inks', 'rs', '2000', 'cr', 'investment', 'pact', 'with', 'tamil', 'nadu', 'government']
['golden', 'globes', '2024', 'how', 'oppenheimer', 'and', 'succession', 'stole', 'the', 'show']
['brigade', 'group', 'signs', 'over', 'rs', '3400', 'cr', 'worth', 'mous', 'at', 'the', 'tamil', 'nadu', 'global', 'investors', 'meet', '2024']
['netflixs', 'dumb', 'money', 'to', 'release', 'in', 'the', 'us', 'in', 'january', '2024', 'know', 'more']
['apple', 'google', 'play', 'store', 'block', 'two', 'e', 'sim', 'apps', 'in', 'india', 'it', 'firms', 'stare', 'at', 'soft', 'q3']
['golden', 'globes', '2024', 'jo', 'koy', 'jokes', 'about', 'robert', 'de', 'niros', 'growing', 'family', 'at', 'age', 'of', '80']
['five', 'facts', 'you', 'need', 'to', 'know', 'about', 'jo', 'koy', 'the', 'golden', 'globes', '2024', 'host']
['golden', 'globe', 'awards', 'oppenheimer', 'dominates', '2024', 'awards', 'ceremony', 'succession', 'leads', 'tv', 'categories', 'heres', 'the', 'full', 'winners', 'list']
['for', 'second', 'day', 'heavy', 'gunfights', 'continue', 'in', 'border', 'town', 'moreh', 'in', 'manipur', 'between', 'suspected', 'militants', 'and', 'state', 'forces']
['mamata', 'banerjee', 'to', 'inaugurate', '47th', 'international', 'kolkata', 'book', 'fair', 'with', 'dignitaries', 'on', 'january', '18']
['china', 'a', 'valued', 'ally', 'and', 'integral', 'collaborator', 'says', 'maldives', 'president', 'mohamed', 'muizzu']
['ahead', 'of', 'market', '10', 'things', 'that', 'will', 'decide', 'd', 'street', 'action', 'on', 'tuesday']
['st', 'students', 'in', 'west', 'bengal', 'unveils', 'anti', 'ragging', 'helpline']
['govt', 'wants', 'present', 'future', 'generations', 'should', 'not', 'face', 'problems', 'that', 'earlier', 'generations', 'did', 'narendra', 'modi']
['jyoti', 'cnc', 'automation', 'ipo', 'opens', 'tomorrow', 'what', 'gmp', 'signals', 'ahead', 'of', 'subscription']
['one', 'piece', 'anime', 'how', 'many', 'seasons', 'are', 'there', 'on', 'netflix']
['jammu', 'kashmir', 'administration', 'directs', 'police', 'to', 'conduct', 'verification', 'of', 'outsiders', 'residing', 'in', 'samba']
['stranger', 'things', 'season', '5', 'facing', 'boycott', 'call', 'heres', 'why']
['up', 'will', 'achieve', 'usd', '1', 'trillion', 'target', 'with', 'right', 'policy', 'and', 'precise', 'implementation', 'cm', 'yogi', 'adityanath']
['us', 'designates', 'china', 'pakistan', 'as', 'countries', 'of', 'particular', 'concern', 'for', 'severe', 'violations', 'of', 'religious', 'freedom']
['huge', 'car', 'rally', 'planned', 'in', 'california', 'to', 'celebrate', 'ram', 'mandir', 'consecration', 'in', 'ayodhya']
['blackrock', 'ark', 'file', 'amended', 'forms', 'in', 'final', 'push', 'for', 'bitcoin', 'etfs']
['india', 'embarks', 'on', 'rs', '45000', 'crore', 'inland', 'waterway', 'development', 'plan']
['agra', 'summit', 'collapsed', 'due', 'to', 'pervez', 'musharrafs', 'kashmir', 'overreach', 'lack', 'of', 'intent', 'to', 'combat', 'terror', 'not', 'because', 'of', 'advani', 'book']
['global', 'cooperation', 'declining', 'after', 'resilience', 'through', '2012', '2020', 'wef', 'study']
['more', 'made', 'in', 'india', 'cars', 'hit', 'the', 'roads', 'abroad', 'in', '2023']
['sunsure', 'energy', 'commits', 'rs', '3150', 'crore', 'investment', 'in', 'tamil', 'nadu', 'over', '3', 'years']
['the', 'federation', 'of', 'industry', 'commerce', 'of', 'northeastern', 'region', 'will', 'hold', 'northeast', 'renewable', 'energy', 'electric', 'vehicle', 'expo', '2024']
['multiverse', 'of', 'food', 'fluencers', 'too', 'many', 'influencers', 'means', 'the', 'money', 'pot', 'is', 'stirring', 'only', 'for', 'some']
['oppenheimer', 'oscars', '2024', 'prediction', 'golden', 'globe', 'awards', 'winner', 'is', 'frontrunner', 'but', 'theres', 'a', 'catch']
['winzo', 'develops', 'model', 'to', 'differentiate', 'games', 'of', 'skill', 'and', 'chances', 'with', 'iits']
['4', 'more', 'ncc', 'units', 'to', 'be', 'raised', 'in', 'jk', 'ladakh', 'raksha', 'mantri', 'approves', 'proposal']
['zerodhas', 'rainmatter', 'pumps', 'in', '3', '5', 'million', 'in', 'fitness', 'startup', 'fittr']
['bloomberg', 'proposes', 'india', 'gilts', 'inclusion', 'in', 'em', 'local', 'currency', 'index', 'seeks', 'feedback']
['bid', 'gut', 'problems', 'goodbye', 'the', 'delicious', 'way', '5', 'indian', 'probiotic', 'food', 'items', 'that', 'are', 'yummy', 'great', 'for', 'your', 'digestion']
['oppn', 'alliance', 'members', 'cant', 'add', 'to', 'single', 'vote', 'outside', 'their', 'state', 'says', 'piyush', 'goyal']
['few', 'ticklist', 'issues', 'to', 'resolve', 'for', 'india', 'uk', 'free', 'trade', 'agreement', 'piyush', 'goyal']
['morth', 'to', 'come', 'out', 'with', 'bot', 'project', 'in', 'the', 'next', 'month', 'to', 'attract', 'investments', 'anurag', 'jain']
