['modi', 'sharif', 'structured', 'meet', 'unlikely']
['second', 'largest', 'hospital', 'buyout', 'in', 'india', 'blackstone', 'cvc', 'temasek', 'max', 'eye', 'care', 'hospitals']
['piyush', 'goyals', 'us', 'visit', 'what', 'india', 'gained', 'from', 'it']
['congress', 'leader', 'rahul', 'gandhi', 'talks', 'of', 'nextgen', 'mgnrega', 'during', 'yatra']
['trinamool', 'slams', 'bjp', 'for', 'damaging', 'public', 'property']
['loan', 'waiver', 'not', 'a', 'benefit', 'banks', 'exempt', 'from', '10', 'tds', 'for', 'one', 'time', 'settlement']
['bjp', 'protests', 'turn', 'violent', 'kolkata', 'becomes', 'war', 'zone']
['out', 'of', 'breath', 'again', 'waiting', 'for', 'godard']
['amazon', 'flipkart', 'to', 'begin', 'festive', 'season', 'sale', 'from', 'september', '23']
['fm', 'nirmala', 'sitharaman', 'asks', 'regulators', 'to', 'align', 'with', 'changes']
['cloud', 'is', 'the', 'insurance']
['karnataka', 'congress', 'unveils', 'helpline', 'against', 'bommai', 'led', 'govts', 'corruption']
['india', 'to', 'host', 'g20', 'summit', 'next', 'september', 'invite', 'singapore', 'mauritius', 'arab', 'states']
['google', 'faces', '25', 'billion', 'claims', 'in', 'uk', 'dutch', 'courts', 'on', 'adtech', 'norms']
['bhagwant', 'mann', 'visits', 'germany', 'for', 'a', 'week', 'attends', 'worlds', 'largest', 'beverage', 'fair']
['vp', 'dhankhar', 'urges', 'industry', 'business', 'leaders', 'to', 'be', 'in', 'sync', 'with', 'govt', 'schemes']
['dream', 'sellers', 'wont', 'win', 'in', 'gujarat', 'amit', 'shah']
['punjab', 'wants', 'lumpy', 'skin', 'disease', 'to', 'be', 'included', 'in', 'national', 'animal', 'disease', 'control', 'programme']
['jindal', 'poly', 'group', 'company', 'terms', 'demand', 'for', 'forensic', 'audit', 'malicious']
['maharashtra', 'oppn', 'comes', 'down', 'heavily', 'on', 'shinde', 'govt', 'after', 'vedanta', 'foxconn', 'semiconductor', 'plant', 'goes', 'to', 'gujarat']
['a', 'database', 'of', '200', 'million', 'plus', 'protein', 'shapes', 'is', 'hypercharging', 'biomedical', 'research']
['bharat', 'forge', 'unit', 'kalyani', 'powertrain', 'forms', 'jv', 'with', 'harbinger', 'motors']
['india', 'vietnam', 'agree', 'to', 'expand', 'counter', 'terror', 'maritime', 'security', 'ties']
['compliance', 'relief', 'irdai', 'reduces', 'number', 'of', 'returns', 'to', 'be', 'filed', 'by', 'insurers', 'for', 'health', 'insurance']
['delhi', 'govt', 'launches', 'open', 'database', 'facility', 'for', 'ev', 'charging', 'battery', 'swapping', 'stations']
['punjab', 'to', 'give', 'monthly', 'stipend', 'to', 'sportspersons']
['no', 'policy', 'deviation', 'needed', 'for', 'inflation']
['st', 'obcs', 'sc', 'told']
['reforms', 'in', 'insurance', 'law', 'are', 'in', 'order']
['rajasthan', 'mos', 'ajay', 'bhatt', 'takes', 'stock', 'of', 'operational', 'preparedness', 'of', 'sapta', 'shakti', 'command']
['thoughtspot', 'announces', '150', 'million', 'investment', 'in', 'india']
