['the', 'need', 'for', 'a', 'global', 'green', 'bank']
['night', 'court', 'check', 'out', 'release', 'date', 'time', 'storyline', 'where', 'to', 'watch', 'of', 'standalone', 'holiday', 'episode', 'season', '2', 'and', 'more']
['dune', '3', 'timothe', 'chalamet', 'teases', 'plot', 'of', 'third', 'chapter', 'heres', 'what', 'we', 'know', 'about', 'the', 'sequel']
['the', 'math', 'aint', 'mathing', 'taraji', 'p', 'henson', 'breaks', 'down', 'in', 'tears', 'while', 'talking', 'about', 'hollywood', 'pay', 'disparity']
['red', 'sea', 'conflict', 'may', 'make', 'basmati', 'rice', 'exports', 'costlier']
['vizag', 'steel', 'plant', 'forges', 'deal', 'with', 'jspl', 'for', 'rs', '900', 'cr', 'working', 'capital']
['general', 'atlantic', 'set', 'to', 'acquire', 'amar', 'ujalas', 'hospital', 'chain', 'cygnus', 'healthcare']
['pe', 'fund', 'flows', 'into', 'real', 'estate', 'slow', 'down', 'in', '2023']
['nclt', 'admits', 'insolvency', 'plea', 'against', 'ansal', 'props', 'promoter']
['night', 'and', 'more']
['israeli', 'strikes', 'on', 'gaza', 'intensify', 'amid', 'serious', 'truce', 'talks']
['suraj', 'estate', 'developers', 'ipo', 'despite', 'good', 'response', 'gmp', 'shows', 'muted', 'gains']
['steady', 'rise', 'in', 'number', 'of', 'covid', '19', 'cases', 'government', 'not', 'considering', 'travel', 'curbs', 'mask', 'mandates', 'for', 'now']
['vastrakar', 'rana', 'pack', 'a', 'punch', 'as', 'india', 'bundle', 'out', 'aussies', 'for', '219']
['mariah', 'careys', 'dating', 'timeline', 'a', 'dazzling', 'romantic', 'journey']
['prague', 'university', 'shooting', 'updates', 'many', 'killed', 'and', 'injured', 'say', 'police']
['centre', 'needs', 'to', 'extend', 'policy', 'focus', 'beyond', 'roti', 'kapda', 'makaan', 'says', 'the', 'office', 'of', 'cea']
['assam', 'govt', 'approves', 'draft', 'guwahati', 'central', 'area', 'local', 'area', 'plan']
['modi', 'gowda', 'meet', 'jds', 'bjp', 'to', 'finalise', 'ls', 'seat', 'sharing', 'by', 'jan', 'end']
['india', 'takes', 'note', 'of', 'pak', 'army', 'chiefs', 'meetings', 'in', 'washington']
['parliament', 'nod', 'to', 'bill', 'to', 'simplify', 'newspaper', 'registration', 'process']
['iron', 'ore', 'may', 'be', 'pegged', 'to', 'global', 'prices']
['frank', 'sinatras', 'classic', 'jingle', 'bells', 'makes', 'return', 'to', 'billboard', 'hot', '100', 'for', 'the', 'first', 'time', 'in', '56', 'years']
['who', 'won', 'the', 'masked', 'singer', 'season', '10', 'finale', 'identities', 'revealed']
['preparing', 'for', 'christmas', 'eve']
['indias', 'exports', 'becoming', 'less', 'vulnerable', 'to', 'world', 'demand', 'changes', 'cea', 'office']
['nclt', 'approves', 'swan', 'energys', 'loan', 'repayment', 'to', 'reliance', 'naval', 'by', 'one', 'year']
['cold', 'wave', 'condition', 'in', 'manipur', 'forces', 'schools', 'to', 'shut', 'for', '8', 'days']
['allcargo', 'announces', 'demerger', 'of', 'ecu', 'worldwide', 'into', 'separate', 'listed', 'entity']
['agri', 'exports', 'likely', 'to', 'reach', 'usd', '53', 'bn', 'this', 'fiscal', 'despite', 'curbs', 'on', 'key', 'commodities', 'official']
