['jio', 'star', 'secures', 'media', 'rights', 'for', 'international', 'masters', 'league']
['agatha', 'all', 'along', 'season', '2', 'everything', 'we', 'know', 'so', 'far']
['uk', 'state', 'pension', '1', 'in', '5', 'persons', 'to', 'qualify', 'by', '2032', 'what', 'to', 'expect', 'next']
['dont', 'let', 'the', 'tail', 'wag', 'the', 'dog', 'what', 'budget', '2025', 'can', 'do', 'about', 'indias', 'growing', 'tax', 'overreach']
['small', 'cos', 'recorded', '10', 'jobs', 'growth', 'in', '2023', '24']
['one', 'piece', 'egghead', 'island', 'arc', 'english', 'dub', 'see', 'release', 'date', 'time', 'and', 'where', 'to', 'watch']
['jpc', 'adopts', 'amended', 'waqf', 'bill', 'with', '15', 'to', '11', 'votes']
['pushpa', '2', 'ott', 'release', 'officially', 'confirmed', 'when', 'and', 'where', 'to', 'watch', 'and', 'language', 'versions']
['princess', 'beatrice', 'welcomes', 'second', 'child', 'athena', 'will', 'it', 'change', 'the', 'royal', 'line', 'of', 'succession']
['cabinet', 'approves', 'rs', '16300', 'crore', 'critical', 'mineral', 'mission']
['apple', 'shares', 'jumps', '4', 'after', 'td', 'cowen', 'analysts', 'reiterated', 'their', 'buy', 'rating', 'and', 'raised', 'price', 'target', 'to', '250', 'heres', 'what', 'is', 'going', 'for', 'the', 'iphone', 'maker']
['was', 'taylor', 'swift', 'hiding', 'an', 'engagement', 'ring', 'under', 'the', 'gloves', 'has', 'boyfriend', 'travis', 'kelce', 'popped', 'the', 'question', 'heres', 'what', 'reports', 'are', 'saying']
['quality', 'standards', 'for', 'solar', 'parts', 'tightened']
['maha', 'kumbh', 'stampede', 'rahul', 'gandhi', 'mourns', 'tragedy', 'blames', 'vip', 'culture', 'mismanagement']
['competition', 'in', 'india', 'challenges', 'us', 'to', 'be', 'at', 'our', 'best', 'coca', 'cola']
['this', 'is', 'the', 'first', 'foreign', 'leader', 'who', 'will', 'be', 'meeting', 'donald', 'trump', 'at', 'the', 'white', 'house']
['vogue', 'mocks', 'flotus', 'melania', 'trump', 'as', 'a', 'freelance', 'magician', 'in', 'a', 'scathing', 'white', 'house', 'offcial', 'portrait', 'review', 'netizens', 'fire', 'back']
