['underestimating', 'taliban', 'and', 'their', 'pakistani', 'patrons', 'biggest', 'mistake']
['nse', 'bse', 'bulk', 'deals', 'morgan', 'stanley', 'sells', 'stake', 'in', 'exxaro', 'tiles']
['pegasus', 'row', 'nothing', 'to', 'hide', 'will', 'constitute', 'committee', 'of', 'experts', 'centre', 'tells', 'sc']
['afghan', 'collapse', 'us', 'rout', 'pak', 'gain']
['sleepycat', 'raises', '3', '8', 'million', 'from', 'saama', 'capital', 'dsg', 'consumer', 'partners', 'sharrp', 'ventures']
['chief', 'justice', 'ramana', 'makes', 'a', 'point']
['up', 'bill', 'on', '2', 'child', 'norm', 'proposes', 'cash', 'benefits', 'for', '1', 'child', 'couples']
['agood', 'time', 'to', 'start', 'to', 'get', 'good', 'times']
['sangma', 'govt', 'announces', 'probe', 'into', 'meghalaya', 'incidents']
['aicc', 'firefights', 'kerala', 'factional', 'feud', 'amid', 'rahuls', 'wayanad', 'trip']
['evaluate', 'slowly', 'dispassionately']
['what', 'india', 'should', 'do', 'to', 'broaden', 'indian', 'broadcasting']
['u', 'n', 'security', 'council', 'pushes', 'for', 'talks', 'to', 'form', 'new', 'afghan', 'government']
['mamata', 'banerjee', 'led', 'trinamool', 'congress', 'celebrates', 'khela', 'hobe', 'diwas']
['company', 'needs', 'to', 'return', 'pli', 'benefits', 'with', 'interest', 'for', 'midway', 'exit', 'dpiit']
['aviation', 'ministry', 'grants', 'permission', 'to', 'use', 'drones', 'to', '10', 'organisations']
['congress', 'counters', 'oil', 'bonds', 'burden', 'argument', 'of', 'nirmala', 'sitharaman', 'on', 'fuel', 'prices']
['fm', 'nirmala', 'sitharaman', 'rules', 'out', 'cut', 'in', 'excise', 'duty', 'on', 'petrol', 'diesel', 'for', 'now']
['largest', 'retail', 'broker', 'icicidirect', 'website', 'and', 'app', 'down', 'today']
['pmla', 'case', 'sc', 'refuses', 'to', 'grant', 'interim', 'relief', 'to', 'former', 'maharashtra', 'minister', 'anil', 'deshmukh']
['export', 'demand', 'pushes', 'non', 'basmati', 'rice', 'price', 'by', '10']
['dhaka', 'carefully', 'observing', 'afghan', 'situation', 'speculation', 'on', 'bangla', 'extremists', 'joining', 'taliban']
['hindus', 'sikhs', 'have', 'taken', 'refuge', 'in', 'kabuls', 'karte', 'parwan', 'gurdwara', 'dsgmc', 'president', 'manjinder', 'singh', 'sirsa']
['indiabulls', 'real', 'estate', 'embassy', 'group', 'merger', 'in', 'final', 'lap', 'co', 'seeks', 'nclt', 'nod']
['afghan', 'envoy', 'to', 'un', 'calls', 'for', 'establishing', 'inclusive', 'transitional', 'government', 'in', 'kabul', 'refers', 'to', 'images', 'of', 'taliban', 'mass', 'executions']
['adani', 'enterprises', 'to', 'acquire', 'sadbhav', 'infras', 'maharashtra', 'check', 'post', 'arm']
['morarji', 'desai', 'yoga', 'institute', 'can', 'become', 'worlds', 'best', 'yoga', 'institution', 'like', 'harvard', 'sarbabanda', 'sonowal']
['itbp', 'to', 'guard', 'indian', 'diplomatic', 'staff', 'in', 'afghanistan', 'till', 'required']
['we', 'must', 'all', 'ensure', 'afghanistan', 'cannot', 'ever', 'ever', 'again', 'be', 'a', 'base', 'for', 'terrorism', 'us', 'in', 'unsc']
['bjp', 'state', 'president', 'dilip', 'ghosh', 'suvendu', 'adhikari', 'others', 'detained', 'for', 'sit', 'in', 'protest']
['ahead', 'of', 'market', '12', 'things', 'that', 'will', 'decide', 'stock', 'action', 'on', 'tuesday']
['trade', 'setup', 'nifty50', 'in', 'overbought', 'zone', 'protect', 'profits', 'vigilantly']
['pak', 'high', 'level', 'security', 'meet', 'endorses', 'bidens', 'troop', 'withdrawal', 'from', 'afghanistan']
['from', 'oil', 'bonds', 'to', 'cryptocurrency', 'fm', 'nirmala', 'sitharaman', 'clears', 'govts', 'stand', 'on', 'key', 'issues']
['fm', 'nirmala', 'sitharaman', 'says', 'rules', 'on', 'retro', 'tax', 'to', 'be', 'framed', 'soon']
['petrol', 'and', 'diesel', 'prices', 'may', 'not', 'ease', 'anytime', 'soon', 'as', 'nirmala', 'sitharaman', 'rules', 'out', 'a', 'cut', 'in', 'excise', 'duty']
['will', 'take', 'all', 'steps', 'for', 'safety', 'of', 'indians', 'and', 'indias', 'interests', 'mea', 'on', 'afghanistan']
['cardanos', 'ada', 'token', 'is', 'now', 'worlds', 'third', 'largest', 'cryptocurrency']
['rapido', 'raised', '52', 'million', 'amid', 'surging', 'demand', 'for', 'hyperlocal', 'delivery']
['lot', 'of', 'officials', 'talking', 'on', 'vodafone', 'idea', 'stress', 'nothing', 'has', 'come', 'to', 'me', 'fm', 'nirmala', 'sitharaman']
['flobiz', 'looks', 'to', 'triple', 'engineering', 'product', 'and', 'data', 'workforce', 'in', 'next', '6', '9', 'months']
['ready', 'for', 'all', 'possible', 'consequences', 'bsf', 'dg', 'on', 'situation', 'in', 'afghanistan']
['afghans', 'have', 'broken', 'shackles', 'of', 'slavery', 'pakistan', 'pm', 'imran', 'khan']
['microfinance', 'captains', 'expect', 'a', 'turnaround', 'during', 'festive', 'season']
['at', '190', 'mumbai', 'logs', 'lowest', 'covid', '19', 'cases', 'since', 'april', '2020']
['smallcap', 'rally', 'nowhere', 'close', 'to', 'danger', 'mark', 'devina', 'mehra']
['india', 'reviews', 'fast', 'deteriorating', 'situation', 'in', 'afghanistan']
['sushmita', 'dev', 'joins', 'trinamool', 'congress', 'soon', 'after', 'leaving', 'congress']
['gold', 'falls', 'marginally', 'silver', 'tumbles', 'by', 'rs', '505']
