['same', '5g', 'sauce', 'for', 'companies', 'telcos']
['smriti', 'mandhana', 'wins', 'icc', 'womens', 'cricketer', 'of', 'the', 'year']
['open', 'up', 'schools', 'reopen', 'learning']
['covid', 'antiviral', 'molnupiravir', 'to', 'be', 'tested', 'in', 'recovery', 'trial', 'on', 'hospitalised', 'patients']
['desperate', 'taliban', 'seeks', 'global', 'recognition', 'through', 'oslo', 'meet', 'russia', 'denies', 'hosting', 'taliban', 'leaders']
['australian', 'open', 'kaia', 'kanepi', 'upsets', 'world', 'no', '2', 'aryna', 'sabalenka', 'set', 'to', 'clash', 'iga', 'swiatek', 'in', 'qf']
['uttarakhand', 'harish', 'rawat', 'to', 'contest', 'from', 'ramnagar', 'congress', 'releases', '2nd', 'list']
['punjab', 'polls', 'only', '2', 'persons', 'can', 'accompany', 'candidate', 'while', 'filing', 'nomination']
['zydus', 'vaccine', 'launch', 'likely', 'to', 'be', 'delayed', 'due', 'to', 'issues', 'at', 'plant']
['mumbais', 'covid', '19', 'cases', 'drop', 'below', '2000', '11', 'die', 'active', 'tally', 'at', '21142']
['go', 'first', 'airlines', 'twitter', 'handle', 'hacked']
['neglected', 'infectious', 'diseases', 'may', 'be', 'tomorrows', 'pandemic', 'bharat', 'biotech', 'chief', 'dr', 'krishna', 'ella']
['cera', 'sanitaryware', 'q3', 'results', 'net', 'profit', 'up', '46', 'at', 'rs', '45', 'cr']
['battleground', 'punjab', 'bjp', 'announces', 'seat', 'sharing', 'with', 'amarinder', 'to', 'contest', 'on', '65', 'seats']
['iex', 'q3', 'results', 'net', 'profit', 'rises', '39', 'to', 'rs', '80', 'cr']
['calcutta', 'hc', 'dismisses', 'pil', 'against', 'cancellation', 'of', 'bengal', 'govts', 'r', 'day', 'tableau']
['novelis', 'to', 'raise', '300', '350', 'mn', 'from', 'axis', 'bank', 'in', 'gift', 'city']
['dont', 'reduce', 'netaji', 'to', 'just', 'a', 'hologram', 'his', 'values', 'are', 'what', 'matter', 'tharoor']
['shriram', 'transport', 'fin', 'q3', 'results', 'net', 'profit', 'down', '6', '5', 'to', 'rs', '681', 'cr']
['budget', 'session', 'part', 'i', 'rajya', 'sabha', 'to', 'sit', 'in', 'morning', 'lok', 'sabha', 'in', 'evening', 'due', 'to', 'covid', 'restrictions']
['homebuyers', 'body', 'fpce', 'seek', 'supreme', 'court', 'to', 'direct', 'west', 'bengal', 'to', 'implement', 'rera']
['burger', 'king', 'q3', 'results', 'co', 'reports', 'net', 'loss', 'at', 'rs', '15', 'crore']
['antilia', 'bomb', 'scare', 'case', 'delhi', 'hc', 'has', 'jurisdiction', 'to', 'hear', 'plea', 'against', 'uapa', 'sanction', 'says', 'waze']
['oting', 'massacre', 'awaiting', 'report', 'from', 'cfsl', 'says', 'nagaland', 'chief', 'minister']
['reserve', 'bank', 'of', 'india', 'imposes', 'penalties', 'on', '8', 'cooperative', 'banks']
['alcoholic', 'beverage', 'industry', 'body', 'hails', 'delhi', 'govt', 'for', 'reducing', 'number', 'of', 'dry', 'days', 'to', 'three']
['delhi', 'logs', '5760', 'covid', 'cases', 'positivity', 'rate', 'declines', 'to', '11', '79']
['more', 'hnis', 'are', 'looking', 'to', 'buy', 'luxury', 'property', 'in', '2022']
['navjot', 'singh', 'sidhu', 'sheltered', 'congress', 'mlas', 'involved', 'in', 'illegal', 'sand', 'mining', 'amarinder', 'singh']
['budget', 'session', 'part', 'i', 'different', 'timings', 'for', 'lok', 'sabha', 'rajya', 'sabha', 'in', 'view', 'of', 'covid']
['budget', 'session', 'part', 'i', 'different', 'timings', 'for', 'lok', 'sabha', 'rajya', 'sabha', 'in', 'view', 'of', 'covid']
['sonia', 'manmohan', 'rahul', 'azad', 'among', 'congress', 'star', 'campaigners', 'for', 'first', 'phase', 'poll', 'in', 'up']
['pakistan', 'inducts', 'china', 'made', 'multi', 'role', 'frigate', 'in', 'its', 'navy']
['lucknow', 'ipl', 'team', 'to', 'be', 'called', 'lucknow', 'super', 'giants']
['ahead', 'of', 'market', '12', 'things', 'that', 'will', 'decide', 'stock', 'action', 'on', 'tuesday']
['cant', 'accept', 'offer', 'until', 'legally', 'viable', 'says', 'future', 'retail', 'independent', 'director', 'on', 'amazon', 'proposal']
['muslim', 'body', 'moves', 'sc', 'seeks', 'hearing', 'of', '2020', 'pil', 'on', 'fake', 'news', 'regarding', 'tablighi', 'congregation']
['who', 'head', 'says', 'dangerous', 'to', 'assume', 'pandemic', 'is', 'nearing', 'end']
['karnataka', 'cm', 'names', 'ministers', 'for', 'districts', 'kicks', 'off', 'a', 'new', 'tradition', 'by', 'bringing', 'in', 'outsiders']
['anna', 'hazare', 'alleges', 'rs', '25000', 'cr', 'scam', 'in', 'sale', 'of', 'maharashtra', 'co', 'op', 'sugar', 'mills', 'writes', 'to', 'amit', 'shah', 'for', 'probe']
['was', 'waiting', 'for', 'bear', 'market', 'zomato', 'ceo', 'deepinder', 'goyal', 'tells', 'employees']
['nclat', 'sets', 'aside', 'nclt', 'order', 'approving', 'sreis', 'resolution', 'plan', 'for', 'deccan', 'chronicle', 'holdings']
['tech', 'view', 'nifty', 'bears', 'hold', 'upper', 'hand', 'but', 'some', 'recovery', 'cant', 'be', 'ruled', 'out']
