['mumbai', 'logs', '490', 'new', 'covid', '19', 'cases', 'zero', 'fatality', '229', 'patients', 'recover']
['pfizer', 'pill', 'becomes', '1st', 'us', 'authorized', 'home', 'covid', 'treatment']
['is', 'india', 'safe', 'from', 'us', 'feds', 'tapering', 'spree', 'arvind', 'panagariya', 'decodes']
['intl', 'travellers', 'who', 'test', 'covid', 'positive', 'at', 'the', 'airport', 'will', 'not', 'be', 'allowed', 'to', 'go', 'to', 'their', 'destinations', 'west', 'bengal', 'health', 'dept']
['azadi', 'ka', 'amrit', 'mahotsav', 'golden', 'opportunity', 'to', 'make', 'new', 'generation', 'aware', 'of', 'freedom', 'struggle', 'ashok', 'gehlot']
['experience', 'nature']
['us', 'president', 'joe', 'biden', 'extends', 'moratorium', 'on', 'student', 'loan', 'repayments']
['a', 'single', 'splendoured', 'thing', 'self', 'belief']
['view', 'despite', 'rising', 'concerns', 'about', 'privacy', 'users', 'see', 'benefits', 'in', 'striking', 'a', 'human', 'ai', 'connection']
['odishas', 'new', 'steel', 'plant', 'big', 'green']
['corporate', 'culture']
['kerala', 'government', 'to', 'pay', '1', '75', 'lakh', 'to', 'girl', 'terrorised', 'by', 'pink', 'police', 'officer', 'high', 'court']
['amid', 'cms', 'absence', 'maharashtra', 'session', 'begins', 'on', 'a', 'stormy', 'note']
['india', 'should', 'emerge', 'world', 'leader', 'in', 'post', 'covid', 'global', 'order', 'pm', 'modi']
['covid', '19', 'gujarat', 'reports', 'nine', 'more', 'cases', 'of', 'omicron', 'variant', 'state', 'tally', 'rises', 'to', '23']
['gearing', 'up', 'for', 'an', 'omicron', 'wave']
['drinking', 'age', 'lowered', 'from', '25', 'to', '21', 'in', 'haryana']
['ipo', 'documents', 'should', 'include', 'more', 'details', 'on', 'pricing', 'rationale', 'says', 'sebi']
['us', 'life', 'expectancy', 'saw', 'huge', 'drop', 'in', '2020', 'due', 'to', 'covid']
['investment', 'bankers', 'need', 'to', 'follow', 'rules', 'on', 'public', 'issue', 'pricing', 'sebi', 'chairman']
['people', 'have', 'become', 'lax', 'in', 'observing', 'covid', 'appropriate', 'behaviour', 'aiims', 'chief', 'amid', 'omicron', 'scare']
['omicron', 'states', 'enhance', 'surveillance', 'delhi', 'start', 'genome', 'sequencing', 'pm', 'to', 'hold', 'meeting', 'on', 'thursday']
['cumulative', 'covid', '19', 'vaccine', 'doses', 'administered', 'in', 'india', 'reach', 'nearly', '140', 'crore', 'health', 'ministry']
['fci', 'will', 'procure', '10', 'lakh', 'metric', 'tons', 'of', 'paddy', 'from', 'assam', 'himanta', 'biswa', 'sarma']
['amazon', 'sues', 'financial', 'crime', 'agency', 'in', 'latest', 'twist', 'of', 'indian', 'battle']
['trade', 'setup', 'defending', '16800', 'level', 'crucial', 'for', 'nifty50']
['vaccine', 'maker', 'serum', 'waives', 'astrazeneca', 'shot', 'indemnity', 'for', 'refugee', 'programme']
['tai', 'requests', 'assam', 'govt', 'to', 'nominate', 'state', 'agencies', 'for', 'coal', 'allocation', 'to', 'industries', 'by', 'cil']
['amazon', 'seeks', 'ccis', 'nod', 'to', 'buy', 'catamarans', 'stake', 'in', 'cloudtail']
['congress', 'will', 'have', 'to', 'adopt', 'bjps', 'strategy', 'of', 'strengthening', 'regional', 'leaders', 'harish', 'rawat']
['woman', 'who', 'travelled', 'from', 'canada', 'to', 'faridabad', 'tests', 'positive', 'for', 'omicron', 'variant', 'vij']
['omicron', 'severity', 'question', 'answered', 'in', '3', '4', 'weeks', 'who', 'official', 'says']
