['twitter', 'gains', 'as', 'board', 'plots', 'defence', 'strategy', 'against', 'musk']
['dont', 'short', 'circuit', 'our', 'electric', 'lines']
['recognise', 'the', 'divine', 'within']
['automakers', 'speed', 'up', 'drive', 'to', 'reduce', 'carbon', 'footprint']
['view', 'govts', 'financial', 'and', 'operational', 'commitment', 'to', 'the', 'global', 'centre', 'for', 'traditional', 'medicine']
['india', 'no', 'longer', 'a', 'poverty', 'posterboy']
['pils', 'seek', 'sc', 'help', 'on', 'jahangirpuri', 'mp', 'demolitions']
['christian', 'music', 'on', 'a', 'plane', 'sparks', 'controversy', 'ilhan', 'omar', 'gets', 'slammed', 'for', 'criticizing', 'video']
['net', 'ctrl', 'orctrl', 'freak']
['lt', 'gen', 'manoj', 'pande', 'becomes', 'first', 'engineer', 'to', 'be', 'appointed', 'as', 'army', 'chief']
['rbis', 'surplus', 'liquidity', 'policy', 'helped', 'rein', 'in', 'forward', 'premia', 'study']
['plane', 'stopped', 'at', 'srinagar', 'after', 'bomb', 'call']
['elon', 'musk', 'has', 'revealed', 'that', 'he', 'stays', 'with', 'his', 'friends', 'and', 'doesnt', 'own', 'a', 'house']
['lok', 'sabha', 'speaker', 'visits', 'vietnam', 'this', 'week', 'to', 'reaffirm', 'strategic', 'and', 'eco', 'partnership']
['turkey', 'launches', 'new', 'cross', 'border', 'ground', 'and', 'air', 'offensive', 'against', 'kurdish', 'militants', 'in', 'northern', 'iraq']
['anti', 'terrorism', 'court', 'in', 'pakistan', 'sentences', '6', 'people', 'to', 'death', 'for', 'lynching', 'of', 'sri', 'lankan', 'national']
['human', 'capital', 'growth', 'through', 'social', 'impact', 'investment']
['imran', 'khan', 'contradicts', 'pak', 'army', 'insists', 'establishment', 'gave', 'him', 'three', 'options']
['easter', 'monday', 'what', 'is', 'it', 'where', 'is', 'it', 'celebrated', 'why', 'is', 'there', 'a', 'bank', 'holiday', 'in', 'parts', 'of', 'uk']
['assam', 'chief', 'minister', 'himanta', 'biswa', 'sarma', 'said', 'that', 'the', 'jehadi', 'network', 'will', 'be', 'dismantled']
['real', 'madrid', 'recovers', 'from', 'a', '0', '2', 'deficit', 'against', 'sevilla', 'gets', 'closer', 'to', 'la', 'liga', 'title']
['mauritius', 'pm', 'arrives', 'in', 'india', 'to', 'cement', 'bilateral', 'ties']
['no', 'humanitarian', 'ceasefires', 'in', 'ukraine', 'on', 'horizon', 'possibly', 'in', 'coming', 'weeks', 'u', 'n', 'aid', 'chief']
['alex', 'joness', 'digital', 'media', 'assets', 'placed', 'under', 'bankruptcy', 'following', 'sandy', 'hook', 'case']
['lankan', 'president', 'gotabaya', 'rajapaksa', 'regrets', 'banning', 'chemical', 'fertilisers', 'and', 'not', 'going', 'to', 'imf', 'for', 'bailout', 'earlier']
['three', 'arrested', 'for', 'link', 'with', 'fatal', 'shooting', 'in', 'clevelands', 'jefferson', 'park']
['former', 'russian', 'envoy', 'to', 'india', 'and', 'head', 'of', 'foreign', 'intel', 'service', 'trubnikov', 'passes', 'away']
['florida', 'to', 'ban', '54', 'mathematics', 'textbooks', 'over', 'critical', 'race', 'theory']
['centre', 'denies', 'reports', 'of', 'gst', 'council', 'planning', 'to', 'raise', '5', 'tax', 'slab', 'to', '8']
['parshuram', 'kund', 'will', 'be', 'one', 'of', 'the', 'biggest', 'pilgrimage', 'site', 'in', 'the', 'country', 'arunachal', 'deputy', 'cm']
['bank', 'of', 'america', 'reports', '12', 'drop', 'in', 'quarterly', 'profits']
['unsc', 'needs', 'to', 'be', 'reformed', 'it', 'plays', 'limited', 'role', 'in', 'maintaining', 'global', 'peace', 'foreign', 'secy']
['spacex', 'launches', 'spy', 'satellite', 'from', 'air', 'force', 'base', 'california']
['technology', 'to', 'push', 'investments', 'tcs', 'chief', 'india', 'to', 'have', 'over', '250', 'unicorns', 'by', '2025']
['thandiwe', 'newtons', 'divorce', 'from', 'ol', 'parker', 'shakes', 'things', 'up', 'likely', 'headed', 'for', 'rehab']
['check', 'out', 'which', 'nifty50', 'stocks', 'analysts', 'recommend', 'buying', 'this', 'week']
['widening', 'trade', 'deficit', 'large', 'capital', 'outflows', 'put', 'indias', 'strength', 'to', 'test', 'says', 'rbi', 'report']
['globalizations', 'poster', 'child', 'infosys', 'is', 'facing', 'political', 'headwinds']
['ahead', 'of', 'market', '10', 'things', 'that', 'will', 'decide', 'stock', 'action', 'on', 'tuesday']
['blackstones', 'nucleus', 'office', 'parks', 'ups', '2022', 'leasing', 'guidance', 'on', 'office', 'demand', 'rebound']
['ministers', 'tasked', 'to', 'look', 'into', 'rate', 'rationalisation', 'likely', 'to', 'meet', 'early', 'next', 'month']
['nifty50', 'forms', 'death', 'cross', 'after', 'march', '2020', '12', 'more', 'companies', 'record', 'bearish', 'crossover', 'on', 'monday']
['j', 'ks', 'debt', 'pile', 'grows', 'to', 'rs', '83536', 'crore', 'cag']
['infosys', 'hdfc', 'lead', '1172', 'pt', 'fall', 'on', 'sensex', 'nifty', 'sinks', 'below', '17200']
['midcap', 'stocks', 'with', 'high', 'upside', 'potential', 'stock', 'reports', 'plus']
['geopolitical', 'hostilities', 'to', 'supply', 'chain', 'pressures', 'heres', 'what', 'rbi', 'is', 'worrying', 'about']
['day', 'trading', 'guide', '5', 'stocks', 'recommended', 'for', 'tuesday']
['draw', 'of', 'lots', 'for', 'dda', 'special', 'housing', 'scheme', '2021', 'conducted', 'successfully']
['over', '1', '67', 'lakh', 'companies', 'incorporated', 'last', 'year', 'mca']
['kyle', 'buschs', 'surprising', 'win', 'after', 'tyler', 'reddick', 'and', 'chase', 'briscoe', 'spinout', 'in', 'bristol']
['only', '29', 'of', 'the', 'top', '50', 'firms', 'have', 'time', 'bound', 'carbon', 'neutrality', 'targets', 'report']
['haryana', 'makes', 'wearing', 'of', 'mask', 'compulsory', 'in', '4', 'ncr', 'districts']
['exide', 'to', 'invest', 'rs', '6000', 'crore', 'in', 'cells', 'modules', 'unit', 'in', 'bengaluru']
['government', 'should', 'stop', 'fleecing', 'indians', 'congress', 'on', 'reports', 'about', 'possible', 'change', 'in', 'gst', 'rates']
['after', 'battling', 'covid', '19', 'for', 'months', 'dj', 'kay', 'slay', 'passes', 'away', 'at', 'the', 'age', 'of', '55']
['trade', 'setup', 'nifty', 'may', 'try', 'to', 'find', 'some', 'base', 'time', 'to', 'refrain', 'from', 'creating', 'shorts']
['boston', 'marathon', 'worlds', 'oldest', 'and', 'most', 'prestigious', 'returns', 'for', '126th', 'edition']
['taco', 'bell', 'to', 'bring', 'back', 'fan', 'favourite', 'mexican', 'pizza', 'on', 'menus']
['bringing', 'together', 'access', 'and', 'affordability', 'sanrais', 'approach', 'to', 'redefine', 'indian', 'health', 'care']
['wordle', 'answer', '303', 'for', 'monday', 'april', '18th']
['sarat', 'kr', 'jain', 'has', 'been', 'nominated', 'as', 'the', 'chairman', 'of', 'the', 'indian', 'chamber', 'of', 'commerce', 'icc', 'assam', 'state', 'council']
['tech', 'view', 'nifty50', 'makes', 'death', 'cross', 'nears', 'key', 'support', 'range']
['uplinking', 'downlinking', 'guidelines', 'for', 'tv', 'channels', 'could', 'be', 'further', 'delayed']
['competition', 'is', 'getting', 'more', 'serious', 'in', 'the', 'indian', 'market', 'says', 'marutis', 'ceo', 'hisashi', 'takeuchi']
['goi', 'representative', 'for', 'naga', 'political', 'talks', 'ak', 'mishra', 'arrived', 'in', 'nagaland', 'on', 'monday', 'on', 'a', 'weeklong', 'visit']
['mindtree', 'issues', 'clarification', 'on', 'merger', 'news', 'says', 'no', 'such', 'info', 'available', 'on', 'it']
['r', 'madhavans', 'son', 'vedaant', 'wins', 'gold', 'silver', 'medals', 'at', 'danish', 'open', 'proud', 'dad', 'says', 'he', 'is', 'overwhelmed', 'and', 'humbled']
['when', 'will', 'pm', 'sack', 'ajay', 'mishra', 'asks', 'congress', 'after', 'sc', 'cancels', 'bail', 'of', 'union', 'ministers', 'son']
['rpf', 'head', 'constable', 'killed', 'asi', 'injured', 'in', 'militant', 'attack', 'in', 'j', 'ks', 'pulwama']
['india', 'will', 'consume', 'semiconductors', 'of', '80', 'bn', 'to', 'manufacture', 'electronics', 'worth', '300', 'bn', 'mos', 'it']
['jahangirpuri', 'clashes', 'scrap', 'dealer', 'who', 'supplied', 'bottles', 'for', 'pelting', 'arrested', 'says', 'delhi', 'police']
['former', 'atlanta', 'mayor', 'keisha', 'lance', 'bottoms', 'denied', 'service', 'at', 'capital', 'grille', 'restaurant', 'for', 'wearing', 'leggings']
['this', 'best', 'seller', 'author', 'clears', 'investor', 'doubts', 'over', 'melting', 'ice', 'cubes', 'conviction']
['experiencing', 'fatigue', 'nausea', 'you', 'may', 'be', 'suffering', 'from', 'a', 'sluggish', 'liver', 'that', 'needs', 'urgent', 'detoxification']
['vedanta', 'boss', 'reveals', 'how', 'he', 'won', 'over', '2', 'american', 'founders', 'to', 'crack', 'a', 'business', 'deal', 'in', 'the', 'us']
['india', 'to', 'have', 'over', '250', 'unicorns', 'by', '2025', 'report']
['icici', 'pru', 'life', 'q4', 'results', 'profit', 'jumps', 'three', 'fold', 'to', 'rs', '185', 'crore']
['market', 'movers', 'mood', 'change', 'at', 'lt', 'over', 'mindtree', 'tata', 'steel', 'bucks', 'market', 'trend']
['mera', 'tohfa', 'meri', 'marzi', 'says', 'former', 'pakistan', 'pm', 'imran', 'khan', 'on', 'toshakhana', 'controversy']
['top', 'telcos', 'can', 'save', 'rs', '4200', '4500', 'crore', 'a', 'year', 'on', 'suc', 'on', '28', 'ghz', 'buy', 'iifl']
['shiv', 'sena', 'has', 'always', 'received', 'lord', 'rams', 'blessings', 'as', 'it', 'has', 'clear', 'conscience', 'says', 'sanjay', 'raut', 'in', 'dig', 'at', 'mns', 'chief']
['coal', 'based', 'power', 'generation', 'rises', 'in', 'march']
['omicron', 'more', 'likely', 'to', 'cause', 'upper', 'airway', 'infections', 'among', 'children', 'reveals', 'new', 'study']
['no', 'desks', 'for', 'students', 'in', 'some', 'gujarat', 'schools', 'toilets', 'broken', 'sisodia', 'ahead', 'of', 'pm', 'modis', 'visit']
['all', 'you', 'need', 'to', 'know', 'about', 'crypto', 'staking', 'and', 'why', 'people', 'are', 'jumping', 'on', 'this', 'bandwagon']
['sanofi', 'names', 'rodolfo', 'hrosz', 'as', 'india', 'unit', 'head']
['delhi', 'hc', 'dismisses', 'plea', 'to', 'remove', 'election', 'symbols', 'from', 'ballot', 'papers', 'in', 'municipal', 'polls']
['gst', 'council', 'may', 'do', 'away', 'with', '5', 'rate', 'move', 'items', 'to', '3', '8', 'slabs']
['spicejet', 'promoter', 'ajay', 'singh', 'invests', 'in', 'healthcare', 'startup', 'flebo']
['wipro', 'appoints', 'satya', 'easwaran', 'as', 'country', 'head', 'of', 'india']
['us', 'announces', 'global', 'covid', 'summit', 'may', '12']
['14', 'teams', 'of', 'police', 'tasked', 'to', 'probe', 'jahangirpuri', 'violence', 'cp', 'rakesh', 'asthana']
['court', 'extends', 'maha', 'minister', 'nawab', 'maliks', 'judicial', 'custody', 'till', 'april', '22']
['majority', 'of', 'shops', 'shuts', 'situation', 'remains', 'tense', 'in', 'jahangirpuri']
['ed', 'provisionally', 'attaches', 'amway', 'assets', 'worth', 'rs', '757', 'crore', 'company', 'says', 'action', 'pertains', 'to', '2011', 'investigation']
['crypto', 'payments', 'are', 'frozen', 'across', 'india', 'hitting', 'trading']
['blackrock', 'deal', 'could', 'lead', 'to', 're', 'rating', 'in', 'both', 'tata', 'power', 'ntpc', 'swarnim', 'maheshwari']
['as', 'indias', 'largest', 'bank', 'hikes', 'loan', 'rates', 'shift', 'in', 'interest', 'rate', 'cycle', 'gathers', 'steam']
