['back', 'to', 'schools', 'so', 'whats', 'the', 'class', 'covid', 'sop']
['us', 'says', 'possible', 'ukraine', 'crisis', 'may', 'last', 'through', 'year', 'end']
['students', 'are', 'usually', 'anti', 'government', 'but', 'shouldnt', 'be', 'anti', 'national', 'rss']
['view', 'the', 'role', 'of', 'tourism', 'industry', 'in', 'indias', 'economic', 'recovery']
['tap', 'into', 'grace']
['hindi', 'is', 'already', 'a', 'lingua', 'franca']
['o', 'rain', 'gods', 'let', 'rural', 'appetite', 'return']
['why', 'the', 'ranbir', 'alia', 'shaadi', 'is', 'news']
['three', 'coaches', 'of', 'puducherry', 'express', 'derail', 'in', 'mumbai', 'nobody', 'injured']
['hit', 'by', 'bribery', 'charges', 'karnataka', 'minister', 'eshwarappa', 'resigns']
['frl', 'rejects', 'amazons', 'opposition', 'over', 'shareholders', 'meeting', 'on', 'sale', 'of', 'assets', 'says', 'in', 'compliance', 'with', 'nclt', 'order']
['366', 'fresh', 'covid', '19', 'cases', 'in', 'delhi', 'positivity', 'rate', 'rises', 'to', '3', '95', 'pc']
['tata', 'rejigs', 'air', 'india', 'board', 'airline', 'executives', 'step', 'down', 'from', 'board', 'assume', 'management', 'positions']
['22532', 'more', 'precaution', 'doses', 'administered', 'to', 'people', 'in', '18', '59', 'age', 'group']
['mfs', 'go', 'long', 'on', 'new', 'age', 'companies', 'beaten', 'down', 'stocks']
['hanuman', 'jayanti', 'mns', 'chief', 'to', 'perform', 'maha', 'aarti', 'in', 'pune']
['russia', 'expels', '18', 'from', 'eus', 'moscow', 'mission', 'in', 'retaliatory', 'move']
['covid', '19', 'gujarat', 'sees', '11', 'cases', 'no', 'death', 'active', 'tally', '154', 'after', '19', 'recoveries']
['luxury', 'cars', 'to', 'flexi', 'hours', 'tech', 'companies', 'go', 'all', 'out', 'to', 'retain', 'talent']
['debt', 'recovery', 'via', 'insolvency', 'cases', 'at', '31', 'pc', '47', 'pc', 'cases', 'liquidated', 'report']
['western', 'dominated', 'world', 'order', 'could', 'be', 'transformed', 'post', 'ukraine', 'conflict', 'think', 'tank']
['100', '150', 'lakh', 'tonne', 'wheat', 'exports', 'likely', 'this', 'year', 'india', 'to', 'export', 'wheat', 'to', 'egypt', 'piyush', 'goyal']
['tata', 'steel', 'jsw', 'jspl', 'or', 'sail', 'which', 'one', 'is', 'best', 'placed', 'to', 'profit', 'from', 'disruptions']
['ease', 'of', 'doing', 'business', 'govt', 'eases', 'norms', 'under', 'export', 'incentive', 'scheme']
['china', 'says', 'us', 'human', 'rights', 'report', 'reveals', 'hypocrisy', 'double', 'standards']
['sidhu', 'skips', 'meeting', 'held', 'by', 'newly', 'appointed', 'punjab', 'congress', 'chief', 'with', 'leaders', 'from', 'amritsar']
['olectra', 'launches', 'heavy', 'duty', 'electric', 'truck', 'trials']
['shivpal', 'yadav', 'bats', 'for', 'uniform', 'civil', 'code', 'says', 'will', 'protest', 'if', 'needed']
['congress', 'adds', '2', '6', 'cr', 'new', 'members', 'in', 'its', 'digital', 'membership', 'drive', 'sonia', 'gandhi', 'enrolls', 'too']
['sarpanch', 'shot', 'dead', 'in', 'kashmir']
['making', 'efforts', 'to', 'fill', 'up', 'vacancies', 'improve', 'judicial', 'infrastructure', 'cji', 'n', 'v', 'ramana']
['divorce', 'complete', 'with', 'air', 'india', 'alliance', 'air', 'shifts', 'to', 'own', 'pss', 'to', 'sell', 'tickets', 'with', '9i', 'code']
['earmarked', '500', 'law', 'colleges', 'which', 'are', 'sub', 'standard', 'surprise', 'inspections', 'to', 'be', 'done', 'bci', 'to', 'supreme', 'court']
['more', 'students', 'test', 'covid', 'positive', 'in', 'delhi', 'govt', 'asks', 'schools', 'to', 'close', 'specific', 'wings', 'if', 'needed']
['thdc', 'india', 'signs', 'pact', 'with', 'rajasthan', 'govt', 'to', 'produce', '10000', 'mw', 'of', 'renewable', 'energy']
['hdfc', 'moved', 'nclt', 'against', 'siti', 'networks', 'claiming', 'default', 'of', 'rs', '296', 'cr']
['delhi', 'government', 'says', 'free', 'precaution', 'doses', 'at', 'its', 'hospitals', 'soon']
['all', 'delhi', 'hospitals', 'advised', 'to', 'remain', 'alert', 'but', 'no', 'need', 'to', 'panic', 'health', 'minister', 'satyendar', 'jain']
['ram', 'navami', 'violence', 'bulldozers', 'brought', 'in', 'to', 'remove', 'illegal', 'encroachments', 'in', 'gujarats', 'khambhat']
['pharma', 'industry', 'must', 'focus', 'on', 'generic', 'better', 'link', 'between', 'input', 'and', 'output', 'piyush', 'goyal']
['pakistan', 'petition', 'filed', 'in', 'islamabad', 'high', 'court', 'against', 'issuance', 'of', 'diplomatic', 'passport', 'to', 'nawaz', 'sharif']
['covid', '19', 'less', 'than', '40', 'in', '15', '18', 'age', 'group', 'fully', 'vaccinated', 'in', '10', 'states', 'uts']
['indian', 'air', 'force', 'pays', 'tribute', 'to', 'marshal', 'arjan', 'singh', 'on', 'his', '103rd', 'birth', 'anniversary']
['indian', 'backdoor', 'for', 'russian', 'oil', 'weakens', 'calls', 'for', 'european', 'ban']
['hcl', 'tech', 'launches', 'new', 'digital', 'solution', 'for', 'retail', 'clients', 'on', 'microsoft', 'cloud']
['indias', 'foreign', 'exchange', 'reserves', 'continues', 'fall', 'for', 'fifth', 'straight', 'week']
['latest', 'face', 'off', 'with', 'bai', 'could', 'well', 'end', 'sainas', 'india', 'journey', 'at', 'multi', 'discipline', 'games', 'and', 'team', 'events']
['mobile', 'retailers', 'body', 'to', 'seek', 'govt', 'intervention', 'against', 'e', 'commerce', 'onslaught']
['that', 'brings', 'pressure', 'singer', 'matteo', 'bocelli', 'says', 'he', 'will', 'always', 'be', 'judged', 'as', 'opera', 'legend', 'andrea', 'bocellis', 'son']
['yash', 'starrer', 'kgf', 'chapter', '2', 'mints', 'rs', '134', 'cr', 'on', 'its', 'opening', 'day', 'at', 'box', 'office', 'in', 'india']
['warne', 'always', 'had', 'constructive', 'conversations', 'he', 'was', 'a', 'positive', 'person', 'says', 'kohli']
['in', 'pics', 'a', 'look', 'inside', 'alia', 'bhatt', 'ranbir', 'kapoors', 'regal', 'yet', 'private', 'mumbai', 'wedding']
['himachal', 'day', 'cm', 'announces', '50', 'bus', 'fare', 'relaxation', 'for', 'women', 'free', 'power', 'up', 'to', '125', 'units', 'to', 'all']
['if', 'harmed', 'india', 'will', 'not', 'spare', 'anyone', 'says', 'rajnath', 'singh', 'in', 'a', 'strong', 'message', 'to', 'china']
['ettech', 'deals', 'digest', 'rapido', 'medikabazaar', 'itilite', 'raise', 'funds']
['st', 'stephens', 'admission', 'policy', 'du', 'vice', 'chancellor', 'says', 'will', 'resolve', 'issue', 'through', 'dialogue']
['sri', 'lanka', 'starts', 'fuel', 'rationing', 'amidst', 'severe', 'economic', 'crisis']
['idbi', 'bank', 'seeks', 'shareholders', 'nod', 'for', '10', 'fold', 'hike', 'in', 'md', 'ceo', 'salary']
['girl', 'sets', 'herself', 'ablaze', 'in', 'bengal', 'after', 'threat', 'to', 'withdraw', 'rape', 'attempt', 'complaint']
['pakistan', 'pm', 'shehbaz', 'accuses', 'imran', 'khan', 'of', 'selling', 'toshakhana', 'gifts', 'worth', 'pkr', '140', 'million', 'in', 'dubai']
['musk', 'needs', 'massive', 'loan', 'or', 'big', 'tesla', 'sale', 'to', 'buy', 'twitter']
['fund', 'raising', 'via', 'debt', 'placement', 'hits', '6', 'yr', 'low', 'at', 'rs', '5', '88', 'lakh', 'cr', 'in', 'fy22']
