['dont', 'let', 'freebies', 'be', 'a', 'crutch']
['tripura', 'bsf', 'jawan', 'killed', 'by', 'nlft']
['stock', 'price', 'not', 'in', 'our', 'control', 'focus', 'is', 'on', 'profits', 'paytm', 'ceo', 'vijay', 'shekhar', 'sharma']
['cbi', 'being', 'used', 'to', 'derail', 'delhis', 'educational', 'revolution', 'aap']
['after', 'cbi', 'raid', 'at', 'sisodia', 'house', 'delhi', 'govt', 'transfers', '12', 'ias', 'officers']
['cbi', 'registers', 'case', 'against', 'delhi', 'dy', 'cm', 'manish', 'sisodia', '15', 'others']
['work', 'is', 'worship']
['nanars', 'local', 'mla', 'among', '2', 'who', 'may', 'exit', 'thackeray', 'camp']
['music', 'run', 'by', 'brother', 'louiz']
['maha', 'set', 'to', 'give', 'general', 'nod', 'for', 'cbi', 'to', 'probe', 'cases']
['kerala', 'govt', 'moves', 'high', 'court', 'against', 'lower', 'courts', 'order', 'in', 'sexual', 'harassment', 'case']
['congress', 'welcomes', 'searches', 'on', 'liquor', 'min']
['trs', 'mlc', 'kalvakuntla', 'kavitha', 'seeks', 'cjis', 'help', 'after', 'release', 'of', '11', 'rapists']
['allahabad', 'high', 'court', 'orders', 'cbi', 'probe', 'into', 'cases', 'filed', 'for', 'extortion']
['like', 'in', 'centre', 'uttar', 'pradesh', 'to', 'subsume', '8', 'labour', 'laws', 'into', '1', '2', 'codes']
['can', 'devyanis', 'move', 'to', 'diversify', 'help', 'it', 'get', 'an', 'edge', 'over', 'sapphire', 'foods']
['assam', 'tourism', 'ihcl', 'to', 'sign', 'mou', 'for', 'two', 'hospitality', 'projects']
['health', 'of', 'india', 'inc', 'the', 'perils', 'of', 'looking', 'just', 'at', 'the', 'company', 'topline']
['assam', 'govt', 'to', 'come', 'up', 'with', 'litigation', 'policy', 'wherein', 'cases', 'with', 'quantum', 'of', 'sentence', 'of', 'less', 'than', 'three', 'years', 'will', 'be', 'withdrawn']
['delhi', 'logs', '1417', 'coronavirus', 'cases', 'three', 'deaths']
['time', 'to', 'pack', 'a', 'mean', 'power', 'sector', 'punch']
['bjp', 'says', 'kejriwals', 'very', 'difficult', 'for', 'a', 'story', 'to', 'be', 'published', 'in', 'nyt', 'remark', 'indicates', 'story', 'was', 'paid']
['india', 'better', 'placed', 'on', 'growth', 'inflation', 'external', 'balance', 'triangle', 'says', 'finmin', 'report']
['cams', 'promoter', 'entity', 'pares', '3', '79', 'pc', 'stake', 'for', 'rs', '428', 'crore']
['a', 'move', 'that', 'dilutes', 'a', 'criminal', 'deterrent']
['the', 'reason', 'behind', 'rise', 'of', 'women', 'investors', 'in', 'the', 'indian', 'crypto', 'market']
['sealed', 'delivered', 'a', 'covert', 'operation']
['china', 'backs', 'jaishankars', 'remarks', 'on', 'asian', 'century', 'says', 'talks', 'to', 'resolve', 'border', 'standoff', 'effective']
['around', 'eight', 'militants', 'of', 'the', 'kuki', 'tribal', 'union', 'surrendered', 'at', 'haflong', 'in', 'assam']
['china', 'gives', 'tacit', 'nod', 'to', 'pakistans', 'move', 'to', 'scrap', 'cpec', 'authority', 'amid', 'reports', 'of', 'rift', 'over', 'tardy', 'progress', 'security']
['south', 'africa', 'completes', 'innings', 'defeat', 'of', 'england', 'in', '1st', 'test']
['pernod', 'ricards', 'former', 'employee', 'named', 'in', 'cbi', 'fir', 'in', 'delhi', 'excise', 'policy', 'case']
['child', 'dies', 'after', 'swimming', 'in', 'nebraska', 'river', 'in', 'us', 'check', 'out', 'how']
['geopolitical', 'tensions', 'could', 'trigger', 'crude', 'oil', 'supply', 'concerns', 'in', 'the', 'winter', 'says', 'finance', 'ministry']
['delhi', 'excise', 'policy', '2021', '22', 'withdrawn', 'but', 'it', 'continues', 'to', 'spell', 'trouble', 'for', 'leaders', 'officials']
['ugc', 'approves', 'guidelines', 'for', 'admission', 'supernumerary', 'seats', 'for', 'international', 'students', 'in', 'ug', 'and', 'pg']
['tejas', 'buys', 'residual', 'stake', 'in', 'saankhya']
['hyderabad', 'ola', 'cabs', 'ordered', 'to', 'pay', 'rs', '95000', 'compensation', 'for', 'overcharging', 'customer']
['cdc', 'group', 'sells', '3', '56', 'pc', 'stake', 'in', 'iifl', 'finance', 'for', 'rs', '453', 'cr']
['centre', 'restricted', 'from', 'participating', 'in', 'power', 'exchanges', 'without', 'notice', 'says', 'telangana']
['amid', 'raging', 'political', 'debate', 'over', 'poll', 'freebies', 'a', 'pil', 'in', 'sc', 'drives', 'home', 'the', 'point']
['cbic', 'clarification', 'on', 'display', 'inputs', 'duty', 'a', 'big', 'relief', 'icea']
['india', 'among', 'top', 'crypto', 'adopters', 'will', 'it', 'alarm', 'govt', 'to', 'expedite', 'regulations']
['gm', 'of', 'gold', 'subscription', 'to', 'open', 'on', 'monday']
['taapsee', 'pannus', 'dobaaraa', 'hits', 'a', 'roadblock', 'shows', 'cancelled', 'on', 'day', '1', 'of', 'films', 'release']
['sebi', 'joins', 'rbis', 'account', 'aggregator', 'framework', 'to', 'boost', 'financial', 'data', 'sharing', 'system']
['increased', 'terror', 'attacks', 'by', 'isis', 'affiliate', 'in', 'afghanistan', 'is', 'a', 'big', 'threat', 'india', 'tells', 'sco', 'member', 'states']
['vss', 'says', 'focus', 'is', 'on', 'profits', 'not', 'stock', 'wider', 'mandate', 'for', 'vision', 'fund', 'india', 'head']
['akasa', 'air', 'expects', 'to', 'operate', 'over', '150', 'weekly', 'flights', 'by', 'september', 'end']
['hindustan', 'coca', 'cola', 'beverages', 'appoints', 'juan', 'pablo', 'rodriguez', 'as', 'ceo']
['pakistan', 'records', 'highest', 'ever', 'weekly', 'inflation', 'of', '42', '3', 'pc']
