['jee', 'main', 'first', 'session', 'postponed', 'to', 'june', 'second', 'session', 'to', 'july']
['ipl', 'promotions', 'anil', 'kumble', 'exempt', 'from', 'service', 'tax']
['view', 'if', 'nehrus', 'poorer', 'india', 'could', 'stand', 'its', 'ground', 'so', 'can', 'modis', 'new', 'india']
['ipl', 'pat', 'cummins', 'venkatesh', 'iyer', 'shine', 'as', 'kolkata', 'knight', 'riders', 'register', 'five', 'wicket', 'win', 'over', 'mi']
['adb', 'pegs', 'indias', 'fy23', 'growth', 'at', '7', '5', 'on', 'increased', 'infra', 'spending']
['effective', 'regulation', 'not', 'overenthusiastic']
['brahmos', 'deal', 'with', 'philippines', 'widens', 'scope', 'in', 'aerospace', 'navy', 'says', 'envoy']
['abiding', 'and', 'enforcing', 'the', 'law', 'scientifically']
['indias', 'services', 'activity', 'at', '3', 'month', 'high', 'as', 'covid', 'curbs', 'ease']
['panel', 'moots', 'universal', 'pension', 'for', 'self', 'employed', 'gig', 'workers']
['beauty', 'body', 'and', 'soul']
['make', 'sacrifices', 'for', 'country', 'pm', 'modi', 'tells', 'bjp', 'workers']
['neo', 'nazis', 'azov', 'battalion', 'is', 'ukraines', 'controversial', 'custodian']
['coffee', 'day', 'defaults', 'rs', '480', 'crore', 'on', 'loan', 'repayment', 'securities']
['medical', 'entrance', 'exam', 'neet', 'on', 'july', '17', 'application', 'process', 'begins']
['indiqube', 'raises', 'usd', '30', 'million', 'to', 'help', 'finance', 'the', 'next', 'phase', 'of', 'expansion']
['abode', 'of', 'clouds', 'appears', 'to', 'be', 'an', 'abode', 'of', 'anarchy', 'meghalaya', 'high', 'court', 'on', 'minor', 'mineral', 'concession', 'rules']
['uidai', 'should', 'review', 'issue', 'of', 'aadhaar', 'to', 'children', 'below', '5', 'yrs', 'mull', 'alternates', 'to', 'establish', 'unique', 'id', 'cag']
['indias', 'trade', 'with', 'russia', 'ukraine', 'grew', 'since', 'fy21', 'government', 'to', 'parliament']
