['pallikal', 'ghosal', 'bag', 'mixed', 'doubles', 'bronze', 'in', 'squash', 'at', 'cwg']
['rss', 'backed', 'tribal', 'wing', 'to', 'highlight', 'fight', 'against', 'muslim', 'british', 'regimes']
['bengal', 'ssc', 'scam', 'partha', 'doesnt', 'want', 'to', 'resign', 'as', 'mla', 'claims', 'counsel']
['best', 'defence', 'is', 'good', 'offence']
['messis', '5th', 'symphony', 'a', 'waltz', 'in', 'the', 'park']
['heavy', 'to', 'very', 'heavy', 'rain', 'expected', 'in', 'odisha', 'bengal', 'as', 'depression', 'looms']
['indias', 'postpandemic', 'recovery', 'remains', 'on', 'track', 'but', 'inflation', 'poses', 'huge', 'challenge']
['pmi', 'output', 'index', 'slowest', 'in', 'july', 'as', 'sales', 'growth', 'loses', 'momentum']
['fintech', 'platform', 'scripbox', 'makes', 'strategic', 'investment', 'in', 'pune', 'based', 'wealth', 'managers']
['delhi', 'bjp', 'protests', 'outside', 'kejriwals', 'residence', 'demanding', 'sacking', 'of', 'sisodia', 'over', 'graft', 'charges']
['isro', 'says', 'rocket', 'carrying', 'small', 'satellites', 'placed', 'them', 'in', 'wrong', 'orbit', 'rendering', 'them', 'unusable']
['in', 'a', 'first', 'us', 'navy', 'ship', 'arrives', 'for', 'repair', 'at', 'lt', 'shipyard', 'in', 'tamil', 'nadu']
['rail', 'traffic', 'hit', 'after', 'goods', 'train', 'derails', 'on', 'delhi', 'rohtak', 'railway', 'line']
['india', 'should', 'take', 'advantage', 'of', 'china', 'us', 'decoupling']
['pelosis', 'taipei', 'visit', 'has', 'hastened', 'the', 'pace', 'of', 'us', 'china', 'decoupling', 'bad', 'news', 'for', 'the', 'world']
['madhya', 'pradesh', 'will', 'contribute', 'usd', '550', 'billion', 'to', 'make', 'india', 'usd', '5', 'trillion', 'economy', 'chouhan', 'to', 'centre']
['need', 'to', 'put', 'handloom', 'census', 'data', 'in', 'public', 'domain', 'piyush', 'goyal']
['mighty', 'australia', 'stand', 'in', 'between', 'indian', 'mens', 'hockey', 'team', 'and', 'elusive', 'cwg', 'gold']
['balkrishna', 'industries', 'a', 'high', 'margin', 'tyre', 'company', 'growing', 'at', 'a', 'steady', 'pace']
['sslv', 'satellites', 'no', 'longer', 'usable', 'after', 'deviation', 'from', 'orbit']
['pm', 'modi', 'has', 'assured', 'speedy', 'clearances', 'to', 'state', 'projects', 'maha', 'cm', 'eknath', 'shinde']
['niti', 'aayog', 'cms', 'of', 'non', 'bjp', 'ruled', 'states', 'ask', 'centre', 'not', 'to', 'force', 'its', 'decisions', 'seek', 'extension', 'of', 'gst', 'compensation', 'period']
['cwg', 'silver', 'medallist', 'sanket', 'sargar', 'undergoes', 'elbow', 'surgery', 'ministry', 'sanctions', 'rs', '30', 'lakh', 'for', 'treatment']
['cuet', 'cancelled', 'at', 'some', 'centres', 'following', 'reports', 'of', 'sabotage', 'ugc', 'chief']
['narcl', 'interested', 'in', 'taking', 'over', 'loan', 'accounts', 'of', 'debt', 'ridden', 'srei', 'official']
['delhi', 'adds', '2423', 'covid', '19', 'cases', 'positivity', 'rate', 'nears', '15', 'per', 'cent']
['rss', 'backed', 'tribal', 'outfit', 'to', 'highlight', 'fight', 'against', 'muslim', 'british', 'regimes']
['indias', 'civil', 'aviation', 'to', 'see', 'phenomenal', 'growth', 'by', '2027', 'jyotiraditya', 'scindia']
['nba', 'chief', 'dismisses', 'concerns', 'about', 'reintroduction', 'of', 'cheetahs', 'in', 'mp', 'national', 'park']
['fm', 'holds', 'talks', 'with', 'us', 'nsf', 'chief', 'discusses', 'collaboration', 'in', 'science', 'and', 'technology']
['be', 'angry', 'be', 'frustrated', 'but', 'move', 'on', 'janneke', 'schopmans', 'message', 'to', 'savita', 'co', 'after', 'semifinal', 'loss']
['india', 'wins', 'historic', 'gold', 'and', 'silver', 'in', 'mens', 'triple', 'long', 'jump']
['karnataka', 'set', 'up', 'its', 'own', 'think', 'tank', 'on', 'lines', 'of', 'niti', 'aayog']
['chennai', 'lad', 'pranav', 'becomes', 'indias', '75th', 'grandmaster']
['daddys', 'daughter', 'father', 'jai', 'bhagwan', 'takes', 'unpaid', 'leave', 'to', 'fuel', 'nitus', 'boxing', 'dreams']
['centre', 'should', 'not', 'force', 'policies', 'on', 'states', 'mamata', 'at', 'niti', 'aayog', 'meet']
['niti', 'meet', 'pm', 'modi', 'urges', 'states', 'to', 'focus', 'on', '3ts', 'modernising', 'farm', 'sector']
['cwg', 'sharath', 'sathiyan', 'lose', 'to', 'familiar', 'foes', 'again', 'settle', 'for', 'silver']
['fake', 'loan', 'app', 'racket', 'mumbai', 'police', 'take', '3', 'accused', 'on', 'remand']
['etmarkets', 'trade', 'talk', '3', 'principles', 'that', 'help', 'bangalores', 'option', 'trader', 'siva', 'make', 'money', 'in', '5', 'minutes']
['gross', 'mistreatment', 'of', 'locals', 'in', 'chinese', 'financed', 'projects', 'in', 'bangladesh', 'unearthed']
['aig', 'womens', 'open', 'in', 'scotland', 'ashleigh', 'buhai', 'claims', '5', 'stroke', 'lead']
['chinese', 'embassy', 'seeks', 'urgent', 'meeting', 'with', 'sri', 'lankan', 'authorities', 'as', 'colombo', 'seeks', 'postponement', 'of', 'research', 'ships', 'visit']
['how', 'anuj', 'poddar', 'staunched', 'cash', 'haemorrhage', 'repaid', 'debt', 'and', 'more', 'than', 'doubled', 'the', 'market', 'cap', 'of', 'bajaj', 'electricals']
['premier', 'league', 'bruno', 'lage', 'jesse', 'marsch', 'react', 'to', 'touchline', 'bust', 'up', 'during', 'leeds', 'win', 'over', 'wolves']
['cwg', '2022', 'boxers', 'amit', 'panghal', 'nitu', 'ghanghas', 'strike', 'gold']
['jennifer', 'lopezs', 'ex', 'husband', 'ojani', 'noa', 'doubtful', 'of', 'her', 'marriage', 'with', 'ben', 'affleck']
['pv', 'sindhu', 'one', 'step', 'away', 'from', 'winning', 'maiden', 'gold', 'lakshya', 'sen', 'too', 'makes', 'singles', 'final']
['nclat', 'dismisses', 'ngos', 'plea', 'upholds', 'anti', 'trust', 'regulators', 'decision', 'on', 'whatsapp']
['delhi', 'inquiry', 'report', 'claims', 'excise', 'officials', 'made', 'arbitrary', 'decisions']
['rock', 'band', 'limp', 'bizkits', 'vocalist', 'fred', 'durst', 'ties', 'knot', 'for', '4th', 'time']
['goa', 'to', 'implement', 'hundred', 'per', 'cent', 'nep', 'in', 'higher', 'education', 'from', 'next', 'academic', 'year', 'cm', 'to', 'centre']
['mobile', 'internet', 'suspended', 'prohibitory', 'orders', 'imposed', 'in', 'tense', 'manipur']
['cwg', '2022', 'indian', 'womens', 'hockey', 'team', 'wins', 'bronze']
['annual', 'python', 'removal', 'challenge', '2022', 'hundreds', 'of', 'snake', 'hunters', 'gather', 'in', 'florida']
['jdu', 'not', 'to', 'join', 'union', 'council', 'of', 'ministers', 'again', 'party', 'natnl', 'president']
['iit', 'delhi', 'koo', 'partner', 'to', 'create', 'public', 'awareness', 'on', 'air', 'pollution']
['natural', 'gas', 'prices', 'at', 'new', 'highs', 'is', 'russia', 'using', 'gas', 'as', 'a', 'geopolitical', 'weapon']
['biometrics', 'have', 'the', 'best', 'capability', 'to', 'secure', 'digital', 'physical', 'worlds', 'matthew', 'cole', 'idemia']
['bjp', 'means', 'corruption', 'and', 'spurious', 'liquor', 'kejriwal', 'seeks', 'votes', 'for', 'honest', 'aap', 'in', 'gujarat', 'polls']
['it', 'stocks', 'attractive', 'for', '3', 'year', 'timeframe', 'surjitt', 'singh', 'arora']
['annu', 'rani', 'wins', 'bronze', 'becomes', 'first', 'indian', 'female', 'javelin', 'thrower', 'to', 'win', 'medal', 'in', 'cwg']
['will', 'smith', 'gets', 'support', 'from', 'daughter', 'over', 'oscars', 'slapping', 'incident']
['ahead', 'of', 'market', '10', 'things', 'that', 'will', 'decide', 'stock', 'action', 'on', 'monday']
['revenue', 'share', 'from', 'ev', 'segment', 'to', 'touch', '50', 'pc', 'by', 'fy27', 'sona', 'comstar', 'md']
['pak', 'pm', 'shehbaz', 'sharif', 'condemns', 'social', 'media', 'campaigns', 'against', 'six', 'officers', 'killed', 'in', 'chopper', 'crash']
['when', 'walking', 'would', 'sufficeavinash', 'sable', 'ran']
['rivers', 'in', 'spate', 'as', 'heavy', 'rains', 'lash', 'many', 'parts', 'of', 'karnataka']
['indias', 'sandeep', 'kumar', 'wins', 'bronze', 'in', 'mens', '10000m', 'racewalk', 'at', 'commonwealth', 'games']
['raksha', 'bandhan', 'akshay', 'kumar', 'says', 'he', 'prefers', 'to', 'appear', 'in', 'clean', 'movie']
['real', 'housewives', 'of', 'new', 'jersey', 'star', 'teresa', 'giudice', 'ties', 'knot', 'with', 'luis', 'ruelas']
['inflation', 'trajectory', 'eyed', 'we', 'expect', 'terminal', 'repo', 'rate', 'would', 'be', '5', '75', 'by', 'fy23', 'end', 'deepak', 'jasani']
['heal', 'in', 'india', 'government', 'plans', 'interpreters', 'special', 'desks', 'at', '10', 'airports', 'for', 'ease', 'of', 'overseas', 'patients']
['hal', 'developing', 'long', 'endurance', 'drone', 'for', 'vigil', 'over', 'lac']
['bts', 'jungkook', 'lilting', 'to', 'matilda', 'and', 'daylight', 'is', 'the', 'rhythmic', 'crossover', 'internet', 'is', 'loving']
['irdai', 'to', 'revamp', 'grievance', 'redressal', 'mechanism', 'plans', 'to', 'call', 'it', 'bima', 'bharosa']
['will', 'the', 'emerging', 'market', 'crisis', 'eventually', 'touch', 'dalal', 'street']
['filmmaker', 'jennette', 'mccurdy', 'opens', 'up', 'about', 'harrowing', 'experience', 'at', 'nickelodeon']
['archie', 'battersbee', 'little', 'boy', 'nation', 'loved', 'is', 'no', 'more']
['vodafone', 'idea', 'says', 'industry', 'needs', 'tariff', 'increases', 'at', 'regular', 'intervals']
['inflation', 'hasnt', 'impacted', 'imported', 'spirits', 'segment', 'investing', 'in', 'brand', 'building', 'says', 'brown', 'forman']
['q1', 'results', 'this', 'week', 'lic', 'bharti', 'airtel', 'patanjali', 'foods', 'hero', 'moto']
['climate', 'change', 'making', 'prediction', 'difficult', 'for', 'weather', 'agencies', 'across', 'world', 'imd', 'dg']
['buffetts', 'berkshire', 'pounces', 'on', 'market', 'slump', 'to', 'buy', 'equities']
['anand', 'mahindra', 'shares', 'adorable', 'video', 'of', 'orangutan', 'feeding', 'tiger', 'cubs']
['5g', 'to', 'bring', 'new', 'apps', 'ranging', 'from', 'smart', 'ambulance', 'to', 'mixed', 'reality', 'tryouts', 'for', 'shoppers']
['jee', 'advanced', '2022', 'registration', 'starts', 'today', 'at', 'jeeadv', 'ac', 'in']
['crypto', 'movement', 'at', 'a', 'glance', 'bitcoin', 'holds', '23000', 'merge', 'on', 'the', 'cards', 'for', 'ether']
['alina', 'of', 'cuba', 'producer', 'responds', 'to', 'john', 'leguizamos', 'criticism', 'find', 'out', 'here']
['private', 'liquor', 'vend', 'employees', 'in', 'delhi', 'stare', 'at', 'uncertain', 'future']
['actor', 'neena', 'gupta', 'says', 'she', 'holds', 'no', 'grudge', 'against', 'ex', 'beau', 'cricketer', 'vivian', 'richards']
['vishwanathan', 'anand', 'elected', 'deputy', 'president', 'of', 'fide']
['spicejet', 'flyers', 'walk', 'on', 'delhi', 'airports', 'tarmac', 'after', 'waiting', 'for', 'bus', 'for', '45', 'min', 'dgca', 'probe', 'begins']
['isis', 'member', 'involved', 'in', 'funds', 'collection', 'arrested', 'from', 'delhi']
['gold', 'bulls', 'fail', 'to', 'survive', 'the', 'us', 'jobs', 'report', 'us', 'dollar', 'reclaims', 'upper', 'hand']
['indias', 'outbound', 'tourism', 'to', 'surpass', 'usd', '42', 'bn', 'by', '2024', 'report']
['weekly', 'options', 'strategy', 'nifty', 'bias', 'may', 'stay', 'positive', 'consider', 'call', 'ladder']
['air', 'india', 'to', 'bring', 'back', '10', 'grounded', 'wide', 'body', 'aircraft', 'to', 'service', 'by', 'early', '2023']
['mexicos', '71', 'year', 'old', 'basketball', 'player', 'granny', 'jordan', 'is', 'now', 'viral', 'tiktok', 'celebrity']
['bullet', 'train', 'actor', 'aaron', 'taylor', 'johns', 'brad', 'pitt', 'share', 'one', 'common', 'trait', 'find', 'out', 'here']
['kho', 'kho', 'gilli', 'danda', 'among', '75', 'indian', 'sports', 'to', 'be', 'in', 'school', 'curriculum']
['honoured', 'to', 'be', 'onboard', 'indias', '1st', 'indigenous', 'aircraft', 'carrier', 'mohanlal', 'after', 'iac', 'vikrant', 'visit']
['why', 'rate', 'hike', 'by', 'rbi', 'may', 'not', 'compromise', 'growth']
['aipef', 'chairman', 'calls', 'claim', 'to', 'provide', 'choice', 'to', 'power', 'consumers', 'misleading']
['introduction', 'of', 'wild', 'cheetahs', 'to', 'indian', 'reserves', 'involves', 'risks', 'and', 'opportunities', 'top', 'south', 'african', 'expert']
['hp', 'tet', '2022', 'exam', 'begins', 'today', 'check', 'whats', 'allowed', 'and', 'whats', 'not']
['britney', 'spears', 'boys', 'keeping', 'away', 'from', 'their', 'mother', 'reveals', 'ex', 'husband', 'kevin', 'federline']
['how', 'eb', '5', 'concurrent', 'filing', 'will', 'let', 'investors', 'live', 'work', 'and', 'study', 'in', 'the', 'us']
['dbs', 'group', 'bullish', 'about', 'india', 'to', 'grow', 'through', 'phygital', 'model', 'in', 'country', 'says', 'ceo', 'piyush', 'gupta']
['one', 'shutter', 'of', 'cheruthoni', 'dam', 'opened', 'kerala', 'minister', 'says', 'no', 'need', 'to', 'worry']
['veering', 'to', 'conclusion', 'parliament', 'dysfunctional', 'democracy', 'gasping', 'for', 'breath', 'chidambaram']
['australias', 'iconic', 'folk', 'singer', 'judith', 'durham', 'passes', 'away']
['cipla', 'betting', 'big', 'on', 'digitisation', 'and', 'emerging', 'segments']
