['hdfc', 'hdfc', 'life', 'insurance', 'acquires', 'stake', 'in', 'xanadu', 'realty']
['robust', 'reforms', 'can', 'help', 'counter', 'inflation', 'global', 'headwinds', 'cii', 'prez']
['mosque', 'panel', 'says', 'order', 'one', 'sided', 'dismisses', 'claim']
['india', 'hosting', 'scos', 'rats', 'meeting', 'amid', 'afpak', 'terror', 'threat']
['army', 'says', 'china', 'building', 'infrastructure', 'near', 'arunachal', 'border']
['west', 'bengal', 'post', 'poll', 'violence', 'cbi', 'summons', 'tmc', 'mla', 'paresh', 'pal']
['sc', 'to', 'hear', 'gyanvapi', 'mosque', 'case', 'today']
['monsoon', 'covers', 'most', 'parts', 'of', 'andaman', 'some', 'of', 'bay', 'of', 'bengal']
['jp', 'nadda', 'reaches', 'out', 'to', 'diplomats', 'under', 'know', 'bjp']
['in', 'nepal', 'pm', 'modi', 'invokes', 'common', 'heritage', 'shared', 'buddhist', 'values']
['discovery', 'proves', 'that', 'gyanvapi', 'mosque', 'was', 'built', 'over', 'temple', 'vhp']
['european', 'buyers', 'not', 'keen', 'to', 'pick', 'up', 'darjeeling', 'tea']
['women', 'tribals', 'farmers', 'make', 'up', 'bjps', 'focus', 'areas', 'in', 'gujarat']
['lenskart', 'subsidiary', 'neso', 'brands', 'raises', '100', 'million', 'in', 'funding', 'led', 'by', 'kkr', 'others']
['karnataka', 'christian', 'leaders', 'ask', 'governor', 'not', 'to', 'sign', 'conversion', 'ordinance']
['lets', 'invest', 'in', 'heat', 'waive']
['q4', 'preview', 'bharti', 'airtel', 'set', 'to', 'report', 'above', '20', 'revenue', 'growth', 'arpu', 'seen', 'at', 'rs', '178']
['why', 'india', 'should', 'recalibrate', 'its', 'power', 'plan']
['punjab', 'congress', 'to', 'launch', 'statewide', 'campaign', 'to', 'wake', 'aap', 'govt', 'from', 'its', 'honeymoon', 'slumber']
['2', 'du', 'colleges', 'offer', 'ias', 'coaching', 'varsity', 'says', 'they', 'are', 'not', 'allowed', 'to', 'do', 'so']
['pained', 'by', 'gyanvapi', 'masjid', 'survey', '1991', 'sc', 'verdict', 'being', 'ignored', 'asaduddin', 'owaisi']
['bjp', 'to', 'hold', 'three', 'day', 'high', 'level', 'meet', 'in', 'jaipur', 'from', 'may', '19', 'pm', 'modi', 'to', 'address', 'virtually']
['vil', 'says', 'multiple', 'network', 'initiatives', 'boosted', '4g', 'experience', 'for', 'customers', 'in', 'delhi', 'ncr']
['15', 'persons', 'fall', 'ill', 'due', 'to', 'leakage', 'of', 'chlorine', 'gas', 'in', 'west', 'bengals', 'murshidabad']
['asaduddin', 'owaisi', 'visited', 'aurangzebs', 'tomb', 'when', 'fadnavis', 'was', 'cm', 'says', 'maharashtra', 'congress', 'leader']
['stop', 'making', 'provocative', 'remarks', 'priests', 'body', 'to', 'hindu', 'muslim', 'groups']
['market', 'movers', 'amid', 'allegation', 'of', 'frontrunning', 'aditya', 'birla', 'capital', 'absl', 'amc', 'shares', 'tank', 'up', 'to', '8']
['ahead', 'of', 'market', '12', 'things', 'that', 'will', 'decide', 'd', 'street', 'action', 'on', 'tuesday']
['kumaraswamy', 'hits', 'back', 'at', 'rahul', 'for', 'remark', 'on', 'regional', 'parties', 'says', 'congress', 'has', 'phobia']
['nse', 'co', 'location', 'case', 'court', 'cites', 'bob', 'dylan', 'frankenstein', 'while', 'denying', 'bail', 'to', 'accused']
['opposition', 'parties', 'slam', 'assam', 'minister', 'for', 'apologising', 'to', 'ulfai']
['catherine', 'tate', 'hints', 'return', 'to', 'the', 'doctor', 'who', 'show', 'during', 'the', 'this', 'morning', 'interview']
['l', 'r', 'bishnoi', 'new', 'meghalaya', 'dgp']
['bjp', 'has', 'given', 'me', 'everything', 'will', 'continue', 'performing', 'duties', 'with', 'devotion', 'biplab', 'deb']
['quordle', 'today', '112', 'clues', 'for', 'quordle', '16', 'may', 'answer']
['union', 'minister', 'meghwal', 'launches', 'mental', 'health', 'helpline']
['mumbai', 'logs', '50', 'pc', 'drop', 'in', 'coronavirus', 'cases', 'at', '74', 'but', 'surpasses', 'april', 'count', 'no', 'new', 'death']
['republican', 'madison', 'cawthorn', 'to', 'face', 'primary', 'voters', 'amid', 'controversies']
['byjus', 'acquires', 'us', 'edtech', 'firm', 'epic', 'in', '500', 'million', 'deal']
['kenya', 'elections', '2022', 'raila', 'odinga', 'names', 'martha', 'karua', 'as', 'running', 'mate']
['wordle', 'answer', 'for', 'monday', 'may', '16', '331']
['goldman', 'sachs', 'forecasts', 'worse', 'case', 'recession', 'as', 'traders', 'dump', 'stocks', 'crypto']
['maryland', 'sen', 'chris', 'van', 'hollen', 'suffers', 'minor', 'stroke', 'on', 'stage', 'while', 'giving', 'speech', 'hospitalised']
['machine', 'gun', 'kelly', 'hints', 'marriage', 'pregnancy', 'speculations', 'with', 'megan', 'fox', 'at', 'bbmas']
['certain', 'groups', 'want', 'karnataka', 'govt', 'to', 'sideline', 'minorities', 'says', 'archbishop']
['railways', 'earns', 'additional', 'rs', '1500', 'crore', 'from', 'senior', 'citizens', 'by', 'suspending', 'ticket', 'concession', 'rti']
['delhivery', 'losing', 'its', 'grip', 'in', 'grey', 'market', 'after', 'poor', 'subscription', 'figures']
['whiteland', 'corp', 'to', 'invest', 'rs', '3500', 'crore', 'for', 'expansion']
['pennsylvania', 'us', 'senate', 'candidate', 'john', 'fetterman', 'recovering', 'after', 'suffering', 'a', 'stroke']
['jdu', 'supports', 'bjp', 'mps', 'campaign', 'against', 'raj', 'thackeray']
['supreme', 'court', 'to', 'hear', 'plea', 'of', 'gyanvapi', 'mosque', 'committee', 'against', 'survey', 'on', 'tuesday']
['stop', 'think', 'before', 'you', 'pop', 'that', 'pill', 'antibiotics', 'can', 'cause', 'life', 'threatening', 'fungal', 'infections', 'heres', 'how']
['biden', 'administration', 'unveils', 'action', 'plan', 'for', 'housing', 'supply', 'shortage']
['army', 'completes', 'court', 'of', 'inquiry', 'into', 'killing', 'of', 'nagaland', 'civilians']
['david', 'mccormick', 'criticizes', 'biden', 'for', 'driving', 'up', 'gas', 'costs', 'by', 'restricting', 'pennsylvanias', 'bountiful', 'energy', 'supply']
['newly', 'appointed', 'pm', 'wickremesinghe', 'says', 'his', 'aim', 'is', 'to', 'save', 'crisis', 'hit', 'sri', 'lanka']
['dont', 'bottom', 'fish', 'right', 'now', 'big', 'correction', 'coming', 'in', '6', 'to', '12', 'months', 'girish', 'pai']
['paytms', 'raheja', 'qbe', 'deal', 'is', 'off', 'navi', 'finserv', 'to', 'raise', 'rs', '600', 'cr', 'from', 'bond', 'sale']
['govt', 'puts', 'pawan', 'hans', 'sale', 'on', 'hold', 'over', 'nclt', 'order', 'against', 'winning', 'consortium', 'member']
['dth', 'players', 'seek', '8', 'licence', 'fee', 'waiver', 'to', 'remain', 'competitive']
['iit', 'hyderabad', 'to', 'offer', 'ug', 'course', 'in', 'vlsi', 'design', 'and', 'technology']
['counting', 'for', '1st', 'phase', 'of', 'jharkhand', 'panchayat', 'polls', 'to', 'start', 'on', 'tuesday']
