['lata', 'mangeshkar', 'back', 'on', 'ventilator', 'under', 'aggressive', 'therapy', 'doctor']
['if', 'cos', 'have', 'views', 'on', 'chairperson', 'md', 'posts', 'separation', 'sebi', 'should', 'hear', 'them', 'fm']
['the', 'present', 'is', 'a', 'strange', 'country']
['stick', 'to', 'college', 'uniform', 'says', 'karnataka', 'government', 'as', 'hijab', 'issue', 'escalates']
['those', 'behind', 'mahatma', 'gandhis', 'assassination', 'opened', 'fir', 'at', 'me', 'asaduddin', 'owaisi']
['tata', 'power', 'resurgent', 'outbid', 'others', 'for', 'southeast', 'up', 'power']
['synergy', 'among', 'infra', 'ministries', 'will', 'reduce', 'logistics', 'costs', 'sarbananda', 'sonowal']
['indias', 'millennium', 'moment', 'statistical', 'highlights', 'of', 'mens', 'cricket', 'team', 'as', 'it', 'is', 'set', 'to', 'play', '1000th', 'odi']
['its', '90', 'per', 'cent', 'versus', '10', 'per', 'cent', 'now', 'says', 'adityanath', 'on', 'up', 'polls']
['goi', 'is', 'putting', 'a', 'spotlight', 'on', 'infrastructure', 'led', 'growth', 'but', 'how', 'soon', 'will', 'this', 'crowd', 'in', 'private', 'investments']
['prime', 'minister', 'narendra', 'modi', 'to', 'address', 'rally', 'in', 'goa', 'virtually', 'tomorrow']
['bjp', 'candidates', 'are', 'being', 'shooed', 'away', 'in', 'many', 'areas', 'jayant', 'chaudhary', 'president', 'rld']
['customs', 'act', 'clause', 'to', 'criminalise', 'illicit', 'publication', 'of', 'data']
['sedition', 'charge', 'on', 'congresss', 'ajay', 'rai', 'in', 'varanasi', 'over', 'remarks', 'on', 'modi', 'adityanath']
['over', '169', 'crore', 'covid', 'vaccine', 'doses', 'administered', 'in', 'india', 'govt']
['individuals', 'need', 'role', 'clarity', 'but', 'will', 'carry', 'on', 'from', 'where', 'virat', 'had', 'left', 'rohit', 'sharma']
['india', 'bowl', 'out', 'england', 'for', '189', 'in', 'u', '19', 'world', 'cup', 'final']
['mumbais', 'landmark', 'khadi', 'emporium', 'oldest', 'such', 'shop', 'in', 'country', 'banned', 'from', 'selling', 'khadi', 'products']
['reliance', 'jio', 'faces', 'outage', 'in', 'mumbai', 'circle']
['no', 'post', 'poll', 'alliance', 'with', 'sad', 'union', 'minister', 'hardeep', 'puri']
['manipur', 'chief', 'minister', 'nongthombam', 'biren', 'files', 'nominations', 'from', 'heingang', 'constituency']
['tv', 'debates', 'no', 'spokespersons', 'a', 'revolution', 'that', 'deserves', 'a', 'future']
