['govt', 'defers', 'eoi', 'deadline', 'for', 'air', 'india', 'divestment', 'to', 'august', 'end']
['uncertainty', 'risk', 'of', 'second', 'wave', 'challenges', 'for', 'it', 'sector', 'says', 'infosys', 'ceo', 'salil', 'parekh']
['chillies', 'the', 'ingredient', 'that', 'unites', 'india', 'and', 'china']
['hong', 'kong', 'police', 'ban', 'major', 'security', 'law', 'protest']
['new', 'recruits', 'in', 'terror', 'outfits', 'are', 'coming', 'down', 'drastically', 'dilbag', 'singh', 'dgp', 'jammu', 'and', 'kashmir']
['covid', '19', 'bda', 'private', 'flats', 'to', 'be', 'used', 'to', 'add', '10000', 'beds', 'in', 'bengaluru', 'says', 'k', 'sudhakar']
['earthquake', 'of', '2', '4', 'magnitude', 'hits', 'haryanas', 'rohtak']
['india', 'moves', 'air', 'defence', 'missile', 'systems', 'into', 'eastern', 'ladakh', 'sector']
['karnataka', 'announces', 'total', 'lockdown', 'on', 'sundays', 'starting', 'july', '5']
['swiss', 'drugmaker', 'roche', 'says', 'demand', 'for', 'covid', '19', 'tests', 'exceeds', 'production']
['not', 'easy', 'for', 'local', 'phone', 'companies', 'to', 'match', 'china', 'peers']
['infosys', 'helping', 'clients', 'deal', 'with', 'covid', '19', 'challenge', 'nandan', 'nilekani']
['investors', 'in', 'talks', 'with', 'firms', 'to', 'diversify', 'china', 'exposure', 'in', 'supply', 'chain', 'funding']
['from', '1', 'to', '5', 'lakh', 'cases', 'in', '39', 'days', 'medical', 'experts', 'point', 'to', 'increased', 'testing']
['irdai', 'asks', 'insurers', 'to', 'offer', 'corona', 'standard', 'policy', 'by', 'july', '10']
['pakistan', 'announces', 'record', 'increase', 'in', 'fuel', 'prices']
['it', 'doesnt', 'commit', 'extortion', 'at', 'any', 'point', 'of', 'time', 'but', 'levies', 'legitimate', 'taxes', 'from', 'the', 'people', 'nscn', 'im']
['resurgence', 'in', 'cases', 'likely', 'to', 'keep', 'most', 'hotel', 'rooms', 'locked']
['zimbabwe', 'suspends', 'stock', 'exchange', 'mobile', 'payments', 'over', 'economic', 'sabotage']
['sbi', 'working', 'on', 'setting', 'up', 'e', 'commerce', 'portal', 'for', 'msmes', 'rajnish', 'kumar']
['railways', 'completes', '200', 'delayed', 'projects', 'during', 'lockdown']
['govt', 'offers', 'filing', 'of', 'nil', 'gst', 'statement', 'in', 'form', 'gstr', '1', 'through', 'sms']
['dalal', 'street', 'week', 'ahead', 'strong', 'resilience', 'on', 'downside', 'but', 'nifty', 'will', 'struggle', 'to', 'top', '200dma']
['tv', 'shoots', 'resume', 'in', 'mumbais', 'film', 'city', 'naigaon', 'with', 'minimal', 'crew', 'and', 'revised', 'scripts', 'for', 'social', 'distancing']
['companies', 'give', 'employees', 'a', 'break', 'as', 'very', 'few', 'apply', 'for', 'leave', 'now']
['brave', 'new', 'world', 'record', 'gold', 'delivery', 'hints', 'at', 'significant', 'dollar', 'devaluation']
['indias', '6', 'crore', 'msmes', 'need', 'immediate', 'reliefs', 'on', 'loans', 'simple', 'compliance', 'to', 'revive', 'taskforce']
['rbi', 'extends', 'enhanced', 'borrowing', 'limit', 'under', 'msf', 'till', 'sep', '30']
['police', 'question', 'yrf', 'execs', 'about', 'sushant', 's', 'rajputs', 'contract', 'record', 'casting', 'director', 'shanoo', 'sharmas', 'statement']
['home', 'minister', 'amit', 'shah', 'visits', '10000', 'bed', 'covid', 'care', 'facility', 'in', 'delhi', 'reviews', 'arrangements']
['onepluss', 'budget', 'smartphone', 'likely', 'to', 'sport', 'dual', 'front', 'cameras', 'may', 'be', 'named', 'nord']
['china', 'grabbed', '45000', 'sq', 'kms', 'of', 'indian', 'land', 'post', '1962', 'war', 'sharad', 'pawar']
['common', 'childhood', 'vaccine', 'might', 'prevent', 'severe', 'complications', 'of', 'covid', '19', 'says', 'study']
['disneys', 'mulan', 'delayed', 'for', 'third', 'time', 'will', 'now', 'release', 'on', 'august', '21']
['ram', 'temple', 'settlement', 'caa', 'were', 'not', 'possible', 'without', 'modis', 'leadership', 'anurag', 'thakur']
['sheer', 'profiteering', 'by', 'centre', 'yashwant', 'sinha', 'on', 'fuel', 'price', 'hike']
['target', 'should', 'be', 'to', 'increase', 'daily', 'covid', '19', 'testing', 'capacity', 'to', '25000', 'up', 'cm', 'adityanath']
['one', 'killed', 'in', 'gas', 'leak', 'at', 'andhra', 'industrial', 'plant']
['india', 'plans', 'list', 'of', 'substitute', 'nations', 'for', 'critical', 'imports']
['29', 'foreign', 'terrorists', 'active', 'in', 'south', 'kashmir', 'igp']
['8', 'states', 'contributed', '85', 'per', 'cent', 'covid', '19', 'caseload', '87', 'per', 'cent', 'deaths', 'health', 'ministry']
['ntpc', 'q4', 'results', 'profit', 'falls', '71', 'to', 'rs', '1252', 'crore', 'announces', 'dividend', 'of', 'rs', '2', '65', 'per', 'share']
['ed', 'questions', 'ahmed', 'patel', 'at', 'his', 'residence']
['bezos', 'buys', 'self', 'driving', 'startup', 'musk', 'calls', 'him', 'copy', 'cat']
['pakistan', 'trying', 'to', 'create', 'mirage', 'of', 'goodwill', 'over', 'kartarpur', 'india']
['asean', 'takes', 'position', 'against', 'chinas', 'vast', 'historical', 'sea', 'claims']
['oil', 'india', 'q4', 'results', 'company', 'back', 'in', 'black', 'on', 'lower', 'taxes', 'posts', 'net', 'profit', 'of', 'rs', '926', 'crore']
['rahul', 'gandhi', 'asks', 'govt', 'to', 'grant', 'compensation', 'to', 'farmers', 'affected', 'by', 'locust', 'attack']
['samsung', 'galaxy', 'm21', 'review', 'a', 'judicious', 'mix', 'of', 'features', 'and', 'performance', 'gets', 'the', 'day', 'to', 'day', 'work', 'done', 'easily']
['pm', 'should', 'condemn', 'china', 'publicly', 'for', 'incursions', 'take', 'strong', 'quick', 'action', 'congress']
['tamil', 'nadu', 'cm', 'palaniswami', 'pegs', 'rs', '85000', 'crore', 'fiscal', 'deficit']
['jiomart', 'unleashes', 'discounts', 'in', 'e', 'grocery', 'fight']
['margot', 'robbie', 'to', 'headline', 'disneys', 'female', 'led', 'version', 'of', 'pirates', 'of', 'the', 'caribbean']
['iit', 'jodhpur', 'goes', 'online', 'for', 'conducting', 'examinations', 'and', 'next', 'semester']
