['pm', 'modi', 'greets', 'dalai', 'lama', 'on', 'his', 'birthday']
['odisha', 'clears', 'projects', 'worth', '1', '46', 'lakh', 'cr']
['this', 'steel', 'frame', 'is', 'holding', 'up']
['kotak', 'mahindra', 'bank', 'subsidiary', 'to', 'acquire', '10', 'stake', 'in', 'kipl']
['modi', 'cabinet', 'reshuffle', 'expected', 'soon', 'bjp', 'mps', 'asked', 'to', 'reach', 'delhi']
['bjps', 'mahila', 'morcha', 'to', 'launch', 'campaign', 'to', 'reach', 'out', 'to', 'women', 'voters', 'keeping', '2024', 'in', 'mind']
['death', 'certificate', 'be', 'not', 'proud']
['success', 'spelt', 'by', 'big', 'startup', 'listings']
['indo', 'pacific', 'reflects', 'benefits', 'of', 'rebalancing', 'external', 'affairs', 'minister', 's', 'jaishankar']
['paytm', 'may', 'raise', 'rs', '16600', 'cr', 'in', 'ipo', 'valuation', 'expected', 'to', 'be', 'over', 'rs', '1', '78', 'lakh', 'cr']
['home', 'secy', 'holds', 'meet', 'on', 'jk', 'security']
['2018', 'champion', 'kerber', 'first', 'timers', 'into', 'wimbledon', 'semifinals']
['dhfl', 'resolution', 'nclat', 'issues', 'notices', 'to', 'lenders', 'piramal', 'on', '63', 'moons', 'techs', 'plea']
['newly', 'promoted', 'pla', 'general', 'to', 'head', 'chinese', 'troops', 'along', 'indian', 'border', 'amid', 'eastern', 'ladakh', 'standoff']
['tata', 'power', 'shareholders', 'approve', 'reappointment', 'of', 'n', 'chandrasekaran', 'as', 'director']
['view', 'for', 'pakistan', 'it', 'may', 'be', 'another', 'you', 'are', 'with', 'us', 'or', 'against', 'us', 'moment']
['the', 'process', 'cannot', 'be', 'the', 'punishment']
['govt', 'to', 'get', 'about', 'rs', '3700', 'cr', 'from', 'nmdc', 'ofs']
['keep', 'it', 'fair', 'and', 'open', 'jk', 'parties', 'to', 'delimitation', 'panel']
['clean', 'science', 'and', 'technology', 'raises', 'rs', '464', 'cr', 'from', 'anchor', 'investors']
