['godfrey', 'phillips', 'indias', 'net', 'profit', 'sees', 'two', 'fold', 'jump', 'to', 'rs', '112', 'cr', 'in', 'jun', 'quarter']
['for', 'a', 'more', 'holistic', 'scrappage', 'policy']
['a', 'farce', 'at', 'doha', 'force', 'in', 'afghanistan']
['nse', 'bse', 'bulk', 'deals', 'ashish', 'dhawan', 'sells', 'stake', 'in', 'max', 'india']
['godrej', 'industries', 'q1', 'results', 'co', 'posts', 'net', 'profit', 'at', 'rs', '186', 'crore']
['taliban', 'sweep', 'across', 'afghanistans', 'south', 'take', 'three', 'more', 'cities']
['he', 'is', 'a', 'titan', 'among', 'saints']
['nhpc', 'q1', 'results', 'net', 'profit', 'up', '15', 'at', 'rs', '983', 'crore']
['u', 's', 'military', 'base', 'in', 'washington', 'on', 'lockdown', 'due', 'to', 'potential', 'armed', 'individual']
['spare', 'a', 'thought', 'for', 'mir', 'jafar', 'tomorrow']
['india', 'in', 'the', 'drivers', 'seat']
['nayara', 'energy', 'raises', 'rs', '2285', 'crore', 'in', 'debt']
['record', 'high', 'exports', 'in', 'july', 'trade', 'deficit', 'widens']
['managing', 'strategy']
['mindspace', 'reit', 'q1', 'results', 'co', 'posts', 'operating', 'income', 'at', 'rs', '360', 'crore']
['nbcc', 'q1', 'results', 'net', 'profit', 'jumps', 'over', 'three', 'fold', 'to', 'rs', '37', 'crore']
['blood', 'and', 'billions', 'of', 'dollars', 'natos', 'long', 'war', 'in', 'afghanistan']
['over', 'speeding', 'a', 'major', 'cause', 'of', 'road', 'accidents', 'in', 'assam', 'government']
['india', 'constantly', 'monitoring', 'situation', 'in', 'afghanistan']
['indias', 'bharat', 'biotechs', 'nasal', 'covid', '19', 'vaccine', 'advances', 'into', 'next', 'stage', 'of', 'trials']
['rs', '14744', '99', 'cr', 'approved', 'for', 'states', 'uts', 'under', 'covid', 'emergency', 'response', 'package']
['sii', 'chairman', 'cyrus', 'poonawalla', 'says', 'booster', 'dose', 'of', 'covishield', 'desirable']
['vijay', 'mallyas', 'kingfisher', 'house', 'finally', 'sold', 'for', 'rs', '52', '25', 'crore', 'in', 'ninth', 'auction']
['vehicle', 'scrappage', 'policy', 'to', 'help', 'usher', 'in', 'greater', 'investments', 'into', 'auto', 'industry', 'renault']
['assam', 'budget', 'session', 'ends', 'assembly', 'adjourned', 'sine', 'die']
['icici', 'home', 'finance', 'launches', 'on', 'the', 'spot', 'home', 'loan', 'for', 'workers', 'having', 'no', 'itr']
['tmcs', 'mukul', 'roy', 'again', 'says', 'bjp', 'will', 'win', 'by', 'poll', 'kicks', 'up', 'fresh', 'row']
['gmr', 'infra', 'gets', 'rs', '1692', 'crore', 'in', 'first', 'tranche', 'from', 'stake', 'sale', 'in', 'kakinada', 'sez']
['ad', 'volumes', 'and', 'advertisers', 'grow', 'in', 'july', 'report']
['arunachal', 'pradesh', 'cm', 'pema', 'khandu', 'launches', 'state', 'wide', 'area', 'network', 'promoting', 'digital', 'connectivity']
['indian', 'oil', 'plans', 'to', 'install', 'electric', 'vehicle', 'charging', 'facility', 'at', '100', 'outlets', 'in', 'maharashtra']
['taliban', 'tame', 'the', 'lion', 'of', 'herat', 'capture', 'his', 'afghan', 'city']
['govt', 'backed', 'ifci', 'slips', 'to', 'high', 'yield', 'grade', 'raises', 'investor', 'concern']
['paks', 'allegations', 'against', 'india', 'on', 'terror', 'attack', 'in', 'khyber', 'pakhtunkhwa', 'lies', 'mea']
['independence', 'day', 'assam', 'announces', 'covid', '19', 'guidelines']
['paytm', 'ipo', 'former', 'one', '97', 'communication', 'director', 'urges', 'sebi', 'to', 'stall', 'the', 'public', 'issue']
['no', 'plan', 'for', 'ipo', 'as', 'of', 'now', 'says', 'bajaj', 'allianz', 'life', 'ceo']
['upa', 'allies', 'oppn', 'cms', 'accept', 'sonia', 'gandhi', 'invite', 'amid', 'race', 'for', 'anchoring', 'anti', 'bjp', 'meetings']
['assam', 'to', 'introduce', 'rent', 'authority', 'to', 'protect', 'landlords', 'tenants']
['max', 'group', 'to', 'enter', 'residential', 'segment', 'in', 'fy22']
['vaccine', 'export', 'ban', 'very', 'bad', 'move', 'son', 'warned', 'not', 'to', 'speak', 'against', 'it', 'siis', 'cyrus', 'poonawala']
['pakistan', 'considers', 'us', 'a', 'friend', 'shares', 'objective', 'of', 'peace', 'in', 'afghanistan', 'foreign', 'office']
['paddy', 'planting', 'marginally', 'down', 'at', '349', '24', 'lac', 'hectare', 'so', 'far', 'government', 'data']
['rbi', 'cancels', 'licence', 'of', 'maharashtra', 'based', 'karnala', 'nagari', 'sahakari', 'bank']
['robust', 'corporate', 'framework', 'can', 'build', 'far', 'resilient', 'financial', 'systems', 'rbi', 'deputy', 'governor', 'mk', 'jain']
['fund', 'managers', 'for', 'the', 'richie', 'rich', 'deliver', 'up', 'to', '4', 'times', 'their', 'benchmark', 'returns', 'in', 'july']
['cai', 'lowers', 'cotton', 'crop', 'estimates', 'to', '354', '5', 'lakh', 'bales', 'for', 'this', 'fiscal']
['govt', 'notifies', 'extension', 'of', 'rosctl', 'scheme', 'for', 'textile', 'exporters']
['ashok', 'leyland', 'plans', 'expanding', 'into', 'african', 'southeast', 'asian', 'mkts']
['govt', 'to', 'spend', 'rs', '3', 'lakh', 'crore', 'under', 'nep', 'over', 'next', '5', 'years', 'bjp', 'mp', 'ramesh', 'bidhuri']
['sc', 'deprecates', 'endeavour', 'of', 'govt', 'authorities', 'in', 'approaching', 'court', 'with', 'delayed', 'appeals']
['tracxn', 'technologies', 'files', 'ipo', 'papers', 'with', 'sebi']
['spicejet', 'q1', 'results', 'cos', 'net', 'loss', 'widens', 'to', 'rs', '729', 'crore']
['bounce', 'to', 'train', '100000', 'women', 'to', 'ride', 'ev', 'scooters', 'over', 'the', 'next', 'two', 'years']
['tamil', 'nadu', 'fm', 'cuts', 'tax', 'on', 'petrol', 'by', 'rs', '3', 'per', 'litre']
['sebi', 'bars', '15', 'entities', 'and', 'individuals', 'in', 'zeel', 'insider', 'trading', 'case']
['visa', 'could', 'gain', '5', 'incremental', 'share', 'as', 'curbs', 'on', 'mastercard', 'continue']
['index', 'stocks', 'to', 'hog', 'limelight', 'next', 'week', 'as', 'broad', 'market', 'rally', 'pauses']
['competition', 'commission', 'approves', 'zomato', 'buying', '9', '3', 'pc', 'stake', 'in', 'grofers', 'india']
['tn', 'budget', 'is', 'likely', 'to', 'boost', 'economy', 'tvs', 'motor', 'chairman']
['ola', 'gets', 'cci', 'nod', 'for', 'investments', 'by', 'temasek', 'warburg', 'pincus', 'founder', 'bhavish', 'aggarwal']
['eruditus', 'is', 'indias', 'fourth', 'edtech', 'unicorn', 'valued', 'at', '3', '2', 'billion']
['india75', 'rpm']
['ettech', 'deals', 'digest', 'india', 'minted', 'three', 'unicorns', 'this', 'week']
['bounce', 'to', 'train', '100000', 'women', 'to', 'ride', 'ev', 'scooters', 'over', 'the', 'next', 'two', 'years']
['top', 'model', 'bella', 'hadid', 'says', 'she', 'was', 'embarrassed', 'of', 'her', 'red', 'carpet', 'look', 'at', 'cannes', '2016']
['in', 'rare', 'british', 'mass', 'shooting', 'gun', 'kills', 'five', 'including', '3', 'year', 'old', 'girl']
['pwc', 'india', 'will', 'be', 'a', 'billion', 'dollar', 'plus', 'firm', 'by', '2027', 'sanjeev', 'krishan']
['shutdown', 'protests', 'in', 'j', 'ks', 'rajouri', 'after', 'grenade', 'hurled', 'at', 'bjp', 'leaders', 'house']
