['rmz', 'set', 'to', 'acquire', 'large', 'land', 'parcel', 'in', 'gurgaon']
['punjab', 'fulfill', 'its', 'first', 'poll', 'promise', 'announces', '300', 'units', 'of', 'free', 'electricity', 'from', 'july', '1']
['rcb', 'defeat', 'dc', 'by', '16', 'runs', 'in', 'ipl']
['gandhis', 'want', 'prashant', 'kishor', 'party', 'brass', 'served', 'his', 'wish', 'list']
['jahangirpuri', 'clash', 'breaks', 'out', 'in', 'delhi', 'during', 'hanuman', 'jayanti', 'event']
['except', 'in', 'bihar', 'ruling', 'parties', 'win', 'by', 'elections']
['view', 'didi', 'knows', 'how', 'to', 'geo', 'indicate']
['the', 'mystery', 'of', 'the', 'missing', 'vatapi', 'ganapati']
['ukraine', 'war', 'far', 'from', 'over', 'as', 'russia', 'renews', 'strikes', 'in', 'kyiv']
['leaders', 'of', '13', 'opposition', 'parties', 'condemn', 'hate', 'speeches', 'seeks', 'punishment', 'for', 'communal', 'violence', 'perpetrators']
['indian', 'premier', 'league', '15', 'years', 'ago', 'cricket', 'changed', 'forever']
['british', 'pm', 'boris', 'johnsons', 'visit', 'to', 'give', 'big', 'push', 'to', 'bilateral', 'fta']
['technology', 'is', 'the', 'answer', 'to', 'question', 'paper', 'leaks', 'says', 'ups', 'top', 'police', 'officer', 'prashant', 'kumar']
['prime', 'minister', 'modis', '72', 'hours', 'in', 'gujarat', 'to', 'be', 'packed', 'with', 'unveiling', 'of', 'projects']
['saudi', 'crown', 'prince', 'mbs', 'invites', 'new', 'pakistan', 'pm', 'shehbaz', 'to', 'riyadh']
['lsg', 'win', 'by', '18', 'runs', 'mi', 'suffer', 'sixth', 'successive', 'defeat']
['vladimir', 'putin', 'saudi', 'crown', 'prince', 'upbeat', 'on', 'opec']
['old', 'game', 'new', 'spectacle', 'with', 'the', 'waning', 'of', 'the', 'pandemic', 'sporting', 'leagues', 'for', 'kho', 'kho', 'and', 'handball', 'are', 'raring', 'to', 'kick', 'off']
['jahangirpuri', 'violence', 'amit', 'shah', 'speaks', 'to', 'top', 'delhi', 'police', 'officers', 'directs', 'them', 'to', 'take', 'necessary', 'action']
['with', 'cm', 'busy', 'chasing', 'opposition', 'on', 'bulldozer', 'jungle', 'raj', 'prevails', 'in', 'up', 'akhilesh', 'yadav']
['covid', '19', 'delhi', 'sees', '461', 'fresh', 'cases', '2', 'deaths']
['hdfc', 'bank', 'to', 'raise', 'rs', '50000', 'cr', 'via', 'bonds', 're', 'appoints', 'renu', 'karnad', 'as', 'director']
['heavy', 'security', 'deployed', 'in', 'delhis', 'jahangirpuri', 'after', 'clash']
['vaccination', 'over', '1', '42', 'lakh', 'precaution', 'doses', 'administered', 'in', 'the', 'country']
['delhi', 'school', 'asks', 'parents', 'not', 'send', 'children', 'on', 'monday', 'after', 'student', 'tests', 'positive', 'for', 'covid']
['mahindra', 'mahindra', 'to', 'sell', 'entire', 'stake', 'in', 'mahindra', 'sanyo', 'special', 'steel', 'for', 'rs', '212', 'crore']
['bjp', 'will', 'go', 'to', 'people', 'for', '2023', 'polls', 'with', 'report', 'card', 'on', 'positive', 'governance', 'cm', 'basavaraj', 'bommai']
['aam', 'aadmi', 'party', 'appeals', 'for', 'bjps', 'boycott', 'calls', 'it', 'party', 'of', 'goons']
['chinas', 'covid', 'restrictions', 'spiral', 'into', 'crisis', 'for', 'country', 'remarkably', 'for', 'xi', 'jinping']
['covid', '19', 'maharashtra', 'reports', '98', 'new', 'cases', 'no', 'deaths']
['youtube', 'will', 'bring', 'shorts', 'to', 'desktops', 'tablets', 'new', 'feature', 'will', 'let', 'creators', 'pick', 'clips', 'from', 'longer', 'videos']
['leaders', 'of', '13', 'opposition', 'parties', 'express', 'concern', 'over', 'recent', 'communal', 'violence', 'question', 'pms', 'silence']
['prashant', 'kishor', 'wants', 'to', 'join', 'congress', 'briefs', 'top', 'brass', 'on', 'strategy', 'for', '2024']
['court', 'upholds', 'order', 'asking', 'cbi', 'to', 'withdraw', 'loc', 'against', 'aakar', 'patel']
['manipur', 'cm', 'biren', 'singh', 'expands', 'cabinet', 'inducts', 'six', 'more', 'ministers']
['babul', 'supriyo', 'the', 'roller', 'coaster', 'man', 'comes', 'back', 'with', 'a', 'ballygunge', 'win']
['view', 'how', 'can', 'anyone', 'be', 'bharat', 'matas', 'father']
['okinawa', 'to', 'recall', '3215', 'units', 'of', 'praise', 'pro', 'after', 'electric', 'scooters', 'catch', 'fire']
['muslim', 'community', 'to', 'move', 'mp', 'high', 'court', 'against', 'bjp', 'govts', 'selective', 'demolition', 'drive', 'post', 'violence']
['vedanta', 'calls', 'for', 'corporatisation', 'of', 'defence', 'psus']
['corruption', 'case', 'court', 'rejects', 'cbi', 'plea', 'remands', 'deshmukh', 'two', 'aides', 'waze', 'in', 'judicial', 'custody']
['covid', '19', 'delhi', 'sees', 'an', 'uptick', 'in', 'cases', 'district', 'officials', 'increase', 'surveillance']
['dirty', 'politics', 'over', 'loudspeaker', 'hanuman', 'chalisa', 'did', 'not', 'work', 'raut', 'on', 'mvas', 'win', 'in', 'maha', 'bypoll']
['guwahati', 'around', 'eight', 'persons', 'were', 'killed', 'in', 'lightning', 'and', 'severe', 'storms', 'that', 'lashed', 'out', 'in', 'different', 'areas', 'of', 'assam', 'in', 'last', '48', 'hours']
['kl', 'rahul', 'smashes', 'century', 'to', 'power', 'lucknow', 'super', 'giant', 'to', '199', 'for', '4', 'against', 'mumbai', 'indians']
['gorakhpur', 'temple', 'attack', 'accused', 'charged', 'under', 'uapa', 'sent', 'to', 'judicial', 'custody', 'for', '14', 'days']
['happy', 'tears', 'blissful', 'moments', 'alia', 'calls', 'her', 'mehendi', 'day', 'dream', 'like', 'thanks', 'hubby', 'ranbir', 'for', 'a', 'big', 'surprise']
['sgpc', 'asks', 'cm', 'bhagwant', 'mann', 'to', 'apologise', 'for', 'violating', 'maryada']
['court', 'upholds', 'order', 'directing', 'cbi', 'to', 'withdraw', 'loc', 'against', 'aakar', 'patel']
['jkhand', 'ropeway', 'accident', 'cable', 'car', 'co', 'to', 'provide', 'rs', '25', 'lakh', 'compensation', 'to', 'kin', 'of', 'deceased']
['tmcs', 'babul', 'supriyo', 'wins', 'ballygunge', 'assembly', 'bypoll', 'cpim', 'finishes', 'second']
['india', 'pakistan', 'would', 'be', 'better', 'off', 'keeping', 'neocolonial', 'wolves', 'at', 'bay']
['imran', 'khan', 'urges', 'overseas', 'pakistanis', 'to', 'donate', 'for', 'his', 'campaign', 'against', 'new', 'imported', 'govt']
['this', 'easter', 'weekend', 'treat', 'your', 'guests', 'with', 'gin', 'based', 'fruity', 'cocktails']
['apocalypse', 'of', 'hatred', 'bigotry', 'intolerance', 'untruth', 'engulfing', 'country', 'sonia', 'gandhi']
['jumbokings', 'dheeraj', 'gupta', 'joined', 'the', '5', 'am', 'club', 'during', 'the', 'pandemic']
['dalal', 'street', 'week', 'ahead', 'nifty', 'may', 'see', 'a', 'soft', 'start', 'but', 'technical', 'pullback', 'likely']
['working', 'to', 'improve', 'air', 'connectivity', 'between', 'gujarat', 'and', 'mumbai', 'says', 'jyotiraditya', 'scindia']
['hdfc', 'bank', 'q4', 'takeaways', 'profit', 'growth', 'tops', '20', 'for', '1st', 'time', 'since', 'q3fy20', 'but', 'misses', 'estimates']
['sudden', 'bruises', 'wounds', 'that', 'wont', 'stop', 'bleeding', 'these', 'are', 'signs', 'of', 'haemophilia', 'a', 'health', 'condition', 'you', 'should', 'know', 'about']
