['air', 'rage', 'could', 'well', 'be', 'the', 'latest', 'rage']
['dignity', 'and', 'tranquillity']
['bjp', 'mla', 'gets', '5', 'year', 'jail', 'in', 'fake', 'mark', 'sheet', 'case']
['india', 'should', 'boldly', 'join', 'key', 'trade', 'blocs']
['come', 'december', '1', 'tv', 'viewers', 'may', 'have', 'to', 'shell', 'out', '50', 'more']
['natures', 'fragility', 'more', 'than', 'lip', 'service']
['court', 'hearing', 'in', 'defamation', 'case', 'against', 'rahul', 'gandhi', 'deferred', 'to', 'nov', '13']
['over', '7900', 'applications', 'approved', 'by', 'du', 'college', 'principals', 'under', 'third', 'cut', 'off', 'list']
['apple', 'unveils', 'two', 'new', 'macbooks', 'at', '1999', 'and', '2499', 'sweat', 'resistant', 'airpods', '3', 'at', '179']
['nse', 'bse', 'bulk', 'deals', 'bc', 'india', 'investments', 'sells', 'stake', 'in', 'himadri', 'specialty']
['rbi', 'imposes', 'penalty', 'on', 'sbi']
['policybazaars', 'parent', 'firm', 'gets', 'sebi', 'approval', 'for', 'ipo']
['why', 'covid', 'boosters', 'werent', 'tweaked', 'to', 'better', 'match', 'variants']
['economy', 'coming', 'out', 'of', 'the', 'shadow', 'of', 'the', 'pandemic', 'rbi', 'paper']
['whatsapp', 'integrates', 'joinable', 'calls', 'in', 'group', 'chats']
['cash', 'going', 'to', 'co', 'exist', 'with', 'central', 'bank', 'digital', 'currency', 'says', 'former', 'rbi', 'governor', 'subbarao']
['central', 'vista', 'lt', 'lowest', 'bidder', 'for', 'construction', 'of', '3', 'buildings', 'of', 'common', 'central', 'secretariat']
['greater', 'noida', 'authority', 'to', 'auction', 'land', 'parcels', 'for', 'mall', 'shopping', 'complex']
['amit', 'shah', 'reviews', 'security', 'situation', 'discusses', 'civilian', 'killings', 'in', 'kashmir', 'with', 'police', 'top', 'brass']
['coal', 'crisis', 'number', 'of', 'power', 'projects', 'with', 'less', 'than', '4', 'day', 'coal', 'stock', 'dips', 'to', '61']
['india', 'for', 'including', 'trips', 'waiver', 'proposal', 'in', 'wtos', 'response', 'package']
['india', 'uk', 'hold', 'inaugural', 'maritime', 'dialogue', 'discuss', 'cooperation', 'in', 'indo', 'pacific']
['returning', 'to', 'coal', 'amid', 'energy', 'crunch', 'would', 'be', 'climate', 'tragedyeu']
['higher', 'coal', 'prices', 'to', 'impact', 'vedantas', 'profitability', 'in', 'third', 'quarter', 'report']
['numadic', 'gets', '2', '5', 'million', 'funding', 'from', '9unicorns', 'venture', 'catalysts', 'others']
['trade', 'setup', '18500', 'is', 'niftys', 'inflection', 'point', 'stick', 'to', 'stock', 'specific', 'purchases']
['cbse', 'board', 'exam', '2021', '22', 'class', '10', 'exams', 'from', 'november', '30', 'class', '12', 'from', 'december', '1']
['lti', 'q2', 'results', 'net', 'profit', 'up', '20', '8', 'revenue', 'rises', '25', '6']
['byjus', 'leases', 'office', 'space', 'in', 'mumbais', 'andheri', 'at', 'rs', '1', '67', 'crore', 'annual', 'rent']
['gujarat', 'statue', 'of', 'unity', 'to', 'remain', 'open', 'for', 'visitors', 'from', 'october', '28', 'to', '31']
['auto', 'loans', 'delinquency', 'set', 'to', 'stabilise']
['penna', 'cement', 'gets', 'sebi', 'nod', 'for', 'rs', '1550', 'crore', 'ipo']
['exxonmobil', 'india', 'appoints', 'new', 'ceo', 'monte', 'dobson']
['ahead', 'of', 'market', '12', 'things', 'that', 'will', 'decide', 'stock', 'action', 'on', 'tuesday']
['piyush', 'goyal', 'meets', 'dp', 'world', 'chairman', 'during', 'jk', 'visit', 'export', 'strategy', 'industrial', 'package', 'for', 'ut', 'planned']
['junior', 'it', 'minister', 'rajeev', 'chandrasekhar', 'launches', 'indus', 'iot', 'kit', 'in', 'bengaluru']
['bangladesh', 'violence', 'over', '60', 'houses', 'of', 'hindu', 'community', 'torched']
['saas', 'labs', 'raises', '17', 'million', 'in', 'maiden', 'funding', 'round']
['retail', 'tomato', 'prices', 'skyrocket', 'to', 'rs', '93', 'per', 'kg', 'in', 'metros', 'as', 'unseasonal', 'rains', 'damage', 'crop']
