['cant', 'have', 'a', 'border', 'clash', 'within', 'india']
['climate', 'crisis', 'the', 'baal', 'is', 'in', 'our', 'court']
['basavaraj', 'bommai', 'the', 'new', 'karnataka', 'chief', 'minister', 'is', 'a', 'seasoned', 'political', 'leader', 'and', 'yediyurappa', 'loyalist']
['pm', 'modi', 'reviews', 'issue', 'of', 'obc', 'ews', 'reservation', 'in', 'all', 'india', 'quota', 'of', 'medical', 'education']
['a', 'climate', 'of', 'change']
['flipkart', 'eyes', '2x', 'growth', 'in', 'pay', 'later', 'offering', 'aims', 'to', 'cross', '100', 'mn', 'transactions', 'by', 'year', 'end']
['india', 'taking', 'efforts', 'to', 'achieve', 'sustainable', 'agri', 'food', 'system', 'sdgs', 'minister']
['ilfs', 'floats', 'eoi', 'for', 'selling', '100', 'stake', 'in', 'wind', 'farm', 'project']
['perseverance', 'pays', 'after', 'all']
['kirloskar', 'companies', 'tussle', 'over', 'right', 'to', 'claim', '130', 'year', 'legacy']
['whatsapp', 'rolls', 'out', 'new', 'settings', 'for', 'archived', 'chats']
['insolvency', 'pre', 'packs', 'good', 'for', 'small', 'firms']
['gujarat', 'cadre', 'ips', 'officer', 'rakesh', 'asthana', 'appointed', 'delhi', 'police', 'commissioner']
['view', 'india', 'and', 'us', 'must', 'wholeheartedly', 'back', 'those', 'standing', 'up', 'to', 'the', 'taliban']
['rolex', 'rings', 'raises', 'rs', '219', 'crore', 'from', 'anchor', 'investors', 'ahead', 'of', 'ipo']
['monarch', 'networth', 'capital', 'to', 'soon', 'launch', 'rs', '100', 'crore', 'startup', 'fund']
['karnataka', 'bank', 'q1', 'results', 'co', 'reports', 'net', 'profit', 'of', 'rs', '106', 'crore']
['indigo', 'posts', 'record', 'q1', 'nos', 'net', 'worth', 'slips', 'into', 'negative', 'territory']
['dalmia', 'bharat', 'q1', 'results', 'net', 'profit', 'up', '45', 'to', 'rs', '277', 'crore']
