['putting', 'your', 'phone', 'in', 'aeroplane', 'mode']
['elderly', 'could', 'outnumber', 'kids', 'in', 'india', 'by', 'mid', 'century', 'un']
['trai', 'proposes', 'tweaks', 'in', 'mnp', 'rules', 'to', 'curb', 'sim', 'swap', 'frauds']
['colin', 'kaepernick', 'to', 'make', 'nfl', 'return', 'for', 'new', 'york', 'jets', 'rapper', 'j', 'cole', 'drops', 'letter', 'bomb']
['army', 'officer', 'wife', 'arrested', 'for', 'allegedly', 'torturing', 'minor', 'domestic', 'help', 'in', 'assam']
['iaea', 'conference', 'india', 'spells', 'out', 'plans', 'to', 'use', 'nuclear', 'energy', 'to', 'achieve', 'net', 'zero', 'emissions']
['jimmy', 'kimmel', 'live', 'to', 'tonight', 'show', 'late', 'night', 'talk', 'shows', 'are', 'returning', 'after', 'wga', 'strike', 'check', 'dates']
['jio', 'snaps', 'up', 'most', 'voda', 'idea', 'uers', 'in', 'july', 'as', 'airtel', 'lags']
['ramesh', 'bidhuri', 'is', 'bjp', 'incharge', 'of', 'pilots', 'home', 'distt', 'of', 'tonk']
['dixon', 'signs', 'pacts', 'to', 'make', 'xiaomi', 'smartphones', 'other', 'products']
['final', 'decision', 'on', 'maharashtra', 'mla', 'disqualification', 'unlikely', 'this', 'year']
['congress', 'and', 'bjp', 'team', 'up', 'to', 'fight', 'for', 'job', 'seekers', 'in', 'west', 'bengal']
['meity', 'addresses', 'security', 'concerns', 'surrounding', 'aadhaar', 'digital', 'id', 'system']
['subsidy', 'row', 'assam', 'court', 'restrains', 'congress', 'mp', 'gaurav', 'gogoi', 'from', 'making', 'any', 'statement']
['hip', 'hop', 'that', 'makes', 'it', 'hip', 'to', 'be', 'lovin']
['work', 'can', 'purify', 'you']
['bjp', 'may', 'field', 'mps', 'in', 'rajasthan', 'elections', 'too']
['sc', 'to', 'hear', 'n', 'chandrababu', 'naidus', 'plea', 'on', 'quashing', 'of', 'fir', 'on', 'oct', '3']
['apple', 'google', 'agreed', 'to', 'defend', 'search', 'deal', 'from', 'regulators', 'executive']
['brs', 'leaders', 'meet', 'ec', 'seek', 'cancellation', 'of', 'road', 'roller', 'symbol']
['rising', 'dengue', 'cases', 'call', 'for', 'enhanced', 'public', 'sanitation', 'and', 'waste', 'management', 'systems']
['unclog', 'the', 'credit', 'lines', 'nurture', 'msmes', 'to', 'empower', 'indias', 'economic', 'growth']
['indias', 'take', 'off', 'moment', 'has', 'arrived', 'niti', 'aayogs', 'suman', 'bery']
['womens', 'reservation', 'bill', 'has', 'sc', 'st', 'sub', 'quota', 'signed', 'by', 'tribal', 'woman', 'president', 'pm', 'modi']
['boeing', '727', 'has', 'permanent', 'residence', 'meet', 'persons', 'who', 'have', 'made', 'airplane', 'their', 'homes']
['40', 'land', 'claims', 'by', 'tribals', 'rejected', 'by', 'state', 'govts']
['vietjet', 'to', 'operate', 'direct', 'flights', 'between', 'trichy', 'ho', 'chi', 'minh', 'city', 'from', 'nov', '2']
['no', 'way', 'to', 'do', 'a', 'show', 'says', 'trevor', 'noah', 'as', 'he', 'cancels', 'bengaluru', 'performance', 'fans', 'to', 'get', 'refund']
['kerala', 'govt', 'to', 'move', 'sc', 'against', 'guvs', 'inordinate', 'delay', 'in', 'signing', 'bills']
['iata', 'allots', 'three', 'letter', 'code', 'dxn', 'to', 'noida', 'international', 'airport']
['frank', 'rubio', 'makes', 'history', 'longest', 'space', 'journey', 'by', 'a', 'us', 'astronaut']
['30', 'coins', 'season', '2', 'see', 'release', 'date', 'cast', 'plot', 'where', 'to', 'watch', 'and', 'more']
['us', 'treasury', 'yields', 'flat', 'to', 'slightly', 'higher', 'credit', 'default', 'swaps', 'edge', 'up']
['best', 'vega', 'helmets', 'in', 'india', 'for', 'motorcycle', 'riders']
['trai', 'seeks', 'stakeholders', 'views', 'on', 'assigning', 'e', 'band', 'v', 'band', 'spectrum', 'via', 'auctions']
['soaring', 'realty', 'prices', 'challenge', 'mumbais', 'financial', 'capital', 'status', 'realtors', 'urge', 'premium', 'rationalisation']
['pms', 'principal', 'secy', 'reviews', 'follow', 'up', 'on', 'g20', 'outcome', 'asks', 'officials', 'to', 'prepare', 'for', 'virtual', 'summit']
['manchester', 'city', 'liverpool', 'chelsea', 'arsenal', 'matches', 'in', 'efl', 'cup', 'live', 'streaming', 'details', 'kick', 'off', 'timings', 'scores', 'results']
['australia', 'beat', 'india', 'by', '66', 'runs', 'to', 'score', 'a', 'consolation', 'win', 'in', '3rd', 'odi']
['govt', 'may', 'propose', 'up', 'to', 'rs', '500', 'crore', 'fine', 'for', 'violations', 'under', 'digital', 'india', 'bill']
['reliance', 'brands', 'introduces', 'global', 'luxury', 'label', 'afew', 'rahul', 'mishra']
['futurama', 'season', '12', 'this', 'is', 'what', 'we', 'know', 'so', 'far']
['jio', 'outpaces', 'airtel', 'in', 'subscriber', 'additions', 'in', 'july', '2023', 'vodafone', 'idea', 'loses', 'ground']
['manipur', 'violence', 'rajkumar', 'kaiku', 'resigns', 'as', 'primary', 'member', 'of', 'bjp']
['tn', 'govt', 'to', 'recruit', '50000', 'persons', 'in', 'next', 'two', 'years', 'cm', 'stalin']
['civil', 'aviation', 'ministry', 'says', 'initiatives', 'taken', 'to', 'expand', 'workforce', 'at', 'dgca', 'aera', 'aai']
['noida', 'airport', 'increases', 'traffic', 'forecast', 'by', '58', 'in', 'first', 'year', 'of', 'business']
