['india', 'will', 'win', 'but', 'i', 'hope', 'australia', 'make', 'it', 'hard', 'for', 'them']
['turkey', 'earthquake', 'two', 'women', 'survive', 'for', 'days', 'in', 'rubble']
['survivors', 'still', 'being', 'found', 'as', 'quake', 'death', 'toll', 'tops', '25000']
['mumbai', 'city', 'clinch', 'isl', 'league', 'shield', 'after', '5', '3', 'win', 'over', 'fc', 'goa']
['bjp', 'announces', 'mahavijay', 'resolve', 'for', '2024', 'maharashtra', 'polls']
['pakistan', 'approves', 'new', 'tax', 'on', 'power', 'to', 'meet', 'imf', 'conditions']
['till', 'the', 'cows', 'come', 'home', 'again']
['three', 'killed', '20', 'injured', 'in', 'suicide', 'attack', 'in', 'pakistan', 'police']
['woo', 'your', 'sweetheart', 'with', 'some', 'homemade', 'dark', 'chocolate', 'pralines', 'salted', 'caramel', 'bonbons']
['meghalaya', 'congress', 'promises', 'msp', 'for', 'health', 'care', 'education', 'and', 'power']
['women', 'racers', 'breaking', 'myths', 'about', 'motorsports']
['one', 'piece', 'episode', '1051', 'heres', 'everything', 'you', 'need', 'to', 'know']
['maharashtra', 'orders', 'sit', 'probe', 'into', 'murder', 'of', 'journalist', 'shashikant', 'warishe']
['biden', 'says', 'democracy', 'prevailed', 'in', 'us', 'brazil', 'as', 'he', 'meets', 'lula']
['nearly', '1', 'million', 'french', 'march', 'in', '4th', 'day', 'of', 'pension', 'protests']
['super', 'bowl', '2023', 'rihanna', 'will', 'not', 'get', 'paid', 'for', 'her', 'halftime', 'performance', 'heres', 'why']
['pr', 'pour', 'homme', 'how', 'two', 'sprays', 'would', 'turn', 'a', 'boy', 'into', 'a', 'proto', 'man', 'each', 'time']
['rahul', 'gandhis', 'pogonophilia', 'from', 'heir', 'apparent', 'to', 'hair', 'apparent']
['oh', 'for', 'that', 'good', 'old', 'laissez', 'faire', 'lassi', 'fare']
['pakistan', 'skips', 'moscows', 'afghan', 'meeting', 'under', 'western', 'pressure']
['credit', 'suisse', 'ceo', 'fights', 'on', 'all', 'fronts', 'as', 'he', 'faces', 'lost', 'year']
['uk', 'pm', 'rishi', 'sunak', 'drafting', 'plans', 'to', 'rebuild', 'ties', 'with', 'the', 'eu']
['khadi', 'fast', 'emerging', 'as', 'new', 'avenue', 'of', 'lucrative', 'start', 'up', 'jitendra', 'singh']
['millets', 'to', 'increase', 'income', 'of', 'small', 'and', 'marginal', 'farmers', 'govt']
['india', 'us', 'to', 'jointly', 'develop', 'uavs', 'and', 'share', 'ip', 'rights']
['abraham', 'lincolns', 'birthday', 'and', 'presidents', 'day', 'know', 'whats', 'open', 'and', 'closed', 'on', 'february', '12', 'and', 'february', '20']
['govt', 'ensuring', 'smooth', 'flow', 'of', 'funds', 'for', 'water', 'sanitation', 'and', 'hygiene']
['world', 'war', 'ii', 'era', 'bomb', 'explodes', 'in', 'uk', 'this', 'is', 'what', 'happened']
['nclt', 'admits', 'plea', 'against', 'mcleod', 'russel', 'under', 'ibc']
['voting', 'for', 'congress', 'cpm', 'will', 'bring', 'back', 'violence', 'pm', 'modi', 'in', 'tripura']
['jp', 'nadda', 'in', 'bengal', 'to', 'hold', 'rallies', 'and', 'organisational', 'meeting']
['jaipur', 'railway', 'station', 'will', 'be', 'modernised', 'at', 'cost', 'of', 'rs', '717', 'crore', 'ashwini', 'vaishnaw']
['luther', 'the', 'fallen', 'sun', 'trailer', 'out', 'idris', 'elba', 'set', 'to', 'return', 'as', 'john', 'luther', 'on', 'netflix']
['migrants', 'seeking', 'us', 'sponsors', 'find', 'questionable', 'offers', 'online']
['delhi', 'govt', 'asks', 'dda', 'to', 'stop', 'demolition', 'drive', 'in', 'mehrauli', 'announces', 'fresh', 'demarcation', 'exercise']
['fresh', 'snow', 'in', 'higher', 'reaches', 'of', 'himachal', 'pradesh', '196', 'roads', 'closed']
['tollywood', 'star', 'rana', 'daggubati', 'father', 'named', 'in', 'land', 'grabbing', 'case']
['e', 'rickshaw', 'ended', 'practice', 'of', 'man', 'carrying', 'another', 'man', 'gadkari', 'in', 'up']
['softbanks', 'arm', 'china', 'lays', 'off', 'workers', 'as', 'outlook', 'grim']
['congress', 'forms', 'drafting', 'committee', 'for', 'its', 'plenary', 'session']
['west', 'bengal', 'governor', 'cv', 'ananda', 'bose', 'sends', 'out', 'clear', 'message', 'on', 'corruption']
['without', 'a', 'date', 'on', 'valentines', 'day', 'six', 'other', 'types', 'of', 'love', 'you', 'can', 'celebrate']
['indias', 'toy', 'exports', 'touch', 'rs', '1017', 'crore', 'during', 'april', 'december', 'this', 'fiscal']
['coal', 'minister', 'reviews', 'progress', 'of', 'thermal', 'power', 'plant', 'construction', 'in', 'up']
['india', 'belongs', 'to', 'me', 'as', 'much', 'as', 'it', 'does', 'to', 'pm', 'modi', 'mohan', 'bhagwat', 'jamiat', 'chief']
['earning', 'above', 'rs', '15', 'lakh', 'this', 'much', 'deduction', 'will', 'always', 'save', 'you', 'more', 'money', 'in', 'the', 'old', 'tax', 'regime']
['will', 'not', 'allow', 'non', 'locals', 'to', 'settle', 'in', 'jk', 'altaf', 'bukhari']
['air', 'trailer', 'out', 'watch', 'ben', 'affleck', 'and', 'matt', 'damon', 'as', 'they', 'reunite', 'for', 'nike', 'movie']
['jamkani', 'coal', 'mining', 'operation', 'begins', 'in', 'odishas', 'sundargarh']
['rapper', 'aka', 'murdered', 'hours', 'before', 'his', 'scheduled', 'performance', 'in', 'durban']
['super', 'bowl', '2023', 'heres', 'a', 'list', 'of', 'all', 'movie', 'trailers', 'released', 'ahead', 'of', 'sundays', 'game']
['geojit', 'to', 'build', '1', '25', 'lakh', 'sq', 'ft', 'it', 'infrastructure', 'in', 'infopark']
['finance', 'minister', 'nirmala', 'sitharaman', 'explains', 'rationale', 'of', 'new', 'income', 'tax', 'regime']
['srk', 'starrer', 'pathaan', 'crosses', 'rs', '900', 'cr', 'worldwide']
['congress', 'poses', 'series', 'of', 'questions', 'to', 'govt', 'on', 'adani', 'issue']
['happy', '15th', 'anniversary', 'sanjay', 'dutt', 'wishes', 'wife', 'maanayata', 'dutt', 'by', 'posting', 'heartfelt', 'message']
['women', 'need', 'to', 'be', 'at', 'centre', 'of', 'decisions', 'for', 'future', 'ready', 'society', 'smriti', 'irani']
['lincolns', 'birthday', 'when', 'is', 'it', 'heres', 'all', 'about', 'days', 'history', 'significance', 'and', 'everything', 'you', 'need', 'to', 'know']
['want', 'to', 'be', 'an', 'action', 'hero', 'all', 'you', 'need', 'is', 'the', 'right', 'body', 'language', 'feels', 'suniel', 'shetty']
['strong', 'foundation', 'being', 'created', 'to', 'make', 'india', 'developed', 'nation', 'says', 'ashwini', 'vaishnaw']
['expect', 'ecommerce', 'volumes', 'to', 'grow', '15', '20', 'in', '2023', 'delhivery', 'ceo', 'sahil', 'barua']
['flexicap', 'funds', 'should', 'be', 'looked', 'at', 'from', '3', '5', 'years', 'investment', 'perspective', 'vrijesh', 'kasera']
['kangana', 'ranaut', 'supports', 'nawazuddin', 'siddiqui', 'after', 'his', 'wife', 'aaliya', 'shares', 'viral', 'video']
['naxal', 'incidents', 'have', 'increased', 'in', 'chhattisgarh', 'under', 'congress', 'rule', 'says', 'bjp', 'president', 'j', 'p', 'nadda']
['abb', 'india', 'order', 'book', 'to', 'remain', 'above', 'rs', '10000', 'crore', 'in', '2023', 'says', 'top', 'official']
['indias', 'multi', 'aligned', 'approach', 'to', 'geo', 'politics']
