['supreme', 'court', 'grants', 'bail', 'to', 'journalist', 'siddique', 'kappan']
['maharashtra', 'cm', 'eknath', 'shinde', 'to', 'chair', 'meet', 'after', 'ngt', 'imposes', '12k', 'cr', 'compensation']
['goyal', 'indo', 'pacific', 'economic', 'framework', 'will', 'help', 'keep', 'supply', 'chains', 'open', 'in', 'tough', 'times']
['kharif', 'rice', 'output', 'may', 'fall', 'by', '6', '7', 'mt']
['working', 'two', 'jobs', 'at', 'once', 'why', 'a', 'blanket', 'prohibition', 'on', 'moonlighting', 'wont', 'work']
['bjp', 'reshuffles', 'state', 'in', 'charges']
['no', 'confusion', 'in', 'my', 'mind', 'on', 'congress', 'chief', 'polls', 'rahul']
['14', 'people', 'including', 'trinamool', 'congresss', 'anubrata', 'mondal', 'acquitted']
['allahabad', 'high', 'court', 'takes', 'suo', 'moto', 'notice', 'of', 'fire', 'in', 'lucknow', 'hotel']
['india', 'china', 'to', 'complete', 'disengagement', 'in', 'gogra', 'hotsprings', 'by', 'september', '12', 'mea', 'says']
['facilities', 'in', 'yatris', 'mobile', 'containers', 'basic', 'congress']
['3', 'judge', 'sc', 'bench', 'to', 'hear', 'pleas', 'against', 'places', 'of', 'worship', 'act']
['supreme', 'court', 'asks', 'gujarat', 'for', 'bilkis', 'bano', 'case', 'remission', 'files']
['botched', 'operation', 'caused', 'former', 'militants', 'death', 'in', 'meghalaya', 'says', 'report']
['after', 'non', 'basmati', 'ban', 'on', 'broken', 'rice', 'exports']
['air', 'india', 'to', 'dismantle', 'regional', 'headquarters', 'shift', 'to', 'gurugram']
['man', 'detained', 'at', 'birmingham', 'airport', 'for', 'ira', 'bombing', 'at', 'manchester', 'in', '1996', 'see', 'details']
['republican', 'lawmakers', 'warn', 'apple', 'say', 'dont', 'buy', 'memory', 'chips', 'from', 'ymtc', 'for', 'iphone', 'this', 'is', 'what', 'happened']
['bbc', 'faces', 'flak', 'for', 'technical', 'blunder', 'during', 'queen', 'elizabeth', 'iis', 'death', 'coverage', 'this', 'is', 'what', 'happened']
['son', 'of', 'daily', 'wage', 'labourer', 'daughter', 'of', 'vegetable', 'seller', 'cracks', 'neet']
['in', 'a', 'bad', 'year', 'for', 'all', 'india', 'middles', 'it']
['private', 'sector', 'jumps', 'to', 'solve', 'social', 'challenges', 'as', 'govt', 'resources', 'fall', 'short']
['5', 'cong', 'mps', 'write', 'to', 'mistry', 'seeking', 'electoral', 'rolls', 'be', 'provided', 'to', 'electors', 'potential', 'candidates']
['rule', 'over', 'your', 'senses']
['court', 'cannot', 'stop', 'govt', 'from', 'bringing', 'law', 'in', 'parliament', 'on', 'crypto', 'currencies', 'sc']
['relief', 'for', 'ex', 'pm', 'deve', 'gowda', 'sc', 'refuses', 'to', 'interfere', 'with', 'karnataka', 'hc', 'order', 'in', 'defamation', 'case']
['sri', 'lankan', 'president', 'ranil', 'wickremesinghe', 'reviews', 'progress', 'on', 'indian', 'projects']
['air', 'india', 'to', 'vacate', 'several', 'government', 'offices', 'move', 'to', 'new', 'space', 'in', 'gurugram']
['great', 'north', 'run', 'to', 'be', 'held', 'as', 'tribute', 'to', 'queen', 'elizabeth', 'ii', 'read', 'details']
['a1', '8', 'million', 'year', 'old', 'fossil', 'could', 'lead', 'to', 'mans', 'origin', 'and', 'the', 'tooth', 'fairy']
['india', 'becoming', '5th', 'largest', 'economy', 'not', 'a', 'mean', 'achievement', 'fm', 'nirmala', 'sitharaman']
['cpr', 'oxfam', 'say', 'they', 'cooperated', 'with', 'i', 't', 'dept', 'during', 'survey', 'compliant', 'with', 'indian', 'laws']
['elizabeth', 'the', 'last', 'real', 'monarch']
['saas', 'on', 'cloud', 'nine']
['karnataka', 'bjp', 'to', 'kickstart', 'poll', 'campaign', 'tomorrow', 'without', 'delhi', 'heavyweights', 'amid', 'congress', 'rancour']
['thousands', 'of', 'runners', 'gather', 'in', 'memphis', 'to', 'honour', 'liza', 'fletcher', 'see', 'how']
['revamped', 'india', 'gate', 'complex', 'stirs', 'selfie', 'craze', 'among', 'people']
['india', 'has', 'glorious', 'heritage', 'of', 'tolerance', 'engagement', 'with', 'all', 'views', 'vp']
['terex', 'looking', 'at', 'expanding', 'india', 'ops', 'with', 'franna', 'cranes']
['ed', 'seizes', 'rs', '32', 'lakh', 'cash', 'after', 'raids', 'on', 'punjab', 'aap', 'mla', 'others', 'in', 'bank', 'fraud', 'case']
['hc', 'seeks', 'centres', 'reply', 'on', 'plea', 'by', 'differently', 'abled', 'mbbs', 'students', 'against', 'cancellation', 'of', 'admission']
['before', 'demise', 'lewis', 'hamilton', 'sent', 'an', 'emotional', 'note', 'to', 'queen', 'elizabeth', 'ii', 'read', 'details']
['india', 'loses', 'usd', '118', 'bn', 'annually', 'in', 'cumulative', 'gni', 'due', 'to', 'childhood', 'blindness', 'report']
