['the', 'basic', 'aim', 'of', 'meditation']
['delhi', 'capitals', 'beat', 'kolkata', 'knight', 'riders', 'by', '4', 'wickets']
['madhya', 'pradesh', 'chief', 'minister', 'shivraj', 'singh', 'chouhan', 'likely', 'to', 'expand', 'ministry']
['extra', 'teeth', 'to', 'tackle', 'corporate', 'misconduct']
['gujarat', 'mla', 'jignesh', 'mevani', 'yet', 'to', 'get', 'bail']
['jaishankar', 'pushes', 'cross', 'border', 'energy', 'connectivity', 'ties', 'with', 'bangladesh']
['organisations', 'express', 'apprehension', 'over', 'meghalayas', 'decision', 'to', 'legalise', 'gambling', 'and', 'online', 'betting', 'for', 'tourists']
['over', '55', 'partner', 'countries', 'launch', 'declaration', 'for', 'future', 'of', 'internet', 'doors', 'open', 'for', 'india', 'says', 'us']
['biden', 'wants', '33b', 'more', 'to', 'help', 'ukraine', 'battle', 'russia']
['noida', 'twin', 'towers', 'demolition', 'firm', 'seeks', 'extension', 'of', 'time']
['ncb', 'seizes', 'over', '50', 'kg', 'heroin', 'suspects', 'afghan', 'link', 'to', 'racket']
['india', 'deborahs', 'love', 'bilateral']
['pm', 'modi', 'promises', 'to', 'withdraw', 'afspa', 'from', 'northeast']
['dancing', 'to', 'algorhythm']
['biocon', 'q4', 'results', 'profit', 'declines', '4', 'to', 'rs', '283', 'cr']
['no', 'clarity', 'on', 'why', 'fcra', 'licence', 'was', 'revoked', 'chri']
['get', 'cracking', 'covid', 'is', 'still', 'plaguing', 'us']
['view', 'why', 'india', 'needs', 'a', 'new', 'law', 'regarding', 'corporate', 'criminal', 'liability']
['massive', 'growth', 'in', 'electronics', 'production', 'is', 'fuelling', 'semiconductor', 'demand', 'rajeev', 'chandrasekhar']
['ustr', 'places', 'india', 'on', 'priority', 'watch', 'list', 'again']
['policybazaar', 'parent', 'makes', 'managerial', 'changes', 'invests', 'further', 'in', 'insurance', 'entity']
['temasek', 'to', 'anchor', 'three', 'alternative', 'investment', 'funds', 'managed', 'by', 'infoedge', 'group']
['govt', 'to', 'launch', 'open', 'network', 'for', 'digital', 'commerce', 'in', 'five', 'cities']
['pm', 'modi', 'to', 'inaugurate', 'global', 'patidar', 'business', 'summit', 'on', 'friday']
['u', 's', 'gross', 'domestic', 'product', 'contracts', 'by', 'an', 'annual', 'rate', 'of', '1', '4']
['west', 'bengal', 'assembly', 'speaker', 'hears', 'mukul', 'roys', 'defection', 'case']
['delhi', 'records', '1490', 'fresh', 'covid', 'cases', 'two', 'fatalities']
['the', 'plot', 'is', 'given', 'a', 'new', 'mission', 'in', 'under', 'the', 'banner', 'of', 'heaven']
['jahangirpuri', 'violence', 'delhi', 'police', 'arrest', 'one', 'accused', 'from', 'east', 'midnapore', 'district']
['congress', 'alleges', 'rs', '4600', 'cr', 'food', 'scam', 'under', 'bjp', 'govt']
['5g', 'spectrum', 'auction', 'likely', 'in', 'early', 'june', 'ashwini', 'vaishnav']
['east', 'ukraine', 'under', 'heavy', 'fire', 'in', 'advance', 'of', 'russian', 'holiday']
['mamata', 'banerjee', 'slams', 'centre', 'asks', 'for', 'lpg', 'price', 'reduction']
['pakistan', 'main', 'line', 'railways', 'project', 'under', 'cpec', 'may', 'be', 'shelved', 'due', 'to', 'chinas', 'disagreements', 'over', 'feasibility', 'costs']
['india', 'highlights', 'role', 'of', 'pm', 'gkay', 'scheme', 'in', 'ensuring', 'food', 'security', 'during', 'pandemic', 'at', 'wto', 'meet']
['rbi', 'extends', 'cash', 'credit', 'limit', 'for', 'wheat', 'procurement', 'from', 'punjab']
['us', 'economy', 'contracts', 'in', 'first', 'quarter', 'weekly', 'jobless', 'claims', 'fall']
['whistleblower', 'related', 'to', 'trumps', 'investigation', 'found', 'mysteriously', 'dead', 'in', 'los', 'angeles']
['ahead', 'of', 'market', '12', 'things', 'that', 'will', 'decide', 'd', 'street', 'action', 'on', 'thursday']
['a', 'sneak', 'peek', 'of', 'dont', 'worry', 'darling', 'by', 'olivia', 'wilde', 'ups', 'the', 'steam', 'quotient', 'with', 'harry', 'styles', 'and', 'florence', 'pughs', 'intimate', 'scenes']
['global', 'chipmakers', 'hunting', 'for', 'locations', 'in', 'india', 'for', 'new', 'plants']
['amal', 'clooney', 'inspires', 'with', 'her', 'professional', 'yet', 'attractive', 'outfits']
['ahead', 'of', 'market', '12', 'things', 'that', 'will', 'decide', 'd', 'street', 'action', 'on', 'friday']
['nse', 'bse', 'bulk', 'deals', 'dolly', 'khanna', 'buys', '10', 'lakh', 'shares', 'of', 'chennai', 'petroleum', 'corp']
['dgca', 'deregisters', 'air', 'indias', '4', 'boeing', '747', 'jumbo', 'jets']
['german', 'luxury', 'car', 'maker', 'bmw', 'aims', 'double', 'digit', 'growth', 'in', 'sales', 'in', 'india']
['indias', 'office', 'market', 'likely', 'to', 'touch', '1', '2', 'billion', 'sq', 'ft', 'by', '2030', 'report']
['govt', 'easing', 'compliances', 'to', 'exit', 'business', 'data', 'privacy', 'cyber', 'security', 'key', 'piyush', 'goyal']
['answer', 'and', 'hint', 'for', 'todays', 'wordle', '313', 'thursday', 'april', '28th']
['yes', 'bank', 'scam', 'cbi', 'arrests', 'radius', 'group', 'md', 'sanjay', 'chhabria']
['europe', 'looks', 'for', 'solutions', 'as', 'russia', 'squeezes', 'supply', 'of', 'natural', 'gas']
['under', 'construction', 'wildlife', 'overpass', 'in', 'california', 'promises', 'to', 'be', 'the', 'largest', 'in', 'the', 'world']
['indias', 'peak', 'power', 'supply', 'touches', 'record', 'level', 'of', '204gw', 'on', 'thursday']
['army', 'navy', 'chiefs', 'hold', 'talks', 'with', 'united', 'states', 'indo', 'pacific', 'commander']
['no', 'change', 'in', 'indias', 'approach', 'mea', 'on', 'pakistan']
['renewable', 'generation', 'obligation', 'on', 'coal', 'based', 'ipps', 'captive', 'plants', 'rk', 'singh']
