['make', 'mmwpg', 'great', 'as', 'a', 'footballing', 'side']
['two', 'storey', 'building', 'collapsed', 'in', 'muzaffarnagar', '15', 'rescued', 'as', 'search', 'continues']
['pathirana', 'grabs', 'four', 'wickets', 'as', 'csk', 'beat', 'mi', 'by', '20', 'runs']
['do', 'we', 'really', 'need', 'summer', 'to', 'vote']
['no', 'search', 'or', 'survey', 'of', 'helicopter', 'in', 'wb', 'abhishek', 'banerjee', 'wasnt', 'present', 'i', 't', 'sources']
['ril', 'and', 'nayara', 'now', 'sell', 'a', '4th', 'of', 'indias', 'bulk', 'diesel']
['caught', 'in', 'a', 'solar', 'flare']
['broaden', 'base', 'to', 'fill', 'boardrooms']
['rice', 'exporters', 'face', 'rs', '2000', 'crore', 'tax', 'bill']
['harry', 'potter', 'tv', 'series', 'will', 'potterheads', 'witness', 'daniel', 'radcliffes', 'cameo', 'heres', 'when', 'the', 'series', 'will', 'air']
['potato', 'costlier', 'by', '10', 'as', 'output', 'falls']
['view', 'for', 'better', 'jobs', 'dont', 'just', 'look', 'west', 'look', 'to', 'places', 'like', 'japan']
['epfo', 'to', 'undergo', 'revamp', 'as', 'user', 'base', 'gets', 'bigger']
['10', 'best', 'mobile', 'chargers', 'under', '1000', 'affordable', 'charging', 'solutions']
['world', 'banks', 'biz', 'ready', 'formula', 'startup', 'concerns', 'on', 'budget', 'agenda']
['commercial', 'acs', 'have', 'significant', 'growth', 'potential']
['security', 'tightened', 'in', 'ayodhya', 'ahead', 'of', 'ram', 'navami', 'first', 'after', 'pran', 'pratishtha', 'at', 'ram', 'temple']
['uncontested', 'victory', 'casts', 'shadow', 'over', 'itanagar', 'lok', 'sabha', 'polls', 'loom', 'with', 'absence', 'of', 'enthusiasm', 'and', 'political', 'activity']
['brandy', 'melville', 'documentary', 'what', 'does', 'the', 'hbo', 'special', 'reveal', 'about', 'ceo', 'stephan', 'marsan']
['the', 'thundermans', 'season', '4', 'online', 'know', 'where', 'to', 'stream', 'and', 'purchase', 'options']
['congress', 'releases', 'list', 'of', '75', 'candidates', 'for', 'odisha', 'assembly', 'elections']
['rebel', 'moon', 'part', '2', 'release', 'date', 'on', 'netflix', 'review', 'is', 'rebel', 'moon', 'part', '2', 'the', 'scargiver', 'better', 'than', 'zack', 'snyders', 'first', 'film']
['ed', 'opposed', 'foreign', 'travel', 'of', 'approver', 'in', 'excise', 'scam', 'months', 'before', 'kejriwals', 'arrest', 'sanjay', 'singh']
['align', 'your', 'actions', 'to', 'vision', 'of', 'ships', 'first', 'navy', 'chief', 'hari', 'kumar', 'to', 'men', 'and', 'women', 'in', 'whites']
['israel', 'grapples', 'with', 'new', 'phase', 'in', 'its', 'multi', 'front', 'war', 'with', 'iran']
['best', 'hindware', 'faucets', 'to', 'upgrade', 'your', 'bathroom']
['tax', 'day', '2024', 'in', 'usa', 'full', 'list', 'of', 'discounts', 'freebies', 'on', 'food', 'items']
['best', 'ac', 'covers', 'under', 'a', 'budget', 'for', 'a', 'combination', 'package', 'of', 'style', 'and', 'protection']
['rahul', 'gandhi', 'hasnt', 'even', 'taken', 'wayanads', 'name', 'in', 'parliament', 'for', 'five', 'years', 'says', 'cpis', 'annie', 'raja']
['dua', 'lipa', 'to', 'host', 'and', 'musical', 'guest', 'on', 'saturday', 'night', 'live', 'check', 'snl', 'episode', 'date']
['best', 'gamepads', 'under', 'your', 'budget', 'for', 'immmersive', 'gaming', 'experience']
['silo', 'series', 'is', 'the', 'sci', 'fi', 'drama', 'ending', 'soon', 'star', 'rebecca', 'ferguson', 'reveals', 'details']
['if', 'our', 'govt', 'forms', 'we', 'will', 'declare', 'western', 'up', 'as', 'seperate', 'state', 'mayawati']
['brs', 'leader', 'kt', 'rama', 'rao', 'meets', 'k', 'kavitha', 'at', 'cbi', 'office', 'in', 'delhi']
['together', 'in', 'fight', 'to', 'save', 'democracy', 'aaps', 'sanjay', 'singh', 'meets', 'tmcs', 'derek', 'obrien']
['laalten', 'ka', 'yug', 'jaa', 'chuka', 'hai', 'ab', 'led', 'ka', 'yug', 'hai', 'rajnath', 'singh', 'takes', 'jibe', 'at', 'rjd', 'in', 'bihar']
['can', 'country', 'where', '80', 'crore', 'people', 'survive', 'on', 'free', 'ration', 'become', 'vishwaguru', 'akhilesh', 'yadav']
['responsibility', 'for', 'escalating', 'situation', 'lies', 'with', 'israel', 'irans', 'ambassador', 'to', 'india', 'iraj', 'elahi']
