['karnataka', 'law', 'varsity', 'exams', 'postponed', 'amid', 'covid', 'scare']
['view', 'why', 'now', 'is', 'the', 'perfect', 'time', 'to', 'thaw', 'the', 'job', 'freeze', 'and', 'hunt', 'for', 'talent']
['sebi', 'imposes', 'rs', '5', 'lakh', 'fine', 'on', 'an', 'entity', 'for', 'fraudulent', 'trading', 'activities']
['ease', 'of', 'investment', 'one', 'stop', 'repository', 'of', 'indias', 'land', 'bank', 'launched']
['world', 'bank', 'pauses', 'doing', 'business', 'report', 'on', 'data', 'irregularities']
['what', 'is', 'the', 'feds', 'new', 'policy', 'framework', 'and', 'why', 'does', 'it', 'matter']
['hurricane', 'laura', 'slams', 'southwestern', 'louisiana', 'gutting', 'buildings', 'and', 'killing', 'at', 'least', 'one']
['government', 'lines', 'up', 'over', '20', 'bills', 'for', 'monsoon', 'session', 'of', 'parliament', 'starting', 'sept', '14']
['gop', 'convention', 'defends', 'police', 'as', 'racial', 'tension', 'rises', 'anew']
['pharmaceutical', 'industry', 'at', 'forefront', 'of', 'battle', 'against', 'covid', '19', 'sun', 'pharma', 'chairman']
['maharashtra', 'govt', 'mulls', 'inviting', 'fresh', 'bids', 'for', 'dharavi', 'redevelopment', 'project']
['hcc', 'q1', 'results', 'reports', 'consolidated', 'net', 'loss', 'of', 'rs', '409', 'cr']
['gst', 'council', 'forcing', 'states', 'to', 'borrow', 'congress', 'governments']
['us', 'election', 'donald', 'trump', 'challenges', 'joe', 'biden', 'to', 'drug', 'test', 'before', 'debate']
['gold', 'too', 'expensive', 'lets', 'go', 'for', 'this', '40', 'cheaper', 'but', 'more', 'precious', 'alternative']
['govt', 'asks', 'psbs', 'to', 'look', 'at', 'initiating', 'insolvency', 'proceedings', 'against', 'personal', 'guarantors']
['idfc', 'q1', 'results', 'reports', 'net', 'loss', 'of', 'rs', '26', '5', 'cr']
['nse', 'bse', 'bulk', 'deals', 'porinju', 'veliyaths', 'firm', 'laps', 'up', 'thejo', 'engg', 'cuts', 'stake', 'in', 'liberty', 'shoes']
['walmart', 'joins', 'microsoft', 'in', 'pursuit', 'of', 'deal', 'to', 'acquire', 'tiktok']
['developers', 'request', 'other', 'states', 'to', 'follow', 'maharashtra', 'in', 'reducing', 'stamp', 'duty']
['2', 'realty', 'stocks', 'that', 'may', 'benefit', 'big', 'time', 'from', 'maharashtra', 'stamp', 'duty', 'cut']
['dxc', 'technology', 'hires', '5000', 'campus', 'graduates', 'in', 'india', 'this', 'year']
['gst', 'council', 'extending', 'cess', 'levy', 'beyond', '5', 'years', 'would', 'worry', 'business', 'experts']
['chandra', 'mohan', 'patowary', 'urge', 'piyush', 'goyal', 'to', 'take', 'up', 'industrial', 'township', 'plan', 'with', 'japan', 'external', 'trade', 'organization']
['arunachal', 'assembly', 'passes', 'resolution', 'for', 'inclusion', 'of', 'state', 'in', 'sixth', 'schedule']
['indias', 'self', 'reliance', 'in', 'defence', 'sector', 'to', 'boost', 'its', 'global', 'standing', 'pm', 'narendra', 'modi']
['over', '12', 'lakh', 'indians', 'have', 'returned', 'from', 'abroad', 'under', 'vande', 'bharat', 'mission', 'mea']
['tiktoks', 'american', 'makeover', 'just', 'took', 'a', 'bruising']
['trade', 'setup', 'fmcg', 'consumption', 'stocks', 'may', 'wake', 'up', 'stay', 'defensive']
['ministry', 'of', 'civil', 'aviation', 'has', 'approved', '78', 'new', 'routes', 'under', 'the', '4th', 'round', 'of', 'regional', 'connectivity', 'scheme']
['vice', 'president', 'm', 'venkaiah', 'naidu', 'attends', 'rajya', 'sabha', 'mock', 'drill']
['d', 'street', 'cheers', 'fed', 'goal', 'shift', 'on', 'inflation', 'low', 'rates', 'to', 'sustain', 'liquidity']
['assam', 'to', 'come', 'up', 'with', 'skill', 'university', 'with', 'an', 'investment', 'of', 'rs', '900', 'crore']
['fed', 'chief', 'says', 'maximum', 'jobs', 'main', 'goal', 'eyeing', '2', 'inflation']
['aditya', 'puri', 'says', 'keen', 'to', 'work', 'on', 'digital', 'transformations', 'after', 'hdfc', 'bank', 'stint']
['bjp', 'in', 'up', 'sees', 'syed', 'zafar', 'islams', 'rajya', 'sabha', 'ticket', 'as', 'reward', 'for', 'hard', 'work']
['mizoram', 'holds', 'local', 'council', 'polls', 'while', 'following', 'covid', '19', 'protocols', 'social', 'distancing']
['visas', 'granted', 'to', 'indian', 'students', 'to', 'study', 'in', 'united', 'kingdom', 'more', 'than', 'doubles']
['indo', 'japan', 'mutual', 'logistics', 'pact', 'can', 'enable', 'navies', 'access', 'to', 'djibouti', 'andamans']
['expecting', 'moderate', 'growth', 'in', 'subscription', 'revenue', 'ad', 'revenue', 'may', 'fall', 'in', 'fy21', 'zeel']
['nmdc', 'q1', 'results', 'pat', 'declines', '55', 'to', 'rs', '533', 'crore']
['with', 'radical', 'uncertainty', 'in', 'focus', 'wealth', 'managers', 'dilemma', 'intensifies', 'navneet', 'munot']
['hmsi', 'forays', 'into', '180', '200cc', 'bike', 'segment', 'in', 'india', 'with', 'hornet', '2', '0']
['sc', 'declines', 'permission', 'to', 'carry', 'out', 'muharram', 'procession', 'across', 'country']
['cpi', 'cpim', 'rjd', 'join', 'hands', 'for', 'bihar', 'assembly', 'polls']
['chinas', 'gifts', 'to', 'khaleda', 'zia', 'for', 'aug', '15', 'birthday', 'can', 'cast', 'shadow', 'over', 'ties', 'with', 'dhaka']
['complete', 'disengagement', 'requires', 're', 'deployment', 'of', 'troops', 'by', 'each', 'side', 'towards', 'their', 'regular', 'posts', 'on', 'lac', 'mea', 'on', 'sino', 'india', 'row']
['rajasthan', 'royals', 'signs', 'tv9', 'network', 'as', 'principal', 'sponsor']
['pocket', 'aces', 'loco', 'to', 'stream', 'nba', '2k', 'league', 'games', 'in', 'india']
['mahindra', 'drives', 'in', 'marazzo', 'with', 'bs', 'vi', 'powertrain', 'at', 'rs', '11', '25', 'lakh']
['sc', 'to', 'examine', 'if', 'attached', 'assets', 'can', 'be', 'considered', 'for', 'liquidation', 'to', 'settle', 'dues']
['russia', 'opens', 'probe', 'of', 'alexey', 'navalny', 'illness', 'after', 'western', 'pressure']
['capacity', 'utilisation', 'for', 'transporters', 'goes', 'up', 'to', '60', 'but', 'still', 'a', 'long', 'from', 'normalcy']
['heres', 'how', 'microloan', 'repayment', 'likely', 'after', 'end', 'of', 'moratorium', 'on', 'august', '31']
['microsoft', 'backed', 'affle', 'acquires', 'singapore', 'based', 'online', 'to', 'offline', 'platform', 'shoffr']
['ut', 'with', 'high', 'covid', '19', 'fatality', 'rate']
['hospitality', 'industry', 'associations', 'send', 'recommendations', 'for', 'unlock', '4', '0']
['andhra', 'pradesh', 'reports', 'over', '10', '6k', 'coronavirus', 'cases', 'death', 'toll', 'crosses', '3', '6k']
['tamil', 'nadu', 'crosses', '4', 'lakh', 'covid', '19', 'cases', 'as', '5981', 'more', 'people', 'tested', 'positive']
['e', 'commerce', 'retail', 'market', 'expected', 'to', 'cross', 'usd', '100', 'billion', 'mark', 'by', '2024']
['american', 'investors', 'have', 'a', 'whole', 'lot', 'riding', 'on', 'big', 'tech']
['tiktok', 'ceo', 'kevin', 'mayer', 'quits', 'amid', 'widespread', 'setbacks', 'internal', 'memo', 'reveals']
['five', 'day', 'lockdown', 'imposed', 'in', 'jammu', 'kashmirs', 'samba', 'district', 'to', 'check', 'spread', 'of', 'covid', '19']
['states', 'lost', '60', '70', 'tax', 'revenue', 'in', 'gst', 'regime', 'telangana', 'finance', 'minister', 'harish', 'rao']
['pnb', 'housing', 'finance', 'failed', 'to', 'get', 'any', 'bidder', 'for', 'vipul', 'ltd', 'project', 'in', 'gurgaon']
['a', 'warning', 'flashes', 'for', 'record', 'u', 's', 'stock', 'rally']
['net', 'zero', 'carbon', 'emitter', 'by', '2030', 'railways', 'begins', 'talks', 'with', 'key', 'stakeholders', 'in', 'solar', 'power', 'sector']
['bankers', 'join', 'issue', 'with', 'reserve', 'bank', 'of', 'india', 'governor', 'on', 'risk', 'aversion', 'comment']
['insurance', 'penetration', 'in', 'india', 'below', '4', 'need', 'to', 'expand', 'beyond', 'cities', 'irdai', 'chairman', 'khuntia']
['scientists', 'find', 'first', 'case', 'of', 'hong', 'kong', 'man', 'being', 'infected', 'with', 'coronavirus', 'for', 'the', 'second', 'time']
