['listen', 'to', 'the', 'fans', 'hum']
['u', 's', 'elections', 'this', 'key', 'poll', 'says', 'trump', 'is', 'leading', 'in', 'three', 'battleground', 'sun', 'belt', 'states']
['prime', 'minister', 'greets', 'manmohan', 'singh', 'on', '92nd', 'birthday']
['why', 'are', 'sean', 'diddy', 'combs', 'best', 'friends', 'like', 'jay', 'z', 'and', 'justin', 'bieber', 'silent', 'pr', 'experts', 'say', 'thats', 'the', 'best', 'strategy']
['goi', 'vs', 'rbi', 'a', 'polite', 'policy', 'debate']
['third', 'eye', 'for', 'some', 'its', 'internal', 'matter', 'jmms', 'advice', 'to', 'odishas', 'bjp', 'govt']
['bankruptcy', 'court', 'admits', 'insolvency', 'resolution', 'plea', 'against', 'four', 'future', 'group', 'affiliates']
['centre', 'to', 'borrow', 'rs', '6', '6', 'lakh', 'crore', 'in', 'h2', 'stays', 'within', 'fy25', 'budget', 'target']
['growth', 'to', 'hold', 'steady', 'but', 'global', 'risks', 'remain', 'finmin']
['bjp', 'keeps', 'half', 'of', 'the', '24', 'parliamentary', 'committee', 'chairman', 'posts', 'congress', 'gets', 'four']
['nclat', 'exempts', 'ieccl', 'from', 'debt', 'resolution', 'framework']
['more', 'patrolling', 'points', 'in', 'ladakh', 'access', 'tough', 'due', 'to', 'buffer', 'zone']
['view', 'despite', 'concerns', 'over', 'proposed', 'fees', 'upis', 'sustainability', 'depends', 'on', 'fair', 'merchant', 'charges']
['parliament', 'forms', 'standing', 'committees', 'from', 'bjps', 'mahtab', 'to', 'congress', 'tharoor', 'who', 'heads', 'which', 'department']
['us', 'elections', 'donald', 'trumps', 'chances', 'improve', 'among', 'women', 'voters', 'will', 'they', 'help', 'him', 'to', 'win', 'back', 'the', 'white', 'house', 'in', 'november']
['jk', 'polls', 'those', 'aiding', 'terror', 'will', 'meet', 'same', 'fate', 'as', 'afzal', 'guru', 'amit', 'shah']
['govt', 'blocks', 'websites', 'leaking', 'sensitive', 'details', 'like', 'aadhaar', 'pan', 'of', 'citizens']
['shankaracharya', 'leading', 'the', 'gau', 'dhwaj', 'sthapana', 'bharat', 'yatra', 'turned', 'back', 'from', 'arunachal', 'airport']
['karoshi', 'at', 'the', 'workplace']
['haryana', 'polls', 'in', 'it', 'hub', 'gurgaon', 'voters', 'focus', 'on', 'civic', 'amenities', 'parties', 'on', 'caste']
['hdil', 'insolvency', 'wadhawan', 'asks', 'nclt', 'to', 'reconduct', 'proceedings']
['enough', 'to', 'win', 'u', 's', 'elections', 'kamala', 'harris', 'ahead', 'of', 'donald', 'trump', 'by', '7', 'points', 'nationally']
['govt', 'extends', 'afspa', 'in', 'parts', 'of', 'nagaland', 'arunachal']
['hemant', 'soren', 'govt', 'waives', 'farm', 'loans', 'up', 'to', 'rs', '2', 'lakh']
['closed', 'circuit', 'not', 'for', 'open', 'societies', 'why', 'transparency', 'is', 'important', 'in', 'establishing', 'a', 'healthy', 'legal', 'system']
['youre', '78', 'nobody', 'cares', 'stephen', 'colbert', 'responds', 'to', 'trumps', 'boring', 'remark']
['boston', 'based', 'bicara', 'therapeutics', 'goes', 'public', 'lists', 'on', 'nasdaq']
['vegetable', 'prices', 'surge', 'as', 'rains', 'damage', 'crops', 'and', 'roadways']
['did', 'taylor', 'swifts', 'boyfriend', 'travis', 'kelce', 'jet', 'set', 'and', 'party', 'all', 'offseason', 'his', 'teammates', 'defend', 'him']
['indias', 'rank', 'one', 'notch', 'up', 'on', 'global', 'innovation', 'index', '2024']
['the', 'last', 'of', 'us', 'season', '2', 'trailer', 'reveals', 'new', 'characters', 'plot', 'expected', 'release', 'date']
['doesnt', 'kamala', 'harris', 'have', 'nothing', 'new', 'to', 'offer', 'her', 'talking', 'points', 'are', 'sounding', 'very', 'familiar']
['think', 'twice', 'about', 'getting', 'those', 'awards']
['decision', 'on', 'haryana', 'cm', 'will', 'be', 'taken', 'by', 'congress', 'high', 'command', 'it', 'will', 'be', 'acceptable', 'to', 'all', 'selja']
['calcutta', 'high', 'court', 'demands', 'report', 'from', 'west', 'bengal', 'government', 'on', 'flood', 'compensation']
['jk', 'rights', 'to', 'hindu', 'and', 'sikh', 'refugees', 'employment', 'to', 'locals', 'drug', 'peddling', 'poll', 'issues', 'in', 'rs', 'pura']
['west', 'bengal', 'govt', 'earmarks', 'land', 'to', 'set', 'up', 'gcc', 'in', 'kolkata', 'says', 'cm', 'mamata', 'banerjee']
['west', 'bengal', 'govt', 'orders', 'introduction', 'of', 'biometric', 'systems', 'in', 'medical', 'colleges', 'for', 'enhanced', 'safety']
['china', 'miffed', 'over', 'indian', 'mountaineers', 'naming', 'arunachal', 'pradesh', 'mountain', 'after', '6th', 'dalai', 'lama']
['ibsa', 'nations', 'press', 'for', 'actions', 'against', 'un', 'listed', 'terror', 'outfits', 'let', 'jem', 'other', 'proxy', 'groups']
['kolkata', 'man', 'gets', 'death', 'for', 'rape', 'murder', 'of', '7', 'year', 'old', 'girl']
['deposit', 'growth', 'outpaces', 'credit', 'growth', 'in', 'last', '8', 'months', 'care', 'ratings']
['biocon', 'inks', 'licensing', 'supply', 'pact', 'with', 'tabuk', 'pharmaceutical', 'manufacturing', 'co']
['tech', 'the', 'money', 'run', 'smoothly']
['sebi', 'chief', 'buch', 'hopes', 'corp', 'bond', 'mkt', 'grows', 'as', 'rapdily', 'as', 'equities']
['9', '1', '1', 'season', '8', 'are', 'new', 'episodes', 'airing', 'tonight', 'heres', 'what', 'to', 'expect', 'spoilers']
['one', 'samsung', 'strike', 'doesnt', 'signal', 'crisis']
['in', 'the', 'sun', 'belt', 'kamala', 'harris', 'is', 'struggling', 'among', 'voters', 'of', 'colour', 'says', 'cnn', 'data', 'specialist']
['pm', 'launches', '3', 'supercomputers', 'says', 'tech', 'upgradation', 'should', 'empower', 'the', 'poor']
['new', 'sri', 'lankan', 'pm', 'has', 'old', 'india', 'connect', 'having', 'ba', 'degree', 'from', 'du']
['talks', 'between', 'nscn', 'im', 'and', 'centre', 'likely', 'to', 'take', 'place', 'in', 'october', '1st', 'week']
['amazon', 'great', 'indian', 'festival', 'sale', '2024', 'discount', 'of', 'a', 'minimum', '50', 'on', 'furniture', 'went', 'live', 'for', 'prime']
['ahead', 'of', 'market', '10', 'things', 'that', 'will', 'decide', 'd', 'street', 'action', 'on', 'friday']
['if', 'elected', 'will', 'kamala', 'harris', 'be', 'the', 'most', 'foul', 'mouthed', 'president', 'in', 'us', 'history']
['pet', 'parent', 'in', 'usa', 'here', 'are', 'food', 'products', 'you', 'need', 'to', 'avoid', 'to', 'protect', 'them', 'from', 'listeria', 'and', 'salmonella']
['sjvn', 'to', 'develop', 'pumped', 'storage', 'floating', 'solar', 'projects', 'in', 'maharashtra']
['trent', 'bel', 'to', 'enter', 'nifty', 'on', 'monday', 'total', '800', 'million', 'inflow', 'expected', 'in', '2', 'stocks']
['indian', 'embassy', 'in', 'beijing', 'asks', 'all', 'indian', 'nationals', 'to', 'register', 'to', 'avail', 'its', 'services']
['jio', 'user', 'heres', 'how', 'to', 'keep', 'your', 'sim', 'active', 'without', 'breaking', 'the', 'bank']
['five', 'star', 'business', 'finance', 'block', 'deal', 'tpg', 'sells', 'shares', 'worth', 'rs', '1606', 'crore', 'nomura', 'buyer', 'at', 'rs', '752', 'crore']
['alien', 'romulus', 'when', 'and', 'where', 'to', 'watch', 'on', 'streaming']
['ettech', 'explained', 'pb', 'fintech', 'stocks', 'roller', 'coaster', 'ride']
['amazon', 'great', 'indian', 'festival', '2024', 'unmissable', 'prime', 'deals', 'on', 'premium', 'grooming', 'products', 'for', 'men']
['swiggy', 'shares', 'a', 'hit', 'in', 'unlisted', 'market', 'ed', 'crackdown', 'on', 'betting', 'app']
['idbi', 'bank', 'announces', 'scheme', 'for', 'one', 'time', 'settlement', 'of', 'retail', 'npas']
['did', 'not', 'manufacture', 'drugs', 'flagged', 'in', 'cdsco', 'report', 'say', 'leading', 'pharma', 'companies']
['karnataka', 'bjp', 'mla', 'faces', 'serious', 'allegations', 'of', 'rape', 'in', 'vidhana', 'soudha', 'govt', 'car', 'and', 'other', 'places']
['new', 'maharaja', 'drinks', 'launches', 'made', 'in', 'india', 'blends', 'for', 'uk', 'market']
['posco', 'court', 'hands', 'death', 'sentence', 'to', 'former', 'school', 'warden', 'in', 'arunachal', 'pradesh', 'for', 'assaulting', '21', 'children']
['india', 'egypt', 'identify', 'international', 'trade', 'settlement', 'digital', 'payments', 'as', 'focus', 'areas']
['manipur', 'govt', 'takes', 'u', 'turn', 'on', 'report', 'saying', '900', 'kuki', 'militants', 'infiltrated', 'state', 'to', 'carry', 'out', 'strikes']
['krsnaa', 'diagnostics', 'picks', 'up', 'stake', 'in', 'ppp', 'hospital', 'operator', 'apulki', 'healthcare']
['bilkis', 'bano', 'case', 'sc', 'rejects', 'gujarat', 'govts', 'plea', 'seeking', 'review', 'of', 'verdict', 'over', 'certain', 'observations']
['karnataka', 'cm', 'siddaramaiah', 'launches', 'work', 'on', 'greenfield', 'kwin', 'city', 'project', 'taking', 'shape', 'near', 'bengaluru']
['immigration', 'is', 'out', 'of', 'control', 'say', 'americans', 'will', 'it', 'affect', 'kamala', 'harris', 'chances', 'more', 'than', 'donald', 'trump']
['charting', 'global', 'course', 'linc', 'inks', 'dual', 'jvs', 'with', 'mitsubishi', 'and', 'silka']
