['the', 'challenges', 'of', 'holding', 'a', 'virtual', 'parliament', 'session']
['covid', '19', '78', 'households', 'in', 'ncr', 'start', 'going', 'to', 'their', 'workplaces', 'says', 'survey']
['how', 'leh', 'is', 'besieged', 'by', 'pandemic', 'loss', 'of', 'tourism', 'income', 'and', 'the', 'shadow', 'of', 'war']
['convincing', 'people', 'metro', 'is', 'a', 'safe', 'option', 'is', 'going', 'to', 'be', 'big', 'challenge', 'mangu', 'singh', 'md', 'dmrc']
['centre', 'approves', 'rs', '574', 'crore', 'annual', 'plan', 'for', 'nh', 'works', 'in', 'j', 'k']
['pak', 'foreign', 'minister', 'qureshi', 'moved', 'to', 'military', 'hospital', 'after', 'testing', 'positive', 'for', 'covid', '19']
['rural', 'markets', 'to', 'bounce', 'back', 'better', 'than', 'urban', 'industrial', 'economy', 'harsh', 'goenka', 'of', 'rpg', 'group']
['navy', 'to', 'seek', 'ban', 'on', 'unauthorised', 'sale', 'of', 'armed', 'forces', 'uniform']
['bhutan', 'issues', 'demarche', 'to', 'china', 'over', 'its', 'bid', 'to', 'create', 'border', 'trouble']
['india', 'tweaks', 'digital', 'tax', 'form', 'to', 'include', 'new', 'levy', 'on', 'foreign', 'e', 'commerce', 'firms']
['punjab', 'cm', 'announces', 'cancellation', 'of', 'college', 'varsity', 'exams']
['covid', '19', 'caused', 'huge', 'demand', 'destruction', 'overseas', 'bankers']
['coal', 'india', 'nlc', 'india', 'jv', 'to', 'pump', 'in', 'rs', '12000', 'cr', 'to', 'install', '3000', 'mw', 'solar', 'power', 'assets']
['meity', 'niti', 'launches', 'digital', 'india', 'aatmanirbhar', 'bharat', 'app', 'innovation', 'challenge']
['pm', 'modi', 'pitches', 'for', 'atmanirbhar', 'app', 'ecosystem', 'says', 'it', 'is', 'tackling', 'disruption', 'brought', 'about', 'by', 'covid', '19']
['coal', 'production', 'nil', 'in', 'most', 'mines', 'during', '3', 'day', 'strike', 'trade', 'union', 'leader']
['cm', 'palaniswami', 'eases', 'curbs', 'in', 'chennai', 'from', 'july', '6', 'extends', 'restrictions', 'in', 'madurai']
['bajaj', 'auto', 'unions', 'demand', 'factory', 'halt', 'after', '250', 'workers', 'catch', 'coronavirus']
['blood', 'test', 'can', 'predict', 'severity', 'of', 'covid', '19', 'can', 'help', 'determine', 'why', 'diabetes', 'worsens', 'the', 'conditionorblood', 'test', 'can', 'help', 'find', 'which', 'covid', '19', 'patient', 'needs', 'a', 'ventilator', 'determine', 'the', 'role', 'of', 'diabetes']
['luxury', 'in', 'the', 'time', 'of', 'covid', '19', 'pune', 'man', 'dons', 'expensive', 'gold', 'mask', 'worth', 'rs', '2', '9', 'lakh', 'leaves', 'twitter', 'fuming']
['f1', 'driver', 'charles', 'leclerc', 'has', 'a', 'pre', 'race', 'ritual', 'which', 'he', 'wont', 'ditch', 'even', 'during', 'corona', 'crisis']
['delhi', 'bjp', 'reorganisation', 'process', 'begins', '35', 'teams', 'formed', 'to', 'shortlist', 'names']
['the', 'battle', 'for', 'bollywood', 'gets', 'fierce', 'as', 'ott', 'theatres', 'lock', 'horns', 'in', 'post', 'covid', 'world']
['icmr', 'says', 'move', 'to', 'fast', 'track', 'covid', '19', 'vaccine', 'in', 'accordance', 'with', 'global', 'norms']
['strategic', 'affairs', 'experts', 'hail', 'modis', 'visit', 'to', 'ladakh', 'say', 'his', 'message', 'to', 'china', 'clear']
['spotify', 'launches', 'new', 'premium', 'plan', 'for', 'couples', 'will', 'allow', 'two', 'people', 'to', 'split', 'the', 'cost', 'of', 'membership']
['uk', 'fm', 'rishi', 'sunak', 'urges', 'british', 'public', 'to', 'help', 'restart', 'economy', 'on', 'super', 'saturday']
['nagaland', 'government', 'rejects', 'governors', 'proposal', 'on', 'transfer', 'and', 'posting', 'of', 'officials']
['no', 'passenger', 'flights', 'to', 'kolkata', 'from', 'delhi', 'mumbai', 'chennai', 'and', '3', 'other', 'cities', 'between', 'july', '6', '19']
['ecor', 'carried', '45', '80', 'million', 'tonne', 'of', 'freight', 'during', '101', 'day', 'lockdown']
['india', 'still', 'needs', 'to', 'rely', 'on', 'china', 'for', 'solar', 'equipment', 'power', 'minister', 'r', 'k', 'singh']
['hdfc', 'banks', 'deposits', 'rise', '25', 'rs', '1189500', 'crore', 'from', 'a', 'year', 'ago']
['two', 'time', 'olympic', 'champion', 'lin', 'dan', 'retires', 'from', 'international', 'badminton']
['singers', 'kacey', 'musgraves', 'and', 'ruston', 'kelly', 'call', 'it', 'quits', 'file', 'for', 'divorce', 'after', 'two', 'years', 'of', 'marriage']
['byjus', 'is', 'reportedly', 'in', 'talks', 'to', 'acquire', 'whitehat', 'jr', 'for', '300', 'million']
['paradip', 'port', 'handles', 'highest', 'volume', 'of', 'cargo', 'in', 'country', 'during', 'first', 'quarter', 'of', 'current', 'fiscal']
['in', '2', 'years', 'time', 'msmes', 'will', 'contribute', '60', 'to', 'indias', 'exports', 'nitin', 'gadkari']
['fear', 'of', 'data', 'leaks', 'puts', 'large', 'companies', 'and', 'banks', 'on', 'high', 'alert']
['millwood', 'kane', 'international', 'ceo', 'says', 'the', 'books', 'on', 'his', 'reading', 'list', 'help', 'him', 'innovate', 'form', 'his', 'perspective']
['realme', 'x3', 'superzoom', 'review', 'big', 'display', 'easy', 'to', 'use', 'with', 'one', 'hand', 'powerful', 'periscope', 'lens']
['unfortunate', 'that', 'aspersions', 'are', 'being', 'cast', 'on', 'how', 'our', 'personnel', 'are', 'treated', 'army']
['encounter', 'breaks', 'out', 'between', 'security', 'forces', 'militants', 'in', 'jks', 'kulgam']
['margins', 'on', 'your', 'shares']
['cricket', 'through', 'the', 'ages', 'review', 'good', 'graphics', 'action', 'packed', 'gameplay']
['dalal', 'street', 'week', 'ahead', 'nifty', 'momentum', 'weakening', 'dont', 'chase', 'this', 'market', 'blindly']
['station', 'officer', 'of', 'police', 'station', 'in', 'kanpur', 'suspended', 'over', 'allegations', 'of', 'role', 'in', 'cops', 'killing']
['scientists', 'strike', 'note', 'of', 'caution', 'as', 'made', 'in', 'india', 'vaccine', 'programme', 'gains', 'momentum']
['mi', 'notebook', '14', 'horizon', 'review', 'long', 'battery', 'life', 'compact', 'value', 'for', 'money', 'laptop']
['hitachi', 'abb', 'power', 'grids', 'to', 'focus', 'on', 'e', 'mobility']
['indian', 'american', 'community', 'holds', 'boycott', 'china', 'protest', 'at', 'times', 'square', 'in', 'new', 'york']
['cpec', 'to', 'be', 'completed', 'at', 'all', 'costs', 'imran', 'khan']
['considering', 'to', 'replace', 'multi', 'modal', 'transportation', 'of', 'goods', 'act', 'with', 'national', 'logistics', 'law', 'commerce', 'ministry']
['to', 'employ', 'migrant', 'workers', 'industry', 'proposes', 'setting', 'up', 'of', 'jewellery', 'park', 'in', 'uttar', 'pradesh']
['who', 'team', 'to', 'visit', 'china', 'next', 'week', 'to', 'investigate', 'origins', 'of', 'coronavirus']
['whatsapp', 'rolls', 'out', 'its', 'between', 'you', 'campaign', 'narrates', 'stories', 'about', 'how', 'indians', 'communicate', 'daily']
['ladakhis', 'raising', 'voice', 'against', 'chinese', 'intrusion', 'ignoring', 'warning', 'will', 'cost', 'india', 'rahul', 'gandhi']
['workers', 'strike', 'hits', 'coal', 'india', 'output', 'despatch']
['sports', 'ministry', 'to', 'remove', 'salary', 'cap', 'of', 'rs', '2', 'lakhs', 'for', 'indian', 'coaches']
['india', 'china', 'standoff', 'indian', 'drinkers', 'could', 'swear', 'off', 'baijiu']
['three', 'indian', 'companies', 'express', 'interest', 'in', 'mumbai', 'monorail', 'projects']
['lord', 'buddhas', 'ideals', 'have', 'lasting', 'solutions', 'to', 'challenges', 'world', 'facing', 'today', 'pm', 'modi']
['trump', 'pushes', 'racial', 'division', 'flouts', 'virus', 'rules', 'at', 'rushmore']
['companies', 'act', 'reforms', 'amid', 'covid', '19', 'a', 'primer']
['money', 'market', 'funds', 'see', 'largest', 'redemptions', 'since', 'dec', '2019', 'bofa']
