['delhi', 'lok', 'sabha', 'election', 'winners', 'list', 'top', 'winners', 'and', 'losers']
['khata', 'khat', 'khata', 'khat', 'khata', 'khat', 'rahul', 'gandhi', 'leads', 'congress', 'stunning', 'fightback']
['india', 'bloc', 'leaders', 'to', 'meet', 'at', 'kharges', 'residence', 'on', 'wednesday', 'evening', 'on', 'plans', 'of', 'govt', 'formation']
['over', '90', 'per', 'cent', 'candidates', 'in', 'delhi', 'lose', 'security', 'deposits']
['t20', 'world', 'cup', 'icc', 'releases', 'additional', 'tickets', 'for', 'key', 'fixtures', 'including', 'india', 'pakistan', 'clash']
['modi', 'must', 'resign', 'immediately', 'mamata', 'banerjee']
['chandrababu', 'naidus', 'tdp', 'brings', 'saffron', 'wave', 'to', 'andhra', 'telangana']
['lok', 'sabha', 'polls', '2024', 'hema', 'malini', 'gets', '3rd', 'term', 'in', 'mathura', 'newcomers', 'kangana', 'govil', 'also', 'emerge', 'victorious']
['radical', 'preacher', 'amritpal', 'son', 'of', 'indira', 'gandhis', 'assassin', 'win', 'ls', 'polls', 'as', 'independents']
['written', 'off', 'by', 'critics', 'congress', 'stages', 'stunning', 'fightback', 'with', 'social', 'justice', 'plank']
['4000', 'point', 'fall', 'not', 'enough', 'sensex', 'may', 'crash', 'more', 'if', 'nda', 'tally', 'falls', 'below', '300', 'seats']
['avoid', 'this', 'netflix', 'code', 'while', 'searching', 'for', 'your', 'favorite', 'content', 'everything', 'you', 'may', 'like', 'to', 'know']
['smriti', 'irani', 'arjun', 'munda', 'rajeev', 'chandrashekhar', 'among', '13', 'losing', 'union', 'ministers']
['boost', 'to', 'congress', 'president', 'm', 'mallikarjun', 'kharge', 'as', 'son', 'in', 'law', 'wins', 'on', 'home', 'turf', 'of', 'gulbarga']
['several', 'candidates', 'in', 'west', 'bengal', 'win', 'polls', 'by', 'massive', 'margins']
['bjp', 'sweeps', 'lok', 'sabha', 'polls', 'in', 'himachal', 'pradesh', 'wins', 'all', 'four', 'seats']
['election', 'result', '2024', 'prashant', 'kishors', 'predictions', 'proved', 'wrong', 'bjp', 'fails', 'to', 'improve', '2019', 'tally']
['bulldozer', 'baba', 'fails', 'to', 'contain', 'resurgent', 'sp', 'congress', 'despite', 'vigorous', 'temple', 'rhetoric']
['mixed', 'bag', 'results', 'for', 'next', 'generation', 'of', 'political', 'families']
['bihar', 'elections', 'nitish', 'kumar', 'led', 'jdu', 'outperforms', 'bjp']
['priyanka', 'gandhi', 'the', 'x', 'factor', 'in', 'india', 'blocs', 'uttar', 'pradesh', 'upset']
['the', 'sandman', 'season', '2', 'release', 'date', 'on', 'netflix', 'what', 'do', 'we', 'know', 'so', 'far']
['bihar', 'election', 'result', 'winner', 'list', '2024', 'india', 'bloc', 'to', 'shake', 'up', 'nda', 'check', 'who', 'is', 'winning', 'and', 'losing', 'in', 'lok', 'sabha', 'polls', 'here', 'is', 'the', 'full', 'list']
['will', 'pirates', 'of', 'the', 'caribbean', 'star', 'johnny', 'depp', 'be', 'new', 'satan', 'here', 'are', 'the', 'details']
['67', 'candidates', 'share', 'top', 'rank', 'in', 'neet', 'ug', 'maximum', 'from', 'rajasthan']
['who', 'is', 'mike', 'russell', 'why', 'is', 'he', 'in', 'news', 'before', 'making', 'his', 'debut', 'on', 'the', 'pga', 'tour']
['india', 'alliance', 'leaders', 'will', 'meet', 'on', 'wednesday', 'to', 'decide', 'on', 'pm', 'face', 'uddhav']
['beware', 'android', 'users', 'this', 'new', 'malware', 'can', 'steal', 'your', 'phone', 'data', 'and', 'misuse', 'bank', 'details', 'know', 'how', 'to', 'stay', 'safe']
['prajwal', 'revanna', 'accused', 'in', 'sexual', 'abuse', 'cases', 'loses', 'election', 'in', 'hassan']
['amit', 'shah', 'wins', 'gandhinagar', 'by', 'over', '7', 'lakh', 'votes']
['aaps', 'vote', 'share', 'up', 'by', 'six', 'per', 'cent', 'despite', 'defeat', 'bjps', 'votes', 'lower', 'by', '2', 'per', 'cent', 'despite', 'victory']
['url', 'telangana', 'election', 'result', 'winner', 'list', '2024', 'bjp', 'congress', 'aimim', 'brs', 'check', 'who', 'is', 'winning', 'and', 'losing', 'in', 'lok', 'sabha', 'elections', 'here', 'is', 'the', 'full', 'list']
['modi', 'retaining', 'power', 'under', 'changed', 'circumstances', 'to', 'make', 'reforms', 'challenging', 'economists']
['best', 'fathers', 'day', 'gifts', 'under', '1000']
['ixigo', 'to', 'launch', 'its', 'ipo', 'on', 'june', '10', 'check', 'details']
['congress', 'bags', 'allahabad', 'seat', '40', 'years', 'after', 'amitabh', 'bachchans', 'feat']
['defence', 'minister', 'rajnath', 'singh', 'wins', 'lucknow', 'lok', 'sabha', 'seat']
['ndas', 'return', 'to', 'power', 'for', 'third', 'term', 'shows', 'peoples', 'faith', 'in', 'modis', 'vision', 'bjp']
['nitin', 'gadkari', 'achieves', 'hat', 'trick', 'with', 'victory', 'from', 'nagpur']
['election', 'results', '2024', 'kl', 'sharma', 'to', 'yusuf', 'pathan', 'meet', 'the', 'giant', 'slayers', 'of', 'the', 'lok', 'sabha', 'election']
['for', 'mf', 'investors', 'multi', 'asset', 'approach', 'is', 'way', 'to', 'go']
['impact', 'of', 'election', 'results', 'on', 'stock', 'market', 'are', 'modi', 'stocks', 'the', 'best', 'bet']
['bjps', 'vote', 'share', 'slump', 'while', 'congress', 'sp', 'garner', 'more', 'votes', 'than', 'in', '2019', 'ls', 'polls']
['tmc', 'candidates', 'shatrughan', 'sinha', 'kirti', 'azad', 'secure', 'victories']
['modi', 'factor', 'targeted', 'campaign', 'against', 'aap', 'on', 'corruption', 'allegations', 'ensures', 'clean', 'sweep', 'for', 'bjp', 'in', 'delhi']
['odisha', 'assembly', 'election', '2024', 'winners', 'list', 'check', 'odisha', 'election', 'candidates', 'wise', 'full', 'winner', 'list']
['amid', 'raining', 'guarantees', 'bjp', 'manages', 'to', 'limit', 'congress', 'march', 'in', 'karnataka']
['ahead', 'of', 'market', '10', 'things', 'that', 'will', 'decide', 'd', 'street', 'action', 'on', 'wednesday']
['will', 'india', 'bloc', 'forge', 'partnerships', 'to', 'form', 'govt', 'at', 'the', 'centre', 'rahul', 'gandhi', 'elaborates', 'on', 'possibilities']
['madhya', 'pradesh', 'election', 'result', 'winner', 'list', '2024', 'big', 'winners', 'losers']
['fiis', 'sell', 'equities', 'worth', 'rs', '12436', 'crore', 'diis', 'net', 'sellers', 'at', 'rs', '3319', 'crore']
['union', 'minister', 'and', 'mp', 'arjun', 'munda', 'loses', 'jharkhands', 'khunti', 'seat', 'by', '1', '49', 'lakh', 'votes']
['dmks', 'turns', '40', 'out', 'of', '40', 'poll', 'pitch', 'into', 'reality', 'in', 'tamil', 'nadu', 'puducherry']
['turncoats', 'in', '2024', 'ls', 'polls', 'scindia', 'jindal', 'jitin', 'prasad', 'win', 'loss', 'for', 'preneet', 'kaur', 'sita', 'soren']
['we', 'are', 'in', 'nda', 'we', 'will', 'remain', 'in', 'nda', 'jdu', 'leader', 'k', 'c', 'tyagi']
['incredible', 'but', 'true', 'silver', 'chain', 'saves', 'colorado', 'man', 'from', 'bullet', 'know', 'what', 'exactly', 'happened']
['rahul', 'gandhi', 'wins', 'rae', 'bareli', 'ls', 'seat', 'by', 'over', '3', '9', 'lakh', 'votes']
