['fm', 'asks', 'state', 'run', 'banks', 'to', 'focus', 'on', 'msme', 'outreach']
['grse', 'delivers', 'fifth', 'ship', 'in', 'fast', 'patrol', 'vessels', 'series', 'to', 'indian', 'coast', 'guard']
['view', 'the', 'migrant', 'workers', 'stoicism', 'reveals', 'the', 'shallowness', 'of', 'indian', 'democracy']
['hero', 'motocorp', 'q4', 'results', 'net', 'profit', 'drops', '15', 'yoy', 'to', 'rs', '621', 'crore', 'announces', 'rs', '25', 'dividend']
['new', 'rules', 'icc', 'allows', 'covid', '19', 'substitutes', 'additional', 'logo', 'on', 'jerseys']
['kashmir', 'stares', 'at', 'infrastructure', 'crisis', 'with', '1000', 'cases', 'in', '72', 'hours']
['mos', 'home', 'g', 'kishan', 'reddy', '9', 'others', 'named', 'on', 'new', 'panel', 'for', 'freedom', 'fighters']
['faster', 'nod', 'for', 'clinical', 'trials', 'soon']
['talks', 'with', 'akhilesh', 'yadav', 'after', 'pandemic', 'says', 'shivpal', 'yadav']
['telangana', 'to', 'move', 'supreme', 'court', 'on', 'high', 'court', 'test', 'order']
['central', 'teams', 'deployed', 'in', 'over', '50', 'districts', 'municipalities', 'with', 'high', 'covid', '19', 'caseload', 'health', 'ministry']
['india', 'issues', 'demarche', 'to', 'pakistan', 'high', 'commission', 'over', 'alleged', 'targeting', 'of', 'minorities']
['mumbai', 'reaches', 'grim', 'milestone', 'of', '50000', 'plus', 'covid', '19', 'cases']
['uttar', 'pradesh', 'cabinet', 'approves', 'draft', 'cow', 'slaughter', 'prevention', 'amendment', 'ordinance', '2020']
['bombay', 'dyeing', 'q4', 'results', 'net', 'profit', 'down', '96', 'at', 'rs', '48', '63', 'crore']
['graphite', 'india', 'q4', 'results', 'net', 'profit', 'down', '94', 'at', 'rs', '25', 'crore']
['sebi', 'eases', 'norms', 'for', 'further', 'public', 'offer', 'amid', 'coronavirus', 'pandemic']
['we', 'are', 'all', 'indians', 'delhi', 'belongs', 'to', 'all', 'lg', 'office', 'rejects', 'aap', 'criticism', 'on', 'hospital', 'order']
['public', 'service', 'delivery', 'also', 'deserves', 'attention', 'as', 'economy', 'opens', 'up', 'jean', 'dreze']
['no', 'printing', 'of', 'tickets', 'ticket', 'checking', 'by', 'rpf', 'outsource', 'cleaning', 'proposals', 'on', 'streamlining', 'railways']
['domestic', 'remittances', 'by', 'migrants', 'climb', 'back', 'to', 'clock', '40', 'pc', 'of', 'pre', 'lockdown', 'level']
['bmc', 'dy', 'municipal', 'commissioner', 'dies', 'due', 'to', 'coronavirus']
['world', 'meteorological', 'organization', 'appreciates', 'indias', 'highly', 'accurate', 'cyclone', 'forecasting', 'system']
['dow', 'jones', 'opens', 'lower', 'as', 'focus', 'shifts', 'to', 'fed', 'meeting']
['ibm', 'drops', 'facial', 'recognition', 'software', 'amid', 'racial', 'profiling', 'concerns']
['gold', 'prices', 'gain', 'as', 'equities', 'rally', 'hits', 'pause']
['enough', 'room', 'to', 'dilute', '10', '15', 'stake', 'in', 'adani', 'green', 'energy', 'gautam', 'adani']
['ncdex', 'to', 'publish', 'two', 'rainfall', 'based', 'indices', 'on', 'wednesday']
['nse', 'to', 'withdraw', 'now', 'trading', 'platform']
['crude', 'oil', 'prices', 'down', 'on', 'stronger', 'dollar', 'oversupply', 'concerns']
['temporary', 'adjustment', 'in', 'production', 'schedule', 'due', 'to', 'global', 'network', 'issue', 'honda', 'motorcycle', 'and', 'scooter', 'india']
['delhi', 'cm', 'arvind', 'kejriwal', 'tests', 'negative', 'for', 'coronavirus']
['india', 'better', 'positioned', 'in', 'fight', 'against', 'covid', '19', 'but', 'no', 'space', 'for', 'complacency', 'harsh', 'vardhan']
['andhra', 'pradesh', 'government', 'moves', 'supreme', 'court', 'against', 'high', 'court', 'decision', 'quashing', 'ordinance', 'curtailing', 'tenure', 'of', 'sec']
['us', 'employers', 'laid', 'off', '7', '7', 'million', 'workers', 'in', 'april']
['rahul', 'gandhis', 'remarks', 'on', 'sino', 'india', 'border', 'issue', 'against', 'national', 'interest', 'former', 'army', 'officers']
['nepal', 'renews', 'call', 'for', 'talks', 'with', 'india']
['bulk', 'deals', 'ubs', 'principal', 'capital', 'laps', 'up', 'rec', 'shares']
['airlines', 'expected', 'to', 'lose', '84', '3', 'billion', 'in', '2020', 'globally', 'iata']
['gujarat', 'pipavav', 'port', 'q4', 'results', 'net', 'profit', 'down', '7', 'per', 'cent', 'to', 'rs', '47', '2', 'crore']
['pakistans', 'economy', 'to', 'perform', 'below', 'earlier', 'estimates', 'country', 'faces', 'oil', 'shortage']
['twitter', 'puts', 'fleets', 'to', 'test', 'in', 'india']
['sslc', 'exam', 'to', 'be', 'held', 'schools', 'in', 'karnataka', 'to', 're', 'open', 'after', 'august', 'minister']
['deve', 'gowda', 'files', 'nomination', 'for', 'rajya', 'sabha', 'polls', 'from', 'karnataka']
['jyotiraditya', 'scindia', 'mother', 'admitted', 'to', 'max', 'hospital', 'with', 'covid', 'like', 'symptoms']
['psbs', 'sanctions', 'loans', 'worth', 'rs', '20000', 'crore', 'under', 'emergency', 'credit', 'line', 'guarantee', 'scheme']
['startups', 'selling', 'social', 'distancing', 'fixes', 'make', 'hay']
['irdai', 'scraps', 'all', 'packaged', 'long', 'term', 'motor', 'covers', 'citing', 'mis', 'selling', 'and', 'pricing', 'challenges']
['cases', 'in', 'haryana', 'double', 'in', 'a', 'week', 'to', 'cross', '5000', 'daily', 'spurt', 'as', 'high', 'as', 'uttar', 'pradesh']
['up', 'slashes', 'interest', 'rate', 'on', 'land', 'dues', 'will', 'help', 'in', 'completion', 'of', 'stuck', 'projects']
['government', 'plans', 'to', 'ease', 'procurement', 'rules', 'for', 'desi', 'software', 'product', 'firms']
['crpf', 'bsf', 'open', 'hospitals', 'nationwide', 'for', 'covid', '19', 'treatment', 'of', 'veterans', 'families', 'of', 'slain', 'soldiers']
['trend', 'reversal', 'd', 'street', 'wonders', 'if', 'the', 'market', 'has', 'run', 'out', 'of', 'steam']
['5', '5', 'lakh', 'covid', '19', 'cases', 'in', 'delhi', 'by', 'july', '31', 'possible', 'community', 'transmission', 'is', 'on', 'scientists']
['two', 'themes', 'mosl', 'is', 'bullish', 'on', 'right', 'now']
['wipro', 'extends', 'collaboration', 'with', 'amazon', 'web', 'services', 'for', 'devops']
['securitisation', 'market', 'volume', 'to', 'fall', 'by', '30', '40', 'in', 'fy21', 'icra']
['87', 'indian', 'adults', 'believe', 'online', 'gaming', 'affects', 'well', 'being', 'says', 'nortonlifelock', 'survey']
['supreme', 'court', 'bars', 'uttar', 'pradesh', 'government', 'from', 'filling', '37339', 'posts', 'of', 'assistant', 'teachers', 'allows', 'to', 'fill', 'rest', 'seats']
['tamil', 'nadu', 'cm', 'cancels', 'class', '10', 'exams', 'as', 'covid', '19', 'cases', 'in', 'the', 'state', 'gallop', 'to', '34914']
['as', 'yatra', 'ebix', 'spat', 'intensifies', 'dealmakers', 'expect', 'bad', 'news', 'for', 'covid', 'hit', 'travel', 'sector']
['gcpls', 'md', 'vivek', 'gambhir', 'quits']
['assam', 'cm', 'seeks', 'air', 'force', 'deployment', 'to', 'douse', 'oilwell', 'fire']
['trade', 'setup', 'nifty50', 'vulnerable', 'below', 'the', '10300', '10350', 'zone']
['corona', 'tax', 'hangover', 'liquor', 'sales', 'in', 'low', 'spirits']
['india', 'inc', 'spent', 'rs', '7537', 'crore', 'as', 'csr', 'obligations', 'in', '2', 'months', 'directed', 'to', 'address', 'the', 'covid', '19', 'pandemic']
['empays', 'payment', 'systems', 'partners', 'mastercard', 'to', 'enable', 'contact', 'free', 'atm', 'cash', 'withdrawals']
['emirates', 'lays', 'off', 'pilots', 'cabin', 'crew', 'plans', 'thousands', 'more', 'job', 'cuts', 'sources']
['equitas', 'small', 'finance', 'bank', 'hikes', 'interest', 'on', 'saving', 'account', 'deposits']
['has', 'china', 'occupied', 'indian', 'territory', 'in', 'ladakh', 'rahul', 'gandhi', 'asks', 'defence', 'minister', 'rajnath', 'singh']
['gold', 'jumps', 'rs', '402', 'silver', 'zooms', 'rs', '893']
['sc', 'directs', 'centre', 'states', 'to', 'send', 'migrant', 'workers', 'to', 'their', 'native', 'places', 'within', '15', 'days']
['bmc', 'relaxes', 'norms', 'for', 'testing', 'by', 'mumbai', 'private', 'labs', 'sources', 'feel', 'peak', 'may', 'be', 'over']
['saregama', 'music', 'library', 'grows', 'by', '10']
['provide', 'residual', 'demand', 'for', 'shramik', 'trains', 'for', 'movement', 'of', 'migrants', 'by', 'june', '10', 'railways', 'to', 'states']
['got', 'a', 'sweet', 'tooth', 'this', 'immunity', 'sandesh', 'packed', 'with', 'spices', 'will', 'keep', 'coronavirus', 'at', 'bay']
['adani', 'green', 'zooms', 'to', 'record', 'high', 'on', 'bagging', 'worlds', 'largest', 'solar', 'bid']
['oyo', 'partnered', 'with', 'local', 'ngos', 'to', 'lead', 'food', 'drive', 'for', 'those', 'affected', 'by', 'cyclone', 'amphan']
['auto', 'sales', 'may', 'dip', 'by', 'up', 'to', '25', 'per', 'cent', 'in', 'fy21', 'sharpest', 'decline', 'in', 'two', 'decades', 'ind', 'ra']
['bank', 'nbfc', 'stocks', 'valuations', 'wont', 'be', 'justifiable', 'if', 'rbi', 'extends', 'moratorium', 'to', 'march', 'ajay', 'bagga']
['gold', 'prices', 'today', 'ease', 'amid', 'rise', 'in', 'risk', 'appetite']
['another', 'locust', 'attack', 'likely', 'in', 'a', 'few', 'weeks', 'officials']
['anil', 'agarwal', 'seeks', 'pm', 'modis', 'help', 'to', 'reopen', 'tuticorin', 'copper', 'plant', 'for', 'self', 'reliant', 'india']
['most', 'covid', '19', 'apps', 'with', 'contact', 'tracing', 'feature', 'may', 'be', 'putting', 'your', 'personal', 'data', 'at', 'risk']
['source', 'of', 'infection', 'not', 'known', 'in', 'nearly', 'half', 'of', 'new', 'cases', 'reported', 'in', 'delhi', 'jain']
['novel', 'coronavirus', 'may', 'have', 'been', 'spreading', 'in', 'china', 'in', 'august', 'harvard', 'research', 'indicates']
['you', 'need', 'to', 'adjust', 'your', 'valuation', 'models', 'in', 'this', 'market', 'guy', 'spier']
