['just', 'escape', 'afghans', 'in', 'delhi', 'urge', 'kin', 'in', 'kabul']
['sacred', 'groves', 'cic', 'in', 'talks', 'for', '10', 'year', 'investment', 'for', 'restoration', 'of', 'forest', 'lands', 'near', 'kaziranga']
['over', '9500', 'unclaimed', 'amrapali', 'flats', 'maybe', 'resold', 'as', 'sc', 'directs', 'final', 'notice', 'be', 'given', 'to', 'buyers']
['only', '47', 'of', 'young', 'entrepreneurs', 'startups', 'confident', 'of', 'sustaining', 'beyond', 'six', 'months']
['20', 'itbp', 'soldiers', 'awarded', 'medals', 'for', 'courage', 'devotion', 'during', 'face', 'off', 'with', 'chinese', 'army', 'in', 'ladakh']
['be', 'prepared', 'for', 'any', 'challenge', 'that', 'may', 'come', 'your', 'way', 'rajnath', 'singh', 'to', 'armed', 'forces']
['adani', 'group', 'set', 'for', 'digital', 'foray', 'to', 'build', 'a', 'super', 'app']
['truth', 'triumphs', 'says', 'congress', 'after', 'twitter', 'unlocks', 'rahul', 'gandhis', 'handle']
['ban', 'on', 'hot', 'air', 'balloons', 'uavs', 'till', 'tomorrow', 'due', 'to', 'i', 'day', 'security']
['what', 'does', 'freedom', 'mean', 'in', 'the', 'time', 'of', 'covid', 'pandemic']
['how', 'tech', 'can', 'drive', 'away', 'hiring', 'blues']
['barcelona', 'without', 'messi', 'is', 'a', 'long', 'distance', 'relationship']
['view', 'lets', 'see', '15th', 'august', 'for', 'what', 'it', 'was', 'a', 'mark', 'of', 'enforced', 'displacement']
['special', 'court', 'remands', 'rana', 'kapoor', 'in', 'cbi', 'custody', 'till', 'august', '21', 'in', 'loan', 'fraud', 'case']
['pan', 'naga', 'hoho', 'must', 'constitute', 'as', 'an', 'integral', 'part', 'of', 'the', 'naga', 'solution', 'nscn', 'im', 'chairman']
['ensure', 'there', 'is', 'no', 'new', 'encroachment', 'assam', 'chief', 'minister', 'himanta', 'biswa', 'sarma', 'to', 'forest', 'department']
['highlights', 'president', 'ram', 'nath', 'kovind', 'urges', 'all', 'citizens', 'to', 'get', 'vaccinated', 'as', 'soon', 'as', 'possible']
['nico', 'ali', 'walsh', 'grandson', 'of', 'muhammad', 'ali', 'to', 'make', 'boxing', 'debut']
['govt', 'notifies', 'general', 'insurance', 'and', 'dicgc', 'bills']
['bombay', 'hc', 'gives', 'interim', 'stay', 'to', 'part', 'of', 'it', 'rules']
['how', 'first', 'world', 'does', 'third', 'world']
['taliban', 'gains', 'give', 'investors', 'cause', 'for', 'concern', 'beyond', 'afghanistan']
['future', 'retail', 'q1', 'loss', 'widens', 'to', 'rs', '1147', 'crore']
['russia', 'interested', 'in', 'involving', 'india', 'iran', 'to', 'bring', 'peace', 'in', 'afghanistan', 'sergey', 'lavrov']
['first', 'farm', 'budget', 'in', 'tn', 'aims', 'at', 'increasing', 'income', 'of', 'ryots', 'cii']
['four', 'cisf', 'men', 'get', 'gallantry', 'medal', 'for', 'blocking', 'trucks', 'carrying', 'terrorists', 'to', 'kashmir', 'valley']
['independence', 'day', '67', 'maharashtra', 'police', 'personnel', 'awarded', 'gallantry', 'service', 'medals']
['lets', 'work', 'together', 'to', 'achieve', 'constitutional', 'ideals', 'vp', 'naidus', 'message', 'on', 'i', 'day', 'eve']
['voda', 'idea', 'q1', 'net', 'loss', 'widens', 'to', 'rs', '7312', '9', 'crore', 'arpu', 'falls', 'to', 'rs', '104']
['you', 'reap', 'what', 'you', 'sow', 'opposition', 'leaders', 'dig', 'at', 'india', 'inc', 'over', 'criticism', 'by', 'goyal']
['view', 'let', 'tokyo', 'olympics', 'be', 'for', 'indian', 'sports', 'what', '1983', 'world', 'cup', 'was', 'for', 'cricket']
['parliament', 'is', 'temple', 'of', 'countrys', 'democracy', 'to', 'debate', 'and', 'decide', 'issues', 'of', 'peoples', 'well', 'being', 'president', 'ram', 'nath', 'kovind']
['corporates', 'can', 'play', 'key', 'role', 'in', 'indias', 'olympic', 'movement', 'parth', 'jindal']
['qatar', 'urges', 'taliban', 'to', 'cease', 'fire', 'at', 'meeting', 'in', 'doha']
['a', 'floating', 'island', 'onboard', 'indias', 'first', 'indigenous', 'aircraft', 'carrier', 'ins', 'vikrant']
['delhi', 'govt', 'to', 'redesign', 'beautify', '540', 'km', 'long', 'roads', 'in', 'city', 'according', 'to', 'european', 'standards', 'kejriwal']
['railway', 'minister', 'ashwini', 'vaishnaw', 'talks', 'tough', 'against', 'corruption', 'departmentalism', 'compromise', 'with', 'safety']
['india', 'now', 'has', 'four', 'edtech', 'unicorns', 'byju', 'unacademy', 'eruditis', 'upgrad']
['bombay', 'hc', 'stays', 'part', 'of', 'it', 'rules', 'which', 'mandate', 'code', 'of', 'ethics', 'for', 'digital', 'publishers']
['congress', 'accuses', 'pm', 'narendra', 'modi', 'of', 'divisive', 'diversionary', 'politics', 'after', 'his', 'call', 'to', 'observe', 'partition', 'horrors', 'remembrance', 'day']
