['telcos', 'call', 'for', 'level', 'playing', 'field', 'absurd', 'broadband', 'india', 'forum']
['writing', 'reading', 'love', 'letters', '2', '0']
['bbbanks', 'can', 'well', 'do', 'with', 'this', 'influx']
['ed', 'questions', 'maharashtra', 'minister', 'anil', 'parab', 'for', 'over', '10', 'hours', 'summons', 'him', 'again', 'on', 'wednesday']
['meghalaya', 'floods', 'cm', 'conrad', 'k', 'sangma', 'reviews', 'worst', 'hit', 'south', 'garo', 'hills', 'district']
['maha', 'mlc', 'polls', 'congress', 'leader', 'says', 'patole', 'must', 'resign', 'over', 'handores', 'defeat']
['trump', 'faces', 'his', 'biggest', 'test', 'so', 'far', 'will', 'the', 'truth', 'of', 'jan', '6', 'capitol', 'hill', 'insurrection', 'come', 'out']
['why', 'us', 'is', 'no', 'longer', 'heading', 'for', 'a', 'recession', 'but', 'is', 'actually', 'in', 'a', 'recession']
['ut', 'to', 'implement', 'one', 'nation', 'one', 'ration', 'card']
['delhi', 'rs', '5000', 'fine', 'on', 'unregistered', 'vehicles', 'plying', 'on', 'city', 'roads']
['droupadi', 'murmu', 'says', 'surprised', 'delighted', 'on', 'being', 'nominated', 'presidential', 'candidate']
['states', 'do', 'look', 'at', 'your', 'borrowings']
['yog', 'is', 'an', 'exact', 'science', 'a', 'practical', 'system', 'of', 'self', 'culture']
['developer', 'fined', 'rs', '100', 'crore', 'for', 'violating', 'environmental', 'laws', 'in', 'gurugram', 'residential', 'project']
['bjp', 'exploring', 'possibility', 'of', 'government', 'formation', 'in', 'maharashtra', 'says', 'bjp', 'leader']
['pvr', 'to', 'become', 'first', 'exhibition', 'chain', 'with', '100', 'per', 'cent', '4k', 'laser', 'projection']
['eam', 'jaishankar', 'begins', '4', 'day', 'visit', 'to', 'kigali', 'on', 'wednesday']
['cumulative', 'covid', '19', 'vaccine', 'doses', 'administered', 'in', 'india', 'cross', '196', '44', 'cr']
['cloudflare', 'puts', 'up', 'detailed', 'blog', 'about', 'outage', 'that', 'hit', 'several', 'websites', 'briefly']
['process', 'to', 'auction', 'iron', 'ore', 'mining', 'leases', 'to', 'start', 'in', '2', '3', 'months', 'goa', 'cm']
['amazon', 'announces', 'doug', 'herrington', 'as', 'ceo', 'of', 'worldwide', 'amazon', 'stores']
['shiv', 'sena', 'leader', 'eknath', 'shinde', 'rebels', 'puts', 'maharashtra', 'govt', 'in', 'big', 'crisis']
['prayagraj', 'violence', 'accused', 'shifted', 'to', 'deoria', 'jail', 'family', 'claims', 'not', 'informed']
['railways', 'limps', 'back', 'to', 'normalcy', 'with', 'less', 'than', '300', 'trains', 'cancelled', 'on', 'tuesday']
['presidential', 'polls', 'aap', 'keeps', 'cards', 'close', 'to', 'its', 'chest']
['bharat', 'gaurav', 'train', 'connecting', 'india', 'and', 'nepal', 'flagged', 'off']
['ssc', 'to', 'fill', 'about', '70000', 'vacancies', 'in', 'central', 'government', 'depts']
['congress', 'workers', 'seek', 'pre', 'arrest', 'bail', 'alleging', 'misuse', 'of', 'central', 'agencies']
['will', 'discharge', 'my', 'responsibility', 'as', 'bjp', 'mp', 'jayant', 'sinha', 'after', 'oppn', 'names', 'his', 'father', 'as', 'its', 'prez', 'pick']
['mumbai', 'reports', '1781', 'covid', '19', 'cases', '1', 'death', 'active', 'tally', '14146']
['money', 'laundering', 'case', 'ed', 'questions', 'rahul', 'gandhi', 'for', 'nine', 'hours', 'on', 'day', '5']
['covid', '19', 'delhi', 'records', '1383', 'fresh', 'cases', 'one', 'more', 'death']
['ahead', 'of', 'market', '10', 'things', 'that', 'will', 'decide', 'd', 'st', 'action', 'on', 'wednesday']
['sebi', 'imposes', 'rs', '1', '62', 'crore', 'fine', 'on', '9', 'entities', 'for', 'fraudulent', 'trading']
['pvr', 'inox', 'merger', 'gets', 'clearance', 'from', 'bse', 'and', 'nse']
['ruchira', 'kamboj', 'to', 'be', 'indias', 'permanent', 'representative', 'to', 'un']
['jain', 'irrigation', 'to', 'merge', 'global', 'irrigation', 'biz', 'with', 'rivulis']
['hdfc', 'bank', 'to', 'open', '1500', '2000', 'branches', 'every', 'year', 'says', 'ceo', 'sashidhar', 'jagdishan']
['rjd', 'mla', 'anant', 'singh', 'gets', '10', 'years', 'in', 'jail', 'in', 'ak', '47', 'recovery', 'case']
['meity', 'to', 'organise', 'a', 'public', 'consultation', 'on', 'proposed', 'changes', 'to', 'it', 'rules']
['rajinder', 'nagar', 'bypoll', 'will', 'record', 'historic', 'victory', 'inflict', 'crushing', 'defeat', 'to', 'bjp', 'claims', 'aap']
['sgpc', 'to', 'help', 'sikhs', 'in', 'afghanistan', 'with', 'air', 'tickets', 'to', 'india', 'dhami']
['swapna', 'suresh', 'writes', 'to', 'prime', 'minister', 'seeking', 'cbi', 'probe', 'in', 'gold', 'smuggling', 'case']
['solar', 'flare', 'and', 'geomagnetic', 'storm', 'set', 'to', 'hit', 'earth', 'as', 'huge', 'sunspot', 'sets', 'to', 'burst', 'what', 'is', 'it', 'heres', 'all', 'the', 'information']
['hybrid', 'terrorist', 'three', 'terrorist', 'associates', 'of', 'let', 'arrested', 'in', 'kashmir']
['court', 'rejects', 'sachin', 'wazes', 'plea', 'seeking', 'default', 'bail', 'in', 'corruption', 'case']
['it', 'department', 'detects', 'unaccounted', 'income', 'of', 'rs', '100', 'crore', 'after', 'raids', 'on', 'diversified', 'business', 'group']
['ration', 'card', 'portability', 'implemented', 'across', 'india', 'with', 'assam', 'being', 'last', 'to', 'operationalise']
['centre', 'trying', 'to', 'destablise', 'chhattisgarh', 'govt', 'illegal', 'phone', 'tapping', 'on', 'cm', 'bhupesh', 'baghel']
['textbook', 'controversy', 'will', 'respectfully', 'respond', 'to', 'deve', 'gowda', 'says', 'basavaraj', 'bommai']
['will', 'consider', 'universities', 'bills', 'when', 'placed', 'before', 'me', 'jagdeep', 'dhankhar']
['us', 'based', 'coworking', 'space', 'provider', 'venture', 'x', 'enters', 'india', 'to', 'add', '5', 'lakh', 'sq', 'ft', 'office', 'space']
['amid', 'protests', 'corporate', 'leaders', 'extend', 'support', 'to', 'agnipath', 'scheme']
['hdfc', 'offloads', '0', '7', 'stake', 'in', 'ansal', 'housing']
['aicc', 'asks', 'guj', 'congress', 'mlas', 'to', 'reach', 'delhi', 'on', 'june', '22']
['second', 'edition', 'of', 'icreates', 'electric', 'vehicle', 'innovation', 'challenge', 'begins']
['fynd', 'to', 'hire', 'additional', '2000', 'engineers', 'in', 'fy23']
['shakti', 'pumps', 'to', 'give', 'priority', 'in', 'hiring', 'agniveers']
['german', 'groceries', 'app', 'gorillas', 'poised', 'for', 'job', 'cuts', 'in', 'spain']
['51', 'dead', '139', 'injured', 'since', 'may', 'last', 'year', 'in', 'police', 'action', 'assam', 'police']
['campaigning', 'for', 'azamgarh', 'rampur', 'bypolls', 'ends', 'over', '35', 'lakh', 'voters', 'to', 'use', 'their', 'franchise']
['prophet', 'row', 'ex', 'bureaucrats', 'seek', 'top', 'courts', 'intervention', 'to', 'check', 'bulldozing', 'in', 'up']
['meet', 'rambai', 'the', 'grand', 'old', 'lady', 'of', 'indian', 'athletics']
['biocon', 'biologics', 'denies', 'bribery', 'charge', 'says', 'it', 'follows', 'due', 'regulatory', 'process', 'for', 'product', 'approvals']
['neobanking', 'startup', 'stashfin', 'bags', '270', 'million', 'funding', 'to', 'expand', 'footprint']
['development', 'of', 'curriculum', 'for', 'school', 'education', 'huge', 'decentralised', 'consultation', 'exercise', 'ncert']
['arr', 'starts', 'project', 'voice', 'to', 'boost', 'creator', 'ecosystem']
['cong', 'leaders', 'stage', 'satyagraha', 'against', 'rahuls', 'questioning', 'misuse', 'of', 'central', 'agencies']
['at', '3659', 'mahas', 'daily', 'covid', '19', 'cases', 'jump', 'by', '55', 'one', 'fatality']
['bjp', 'parliamentary', 'board', 'meets', 'on', 'presidential', 'poll']
['mahila', 'congress', 'leaders', 'detained', 'over', 'protest', 'against', 'rahul', 'gandhis', 'questioning', 'by', 'ed']
['eknath', 'shinde', 'former', 'auto', 'driver', 'on', 'collision', 'course', 'with', 'shiv', 'sena', 'leadership']
['shuchi', 'patni', 'of', 'wonder', 'cement', 'buys', 'shanti', 'niketan', 'property', 'for', 'rs', '84', 'crore']
['pm', 'modi', 'will', 'attend', 'the', '14th', 'brics', 'summit', 'in', 'virtual', 'format', 'on', 'june', '23', '24']
['ap', 'intermediate', 'result', '2022', 'to', 'be', 'out', 'soon', 'details', 'here']
['joe', 'biden', 'working', 'on', 'creating', 'a', 'gas', 'tax', 'holiday', 'which', 'former', 'president', 'obama', 'considered', 'to', 'be', 'a', 'gimmick']
['go', 'first', 'to', 'resume', 'srinagar', 'sharjah', 'services', 'by', 'month', 'end']
['cibil', 'rank', 'company', 'credit', 'report', 'transforming', 'access', 'to', 'credit', 'for', 'msme', 'business', 'owners']
['mfs', 'can', 'invest', 'in', 'international', 'stocks', 'but', 'cant', 'breach', 'the', 'limit', 'amfi']
['mumbai', 'flash', 'mob', 'dancing', 'to', 'in', 'da', 'getto', 'breaks', 'internet']
['hero', 'motocorp', 'launches', 'euro', '5', 'compliant', 'variants', 'in', 'turkiye']
['maha', 'cm', 'should', 'resign', 'as', 'sena', 'lacks', 'support', 'of', 'sufficient', 'mlas', 'in', 'house', 'bjp', 'leader', 'narayan', 'rane']
['campaigning', 'ends', 'for', 'high', 'stakes', 'sangrur', 'ls', 'bypoll']
['ed', 'seeks', 'perjury', 'action', 'against', 'conman', 'says', 'his', 'allegation', 'of', 'assault', 'in', 'jail', 'false']
['elon', 'musks', '44', 'billion', 'twitter', 'deal', 'gets', 'board', 'endorsement']
['kerala', 'fast', 'track', 'court', 'sentences', '66', 'year', 'old', 'man', 'to', '81', 'years', 'imprisonment']
['future', 'enterprises', 'defaults', 'on', 'rs', '6', '07', 'cr', 'interest', 'payment', 'for', 'ncds']
