['rural', 'inflation', 'higher', 'in', 'fy23', 'heres', 'the', 'data']
['china', 'searches', 'for', 'signs', 'of', 'economic', 'momentum']
['some', 'cool', 'tips', 'to', 'weather', 'out', 'summer']
['mk', 'stalin', 'thanks', 'arvind', 'kejriwal', 'for', 'commending', 'tamil', 'nadu', 'bill', 'on', 'governors']
['lg', 'vk', 'saxena', 'objects', 'to', 'delhi', 'special', 'session']
['all', 'help', 'will', 'be', 'provided', 'to', 'family', 'of', 'kerala', 'man', 'who', 'died', 'in', 'sudan', 'violence', 'centre']
['niti', 'aayog', 'mulls', 'ev', 'policy', 'review', 'to', 'reduce', 'dependence', 'on', 'china']
['make', 'climate', 'action', 'politics', 'personal']
['cbic', 'may', 'soon', 'introduce', 'automated', 'system', 'of', 'publishing', 'daily', 'exchange', 'rates', 'for', '22', 'currencies']
['as', 'major', 'airports', 'go', 'into', 'private', 'hands', 'aai', 'to', 'diversify', 'into', 'airport', 'management', 'services']
['fearing', 'worse', 'aap', 'leaders', 'go', 'into', 'huddle']
['capitalism', 'sitharaman', 'style', 'the', 'fms', 'grand', 'india', 'show', 'at', 'world', 'bank', 'imf', 'meetings']
['of', 'darkness', 'and', 'light']
['ipl', '2023', 'rajasthan', 'royals', 'defeat', 'gujarat', 'titans', 'by', 'three', 'wickets']
['indias', 'prowess', 'in', 'building', 'consensus']
['why', 'it', 'is', 'unfair', 'to', 'blame', 'opec', 'for', 'all', 'the', 'woes', 'of', 'the', 'world']
['jagadish', 'shettar', 'holds', 'talks', 'with', 'congress', 'leaders', 'after', 'resigning', 'from', 'karnataka', 'assembly', 'may', 'join', 'party', 'tomorrow', 'sources']
['at', 'least', '8', 'dead', 'of', 'heat', 'stroke', 'in', 'maharashtra', 'event']
['four', 'vehicles', 'buried', 'under', 'snow', 'after', 'avalanche', 'near', 'zojila', 'pass', 'occupants', 'rescued']
['delhi', 'sees', '1634', 'covid', 'cases', 'positivity', 'rate', 'comes', 'down', 'to', '29', '68', 'per', 'cent']
['east', 'west', 'metro', 'corridor', 'construction', 'likely', 'to', 'be', 'over', 'by', 'year', 'end', 'official']
['cong', 'will', 'win', 'at', 'least', '130', 'seats', 'in', 'ktaka', 'gateway', 'to', 'south', 'for', 'bjp', 'will', 'be', 'closed', 'veerappa', 'moily']
['amit', 'shah', 'has', 'given', '7', 'point', 'programme', 'for', 'mumbai', 'bjp', 'says', 'ashish', 'shelar']
['resolving', 'disputes', 'at', 'faster', 'pace', 'will', 'help', 'in', 'countrys', 'growth', 'ex', 'cji', 'n', 'v', 'ramana']
['bjp', 'names', '10', 'mayoral', 'candidates', 'for', 'up', 'urban', 'local', 'body', 'polls', 'drops', 'prayagraj', 'mayor']
['pms', 'chemistry', 'with', 'global', 'leaders', 'is', 'enabling', 'to', 'deepen', 'indias', 'diplomatic', 'engagements', 'harsh', 'v', 'shringla']
['delhi', 'rains', 'to', 'bring', 'relief', 'from', 'heatwave', 'says', 'imd']
['manchester', 'united', 'vs', 'nottingham', 'forest', 'live', 'streaming', 'live', 'channel', 'how', 'to', 'watch', 'premier', 'league', 'match', 'on', 'tv']
['assailants', 'had', 'media', 'id', 'card', 'video', 'camera', 'mike', 'up', 'police', 'on', 'atiq', 'ashraf', 'attackers']
['russian', 'dy', 'pm', 'to', 'lead', 'mega', 'delegation', 'to', 'india', 'comprising', '25', 'deputy', 'ministers', 'several', 'ceos']
['bcci', 'hikes', 'cash', 'prize', 'for', 'domestic', 'tournaments']
['nandini', 'vs', 'milma', 'kerala', 'milk', 'federation', 'asks', 'karnataka', 'to', 'practice', 'what', 'its', 'expecting', 'of', 'amul']
['oneplus', 'pad', 'reportedly', 'to', 'come', 'under', 'rs', '40000', 'with', 'mediatek', 'dimensity', '9000', 'check', 'specifications']
['bodies', 'of', 'gangster', 'politician', 'atiq', 'ahmad', 'brother', 'ashraf', 'taken', 'to', 'burial', 'ground', 'after', 'post', 'mortem']
['covid', '19', 'booster', 'dose', 'can', 'do', 'more', 'harm', 'than', 'good', 'at', 'this', 'time', 'says', 'aiims', 'doctor', 'some', 'experts', 'disagree']
['hawkeye', 'star', 'jeremy', 'renner', 'visits', 'doctors', 'hospital', 'staff', 'who', 'saved', 'his', 'life']
['bjp', 'will', 'form', 'government', 'in', 'karnataka', 'again', 'amit', 'shah']
['ipl', '2023', 'venkatesh', 'iyers', 'ton', 'in', 'vain', 'as', 'mumbai', 'indians', 'beat', 'kolkata', 'knight', 'riders', 'by', 'five', 'wickets']
['punjab', 'court', 'sends', 'amritpals', 'key', 'aide', 'to', 'three', 'day', 'police', 'remand']
['rahul', 'gandhi', 'dares', 'pm', 'modi', 'to', 'make', '2011', 'caste', 'census', 'data', 'public']
['uorfi', 'javed', 'alleges', 'she', 'received', 'death', 'threats', 'from', 'someone', 'claiming', 'to', 'be', 'from', 'neeraj', 'pandeys', 'office']
