['gujarat', 'bjp', 'to', 'seek', 'public', 'opinion', 'for', 'poll', 'manifesto']
['earthshot', 'prize', '2022', 'finalists', 'announced', 'see', 'the', 'list']
['us', 'treasury', 'secretary', 'yellen', 'to', 'visit', 'india', 'to', 'deepen', 'us', 'india', 'economic', 'ties']
['morbi', 'municipality', 'ceo', 'suspended']
['delhi', 'cm', 'kejriwal', 'says', 'pollution', 'not', 'limited', 'to', 'delhi']
['moscows', 'reservation', 'to', 'pak', 'nuclear', 'project', 'dates', 'back', 'to', 'cold', 'war', 'period']
['michael', 'parkinson', 'appears', 'on', 'bbc', 'breakfast', 'recalls', 'meg', 'ryan', 'interview']
['who', 'is', 'jennifer', 'lawrence', 'has', 'she', 'lost', 'her', 'foot', 'in', 'industry']
['some', 'popular', 'glaciers', 'to', 'disappear', 'by', '2050', 'even', 'if', 'tempreature', 'rise', 'gets', 'restricted', 'to', '1', '5', 'degrees', 'celsius', 'says', 'unesco']
['rss', 'chief', 'mohan', 'bhagwat', 'to', 'visit', 'west', 'bengal', 'in', 'january', 'to', 'address', 'public', 'programme']
['trinamool', 'objects', 'to', 'sabka', 'saath', 'sabka', 'vikas', 'slogan', 'use', 'in', 'parliamentary', 'panel', 'meet']
['samsung', 'rakes', 'in', 'rs', '14400', 'cr', 'in', 'sales', 'from', 'strong', 'festive', 'season']
['russia', 'ukraine', 'war', 'parliamentary', 'panel', 'to', 'examine', 'new', 'delhis', 'response']
['incredibly', 'lucky', 'off', 'duty', 'cop', 'spots', 'fugitive', 'during', 'visit', 'to', 'disney', 'world', 'this', 'is', 'what', 'happened']
['ps', 'plus', 'doesnt', 'appear', 'to', 'be', 'getting', 'ratchet', 'clank', 'rift', 'apart', 'any', 'time', 'soon']
['can', 'india', 'become', 'an', 'upper', 'middle', 'income', 'economy', 'by', 'the', 'end', 'of', 'the', 'decade']
['train', 'strikes', 'in', 'uk', 'postponed', 'heres', 'what', 'will', 'happen', 'next']
['britannia', 'industries', 'q2', 'results', 'profit', 'rises', '28', '5', 'yoy', 'to', 'rs', '490', '58', 'crore']
['aap', 'corruption', 'led', 'to', 'punjab', 'stubble', 'burning', 'says', 'bjp']
['class', 'divide', 'in', 'classroom']
['florence', 'pughs', 'normal', 'physique', 'praised', 'by', 'frankie', 'bridge', 'during', 'plus', 'size', 'debate']
['ricas', 'scores', 'released', 'by', 'ri', 'department', 'of', 'education']
['documentary', 'on', 'mars', 'rover', 'good', 'night', 'oppy', 'released', 'in', 'theatres']
['lessons', 'from', 'a', 'tortoise']
['in', 'praise', 'of', 'the', 'mature', 'learner']
['rail', 'vikas', 'nigam', 'hits', 'new', '52', 'week', 'high', 'on', 'new', 'order', 'win']
['rail', 'strikes', 'in', 'uk', 'postponed', 'says', 'union']
['defence', 'ministry', 'extends', 'pro', 'rata', 'pension', 'benefits', 'to', 'jcos', 'ors', 'with', '10', 'years', 'of', 'service', 'who', 'join', 'psus']
['paramore', '2023', 'north', 'american', 'tour', 'see', 'full', 'list', 'of', 'dates']
['here', 'in', '2022', 'are', 'we', 'really', 'back', 'in', '2009']
['modis', 'remarks', 'about', 'about', 'me', 'was', 'fact', 'not', 'praise', 'ashok', 'gehlot']
['sbi', 'q2', 'results', 'tomorrow', 'strong', 'nii', 'growth', 'likely', 'nims', 'expected', 'to', 'be', 'stable']
['view', 'why', 'its', 'time', 'for', 'the', 'psu', 'mollycoddling', 'to', 'end']
['what', 'is', 'us', 'midterm', 'elections', 'know', 'its', 'impact', 'on', 'deciding', 'next', 'president']
['plutus', 'wealth', 'management', 'adds', 'stake', 'in', 'rategain', 'technologies']
['taylor', 'swift', 'adds', 'more', 'dates', 'to', 'her', '2023', 'eras', 'tour']
['broadcasting', 'regulations', 'making', 'a', 'case', 'for', 'maintaining', 'distance', 'between', 'prasar', 'bharati', 'and', 'government', 'entities']
['twitter', 'king', 'elons', 'latest', 'data', 'mines']
['will', 'win', 'mcd', 'polls', '4th', 'in', 'a', 'row', 'bjp']
['shiv', 'sena', 'leader', 'sudhir', 'suri', 'shot', 'dead', 'in', 'amritsar']
['jal', 'shakti', 'minister', 'hails', 'meghalaya', 'as', 'the', 'torchbearer', 'state', 'in', 'providing', 'tap', 'water', 'connections', 'under', 'jjm']
['trying', 'to', 'destroy', 'free', 'speech', 'in', 'america', 'musk', 'lashes', 'out', 'at', 'activist', 'groups']
['global', 'health', 'ipo', 'subscribed', '36', 'so', 'far', 'on', 'day', '2']
['arts', 'council', 'of', 'england', 'ace', 'provides', 'incredible', 'funding', 'to', 'fledgling', 'groups', 'details', 'here']
['renewable', 'energy', 'will', 'meet', 'half', 'of', 'karnatakas', 'energy', 'needs', 'by', '2030', 'says', 'minister', 'sunil', 'kumar']
['fittest', 'should', 'be', 'appointed', 'not', 'someone', 'whom', 'collegium', 'knows', 'law', 'minister', 'rijiju']
['100', 'days', 'countdown', 'to', 'indias', 'first', 'formula', 'e', 'race']
['us', 'justice', 'department', 'may', 'appoint', 'special', 'counsel', 'if', 'donald', 'trump', 'runs', 'in', 'for', '2024', 'presidential', 'election', 'heres', 'why']
['killer', 'sally', 'on', 'netflix', 'explains', 'why', 'sally', 'mcneil', 'shot', 'her', 'bodybuilding', 'champion', 'husband']
['no', 'one', 'can', 'predict', 'which', 'asset', 'class', 'will', 'outperform', 's', 'naren']
['wheat', 'acreage', 'jumps', '5', 'fold', 'to', '7', '56', 'lakh', 'hectares', 'so', 'far', 'this', 'rabi', 'season']
['more', 'than', '15500', 'students', 'admitted', 'to', 'du', 'colleges', 'in', 'round', '2', 'of', 'seat', 'allocation']
['how', 'to', 'trade', 'nifty', 'and', 'nifty', 'bank', 'in', 'the', 'new', 'weekly', 'series']
['delhi', 'govt', 'to', 'engage', 'with', 'global', 'consortium', 'for', 'improving', 'education', 'deputy', 'chief', 'minister', 'manish', 'sisodia']
['congress', 'slams', 'kiren', 'rijiju', 'for', 'claiming', 'nehru', 'did', 'not', 'want', 'tawang', 'to', 'be', 'part', 'of', 'india']
['face', 'ed', 'do', 'not', 'play', 'tribal', 'card', 'babulal', 'marandi', 'to', 'hemant', 'soren']
['mopa', 'international', 'airport', 'to', 'be', 'commissioned', 'after', 'dec', '8', 'by', 'pm', 'says', 'goa', 'cm']
['enola', 'holmes', '2', 'cast', 'know', 'whos', 'playing', 'with', 'which', 'role']
['rahul', 'gandhi', 'undertaking', 'bharat', 'jodo', 'yatra', 'with', 'tukde', 'tukde', 'gang', 'bjps', 'anurag', 'thakur']
['sir', 'nicholas', 'serota', 'discusses', 'distributing', 'arts', 'council', 'funding', 'across', 'uk']
['india', 'needs', 'its', 'voice', 'for', 'crypto', 'after', 'bharat', 'web3', 'association', 'comes', 'into', 'existence', 'say', 'experts']
['masterchef', 'the', 'professionals', '2022', 'know', 'about', 'contestants', 'and', 'how', 'to', 'watch', 'bbc', 'one', 'cooking', 'show']
