['59', 'net', 'shutdowns', 'in', '6', 'months', 'states', 'snap', 'link', 'at', 'increasing', 'pace']
['why', 'electronic', 'sports', 'is', 'at', 'a', 'turning', 'point', 'in', 'india']
['3', 'at', 'tea', 'on', 'day', '2']
['teslas', '2q', 'sales', 'drop', 'amid', 'supply', 'chain', 'pandemic', 'problems']
['paris', 'airport', 'traffic', 'to', 'return', 'to', 'normal', 'on', 'labour', 'strike', 'halt']
['the', 'mystery', 'of', 'the', 'genuine', 'looking', 'feluda']
['gst', 'compensation', 'to', 'states', 'should', 'not', 'be', 'extended', 'hasmukh', 'adhia']
['resort', 'politics', 'resorting', 'to', 'resort', 'tactics', 'that', 'too', 'not', 'as', 'the', 'last', 'resort']
['toll', 'in', 'manipur', 'landslide', 'rises', 'to', '25', 'search', 'on', 'for', '38', 'missing']
['nia', 'to', 'probe', 'killing', 'of', 'chemist', 'in', 'amravati', 'in', 'maharashtra', 'home', 'ministry', 'spokesperson']
['bjp', 'economic', 'resolution', 'focuses', 'on', 'welfare', 'of', 'poor']
['financial', 'services', 'an', 'exciting', 'aspect', 'of', 'uk', 'india', 'fta', 'says', 'rishi', 'sunak']
['next', 'round', 'of', 'talks', 'for', 'india', 'eu', 'fta', 'at', 'brussels', 'in', 'september']
['ahmedabad', 'pune', 'chennai', 'most', 'affordable', 'housing', 'markets', 'in', 'india', 'report']
['welfare', 'schemes', 'nationalism', 'high', 'on', 'bjp', 'agenda']
['commodities', 'hit', 'july', 'storm', 'with', 'putin', 'and', 'powell', 'stirring', 'fear']
['soaring', 'food', 'prices', 'hit', 'uk', 'shoppers']
['govt', 'to', 'transfer', 'benefits', 'directly', 'to', 'apprentices', 'bank', 'accounts']
['view', 'the', 'major', 'ott', 'platforms', 'all', 'have', 'different', 'levels', 'of', 'stuff', 'on', 'offer']
['answerable', 'to', 'constitution', 'and', 'constitution', 'alone', 'cji', 'n', 'v', 'ramana']
['monsoon', 'covers', 'entire', 'country', '6', 'days', 'in', 'advance']
['heavy', 'to', 'very', 'heavy', 'rain', 'likely', 'in', 'next', 'three', 'days', 'in', 'odisha', 'met']
['bjp', 'national', 'executive', 'lauds', 'agnipath', 'scheme']
['view', 'real', 'time', 'payment', 'systems', 'have', 'gained', 'massive', 'popularity', 'with', 'goi', 'continuing', 'to', 'promote', 'digital', 'payments']
['the', 'worst', 'stock', 'selloff', 'in', 'half', 'a', 'century', 'might', 'not', 'be', 'done', 'yet']
['defence', 'minister', 'rajnath', 'singh', 'visits', 'bdl', 'facility', 'in', 'hyderabad', 'virtually', 'opens', 'many', 'facilities']
['udaipur', 'tailor', 'murder', 'curfew', 'relaxed', 'for', '4', 'hours', '10', 'hour', 'relief', 'to', 'be', 'given', 'on', 'sunday']
['rajeev', 'chandrasekhar', 'meets', 'uk', 'pm', 'discusses', 'india', 'uk', 'collaborations', 'in', 'innovation', 'tech']
['by', 'not', 'welcoming', 'pm', 'modi', 'kcr', 'has', 'insulted', 'not', 'individual', 'but', 'institution', 'bjp']
['delhi', 'court', 'rejects', 'zubairs', 'bail', 'plea', 'sends', 'him', 'to', '14', 'day', 'judicial', 'custody', 'police']
['be', 'loud', 'and', 'proud', 'about', 'it']
['bjp', 'and', 'trs', 'from', 'allies', 'to', 'arch', 'enemies']
['aiadmk', 'allies', 'extend', 'support', 'to', 'nda', 'presidential', 'candidate', 'draupadi', 'murmu']
['presidential', 'poll', '2022', 'only', 'draupadi', 'murmu', 'yashwant', 'sinha', 'left', 'in', 'fray', 'after', 'last', 'date', 'of', 'withdrawal']
['pm', 'modi', 'to', 'address', 'public', 'meeting', 'in', 'hyderabad', 'on', 'july', '3']
['covid', '678', 'new', 'cases', 'two', 'more', 'deaths', 'in', 'delhi', 'positivity', 'rate', '3', '98', 'pc']
['d', 'mart', 'q1', 'revenue', 'jumps', 'almost', '2', 'fold', 'to', 'rs', '9806', '89', 'crore']
