['ccpa', 'fines', 'flipkart', 'for', 'selling', 'substandard', 'pressure', 'cookers']
['cbic', 'raises', 'monetary', 'thresholds', 'for', 'customs', 'offences']
['cci', 'must', 'bust', 'cartels', 'bane', 'of', 'competition']
['kharif', 'output', 'may', 'take', 'big', 'hit', 'experts']
['mens', 'ftp', '23', '27', 'india', 'to', 'play', '38', 'tests', '39', 'odis', '61', 't20is', 'in', 'next', 'cycle', 'no', 'series', 'vs', 'pakistan']
['manufacturing', 'investments', 'up', '20', '9', 'in', 'fy20', 'asi', 'report']
['gold', 'rate', 'today', 'yellow', 'metal', 'trade', 'flat', 'silver', 'breaches', 'rs', '58000', 'mark']
['sc', 'asks', 'centre', 'to', 'take', 'pro', 'active', 'role', 'to', 'lift', 'fifas', 'aiff', 'suspension', 'ensure', 'hosting', 'of', 'u', '17', 'womens', 'world', 'cup', 'in', 'india']
['opec', 'chief', 'sees', 'high', 'risk', 'of', 'oil', 'squeeze', 'amid', 'bullish', 'demand']
['all', 'party', 'mps', 'forum', 'seeks', 'bharat', 'ratna', 'for', 'dalai', 'lama']
['two', 'large', 'phase', '3', 'trials', 'of', 'novavaxs', 'covid', '19', 'vaccine', 'show', 'high', 'levels', 'of', 'protection', 'against', 'infection', 'research', 'head']
['understanding', 'the', 'pan', 'in', 'pandemic']
['making', 'youth', 'ready', 'for', 'job', '12', 'employability', 'skills', 'to', 'be', 'added', 'across', 'courses', 'sectors']
['china', 'troops', 'to', 'visit', 'russia', 'for', 'vostok', 'exercise']
['ensure', 'acs', 'are', 'installed', 'in', 'labour', 'rooms', 'of', 'govt', 'hospitals', 'dms', 'of', 'ups', 'meerut', 'zone', 'told']
['elon', 'musks', 'tweet', 'no', 'joke', 'for', 'manchester', 'united', 'fans']
['fed', 'saw', 'smaller', 'hikes', 'ahead', 'to', 'assess', 'prior', 'moves', 'minutes', 'show']
['anti', 'caa', 'protests', 'back', 'in', 'ne', 'after', 'a', 'lull']
['foodgrain', 'production', 'may', 'be', '1', '6', 'higher', 'in', '2021', '22']
['swiggy', 'appoints', 'rohit', 'kapoor', 'as', 'chief', 'executive', 'officer', 'for', 'its', 'food', 'marketplace', 'business']
['jio', 'pips', 'airtel', 'vi', 'adds', '4', '22', 'million', 'subs', 'in', 'june', '2022', 'trai']
['devas', 'seizes', '87k', 'worth', 'antrix', 'assets', 'in', 'arbitral', 'award', 'enforcement']
['instead', 'of', 'sympathies', 'why', 'ulta', 'reaction']
['jobs', 'economic', 'weathervane']
