['supreme', 'court', 'to', 'hear', 'maharashtra', 'plea', 'on', 'obc', 'order', 'on', 'wednesday']
['eloquent', 'silences']
['leverage', 'the', 'vaccine', 'rollout', 'to', 'mine', 'data']
['no', 'bias', 'in', 'tableau', 'selection', 'govt', 'sources']
['smart', 'action', 'against', 'communal', 'crime']
['not', 'a', 'file', 'came', 'to', 'my', 'table', 'saini', 'who', 'quit', 'as', 'up', 'minister', 'recently']
['ec', 'battles', 'violations', 'of', 'guidelines', 'opposition', 'parties', 'charges', 'as', 'campaigning', 'picks', 'up']
['sc', 'hopes', 'speaker', 'will', 'decide', 'in', '2', 'weeks', 'on', 'mukul', 'roy', 'issue']
['of', '9', 'congress', 'rebels', 'only', 'harak', 'rawat', 'failed', 'to', 'get', 'along', 'with', 'bjp']
['view', 'how', 'the', 'budget', 'can', 'add', 'more', 'firepower', 'to', 'indias', 'defence', 'manufacturing']
['bjp', 'offers', 'other', 'options', 'to', 'sulking', 'utpal', 'parrikar']
['ultratech', 'cement', 'q3', 'results', 'pat', 'rises', '8', 'yoy', 'to', 'rs', '1708', 'cr', 'beats', 'estimates']
['elon', 'musk', 'haazir', 'ho', 'these', 'men', 'want', 'you']
['no', 'mla', 'quitting', 'bjp', 'its', 'just', 'rumours', 'nishank']
['dot', 'amends', 'telecom', 'licences', 'to', 'enable', 'machine', 'to', 'machine', 'communications']
['arvind', 'panagariya', 'on', 'why', 'you', 'should', 'ignore', 'the', 'naysayers', 'on', 'economy']
['industry', 'welcomes', 'pm', 'modis', 'emphasis', 'on', 'clean', 'green', 'growth']
['do', 'you', 'work', 'for', 'them']
['birju', 'maharaj', '1938', '2022', 'the', 'stealer', 'of', 'sadness']
['aap', 'aitc', 'will', 'split', 'anti', 'bjp', 'votes', 'in', 'goa', 'chidambaram']
['wont', 'judge', 'virats', 'decision', 'its', 'a', 'personal', 'one', 'and', 'we', 'respect', 'that', 'bumrah']
['if', 'given', 'an', 'opportunity', 'it', 'will', 'be', 'an', 'honour', 'to', 'captain', 'india', 'jasprit', 'bumrah']
['west', 'bengal', 'eases', 'covid', 'restrictions', 'allows', 'gyms', 'to', 'operate', 'with', '50', 'pc', 'capacity']
['nse', 'bse', 'bulk', 'deals', 'nomura', 'acquires', 'stake', 'in', 'seacoast', 'shipping', 'services']
['aster', 'dm', 'to', 'invest', 'rs', '140', 'crore', 'to', 'set', 'up', 'sixth', 'hospital', 'in', 'kerala']
