['singtel', 'sells', '0', '8', 'stake', 'in', 'airtel', 'to', 'gqg', 'partners', 'for', 'rs', '5885', 'crore']
['turkish', 'star', 'hande', 'ercel', 'tours', 'india', 'says', 'she', 'is', 'keen', 'to', 'work', 'with', 'hrithik', 'roshan', 'aamir', 'khan']
['view', 'mouse', 'is', 'in', 'the', 'house']
['jalan', 'kalrock', 'consortium', 'case', 'sc', 'upholds', 'nclat', 'ruling', 'on', 'sale', 'of', 'jet', 'airways', 'three', 'aircraft']
['servotech', 'power', 'to', 'set', 'up', 'ev', 'charger', 'components', 'facility', 'at', 'rs', '100', 'crore', 'investment']
['wonder', 'woman', 'welcomes', 'fourth', 'child']
['swamih', 'fund', 'govt', 'asks', 'banks', 'to', 'list', 'stalled', 'housing', 'projects']
['khamosh', 'shatrughan', 'sinha', 'to', 'make', 'ott', 'debut', 'with', 'gangs', 'of', 'ghaziabad']
['watching', 'gully', 'cricket']
['hamas', 'delegation', 'leaves', 'cairo', 'no', 'gaza', 'truce', 'deal', 'yet']
['inter', 'miami', 'vs', 'nashville', 'sc', 'live', 'streaming', 'prediction', 'start', 'time', 'where', 'to', 'watch']
['madhya', 'pradesh', 'declares', 'film', 'article', '370', 'tax', 'free']
['gencos', 'and', 'gear', 'makers', 'to', 'be', 'nudged', 'by', 'the', 'govt', 'to', 'join', 'hands', 'for', 'epc', 'bids']
['when', 'jabalpur', 'forgot', 'about', 'viksit', 'bharat']
['separate', 'number', 'series', 'for', 'marketing', 'service', 'calls', 'soon', 'to', 'curb', 'spam']
['xi', 'holds', 'the', 'trump', 'card']
['real', 'worship', 'of', 'shiv']
['cash', 'strapped', 'vi', 'holds', 'out', 'hope', 'for', 'struggling', '5g', 'gear', 'companies']
['animal', 'director', 'sandeep', 'reddy', 'vanga', 'goes', 'bald', 'donates', 'hair', 'to', 'temple']
['best', 'cloth', 'diapers', 'for', 'kids', 'under', '150', 'per', 'piece', 'for', 'eco', 'friendly', 'diapering']
['power', 'units', 'will', 'end', 'financial', 'year', 'with', '45', 'million', 'tonnes', 'of', 'fuel', 'coal', 'minister', 'pralhad', 'joshi']
['reading', 'mein', 'kampf', 'doesnt', 'a', 'fascist', 'make']
['delhi', 'hc', 'issues', 'contempt', 'notice', 'to', 'go', 'first', 'rp']
['improving', 'demand', 'chinas', 'trade', 'data', 'for', 'january', 'february', 'beats', 'estimates']
['best', 'aromatherapy', 'shower', 'gels', 'for', 'a', 'blissful', 'shower', 'experience']
['pm', 'modi', 'launches', '52', 'tourism', 'sector', 'projects', 'worth', 'over', 'rs', '1400', 'crore']
['rahul', 'gandhi', 'announces', 'five', 'congress', 'guarantees']
['power', 'sector', 'to', 'see', '17', 'l', 'cr', 'investments', 'in', '5', '7', 'yrs', 'power', 'and', 'renewable', 'energy', 'minister', 'rk', 'singh']
['banks', 'asked', 'to', 'list', 'stalled', 'housing', 'projects']
['viksit', 'jammu', 'and', 'kashmir', 'priority', 'of', 'viksit', 'bharat', 'says', 'prime', 'minister', 'modi']
['regulated', 'carbon', 'markets', 'are', 'worth', 'a', 'trillion', 'dollars', 'a', 'year', 'and', 'cover', '25', 'of', 'global', 'emissions', 'they', 'are', 'raising', 'climate', 'ambition', 'worldwide']
['best', 'diaper', 'pants', 'for', 'a', 'healthy', 'baby', 'and', 'happy', 'you']
['forced', 'mobilisation', 'of', 'govt', 'employees', 'for', 'pms', 'rally', 'in', 'srinagar', 'as', 'jk', 'admin', 'operating', 'like', 'bjp', 'pracharaks', 'm', 'y', 'tarigami']
['k', 'pop', 'did', 'karina', 'apologize', 'for', 'falling', 'in', 'love', 'all', 'you', 'may', 'need', 'to', 'know', 'about', 'controversy']
['nclt', 'admits', 'ncr', 'rail', 'infrastructure', 'for', 'insolvency', 'resolution']
['liverpool', 'vs', 'sparta', 'prague', 'europa', 'league', 'live', 'streaming', 'kickoff', 'time', 'where', 'to', 'watch', 'online']
['wfi', 'to', 'withdraw', 'circular', 'on', 'conducting', 'trials', 'for', 'upcoming', 'events', 'hc', 'told']
['maldives', 'military', 'to', 'have', 'operational', 'control', 'of', 'helicopter', 'and', 'civilian', 'crew', 'from', 'india', 'mndf', 'official']
['the', 'idea', 'of', 'you', 'see', 'what', 'we', 'know', 'about', 'anne', 'hathaway', 'starrer', 'rom', 'coms', 'release', 'date', 'streaming', 'platform', 'trailer', 'cast', 'plot', 'and', 'crew']
['ram', 'charans', 'wife', 'upasana', 'kamineni', 'suggests', 'career', 'women', 'should', 'freeze', 'their', 'eggs', 'if', 'planning', 'motherhood']
['mm', 'promoter', 'group', 'entity', 'sell', '0', '7', 'stake', 'for', 'rs', '1778', 'cr']
['pv', 'sindhu', 'enters', 'quarterfinals', 'srikanth', 'loses', 'in', 'french', 'open']
['jg', 'chemicals', 'ipo', 'subscribed', '10', '62', 'times', 'so', 'far', 'on', 'final', 'day', 'check', 'gmp', 'and', 'other', 'details']
['ripley', 'this', 'is', 'what', 'we', 'know', 'about', 'upcoming', 'tv', 'series', 'release', 'date', 'plot', 'trailer', 'cast', 'characters', 'streaming', 'platform', 'and', 'production']
['transition', 'to', 'renewable', 'energy', 'could', 'save', 'bengal', 'rs', '62000cr', 'over', 'next', 'decade', 'study']
['its', 'a', 'wonder', 'i', 'came', 'out', 'of', 'jail', 'alive', 'ex', 'du', 'professor', 'saibaba', 'after', 'release', 'from', 'nagpur', 'jail']
['nclt', 'rejects', 'resolution', 'plan', 'for', 'cambay', 'hotels', 'operator']
['torrent', 'power', 'bags', '306', 'mw', 'solar', 'project', 'worth', 'rs', '1540', 'cr']
['sarbananda', 'sonowal', 'approves', 'rs', '800', 'crore', 'project', 'to', 'transform', 'syama', 'prasad', 'mookerjee', 'port', 'in', 'kolkata']
['ibm', 'c', 'dac', 'ink', 'pact', 'for', 'high', 'performance', 'computing', 'in', 'india']
['438', 'alcohol', 'related', 'deaths', 'reported', 'in', '10', 'months', '86', 'died', 'due', 'to', 'consumption', 'of', 'drugs', 'in', '14', 'months', 'in', 'mizoram']
['bigger', 'bolder', 'mdbs', 'help', 'effectively', 'deal', 'with', 'complex', 'demands', 'of', 'emerging', 'economies', 'dea', 'secy']
['palworld', 'console', 'commands', 'heres', 'a', 'complete', 'guide', 'about', 'how', 'to', 'use', 'and', 'more']
['india', 'to', 'have', '150', 'million', 'tonne', 'coal', 'stock', 'by', 'march', 'end', 'coal', 'minister']
['medium', 'size', 'baby', 'diapers', 'for', 'kids', 'weighing', '6', '11', 'kgs']
['12', 'best', 'extra', 'large', 'diaper', 'pants', 'for', 'kids']
['fintechs', 'see', 'exponential', 'growth', 'in', 'small', 'ticket', 'loans', 'but', 'need', 'to', 'focus', 'on', 'sustainability', 'report']
['bjp', 'and', 'allies', 'will', 'win', '22', 'seats', 'out', '25', 'lok', 'sabha', 'seats', 'in', 'northeast', 'india', 'assam', 'chief', 'minister', 'himanta', 'biswa', 'sarma']
['jake', 'paul', 'vs', 'mike', 'tyson', 'on', 'netflix', 'date', 'when', 'to', 'watch', 'fight']
['india', 'us', 'trade', 'likely', 'to', 'top', 'usd', '200', 'billion', 'this', 'year', 'says', 'ambassador', 'garcetti']
['bjp', 'broke', 'shiv', 'sena', 'but', 'we', 'are', 'not', 'finished', 'uddhav', 'thackeray']
['aiudf', 'chief', 'badruddin', 'ajmal', 'will', 'be', 'arrested', 'if', 'found', 'flouting', 'the', 'law', 'and', 'continuing', 'with', 'magical', 'practices', 'assam', 'cm']
['long', 'weekend', 'business', 'booming', 'for', 'hotels', 'cruises', 'travel', 'firms']
['bob', 'announces', 'special', 'offers', 'for', 'women', 'account', 'holders', 'on', 'international', 'womens', 'day']
['manipur', 'government', 'introduces', 'no', 'work', 'no', 'pay', 'rule', 'for', 'government', 'officials']
['survivor', '46', 'spoilers', 'taylor', 'swift', 'vs', 'metallica', 'challenge', 'what', 'we', 'know', 'so', 'far']
['hogwarts', 'legacy', 'dlc', 'possibilities', 'all', 'you', 'may', 'want', 'to', 'know']
['rahuls', 'nyay', 'yatra', 'congress', 'promises', 'right', 'to', 'employment', 'apprenticeships', 'for', 'youth']
['pfrda', 'inaugurates', 'app', 'for', 'financial', 'inclusion', 'boost', 'nps']
['how', 'gautam', 'adanis', 'white', 'knight', 'has', 'gone', 'long', 'on', 'india']
['non', 'state', 'actors', 'increasingly', 'gaining', 'access', 'to', 'modern', 'technologies', 'of', 'military', 'use', 'says', 'general', 'pande']
['cabinet', 'approves', 'india', 'ai', 'mission', 'with', 'an', 'outlay', 'of', 'rs', '10371', '92', 'cr', 'for', 'five', 'years']
['centre', 'extends', 'procurement', 'preference', 'for', 'locally', 'made', 'steel', 'by', 'six', 'months']
['india', 'opens', 'new', 'naval', 'base', 'at', 'minicoy', 'near', 'maldives']
['pm', 'modi', 'inaugurates', 'development', 'projects', 'worth', 'over', 'rs', '6400', 'crore', 'in', 'kashmir']
['pm', 'modi', 'unveils', 'projects', 'worth', 'rs', '6400', 'crore', 'in', 'jk', 'during', 'his', 'first', 'visit', 'since', 'abrogation', 'of', 'article', '370', 'in', '2019']
['160', 'lingayat', 'mutt', 'heads', 'fete', 'siddaramaiah', 'as', 'congress', 'seeks', 'to', 'keep', 'karnatakas', 'largest', 'community', 'warm']
['indias', 'electronics', 'industry', 'meets', 'targets', 'ranks', '2nd', 'in', 'mobile', 'phone', 'production']
['anant', 'ambani', 'pre', 'wedding', 'one', 'of', 'radhika', 'merchants', 'outfits', 'was', 'made', 'with', '20k', 'swarovski', 'crystals', 'was', 'crafted', 'by', '70', 'artisans']
['sjvn', 'bags', '1352', 'mw', 'solar', 'projects', 'worth', 'rs', '7436', 'cr']
['pil', 'against', 'maratha', 'quota', 'hc', 'issues', 'notice', 'to', 'maharashtra', 'govt', 'seeks', 'response', 'in', '4', 'weeks']
['bjp', 'women', 'leaders', 'stopped', 'on', 'way', 'to', 'sandeshkhali', 'detained']
['young', 'sheldon', 'season', '7', 'episode', '4', 'release', 'date', 'finale', 'how', 'many', 'episodes', 'are', 'there']
['meerut', 'cgst', 'busted', 'a', 'rs', '1000', 'crore', 'itc', 'fraud', 'syndicate']
['bjp', 'spreading', 'canards', 'about', 'sandeshkhali', 'bengal', 'safest', 'state', 'for', 'women', 'mamata', 'banerjee']
['tata', 'power', 'consumers', 'to', 'pay', 'more', 'as', 'merc', 'approves', '24', 'hike']
['niti', 'aayog', 'launches', 'central', 'data', 'repository', 'for', 'states']
['padmaja', 'venugopal', 'daughter', 'of', 'former', 'kerala', 'cm', 'switches', 'to', 'bjp', 'from', 'congress']
['lodha', 'raises', '400', 'million', 'qip', 'from', 'investors', 'including', 'invesco', 'oppenheimer', 'blackrock', 'apg']
['ashneer', 'grover', 'vs', 'bharatpe', 'reaches', 'rbi', 'no', 'point', 'googling', 'swadeshi']
['bank', 'profitability', 'to', 'remain', 'healthy', 'despite', 'some', 'moderation', 'moodys']
['are', 'there', 'marital', 'issues', 'between', 'donald', 'trump', 'and', 'melania', 'questions', 'raised', 'after', 'wife', 'skips', 'super', 'tuesday', 'celebrations']
['ujjwala', 'scheme', 'govt', 'extends', 'rs', '300', 'lpg', 'subsidy', 'for', 'beneficiaries', 'for', 'fy25']
['82', 'hike', 'in', 'tea', 'development', 'promotion', 'funds', 'takes', 'outlay', 'to', 'rs', '528', 'crore', 'for', '2024', '26']
['community', 'management', 'app', 'mygate', 'unveils', 'esop', 'buyback']
['best', 'baby', 'blankets', 'for', 'newborn', 'babies']
['flipkart', 'to', 'roll', 'out', 'quick', 'commerce', 'venture', 'soon']
['bjp', 'kept', 'ladakh', 'for', 'sale', 'will', 'continue', 'protest', 'fast', 'and', 'march', 'towards', 'border', 'sonam', 'wangchuk']
['bengaluru', 'water', 'crisis', 'schools', 'may', 'face', 'closure', 'as', 'water', 'crisis', 'worsens']
['pakistan', 'gets', 'first', 'sikh', 'minister', 'in', 'punjab', 'province']
['veeda', 'clinical', 'research', 'names', 'mahesh', 'bhalgat', 'as', 'group', 'ceo']
['jujutsu', 'kaisen', 'spoilers', 'special', 'message', 'for', 'anime', 'fans', 'details', 'here']
['gail', 'ongc', 'and', 'shell', 'join', 'hands', 'to', 'explore', 'opportunities', 'for', 'importing', 'ethane']
['heres', 'why', 'delhi', 'metro', 'yellow', 'line', 'services', 'were', 'delayed', 'today']
['12', 'security', 'agencies', 'to', 'get', 'indigenously', 'developed', 'explosive', 'detectors']
['sarvam', 'ai', 'to', 'launch', 'voice', 'to', 'voice', 'endpoint', 'tool', 'in', 'the', 'next', 'six', 'to', 'twelve', 'months']
['airbus', 'gets', 'dgca', 'nod', 'for', 'h160', 'helicopter', 'in', 'india']
['indias', 'healthcare', 'care', 'innovation', 'market', 'to', 'double', 'to', '60', 'billion', 'by', 'fy28', 'says', 'new', 'report']
['kerala', 'cm', 'pinarayi', 'vijayan', 'launches', 'indias', 'first', 'state', 'owned', 'ott', 'platform']
['bmf', 'season', '4', 'announced', 'ahead', 'of', 'season', '3', 'premiere', 'know', 'about', 'star', 'cast', 'director', 'producer']
['shogun', 'with', '9', 'million', 'views', 'in', '6', 'days', 'it', 'becomes', 'no', '1', 'fx', 'premiere', 'know', 'rotten', 'tomatoes', 'score', 'and', 'other', 'details']
['gangwal', 'family', 'likely', 'to', 'sell', 'rs', '3700', 'crore', 'worth', 'stake', 'in', 'indigo', 'via', 'block', 'deals', 'report']
['i', 'do', 'hope', 'i', 'land', 'safely', 'cushionless', 'seats', 'on', 'bengaluru', 'bhopal', 'indigo', 'flight', 'raises', 'safety', 'concerns', 'airline', 'clarifies']
['british', 'columbia', 'releases', 'details', 'of', 'new', 'provincial', 'attestation', 'letter', 'system']
['yashasvi', 'jaiswal', 'becomes', 'second', 'fastest', 'indian', 'to', 'reach', '1000', 'test', 'runs']
['cashless', 'health', 'insurance', 'at', 'all', 'hospitals', 'but', 'for', 'assured', 'cashless', 'treatment', 'network', 'hospitals', 'are', 'still', 'a', 'better', 'option']
['delhi', 'cabinet', 'approves', 'power', 'subsidy', 'scheme', 'for', 'fy', '2024', '25']
['allahabad', 'high', 'court', 'sets', 'aside', 'railway', 'board', 'ban', 'on', 'jvpl']
['ahead', 'of', 'lok', 'sabha', 'election', 'government', 'asks', 'x', 'meta', 'to', 'remove', 'ai', 'driven', 'deepfakes']
['expect', 'quick', 'commerce', 'firms', 'to', 'battle', 'ecommerce', 'soon', 'zepto', 'investor', 'glade', 'brook']
['gail', 'ongc', 'to', 'look', 'at', 'importing', 'ethane', 'at', 'shells', 'hazira', 'terminal']
['congress', 'rahul', 'gandhi', 'promises', 'five', 'guarantees', 'for', 'lok', 'sabha', 'polls', 'in', 'counter', 'to', 'modi', 'ki', 'guarantee']
['india', 'sees', 'japan', 'as', 'a', 'natural', 'partner', 'in', 'its', 'journey', 'development', 'and', 'quest', 'for', 'stability', 'in', 'indo', 'pacific', 'jaishankar']
['bombay', 'hc', 'grants', 'bail', 'to', 'former', 'ilfss', 'vice', 'chairman', 'hari', 'sankaran']
['elara', 'capital', 'india', 'appoints', 'manoj', 'kohli', 'as', 'non', 'executive', 'chairman', 'of', 'board']
