['swaraj', 'india', 'launches', 'my', 'clean', 'delhi', 'campaign']
['mp', 'gets', 'rs', '5', '63', 'lakh', 'crore', 'worth', 'investment', 'commitments', 'shivraj', 'singh', 'chouhan']
['oil', 'price', 'down', 'cycle', 'nearing', 'end', 'khalid', 'al', 'falih']
['another', 'virat', 'kohli', 'masterclass', 'as', 'india', 'take', '2', '1', 'series', 'lead']
['no', 'place', 'for', 'saifai', 'family', 'in', 'bjp', 'keshav', 'prasad', 'maurya', 'on', 'speculated', 'ramgopal', 'yadav', 'entry']
['this', 'mumbai', 'autorickshaw', 'driver', 'will', 'make', 'you', 'want', 'to', 'quit', 'your', 'boring', 'job']
['dharmendra', 'pradhan', 'asks', 'states', 'to', 'help', 'bring', 'petro', 'products', 'under', 'gst']
['devendra', 'fadnavis', 'action', 'shocking', 'should', 'be', 'sacked', 'congress']
['congress', 'supports', 'ratan', 'tatas', 'concern', 'over', 'growing', 'intolerance']
['no', 'appeal', 'by', 'pm', 'for', 'using', 'only', 'india', 'made', 'goods', 'on', 'diwali', 'officials']
['will', 'be', 'with', 'akhilesh', 'in', 'dharma', 'yudh', 'ramgopal']
['govt', 'to', 'further', 'ease', 'visa', 'regime', 'to', 'boost', 'tourism', 'business', 'sushma', 'swaraj']
['sixth', 'tranche', 'sovereign', 'gold', 'bond', 'issue', 'opens', 'october', '24']
['bangladesh', 'pm', 'sheikh', 'hasina', 'reelected', 'awami', 'league', 'chief']
['china', 'needs', 'another', 'mao', 'zedong', 'xi', 'jinping', 'fits', 'the', 'bill', 'official', 'media']
['triple', 'talaq', 'seriously', 'affecting', 'freedom', 'of', 'women', 'bjp']
['centre', 'to', 'compensate', 'maharashtra', 'government', 'for', 'loss', 'of', 'octroi', 'sudhir', 'mungantiwar']
['justice', 'markandey', 'katju', 'to', 'appear', 'before', 'sc', 'on', 'november', '11']
['khadi', 'outlet', 'at', 'connaught', 'place', 'registers', 'record', 'rs', '1', '08', 'crore', 'sale', 'in', 'a', 'day']
['us', 'presidential', 'polls', 'donald', 'trump', 'trails', 'hillary', 'clinton', 'by', '12', 'points', 'for', 'first', 'time']
['india', 'will', 'lose', 'demographic', 'dividend', 'if', 'youth', 'not', 'trained', 'pranab', 'mukherjee']
['us', 'intervention', 'sought', 'in', 'indian', 'action', 'against', 'greenpeace']
['former', 'kerala', 'cm', 'oommen', 'chandy', 'visits', 'apollo', 'hospital']
['finance', 'ministry', 'to', 'hold', 'meeting', 'with', 'ceos', 'of', 'banks', 'tomorrow', 'on', 'npas']
['asian', 'champion', 'trophy', 'india', 'beat', 'pakistan', '3', '2']
['mahendra', 'singh', 'dhoni', 'fifth', 'indian', 'to', 'complete', '9000', 'odi', 'runs']
['wto', 'meet', 'india', 'calls', 'for', 'level', 'playing', 'field', 'in', 'agri', 'trade']
['chari', 'community', 'makes', 'better', 'arms', 'than', 'ofb', 'factories', 'manohar', 'parrikar']
['flash', 'sales', 'discounts', 'for', 'customers', 'as', 'round', '3', 'of', 'flipkart', 'amazon', 'big', 'sale', 'announced']
['jaguar', 'land', 'rover', 'sure', 'to', 'outdo', 'market', 'in', 'sales', 'eyes', 'over', '10', 'per', 'cent', 'share']
['masterchef', 'kaizad', 'patel', 'shows', 'how', 'to', 'make', 'the', 'best', 'parsidishes', 'this', 'festive', 'season']
['working', 'to', 'make', 'india', 'an', 'arbitration', 'hub', 'pm', 'narendra', 'modi']
['rajiv', 'gandhi', 'case', 'convict', 'nalini', 'sriharan', 'approaches', 'ncw', 'for', 'release']
['nawaz', 'sharif', 'responsible', 'if', 'third', 'force', 'steps', 'in', 'pakistan', 'imran', 'khan']
['t', 's', 'thakur', 'slams', 'dismal', 'show', 'of', 'governments', 'arbitration', 'centre']
['akhilesh', 'yadav', 'says', 'will', 'not', 'quit', 'party', 'claims', 'sp', 'minister']
['government', 'to', 'further', 'ease', 'visa', 'regime', 'to', 'boost', 'tourism', 'business', 'sushma', 'swaraj']
['my', 'removal', 'from', 'govt', 'an', 'attempt', 'to', 'weaken', 'sp', 'leadership', 'shivpal']
['call', 'centre', 'scam', 'kingpin', 'sagar', 'alias', 'shaggy', 'thakkar', 'fled', 'to', 'gulf', 'during', 'police', 'raid']
['banks', 'planning', 'to', 'move', 'out', 'of', 'uk', 'before', 'eu', 'exit']
['have', 'already', 'stopped', 'using', 'the', 'word', 'strike', 'manohar', 'parrikar']
['make', 'in', 'india', 'dont', 'just', 'ship', 'from', 'china', 'aruna', 'sundarajan']
['fpisraise', 'exposure', 'in', '17', 'sensex', 'cos', 'buy', 'shares', 'worth', 'rs', '34000', 'crore', 'in', 'q2']
['rajnath', 'singh', 'leaves', 'for', 'bahrain', 'to', 'raise', 'pakistan', 'sponsored', 'terror', 'in', 'india']
['banks', 'eye', 'resolution', 'of', 'rs', '1', '5', 'lakh', 'cr', 'worth', 'stressed', 'assets']
['cm', 'siddaramaiah', 'dismisses', 'bjp', 'claim', 'of', 'congress', 'mlas', 'in', 'talks', 'to', 'join', 'the', 'party']
['india', 'needs', 'forensic', 'it', 'audits', 'for', 'banks', 'to', 'prevent', 'card', 'fraud']
['fossilised', 'algae', 'may', 'soon', 'power', 'electric', 'vehicles']
['gst', 'law', 'to', 'boost', 'domestic', 'demand', 'drive', 'job', 'creation', 'pm', 'narendra', 'modi']
['soon', 'you', 'can', 'go', 'to', 'shirdi', 'on', 'sea', 'plane']
['natural', 'compound', 'in', 'onions', 'may', 'help', 'fight', 'ovarian', 'cancer']
['indian', 'mining', 'sector', 'facing', 'challenges', 'dassault', 'systemes']
['up', 'elections', 'akhilesh', 'yadav', 'should', 'prove', 'his', 'majority', 'in', 'assembly', 'or', 'resign', 'bjp']
['wont', 'cry', 'on', 'sons', 'martyrdom', 'will', 'keep', 'promise', 'jawans', 'mother']
['rita', 'bahuguna', 'joshis', 'joins', 'bjp', 'loss', 'of', 'face', 'for', 'the', 'congress']
['up', 'elections', 'simultaneous', 'polls', 'in', 'uttar', 'pradesh', 'four', 'other', 'states', 'in', 'february', 'march']
['data', 'breach', 'aftermath', 'sebi', 'mulls', 'higher', 'cyber', 'security', 'for', 'bourses', 'brokerages']
['the', 'week', 'that', 'was', 'after', 'jerky', 'pre', 'diwali', 'week', 'expiry', 'earnings', 'to', 'keep', 'market', 'on', 'the', 'toes']
['aviation', 'watchdog', 'dgca', 'to', 'soon', 'get', 'powers', 'to', 'slap', 'penalties']
['no', 'significant', 'addition', 'to', 'rs', '65250', 'crore', 'ids', 'disclosure']
['pe', 'investments', 'decline', '53', 'to', 'usd', '2', '5', 'billion', 'in', 'sep', 'qtr', 'report']
['sea', 'plane', 'service', 'soon', 'from', 'nagpur', 'to', 'shirdi', 'nitin', 'gadkari']
['porn', 'star', 'jessica', 'drake', 'becomes', '11th', 'woman', 'to', 'accuse', 'trump', 'of', 'sexual', 'assualt']
['sacking', 'of', 'shivpal', 'yadav', 'by', 'akhilesh', 'creates', 'unprecedented', 'situation', 'in', 'samajwadi', 'party']
['homo', 'habilis', 'were', 'right', 'handed', 'study']
['telcos', 'liable', 'for', 'bill', 'payment', 'issues', 'on', 'mobile', 'apps', 'trai']
['oberoi', 'realty', 'q2', 'housing', 'sales', 'jump', 'over', '3', 'fold', 'to', 'rs', '504', 'crore']
['pm', 'narendra', 'modi', 'to', 'visit', 'varanasi', 'for', 'launching', 'gas', 'pipeline', 'project']
['government', 'plans', 'overseas', 'roadshows', 'to', 'boost', 'textile', 'exports']
['nhai', 'scraps', 'transstroys', 'rs', '912', 'cr', 'highway', 'project']
['bjp', 'will', 'ruin', 'country', 'arvind', 'kejriwal', 'on', 'devendra', 'fadnavis', 'role', 'in', 'ae', 'dil', 'hai', 'mushkil', 'row']
['priyanka', 'gandhi', 'will', 'be', 'a', 'force', 'multiplier', 'in', 'up', 'sheila', 'dikshit']
['gst', 'can', 'be', 'paid', 'using', 'debit', 'credit', 'cards', 'adhia']
['power', 'sector', 'debt', 'worth', 'rs', '1', '34', 'trillion', 'at', 'high', 'risk', 'crisil']
['finance', 'ministry', 'expects', 'report', 'on', 'debit', 'card', 'data', 'breach', 'in', '10', 'days']
['rocking', 'growth', 'mumbai', 'zone', 'direct', 'tax', 'mop', 'up', 'flat', 'in', 'h1', 'fy17']
['fpis', 'pull', 'out', 'rs', '7500', 'cr', 'from', 'capital', 'markets', 'in', 'oct']
['coai', 'dismayed', 'over', 'fine', 'on', 'telcos', 'takes', 'hands', 'off', 'approach']
['hrd', 'grant', 'teesta', 'setalvad', 'liable', 'for', 'mixing', 'religion', 'with', 'politics']
['reliance', 'forays', 'into', 'lpg', 'retailing']
['barack', 'obama', 'compares', 'his', 'initiative', 'obamacare', 'to', 'samsung', 'galaxy', 'note', '7', 'during', 'speech']
['rajasthan', 'to', 'launch', 'countrys', 'first', 'indigenous', 'olive', 'oil', 'brand']
['sebi', 'relaxes', 'restrictions', 'on', '41', 'companies']
['race', 'to', 'white', 'house', 'biggest', 'states', 'call', 'the', 'shots', 'but', 'have', 'given', 'few', 'presidents']
['sunday', 'et', 'why', 'vladimir', 'putin', 'is', 'making', 'headlines']
['why', 'startup', 'employees', 'are', 'opting', 'for', 'a', 'higher', 'chunk', 'of', 'stock', 'options']
['faiz', 'ahmed', 'faiz', 'man', 'behind', 'banned', 'jago', 'hua', 'savera', 'from', 'mami', 'festival']
['air', 'india', 'creates', 'record', 'byflying', '15300', 'kilometres', 'in', '14', '5', 'hours', 'non', 'stop']
['what', 'does', 'atts', 'ma', 'dance', 'with', 'time', 'warner', 'mean', 'for', 'the', 'media', 'industry']
['mobius', 'says', 'indias', 'smallcap', 'stocks', 'may', 'gain', 'more', 'amid', 'modi', 'plans']
['market', 'valuation', 'of', 'top', '9', 'firms', 'swells', 'by', 'rs', '30034', 'crore']
['indian', 'telecom', 'players', 'plagued', 'by', 'debt']
['ntpc', 'group', 'looks', 'to', 'top', '50', 'gw', 'installed', 'capacity', 'by', 'march']
['delhi', 'choking', 'root', 'cause', 'stems', 'from', 'deep', 'crisis', 'in', 'agriculture']
['sunday', 'et', '2016', 'us', 'presidential', 'election', 'turns', 'absurd', 'spectacle', 'in', 'the', 'history']
['questioning', 'ones', 'patriotism', 'because', 'of', 'ones', 'artistic', 'decisions', 'is', 'not', 'right', 'says', 'hansal', 'mehta', 'on', 'adhm', 'controversy']
['et', 'recommendations', 'game', 'gadget', 'and', 'app']
['why', 'bengaluru', 'governments', 'decision', 'to', 'build', 'a', 'rs', '1800', 'crore', 'steel', 'flyover', 'is', 'unscientific']
['pm', 'narendra', 'modi', 'speaks', 'in', 'one', 'language', 'his', 'ministers', 'in', 'another', 'jyotiraditya', 'scindia']
['rapid', 'transit', 'tata', 'motors', 'to', 'focus', 'on', 'commercial', 'vehicles']
['att', 'ready', 'to', 'acquire', 'times', 'warner', 'for', '86', 'billion', 'to', 'address', 'new', 'age', 'needs', 'for', 'the', 'internet', 'customer']
['foxconn', 'to', 'expand', 'india', 'operations', 'next', 'year', 'josh', 'foulger']
['varun', 'gandhi', 'says', 'charges', 'against', 'him', 'false', 'frivolous']
['at', 'alang', 'shipbreaking', 'yard', 'worker', 'safety', 'remains', 'a', 'dusty', 'dream']
['capital', 'boots', 'up', 'to', 'microsofts', 'first', 'cybersecurity', 'unit']
['sunday', 'et', 'a', 'look', 'at', 'the', 'charmed', 'life', 'of', 'legendary', 'cameraman', 'mahendra', 'kumar']
['hcl', 'tech', 'bets', 'on', 'acquisitions', 'to', 'drive', 'growth']
['us', 'presidential', 'election', 'this', 'is', 'distressing', 'moment', 'for', 'indian', 'americans', 'heres', 'why']
['bjp', 'steals', 'march', 'over', 'rivals', 'in', 'attracting', 'deserters', 'in', 'up']
['time', 'for', 'rahul', 'to', 'take', 'over', 'as', 'cong', 'chief', 'narayanasamy']
['fipb', 'to', 'take', 'up', '19', 'investment', 'proposals', 'this', 'week']
['poll', 'bound', 'up', 'to', 'get', 'nine', 'more', 'trains', 'shortly']
['esop', 'millionaires', 'among', 'startups', 'are', 'an', 'exception']
['private', 'equity', 'investments', 'decline', '53', 'per', 'cent', 'to', '2', '5', 'billion', 'in', 'sep', 'quarter', 'report']
['nia', 'to', 'train', 'bangladesh', 'police', 'in', 'detecting', 'fake', 'indian', 'currency']
['sunday', 'et', 'as', 'oktoberfest', 'merges', 'with', 'diwali', 'this', 'fetive', 'season', 'brewers', 'tighten', 'their', 'belts']
['no', 'one', 'can', 'change', 'personal', 'law', 'khalid', 'rasheed', 'firangi', 'mahali']
['muslim', 'personal', 'law', 'needs', 'reform', 'but', 'ucc', 'is', 'not', 'a', 'solution', 'zakia', 'soman']
['akhilesh', 'yadav', 'is', 'the', 'best', 'cm', 'face', 'samajwadi', 'party', 'can', 'sport', 'aditya', 'yadav']
['esop', 'dhamaka', 'is', 'for', 'real', 'but', 'only', 'for', 'those', 'who', 'are', 'prepared', 'for', 'the', 'grind']
['digvijay', 'singh', 'favours', 'holding', 'talks', 'with', 'pakistan']
['anti', 'blackmoney', 'operations', 'to', 'be', 'intensified']
