['urjit', 'patel', 'rbis', 'inflation', 'warrior', 'with', 'corporate', 'background']
['kashmiri', 'youth', 'should', 'have', 'books', 'in', 'hands', 'and', 'not', 'stones', 'rajnath', 'singh']
['centre', 'may', 'bring', 'in', 'legislation', 'to', 'clean', 'ganga', 'in', 'consultation', 'with', 'states']
['pakistan', 'isolated', 'due', 'to', 'pm', 'narendra', 'modis', 'hard', 'stand', 'on', 'terrorism', 'mukhtar', 'abbas', 'naqvi']
['urjit', 'patel', 'is', 'a', 'terrific', 'choice', 'as', 'rbi', 'governor', 'jagdish', 'bhagwati']
['50', 'companies', 'including', 'world', 'bank', 'deutsche', 'bank', 'and', 'barclays', 'keen', 'on', 'associating', 'with', 'postal', 'bank', 'initiative', 'ravi', 'shankar', 'prasad']
['hamid', 'karzai', 'slams', 'pakistan', 'defends', 'indias', 'role', 'in', 'afghanistan']
['challenge', 'before', 'urjit', 'patel', 'to', 'ensure', 'undisruptive', 'forex', 'withdrawal']
['congress', 'attacks', 'fm', 'arun', 'jaitley', 'for', 'his', 'criticism', 'of', 'nehruvian', 'economics']
['raghuram', 'rajan', 'first', 'rbi', 'governor', 'in', 'two', 'decades', 'not', 'to', 'get', 'second', 'term']
['urjit', 'patel', 'right', 'man', 'to', 'succeed', 'raghuram', 'rajan', 'nr', 'narayana', 'murthy']
['govt', 'offers', 'sops', 'for', 'refugees', 'from', 'pakistan', 'bangladesh', 'afghanistan']
['telangana', 'govt', 'announces', 'rs', '5', 'crore', 'reward', 'to', 'p', 'v', 'sindhu']
['market', 'likely', 'to', 'give', 'thumbs', 'up', 'to', 'urjit', 'patel', 'as', 'new', 'rbi', 'governor']
['mns', 'warns', 'fox', 'entertainment', 'from', 'releasing', 'marathi', 'dubbed', 'version', 'of', 'ms', 'dhoni', 'biopic']
['jharkhand', 'cm', 'raghubar', 'das', 'bets', 'big', 'on', 'large', 'scale', 'employment', 'generation']
['cm', 'sarbananda', 'sonowal', 'asks', 'cement', 'companies', 'to', 'bring', 'down', 'prices', 'in', 'assam']
['boeing', 'tatas', 'put', 'nagpur', 'on', 'global', 'aviation', 'map', 'devendra', 'fadnavis']
['rahul', 'gandhi', 'lashes', 'out', 'at', 'divisive', 'forces', 'in', 'the', 'country']
['now', 'an', 'atlas', 'to', 'help', 'save', 'madhya', 'pradesh', 'fish', 'mahseer']
['50000', 'take', 'london', 'night', 'tube', 'service', 'on', 'inaugural', 'night']
['urjit', 'patel', 'will', 'bring', 'great', 'continuity', 'in', 'rbi', 'dy', 'governor', 'mundra']
['forest', 'laws', 'will', 'be', 'strengthened', 'says', 'union', 'minister', 'anil', 'dave']
['career', 'timeline', 'of', 'new', 'rbi', 'governor', 'urjit', 'r', 'patel']
['akhilesh', 'yadav', 'shares', 'dias', 'with', 'uncle', 'asks', 'media', 'not', 'to', 'create', 'rift']
['federal', 'structure', 'is', 'being', 'bulldozed', 'by', 'the', 'unilateral', 'arbitrary', 'action', 'of', 'centre', 'mamata', 'banerjee']
['urjit', 'patel', 'named', 'rbi', 'governor', 'dalal', 'street', 'not', 'too', 'bullish', 'on', 'rate', 'cuts', 'now']
['pm', 'narendra', 'modis', 'monogrammed', 'suit', 'enters', 'guinness', 'book', 'of', 'world', 'records']
['woman', 'power', 'saves', 'india', 'blushes', 'at', 'greatest', 'show', 'on', 'earth']
['thomas', 'cook', 'india', 'to', 'buy', '24', 'stake', 'in', 'sita', 'world', 'travel', 'lanka']
['west', 'bengal', 'to', 'achieve', '100', 'per', 'cent', 'electrification', 'by', 'march', '2017']
['whats', 'the', 'big', 'deal', 'about', 'goods', 'and', 'services', 'tax']
['bodies', 'of', 'two', 'suspected', 'mahad', 'tragedy', 'victims', 'found', 'at', 'a', 'beach', 'in', 'ratnagiri']
['gst', 'inches', 'closer', 'to', 'becoming', 'a', 'reality', '10', 'stocks', 'you', 'can', 'bet', 'on']
['though', 'the', 'economy', 'may', 'benefit', 'from', 'gst', 'effect', 'on', 'stock', 'benchmarks', 'may', 'be', 'limited']
['associate', 'banks', 'merger', 'will', 'help', 'us', 'break', 'into', 'top', '50', 'league', 'sbi']
['tvs', 'srichakra', 'posts', 'rs', '46', 'crore', 'net', 'profit', 'in', 'apr', 'jun', 'quarter']
['if', 'you', 'are', 'praying', 'for', 'the', 'gst', 'to', 'go', 'through', 'lap', 'up', 'these', 'stocks', 'quickly']
['dont', 'see', 'narasimha', 'rao', 'as', 'indias', 'economic', 'messiah', 'says', 'arun', 'jaitley']
['central', 'railway', 'to', 'run', '180', 'special', 'trains', 'during', 'ganesh', 'festival']
['opposition', 'leaders', 'meet', 'president', 'mukherjee', 'for', 'political', 'solution', 'in', 'kashmir']
['india', 'pledges', 'rs', '39', '97', 'million', 'for', 'upgrading', 'school', 'in', 'nepal']
['getting', 'ready', 'for', 'multi', 'year', 'bull', 'market', 'gopal', 'bhattacharya', 'societe', 'generale']
['moderate', 'taxes', 'high', 'evasions', 'cannot', 'coexist', 'fm', 'arun', 'jaitley']
['prime', 'minister', 'narendra', 'modi', 'invites', 'prachanda', 'to', 'visit', 'india']
['9', 'terrorists', 'killed', 'in', 'air', 'strikes', 'in', 'pakistan']
['550', 'litres', 'of', 'country', 'liquor', 'unearthed', 'in', 'search', 'in', 'gopalganj']
['success', 'of', 'sdg', 'dependent', 'on', 'brics', 'countries', 'sumitra', 'mahajan']
['extension', 'to', 'probe', 'panel', 'bjp', 'doing', 'vendetta', 'politics', 'says', 'aap']
['india', 'committed', 'to', 'nepals', 'post', 'quake', 'reconstruction', 'pm', 'modi']
['bpcl', 'announces', 'rs', '75', 'lakh', 'cash', 'award', 'promotion', 'for', 'p', 'v', 'sindhu']
['top', 'of', 'the', 'world', 'now', 'a', 'fashion', 'show', 'on', 'the', 'eiffel', 'tower']
['chetan', 'bhagats', 'latest', 'book', 'one', 'indian', 'girl', 'breaks', 'pre', 'order', 'record', 'on', 'amazon']
['coal', 'india', 'workers', 'call', 'for', 'pan', 'india', 'stir', 'on', 'september', '2']
['jonah', 'hill', 'reveals', 'that', 'fake', 'drugs', 'used', 'while', 'filming', 'the', 'wolf', 'of', 'wall', 'street', 'took', 'a', 'toll', 'on', 'his', 'health']
['congress', 'losing', 'mass', 'base', 'in', 'kerala', 'due', 'to', 'infighting', 'ak', 'antony']
['ritesh', 'jains', 'what', 'i', 'read', 'this', 'week', 'bond', 'bubble', 'globalisation', 'disconnect']
['mustard', 'oil', 'weakens', 'on', 'muted', 'demand']
['where', 'is', 'the', 'money', 'honey', 'why', 'ncds', 'make', 'a', 'compelling', 'case']
['kg', 'on', 'global', 'trend']
['sugar', 'closes', 'steady', 'on', 'scattered', 'deals']
['haryana', 'announces', 'cash', 'award', 'for', 'sindhu', 'dipa', 'lalita']
['p', 'v', 'sindhu', 'sakshi', 'malik', 'splendid', 'example', 'of', 'what', 'women', 'can', 'achieve', 'jayalalithaa']
['while', 'india', 'was', 'rooting', 'for', 'pv', 'sindhu', 'andhra', 'pradesh', 'and', 'telangana', 'were', 'googling', 'her', 'caste']
['dont', 'pin', 'hopes', 'on', 'service', 'sector', 'once', 'gst', 'is', 'in', 'force', 'says', 'expert']
['rbl', 'bank', 'ipo', 'kicks', 'off', 'subscribed', '66', 'on', 'day', '1']
['gujarat', 'government', 'forms', 'sit', 'to', 'probe', 'thangadh', 'firing', 'on', 'dalits']
['startup', 'india', 'action', 'plan', 'the', 'workings', 'shortcomings']
['thailand', 'doubles', 'visa', 'on', 'arrival', 'fees']
['mobile', 'telephone', 'services', 'restored', 'in', 'kashmir', 'valley']
['bajaj', 'finance', 'is', 'one', 'stock', 'i', 'regret', 'selling', 'early', 'nilesh', 'shah', 'envision', 'capital']
['nasas', 'curiosity', 'rover', 'beams', '360', 'degree', 'panorama', 'of', 'mars']
['10', 'attributes', 'of', 'great', 'investors', 'what', 'it', 'really', 'takes', 'to', 'make', 'money', 'in', 'market']
['building', 'a', 'resilient', 'startup', 'to', 'weather', 'the', 'storm']
['uber', 'wont', 'pay', 'above', '2', 'billion', 'for', 'lyft']
['tips', 'to', 'prepare', 'yourself', 'for', 'a', 'home', 'loan', 'when', 'starting', 'up']
['kerala', 'government', 'drops', 'plan', 'for', 'online', 'liquor', 'sales']
['agro', 'tech', 'industry', 'flays', 'gm', 'seed', 'licensing', 'policy']
['zero', 'strike', 'work', 'culture', 'has', 'resulted', 'in', 'no', 'days', 'loss', 'moloy', 'ghatak']
['donald', 'trump', 'adviser', 'hailed', 'putin', 'in', 'a', 'meeting', 'with', 'modi']
['sakshi', 'malik', 'to', 'be', 'awarded', 'rs', '1', 'crore', 'by', 'delhi', 'government']
['saina', 'nehwal', 'may', 'miss', 'competitive', 'action', 'for', 'four', 'months']
['border', 'shut', 'after', 'afghans', 'burn', 'pakistani', 'flag']
['tacit', 'support', 'to', 'bjp', 'leaders', 'attempt', 'to', 'break', 'siddaramaiahs', 'votebank']
['rio', 'olympics', 'narsingh', 'yadav', 'became', 'unconscious', 'after', 'hearing', 'cas', 'verdict']
['will', 'return', 'pv', 'sindhus', 'phone', 'let', 'her', 'enjoy', 'an', 'ice', 'cream', 'pullela', 'gopichand']
['xiaomi', 'suits', 'up', 'for', 'a', 'debut', 'on', 'apples', 'home', 'turf']
['72', 'hike', '84', 'fall', 'rubber', 'insulated', 'cables', 'play', 'havoc', 'with', 'iip', 'despite', '1', '4', 'weightage']
['abhishek', 'aishwarya', 'wont', 'be', 'part', 'of', 'sarkaar', '3', 'tweets', 'ram', 'gopal', 'varma']
['digital', 'india', 'government', 'websites', 'fail', 'to', 'clear', 'transparency', 'test']
['saina', 'and', 'sindhu', 'two', 'women', 'shuttlers', 'with', 'distinctive', 'playing', 'styles']
['poor', 'olympic', 'medal', 'record', 'blame', 'it', 'on', 'lack', 'of', 'sporting', 'culture', 'not', 'just', 'government']
['film', 'stars', 'congratulate', 'pv', 'sindhu', 'on', 'winning', 'badminton', 'silver', 'at', 'olympics']
['curfew', 'continues', 'in', 'srinagar', 'two', 'south', 'kashmir', 'towns']
['24x7', 'power', 'for', 'all', 'a', 'humongous', 'but', 'achievable', 'feat', 'pwc']
['pm', 'narendra', 'modi', 'pays', 'tribute', 'to', 'rajiv', 'gandhi', 'on', 'birth', 'anniversary']
['rahul', 'gandhi', 'pays', 'tribute', 'to', 'rajiv', 'gandhi', 'on', 'birth', 'anniversary']
['with', 'price', 'cap', '22', 'drugs', 'get', 'cheaper']
