['environment', 'activists', 'join', 'hands', 'to', 'save', 'the', 'hindon']
['18', 'killed', 'as', 'bus', 'carrying', 'wedding', 'party', 'falls', 'in', 'ravine', 'in', 'pok']
['dont', 'know', 'if', 'i', 'will', 'be', 'there', 'in', '2020', 'says', 'emotional', 'sania', 'mirza']
['belgium', 'dashes', 'indias', 'dream', 'of', 'hockey', 'medal']
['sania', 'mirza', 'rohan', 'bopanna', 'blown', 'away', 'by', 'czechs', 'in', 'bronze', 'medal', 'match']
['rahul', 'gandhi', 'takes', 'a', 'veiled', 'dig', 'at', 'rss', 'after', 'outlook', 'magazine', 'appoint', 'new', 'editor', 'in', 'chief']
['2', 'killed', 'in', 'lightning', 'strike', 'in', 'west', 'bengal']
['how', 'pankaj', 'salve', 'brought', 'mumbai', 'local', 'train', 'info', 'at', 'passengers', 'fingertips']
['kidambi', 'srikanth', 'enters', 'pre', 'quarters', 'saina', 'crashes', 'out', 'of', 'olympics']
['reforms', 'at', 'lower', 'level', 'needed', 'to', 'improve', 'ease', 'of', 'doing', 'business', 'fm', 'arun', 'jaitley']
['five', 'indian', 'fishermen', 'dead', '20', 'missing', 'as', 'fishing', 'boat', 'capsized']
['forces', 'showed', 'utmost', 'restraint', 'despite', 'grave', 'provocation', 'in', 'kashmir', 'manohar', 'parrikar']
['jhanvi', 'behal', 'who', 'vowed', 'to', 'unfurl', 'tricolour', 'at', 'lal', 'chowk', 'turned', 'back']
['brexit', 'may', 'be', 'delayed', 'until', '2019', 'report']
['special', 'train', 'between', 'vadodara', 'ahmedabad', 'flagged', 'off']
['pakistani', 'rangers', 'offer', 'sweets', 'to', 'bsf', 'at', 'attari', 'wagah', 'border']
['saina', 'nehwal', 'crashes', 'out', 'of', 'olympics', 'loses', 'to', 'marija', 'ulitina', '18', '21', '19', '21']
['hawk', 'eye', 'vigil', 'in', 'delhi', 'tight', 'security', 'in', 'kashmir', 'valley']
['igp', 'rank', 'officer', 'to', 'investigate', 'case', 'of', 'death', 'of', 'former', 'cm', 'kalikho', 'pul', 'arunachal', 'cm', 'pema', 'khandu']
['pathankot', 'nsg', 'martyr', 'lt', 'col', 'niranjan', 'e', 'k', 'gets', 'shaurya', 'chakra', 'on', 'the', 'eve', 'of', 'independence', 'day']
['wrongfully', 'put', 'under', 'house', 'arrest', 'in', 'udaipur', 'hardik', 'patel']
['only', 'outstanding', 'issue', 'with', 'pakistan', 'is', 'liberating', 'pok', 'jitendra', 'singh']
['why', 'scientists', 'of', 'indian', 'origin', 'are', 'leaving', 'a', 'better', 'life', 'and', 'returning', 'to', 'india']
['ministers', 'asked', 'to', 'inaugurate', 'projects', 'as', 'a', 'formality', 'suresh', 'prabhu']
['may', 'india', 'be', 'free', 'from', 'rape', 'amitabh', 'bachchans', 'pledge', 'on', 'independence', 'day']
['heightened', 'militant', 'attack', 'poses', 'a', 'challenge', 'for', 'new', 'bjp', 'led', 'government', 'in', 'assam']
['west', 'bengal', 'to', 'get', 'rs', '3000', 'crore', 'investments', 'dharmendra', 'pradhan']
['raymond', 'to', 'use', 'omni', 'channel', 'strategy', 'to', 'increase', 'customer', 'base']
['does', 'centre', 'want', 'bjp', 'lawyers', 'as', 'hc', 'judges', 'asks', 'delhi', 'cm', 'arvind', 'kejriwal']
['rio', 'olympics', '2016', 'sania', 'and', 'bopanna', 'lose', 'semis', 'to', 'fight', 'for', 'bronze', 'now']
['pakistan', 'to', 'accord', 'warm', 'welcome', 'to', 'arun', 'jaitley', 'at', 'saarc', 'meet']
['vhp', 'leader', 'pravin', 'togadia', 'fires', 'salvo', 'at', 'pm', 'modi', 'on', 'gau', 'raksha', 'demands', 'cow', 'slaughter', 'ban']
['sonia', 'gandhi', 'discharged', 'from', 'hospital', 'after', '11', 'days', 'advised', 'rest']
['pmo', 'rejects', 'conditional', 'donation', 'of', 'rs', '1', 'lakh', 'for', 'poorest', 'man']
['top', '7', 'companies', 'add', 'rs', '45025', 'crore', 'to', 'market', 'valuation']
['e', 'verifying', 'without', 'net', 'banking', 'more', 'banks', 'to', 'follow', 'pnbubi']
['31', 'officials', 'of', 'cbi', 'awarded', 'medals', 'on', 'independence', 'day']
['dharmendra', 'pradhan', 'unhappy', 'over', 'mamata', 'banerjee', 'giving', 'miss', 'to', 'pmuy', 'launch']
['2515', 'students', 'receive', 'degrees', 'from', 'iit', 'bombay', 'phds', 'at', 'record', 'high']
['formulate', 'clear', 'guidelines', 'for', 'network', 'testing', 'dot', 'to', 'trai']
['life', 'insurers', 'new', 'business', 'premiums', 'up', '4', 'per', 'cent', 'to', 'rs', '13854', 'crore', 'in', 'july']
['30', 'years', 'on', 'trial', 'on', 'indias', '1st', 'national', 'waterway', 'starts']
['unit', 'on', 'coastal', 'movement', 'of', 'coal']
['videocon', 'industries', 'net', 'loss', 'at', 'rs', '286', '64', 'crore', 'in', 'april', 'june', 'quarter']
['delhi', 'needs', '44', 'small', 'dams', '480', 'new', 'waterbodies', 'to', 'recharge', 'groundwater', 'table', 'study']
['no', 'change', 'in', 'decision', 'to', 'enter', 'into', 'politics', 'irom', 'sharmila']
['start', 'up', 'to', 'raise', 'resources', 'for', 'better', 'rte', 'implementation']
['ongc', 'launches', 'rs', '100', 'crore', 'start', 'up', 'fund', 'to', 'ignite', 'new', 'ideas']
['bsnl', 'offers', 'free', 'unlimited', 'calls', 'on', 'independence', 'day']
['expanding', 'markets', 'launching', 'new', 'products', 'for', 'growth', 'wockhardt']
['tax', 'row', 'vedanta', 'names', 'james', 'spigelman', 'to', 'represent', 'its', 'case']
['economic', 'recovery', 'to', 'accelerate', 'inflation', 'seen', 'below', '5', 'per', 'cent', 'morgan', 'stanley']
['kotak', 'mahindra', 'bank', 'starts', 'innovation', 'lab', 'open', 'to', 'investing', 'in', 'startups']
['kalpataru', 'power', 'transmission', 'to', 'raise', 'rs', '300', 'crore', 'via', 'ncds']
['lt', 'hydrocarbon', 'eyes', '1', 'billion', 'worth', 'projects', 'in', 'offshore', 'business']
['forcing', 'low', 'airfares', 'on', 'gulf', 'route', 'may', 'attract', 'litigation', 'government']
['finance', 'ministry', 'accepts', 'suresh', 'prabhus', 'proposal', 'no', 'rail', 'budget', 'from', 'next', 'fiscal']
['smes', 'attracting', 'women', 'with', 'offers', 'of', 'greater', 'flexibility']
['these', 'startups', 'have', 'healing', 'touch']
['himalaya', 'to', 'focus', 'on', 'wellness', 'baby', 'care', 'markets', 'eyes', '1', 'billion', 'mark']
['is', 'dhanlaxmi', 'bank', 'raising', 'default', 'risk', 'for', 'the', 'industry']
['how', 'corporations', 'trashed', 'pm', 'narendra', 'modis', 'clean', 'india', 'dream']
['delhi', 'high', 'court', 'stops', '2', 'spicejet', 'ex', 'employees', 'from', 'disclosing', 'information']
['six', 'technologies', 'showcased', 'at', 'the', 'rio', 'olympics', '2016']
['cag', 'finds', 'systemic', 'flaws', 'in', 'pradhan', 'mantri', 'gram', 'sadak', 'yojana']
['rbi', 'may', 'not', 'be', 'able', 'to', 'meet', 'inflation', 'target', 'imf', 'paper']
['pledging', 'pf', 'to', 'buy', 'home', 'may', 'soon', 'become', 'a', 'reality']
['cbdt', 'to', 'acknowledge', 'black', 'money', 'declarants', 'by', 'august', 'end']
['fpis', 'stay', 'bullish', 'on', 'india', 'pour', 'rs', '5400', 'crore', 'in', 'a', 'fortnight']
['mukesh', 'bansal', 'on', 'his', 'sabbatical', 'after', 'my', 'exit', 'i', 'felt', 'relieved']
['sc', 'collegium', 'likely', 'to', 'reject', 'government', 'plea', 'for', 'greater', 'powers', 'in', 'appointment', 'of', 'judges']
['how', 'next', 'gen', 'women', 'entrepreneurs', 'are', 'scaling', 'up', 'traditional', 'businesses']
['why', 'is', 'majlinda', 'kelmendi', 'making', 'the', 'headlines']
['gurvinder', 'singhs', 'chauthi', 'koot', 'portrays', 'terror', 'on', 'screen', 'without', 'showing', 'any', 'violence']
['5', 'factors', 'that', 'will', 'chart', 'direction', 'of', 'the', 'market', 'this', 'coming', 'week']
['taiwan', 'the', 'land', 'of', 'tea', 'brewers', 'and', 'drinkers', 'by', 'the', 'gallon']
['china', 'stocks', 'advance', 'most', 'in', 'a', 'month', 'as', 'developers', 'lead', 'gains']
['large', 'supplies', 'rise', 'in', 'us', 'inventories', 'to', 'drag', 'oil', 'prices', 'lower', 'in', 'near', 'term']
['m', 'j', 'akbar', 'to', 'ring', 'nasdaq', 'bell', 'to', 'mark', 'indias', 'independence', 'day']
['why', 'are', 'politicians', 'making', 'a', 'big', 'show', 'of', 'dining', 'with', 'dalits']
['why', 'militants', 'and', 'insurgents', 'turn', 'to', 'politics', 'and', 'the', 'benefits', 'of', 'allying', 'with', 'them']
['sonia', 'gandhi', 'discharged', 'from', 'hospital']
['terrorist', 'or', 'insurgent', 'or', 'militant', 'burhan', 'wani', 'was', 'an', 'icon']
['cow', 'politics', 'can', 'bring', 'dalits', 'muslims', 'closer', 'in', 'up']
['send', '10000', 'dalit', 'students', 'every', 'semester', 'to', 'foreign', 'universities', 'suraj', 'milind', 'yengde']
['how', 'online', 'anti', 'caste', 'platforms', 'are', 'reclaiming', 'and', 'reasserting', 'dalit', 'space']
['there', 'was', 'no', 'opportunity', 'for', 'dalit', 'expression', 'earlier', 'pandurangan', 'ranjith', 'filmmaker']
['give', 'land', 'to', 'dalits', 'as', 'most', 'atrocities', 'happen', 'to', 'the', 'landless', 'pardeep', 'attri', 'ambedkar', 'caravan']
['post', 'brexit', 'uk', 'may', 'compel', 'indian', 'students', 'to', 'eye', 'other', 'options', 'for', 'higher', 'education']
['with', 'indiloom', 'munmun', 'biswas', 'carves', 'a', 'niche', 'in', 'the', 'handloom', 'sector']
['with', 'liberalisation', 'merit', 'got', 'precedence', 'over', 'caste', 'and', 'other', 'biases', 'raja', 'nayak', 'entrepreneur']
['how', 'doman', 'tudu', 'is', 'trying', 'to', 'uplift', 'jharkhand', 'tribals', 'through', 'his', 'fashion', 'portal']
['how', 'srikanth', 'nishitha', 'boddus', 'sunfield', 'energy', 'is', 'aiming', 'to', 'be', 'a', 'rs', '15', 'crore', 'company', 'in', '5', 'years']
['steelmonts', 'rajesh', 'saraiya', 'to', 'set', 'up', 'cooperative', 'unit', 'in', 'food', 'processing', 'industry']
['india', 'cant', 'lose', 'out', 'by', 'getting', 'embroiled', 'in', 'caste', 'issues', 'devendra', 'khuman', 'cofounder', 'chai', 'wai']
['bulandshahar', 'rape', 'victims', 'move', 'supreme', 'court', 'for', 'fir', 'against', 'azam', 'khan', 'cops']
['dont', 'worry', 'britain', 'has', 'cracked', 'down', 'on', 'bogus', 'colleges', 'priti', 'patel']
['congress', 'picks', 'on', 'pm', 'narendra', 'modis', 'absence', 'in', 'the', 'house']
['if', 'you', 'take', 'up', 'arms', 'you', 'dont', 'necessarily', 'become', 'a', 'terrorist', 'naba', 'hira', 'kumar', 'sarania']
['et', 'recommendations', 'gadget', 'game', 'and', 'app']
['there', 'cant', 'be', 'freedom', 'without', 'equality', 'for', 'all', 'hucchangi', 'prasad', 'writer']
['how', 'cow', 'protection', 'laws', 'brutalise', 'our', 'culture']
['the', 'little', 'corporal', 'napoleon', 'bonaparte']
['chinese', 'fm', 'wang', 'yi', 'calls', 'on', 'pm', 'narendra', 'modi', 'holds', 'talks', 'with', 'sushma', 'swaraj']
['i', 'am', 'comfortable', 'with', 'my', 'identity', 'today', 'rs', 'praveen', 'kumar', 'ips']
['rio', 'olympics', '2016', 'lalita', 'babar', 'lights', 'up', 'day', 'before', 'india', 'stumbles', 'in', 'tennis']
['rio', 'olympics', '2016', 'india', 'on', 'a', 'medal', 'hunt', 'and', 'a', 'prayer']
['pro', 'kabaddi', 'records', 'rise', 'viewership', 'for', '4th', 'straight', 'season']
['delhi', 'hc', 'rules', 'central', 'tax', 'on', 'short', 'term', 'accommodation', 'in', 'hotels', 'unconstitutional']
['faceoff', 'at', 'askme', 'deepens', 'as', 'owner', 'astro', 'skips', 'board', 'meet']
['the', 'right', 'company', 'culture', 'isnt', 'about', 'free', 'beer', 'or', 'fancy', 'offices', 'pallav', 'nadhani']
['the', 'return', 'of', 'dalit', 'heroine', 'in', 'malayalam', 'cinema']
['yes', 'bank', 'to', 'raise', '1', 'billion', 'via', 'qip', 'in', 'next', '7', 'months']
['pm', 'narendra', 'modi', 'responds', 'to', 'sachin', 'tendulkars', 'request', 'asks', 'rio', 'bound', 'athletes', 'to', 'not', 'worry', 'about', 'results']
['ongc', 'partners', 'to', 'invest', 'rs', '823', 'crore', 'for', 'gas', 'in', 'bokaro', 'block']
['kotak', 'mahindra', 'bank', 'starts', 'innovation', 'lab', 'open', 'to', 'investing', 'in', 'startups']
['i', 'am', 'building', 'strong', 'base', 'for', 'dalit', 'politics', 'to', 'continue', 'my', 'activism', 'sunkanna', 'velpula']
['bulandshahr', 'rape', 'victims', 'kin', 'moves', 'apex', 'court', 'for', 'independent', 'probe']
['even', 'pm', 'said', 'cow', 'vigilantes', 'destroying', 'country', 'says', 'congress', 'leader', 'moves', 'supreme', 'court', 'seeking', 'ban', 'on', 'them']
