['centre', 'drops', 'move', 'to', 'ppoint', 'alphons', 'as', 'chandigarh', 'administrator']
['fatwa', 'against', 'hafiz', 'saeed', 'declaring', 'him', 'anti', 'islamic']
['now', 'roche', 'takes', 'zydus', 'cadila', 'to', 'court', 'over', 'breast', 'cancer', 'drug']
['seers', 'of', 'ayodhya', 'perform', 'havan', 'for', 'cm', 'akhilesh', 'yadav']
['govt', 'unveils', 'portal', 'for', 'star', 'rating', 'of', 'mines']
['carnival', 'cinemas', 'brings', 'on', 'board', 'pramod', 'arora', 'as', 'director']
['from', 'tendulakar', 'to', 'pm', 'narendra', 'modi', 'who', 'said', 'what', 'on', 'twitter', 'celebrating', 'pv', 'sindhus', 'win']
['bsnl', 'and', 'microsoft', 'india', 'sign', 'mou']
['rio', 'olympics', '2016', 'pv', 'sindhus', 'journey', 'to', 'become', 'the', 'first', 'indian', 'shuttler', 'to', 'reach', 'finals']
['trump', 'is', 'enjoying', 'campaign', 'trail', 'kellyanne', 'conway']
['pro', 'talk', 'ulfa', 'leader', 'anup', 'chetia', 'meets', 'assam', 'cm', 'sarbananda', 'sonowal']
['cpcb', 'opens', 'account', 'for', 'payment', 'of', 'green', 'cess', 'on', 'big', 'diesel', 'vehicles']
['pm', 'narendra', 'modi', 'crossed', 'red', 'line', 'by', 'talking', 'about', 'balochistan', 'pakistan']
['npas', 'nearly', 'doubled', 'to', '8', '5', 'per', 'cent', 'in', 'q1', 'report']
['maharashtra', 'may', 'make', 'private', 'hospitals', 'provide', 'lifetime', 'medical', 'assistance', 'to', 'kin', 'of', 'donors']
['housing', 'prices', 'to', 'remain', 'muted', 'in', 'next', 'six', 'months']
['amnesty', 'seeks', 'to', 'set', 'up', 'south', 'asian', 'hub', 'in', 'india']
['changes', 'in', 'recovery', 'law', 'to', 'expedite', 'disposal', 'of', '70k', 'npa', 'cases']
['rio', 'olympics', 'babita', 'kumari', 'loses', 'to', 'greek', 'rival', 'maria', 'in', 'opening', 'bout']
['wipro', 'parks', '1', '5', 'million', 'for', 'minority', 'stake', 'in', 'israeli', 'cybersecurity', 'startup']
['pm', 'narendra', 'modis', 'balochistan', 'remark', 'not', 'a', 'shift', 'in', 'policy', 'mea']
['silk', 'road', 'project', 'ready', 'to', 'give', 'sense', 'of', 'gain', 'to', 'others', 'xi', 'jinping']
['sbi', 'approves', 'merger', 'with', 'associate', 'banks', '8', 'things', 'you', 'should', 'know']
['rani', 'laxmi', 'bai', 'award', 'for', 'sakshi', 'malik', 'for', 'olympic', 'win', 'akhilesh', 'yadav']
['india', 'downplays', 'remarks', 'by', 'unhchr', 'on', 'j', 'k', 'visit', 'issue']
['rupee', 'ends', 'lower', 'by', '5', 'paise', 'versus', 'us', 'dollar', 'at', '66', '81']
['cash', 'payment', 'for', 'ids', 'allowed']
['1', 'in', '3', 'candidates', 'globally', 'always', 'searching', 'for', 'next', 'job', 'report']
['nepal', 'pm', 'prachanda', 'may', 'visit', 'india', 'ahead', 'of', 'china']
['navjot', 'singh', 'sidhus', 'joining', 'in', 'aap', 'on', 'hold', 'party', 'says', 'its', 'his', 'call']
['doha', 'bank', 'set', 'to', 'open', 'branch', 'in', 'kerala']
['indians', 'in', 'uk', 'most', 'educated', 'among', 'minorities', 'shows', 'report']
