['pv', 'sindhu', 'fights', 'tooth', 'and', 'nail', 'loses', 'to', 'carolina', 'marin', '2', '1', 'to', 'earn', 'silver', 'at', 'rio', 'olympics']
['delhi', 'government', 'notifies', 'implementation', 'of', '7th', 'pay', 'panel', 'recommendations']
['swaraj', 'abhiyan', 'says', 'bjp', 'hounded', 'by', 'its', 'own', 'beast']
['abhinav', 'bindra', 'sachin', 'tendulkar', 'vishwanathan', 'anand', 'hail', 'pv', 'sindhus', 'brilliant', 'effort']
['government', 'to', 'enforce', 'law', 'that', 'bars', 'foreign', 'funds', 'to', 'ngo', 'more', 'than', 'twice']
['army', 'appeals', 'for', 'calm', 'says', 'everyone', 'needs', 'to', 'step', 'back', 'in', 'kashmir']
['indians', 'benefited', 'under', 'apartheid', 'in', 'south', 'africa', 'analysts']
['farooq', 'abdullah', 'asks', 'centre', 'to', 'accept', 'pak', 'offer', 'of', 'talks', 'on', 'kashmir']
['modify', 'global', 'innovation', 'index', 'methodology', 'india']
['gst', 'bill', 'will', 'be', 'placed', 'in', 'delhi', 'assly', 'during', '4', 'day', 'session']
['fortis', 'healthcare', 'hives', 'off', 'diagnostic', 'business', 'srl', 'into', 'listed', 'fortis', 'malar']
['turkey', 'confirms', 'support', 'for', 'indias', 'membership', 'in', 'nsg']
['amit', 'shah', 'delivers', 'pep', 'talk', 'to', 'cheer', 'up', 'gujarat', 'bjp', 'workers', 'ahead', 'of', '2017', 'polls']
['tata', 'power', 'in', 'talks', 'to', 'acquire', 'power', 'arm', 'of', 'db', 'corp', 'promoters']
['betting', 'big', 'on', 'make', 'in', 'india', 'french', 'companies', 'to', 'pump', 'euro', '8', 'billion', 'into', 'india', 'already', 'put', 'in', 'euro', '20', 'billion']
['post', 'brexit', 'curry', 'war', 'hots', 'up', 'in', 'uk']
['coca', 'cola', 'suspends', 'operations', 'at', 'dasna', 'bottling', 'plant']
['pakistan', 'invites', 'foreign', 'secretary', 's', 'jaishankar', 'to', 'visit', 'islamabad']
['government', 'ready', 'with', 'policy', 'to', 'promote', 'electric', '2', 'wheelers', 'jayant', 'sinha']
['lg', 'samsung', '4g', 'handset', 'buyers', 'to', 'get', 'rjio', 'services', 'for', '90', 'days']
['sahara', 'case', 'sebi', 'says', 'nearly', '12000', 'refund', 'applications', 'received']
['british', 'spy', 'surveillance', 'prevents', 'terror', 'attacks', 'shows', 'report']
['ntpcs', 'bond', 'issue', 'oversubscribed', 'by', '2', '5', 'times']
['pakistan', 'pm', 'nawaz', 'sharif', 'inaugurates', 'countrys', 'largest', 'warship', 'tanker']
['jan', 'sangh', 'rss', 'were', 'collaborators', 'of', 'the', 'british', 'congress']
['uncertainty', 'looms', 'over', 'jnus', 'ganga', 'dhaba', 'students', 'protest']
['maharashtra', 'seeks', 'chinese', 'investment', 'for', 'states', 'growth']
['federal', 'bank', 'ties', 'up', 'with', 'chillr']
['tech', 'view', 'nifty50', 'forms', 'hanging', 'man', 'pattern', '8540', 'level', 'key', 'for', 'bulls']
['mukesh', 'ambani', 'meets', 'trai', 'dot', 'officials', 'with', 'jio', 'updates']
['kiren', 'rijiju', 'kick', 'starts', 'pasighat', 'landing', 'strip', 'for', 'air', 'force', 'to', 'combat', 'china', 'reports', 'two', 'pla', 'incursions']
['top', '10', 'reasons', 'why', 'indians', 'invest', 'in', 'dubai', 'real', 'estate']
['india', 'edges', 'toward', 'an', 'elixir', 'for', 'its', 'zombie', 'bond', 'market']
