['fire', 'extinguished', 'in', 'well', 'site', 'near', 'takka', 'tulsi', 'in', 'tripura']
['p', 'chidambaram', 'changed', 'affidavit', 'in', 'ishrat', 'encounter', 'killing', 'case', 'kiren', 'rijiju']
['nitish', 'kumar', 'should', 'implement', 'quota', 'in', 'private', 'sector', 'in', 'bihar', 'ram', 'vilas', 'paswan']
['shiv', 'sena', 'may', 'pull', 'out', 'of', 'maharashtra', 'government', 'before', 'civic', 'polls', 'prithviraj', 'chavan']
['congress', 'still', 'paying', 'the', 'price', 'of', 'emergency', 'rajnath', 'singh']
['pampore', 'attack', 'for', 'subverting', 'efforts', 'to', 'bring', 'peace', 'mehbooba', 'mufti']
['smart', 'cities', 'can', 'save', 'rural', 'poor', 'from', 'starvation', 'and', 'offer', 'employment', 'pm', 'narendra', 'modi']
['shiv', 'sena', 'other', 'parties', 'boycott', 'pm', 'narendra', 'modis', 'smart', 'city', 'programme', 'in', 'pune']
['parliamentary', 'committee', 'chief', 'demands', 'nia', 'probe', 'into', 'attack', 'on', 'crpf', 'jawans']
['sonia', 'gandhi', 'condemns', 'killing', 'of', 'crpf', 'men', 'in', 'pampore']
['assam', 'cm', 'sarbananda', 'sonowal', 'asks', 'official', 'to', 'inspect', 'market', 'and', 'arrest', 'the', 'soaring', 'prices', 'of', 'essential', 'items']
['jawans', 'to', 'be', 'sensitised', 'on', 'cross', 'border', 'smuggling', 'of', 'drugs']
['boxing', 'is', 'dead', 'in', 'india', 'says', 'mary', 'kom']
['government', 'should', 'tell', 'why', 'india', 'didnt', 'get', 'nsg', 'berth', 'sitaram', 'yechury']
['india', 'preparing', 'projects', 'worth', '2', '3', 'billion', 'for', 'funding', 'by', 'aiib', 'fm', 'arun', 'jaitley']
['ram', 'temple', 'will', 'come', 'up', 'soon', 'at', 'ayodhya', 'yogi', 'adityanath']
['pakistan', 'pitches', 'for', 'speedy', 'resolution', 'of', 'kashmir', 'dispute']
['gujarats', 'first', 'regional', 'flight', 'gets', 'off', 'the', 'ground']
['subramanian', 'swamy', 'targets', 'arvind', 'kejriwal', 'asks', 'him', 'to', 'reveal', 'truth', 'on', 'his', 'iit', 'admission']
['arun', 'jaitley', 'meets', 'chinese', 'counterpart', 'lou', 'jiwei']
['seven', 'companies', 'in', 'race', 'to', 'manage', 'epfos', 'equity', 'investments', 'in', 'fy17']
['pm', 'narendra', 'modi', 'launches', 'smart', 'city', 'projects']
['tata', 'teleservices', 'subsidiary', 'to', 'raise', 'rs', '3000', 'crore', 'from', 'promoter']
['bjp', 'not', 'ready', 'to', 'face', 'charges', 'levelled', 'by', 'subramanian', 'swamy', 'salman', 'khurshid']
['bloodshed', 'word', 'misunderstood', 'i', 'meant', 'chaos', 'subramanian', 'swamy']
['didnt', 'raise', 'asset', 'naming', 'issue', 'to', 'gain', 'favour', 'rishi', 'kapoor']
['delhi', 'government', 'introduces', 'change', 'makers', 'in', 'education', 'fellowship']
['jitu', 'rai', 'wins', 'silver', 'in', 'issf', 'world', 'cup']
['china', 'successfully', 'launches', 'new', 'generation', 'space', 'rocket']
['andhra', 'cm', 'chandrababu', 'naidu', 'hands', 'over', 'land', 'allotment', 'letters', 'for', 'amravati']
['bjp', 'leaders', 'attack', 'congress', 'on', '41st', 'anniversary', 'of', 'emergency']
['606', 'fish', 'species', 'of', 'gujarat', 'to', 'be', 'mapped']
['mayawati', 'says', 'swami', 'prasad', 'maurya', 'disloyal', 'selfish', 'triggers', 'war', 'of', 'words']
['adani', 'enterprises', 'raises', 'rs', '150', 'crore', 'via', 'ncds']
['pakistan', 'claims', 'important', 'leads', 'uncovered', 'in', 'amjad', 'sabris', 'murder']
['bandaru', 'dattatreya', 'asks', 'telangana', 'government', 'to', 'submit', 'new', 'textile', 'proposals']
['sprinter', 'dutee', 'chand', 'qualifies', 'for', 'rio', 'olympics', 'first', 'woman', 'in', '100m', 'dash', 'in', '36', 'years']
['cpim', 'mla', 'tanmoy', 'bhattacharjee', 'flouts', 'party', 'decision', 'joins', 'congress', 'rally']
['government', 'trying', 'to', 'bring', 'in', 'startups', 'for', 'open', 'bidding', 'of', 'small', 'oil', 'and', 'gas', 'fields']
['kvic', 'bags', 'order', 'for', 'durries', 'from', 'indian', 'coast', 'guard']
['karunanidhi', 'calls', 'for', 'follow', 'up', 'action', 'on', 'mullaperiyar', 'dam', 'issue']
['vedantas', 'sesa', 'iron', 'ore', 'to', 'make', 'all', 'mines', 'operational', 'in', 'goa']
['former', 'india', 'batsman', 'lalchand', 'rajput', 'appointed', 'afghanistan', 'cricket', 'coach']
['maharashtra', 'cabinet', 'expansion', 'likely', 'in', 'july', 'first', 'week']
['china', 'pakistan', 'corridor', 'on', 'track', 'chinese', 'diplomat']
['ksidc', 'appoints', 'kpmg', 'as', 'consultants', 'for', 'study', 'to', 'reform', 'acts', 'and', 'rules']
['pm', 'narendra', 'modi', 'congratulates', 'mehbooba', 'mufti', 'on', 'phenomenal', 'win']
['brexit', 'big', 'blow', 'to', 'uk', 'science', 'researchers']
['brexit', 'an', 'exaggerated', 'tsunami', 'alert', 'says', 'anand', 'mahindra']
['we', 'dont', 'need', 'people', 'like', 'mukhtar', 'ansari', 'in', 'party', 'akhilesh', 'yadav']
